student_age,study_hours_per_week,gender,low_income_status,special_education_status,participation_in_remedial_classes,end_of_year_grades
30,18,0,1,1,1,59.38785394266005
38,0,1,1,1,1,52.18234895663616
31,20,0,0,1,0,56.97947287143808
18,21,1,1,0,0,58.50723305739037
28,24,1,1,1,0,59.55060560930367
40,17,0,1,1,0,55.45246489499485
17,25,1,0,1,0,60.797209761902415
40,21,0,1,0,0,59.32802977329911
24,14,1,0,1,1,59.60722095308122
19,15,0,1,0,0,55.76797235627946
20,16,1,1,0,0,55.5241318149708
27,15,1,1,1,1,59.433929630968265
31,21,0,0,1,1,61.78532513286542
33,30,1,1,1,0,65.0143227804916
21,12,0,1,1,0,55.73096746987736
23,11,1,1,0,1,58.06867457802297
32,19,1,1,1,0,57.05382339978473
14,10,0,0,1,1,56.06544276348577
31,35,0,1,0,0,65.86368121965579
47,9,1,0,1,0,52.20915042427975
18,19,1,1,0,0,56.38754022638384
20,16,0,1,1,1,59.46673228376213
18,22,1,1,0,0,57.91023043180672
22,13,0,1,0,1,56.68331842919744
35,15,1,0,1,1,57.22478202026036
32,10,0,1,1,0,55.40332786371112
54,32,0,1,0,1,65.06361788635147
32,24,1,0,0,1,60.54847358964099
25,22,1,1,0,0,58.48942046915908
43,28,1,1,1,1,63.88249336310651
29,20,1,0,1,0,57.25970171543021
44,14,1,0,0,1,57.89310618587114
18,18,1,0,1,1,58.86409569154058
28,25,1,0,0,1,60.16781606741971
49,15,1,0,1,1,56.17955395736811
35,26,0,0,1,1,62.67581279426544
28,26,1,0,1,0,58.77176311625189
31,19,1,0,1,1,62.17857238959051
36,25,1,1,1,0,58.664418309326464
18,19,1,0,0,1,60.31038728259278
31,18,0,1,1,0,56.95709538773699
36,11,0,0,0,1,57.38443596860272
35,13,1,1,0,0,54.54660010223354
28,13,0,1,1,0,56.39239712757959
32,17,0,1,0,0,57.889691713980206
23,29,1,1,1,1,63.994290647618
22,21,0,1,1,0,60.74577540959284
22,25,0,1,1,1,62.18187881706681
17,21,0,0,1,0,60.064866022258855
22,29,0,1,0,1,63.61707103077587
39,7,1,0,0,1,55.48191980909817
35,23,1,1,1,1,60.25193029343399
37,19,1,0,0,1,58.35498330244116
32,21,0,0,1,1,60.65941799047126
38,16,1,1,1,1,59.82406004270143
34,27,1,0,1,0,60.48052426467907
32,20,1,1,1,1,57.883143293451134
31,27,0,0,1,1,64.7677428811755
29,29,1,1,1,0,62.95437451419355
37,10,0,1,1,1,58.46276618678354
35,22,1,0,0,0,58.09544021684502
27,21,0,1,1,0,58.61726634825329
19,21,0,0,0,1,62.6295342753948
18,16,1,1,1,0,55.15248989128095
37,19,1,1,1,0,57.33807226724034
51,14,1,0,1,1,56.26521025790274
26,20,1,1,1,0,58.94686939068505
20,22,0,1,1,0,59.407914551573256
21,21,0,0,0,1,61.85606517310113
17,25,0,0,1,0,59.61851027195745
27,14,1,1,1,0,56.62122817056424
17,18,0,1,0,1,62.015272392511584
22,12,1,0,0,0,54.65728336918092
20,22,1,0,0,0,60.75583865124256
35,8,1,1,0,0,54.31760633628649
11,10,0,1,0,0,55.35919851645236
28,19,0,1,1,1,61.78558771638625
17,24,1,0,0,0,61.257350000496736
28,27,1,1,1,1,63.90862750528486
15,16,0,1,1,1,59.52497111630763
34,27,1,1,0,0,60.2422130630647
32,4,0,0,1,1,54.39590781154377
18,22,0,1,0,0,61.59536565641268
33,21,0,0,1,1,63.43813703334518
27,14,1,1,1,1,57.812301380839294
44,14,0,1,1,0,55.96629205019268
33,17,1,0,0,0,56.140126396636944
44,18,0,1,0,1,61.00153045275476
41,20,0,1,0,1,60.24260128588521
31,12,1,0,0,1,55.54632888642796
33,21,0,1,0,0,58.72802295785142
35,19,1,1,0,0,58.89675816982398
14,15,1,0,0,1,59.15960929255756
42,24,1,1,0,1,63.51215863754725
40,17,0,0,1,0,55.66920168138992
21,25,1,1,1,0,60.14002060978998
39,25,1,0,1,0,59.28268138036213
22,19,1,1,0,0,59.201988116583294
27,16,1,1,1,1,56.73002317731565
48,28,0,0,1,0,60.72468246840317
42,13,0,0,0,1,56.80506963649642
33,16,1,1,1,1,57.60095149328052
28,18,1,0,0,0,55.921598909886775
19,27,1,1,1,0,59.59872826776714
36,21,0,1,1,0,58.164649613514406
17,17,0,0,0,1,60.03386007929121
42,24,1,0,1,1,61.46304388439502
39,27,1,0,0,1,62.83323375304364
27,38,1,0,1,1,65.61345348687591
23,29,1,0,1,0,60.06219646165909
38,17,1,0,0,1,59.24712815423466
29,19,1,0,0,0,56.79091664445545
35,25,0,0,1,1,60.82481643431223
36,17,1,1,1,1,59.71722569556095
27,8,0,1,0,0,53.5130189937428
29,27,1,1,1,1,63.856582490233095
30,22,0,1,0,0,59.91626061753461
28,17,1,0,0,0,55.79787914318111
28,17,1,0,1,0,55.5198319720045
28,16,0,1,1,1,59.934727075834026
28,13,0,1,0,0,55.14633522899844
41,6,1,1,0,0,51.093535285250695
32,27,1,0,1,0,59.38341301169842
27,29,1,0,0,0,59.52407176621429
24,19,0,1,1,0,59.9399622741206
34,20,1,1,1,1,59.26002782108001
38,22,1,1,1,0,58.63656855844116
19,18,0,1,1,1,61.94741467502043
24,7,0,0,1,0,51.585087734525466
44,16,1,0,0,1,58.84865746308397
23,24,1,0,0,0,58.81477402964698
40,27,1,1,0,0,62.34645974435141
21,28,1,0,1,1,63.62353638416116
27,23,0,1,0,0,60.34591250119573
22,20,1,1,0,0,59.36095560114201
27,21,1,1,0,1,60.817163994584085
21,19,1,1,0,0,58.54873448974213
40,14,0,0,0,1,58.67729291841728
14,14,1,1,1,0,54.96084287819231
24,14,0,1,0,1,60.23900728101218
36,29,1,1,1,0,62.68399999259061
16,22,1,0,1,0,59.753262815590986
32,19,1,0,0,0,58.20042125861583
46,17,0,0,0,1,59.8172378643431
34,27,1,1,1,1,63.40331116640216
20,20,0,1,1,0,56.54939180441559
36,15,1,1,1,1,57.979938541920205
20,21,1,0,1,0,58.01231410824031
26,29,1,0,1,1,64.79346697775816
22,24,0,1,0,0,60.36121041227596
43,16,1,0,0,1,59.15401892532169
22,4,1,1,0,1,53.90171258185296
32,14,1,0,0,1,57.31133659694625
25,29,1,1,1,1,62.797873204826594
23,14,1,0,0,1,56.49750743044218
14,12,1,1,0,0,55.280827130201786
36,30,1,0,1,0,61.91299301319876
49,20,0,1,1,1,62.29494692991005
27,19,1,1,1,0,55.7726513951212
14,6,0,0,0,0,53.25154051778545
12,18,0,0,0,0,58.28850481125711
27,20,1,1,1,0,56.44477138662093
27,27,1,1,1,0,60.13501126031414
28,19,0,1,0,0,59.10980532358018
37,18,1,0,1,1,57.885535146509405
11,25,1,1,1,1,62.88168588268772
33,12,1,0,1,1,57.139995539779605
28,24,1,1,0,0,60.07187065468878
33,27,0,0,0,1,64.01395376979389
26,19,0,0,0,1,59.79230624759118
43,18,1,0,1,1,60.31801511616537
28,17,1,1,0,1,59.08713536738033
33,21,0,0,1,1,60.45301097309323
41,20,1,0,0,1,59.55536510861188
47,23,1,1,0,0,58.636488132030976
42,20,0,0,0,1,60.19251364141231
40,9,1,1,1,1,56.3730299250709
17,26,1,1,1,1,64.24817835322399
35,22,1,1,0,0,60.08872925544196
27,17,1,0,0,1,60.074168208305366
29,15,0,1,0,1,58.242392084319015
29,17,1,1,0,0,56.83652469981739
24,14,1,0,1,0,55.31284439885442
33,17,1,0,1,1,58.73763092958844
14,16,1,0,1,1,58.60146007023221
30,25,1,0,0,1,64.24025732451807
10,14,1,0,1,1,58.17830829385412
36,19,0,1,0,1,61.82611347995278
23,21,1,0,1,0,56.80759763937075
41,14,0,1,1,1,56.91240549082048
38,21,0,1,0,1,60.071277163477816
21,27,1,0,0,1,63.870654580970985
22,20,0,1,1,1,62.12560245688135
25,24,1,0,1,0,59.60521744722818
25,27,0,0,1,1,64.02138258227443
42,10,1,0,1,1,54.69223964859722
32,12,1,0,1,1,57.56518322567184
28,13,1,1,0,0,55.695108693842656
33,22,1,1,1,0,59.819134852637525
21,25,1,0,1,1,63.11991710201297
32,9,1,1,1,1,55.24919543169763
20,17,1,1,1,0,54.44903401900862
33,19,0,1,1,1,60.74599179294
30,7,1,1,0,0,50.771577338348095
30,29,0,0,1,1,63.50999152512209
20,30,0,0,0,0,61.73325939507404
22,10,0,1,1,0,54.27169360124079
42,23,0,0,1,1,62.38334609780448
27,26,0,0,0,0,59.52941617173391
32,25,0,1,1,1,62.753891114248354
26,21,0,1,1,1,62.20955023304413
20,27,0,1,0,0,61.41482830937224
23,25,1,1,0,0,60.409315976432616
32,13,1,1,1,0,54.22889625048551
38,24,0,0,1,1,62.93749103731526
28,17,1,0,1,1,57.450128172238486
27,23,0,1,0,0,61.62830131681603
33,10,1,0,1,1,55.82457255454069
33,21,0,0,1,1,60.25537103465076
24,25,1,0,0,0,59.43457532778989
29,28,0,1,1,0,62.27931478082067
25,25,0,1,1,1,63.961377619558895
25,21,1,1,1,0,57.17222813895829
33,16,0,1,1,0,57.82137142753981
21,20,1,1,1,0,58.19975968634984
32,2,1,1,1,0,50.793257905524925
32,6,0,1,0,1,56.323812421845886
37,21,1,0,1,1,59.8332363844667
35,24,1,0,0,1,61.77678516057902
27,22,1,1,1,1,63.78992684639152
41,20,1,1,1,1,59.959509888833246
37,2,0,1,1,1,50.941270318202605
20,12,0,0,0,1,55.93667564115359
39,19,0,1,0,0,58.92339030210517
30,23,1,1,1,1,61.73677916816598
25,16,0,0,0,0,55.68407173791592
30,23,1,0,1,1,61.548692634210624
28,19,0,0,1,1,60.40690851711948
37,25,0,1,0,1,63.5637377201782
33,16,1,1,1,0,55.67821398499101
35,18,0,0,1,1,58.53329463476371
