age,education_years,previous_month_income,gender,rural_residence,previous_beneficiary_status,job_training_participation,current_month_income
26,26,5,0,0,0,0,56.93627847702836
16,22,17,0,1,0,0,57.728623996794
24,19,11,0,1,1,1,59.782745872127855
25,29,8,0,1,1,0,56.394359079914736
16,24,7,1,1,1,1,57.64460832852754
25,27,9,0,0,1,1,60.96820113174088
32,17,6,1,0,1,1,60.13994939439864
27,22,11,0,0,0,1,60.65110293319266
32,24,7,1,0,0,0,56.19303972835284
39,15,11,0,1,0,0,57.25356965216622
32,21,9,0,1,1,1,60.866697109274455
19,25,14,0,0,0,1,58.566724258299615
31,7,4,0,0,0,1,55.47398166020995
42,12,6,1,0,0,0,54.44796261660506
26,18,11,1,1,0,1,57.55285697807607
34,17,9,0,0,0,1,58.35862159023966
35,20,11,0,1,1,1,59.86558034134801
36,16,9,1,0,0,1,58.37632386089633
28,21,7,1,1,0,1,56.91348405845294
41,16,6,1,0,1,0,57.66125256206018
30,18,9,0,0,0,1,61.94551943445339
32,22,9,1,0,0,0,57.60371740669889
22,16,11,1,0,0,0,55.45219227556905
21,16,9,1,0,1,1,58.08656440562165
40,32,13,0,0,0,1,65.57905066813369
23,22,10,0,1,0,0,56.51573009163
38,17,10,1,0,1,1,59.64690620696504
29,25,6,0,0,1,1,61.8008110745464
35,31,11,1,1,0,0,61.52757696492195
20,12,15,0,1,0,0,53.923878778040205
36,20,10,0,0,0,0,57.21025830059462
22,15,10,0,1,0,1,54.91323966953116
23,19,10,0,1,0,1,57.73967961145465
30,23,11,0,1,1,0,56.51997444199425
34,24,9,1,1,1,0,57.05063957444969
3,20,8,1,0,0,0,54.132126360379615
29,21,8,1,0,1,0,57.19600959306253
34,20,11,1,1,0,1,57.84196320947208
25,24,6,0,0,1,1,61.25470630556076
38,14,10,0,0,1,1,60.13601652574568
17,32,11,1,0,0,0,58.04034459084539
27,22,11,0,1,0,1,59.39961713874208
34,23,8,0,1,1,1,61.90484401152279
33,20,5,0,1,0,1,58.06164760661319
36,17,6,1,0,0,1,58.529562900725786
26,27,6,1,0,0,0,57.52958909199328
16,11,8,0,0,1,1,53.69018442967819
33,12,10,1,1,0,0,54.29246537460123
35,19,9,1,0,0,0,55.32629501046025
30,13,7,1,1,0,0,54.77854252960416
40,23,11,0,0,1,1,61.7509819814911
16,22,8,0,0,1,0,56.39070342751103
29,29,6,0,1,0,1,59.06927627320536
27,11,11,0,1,1,1,58.776861552058
27,26,11,1,0,0,1,59.529482693520364
36,21,7,0,0,0,0,56.676320338817376
35,12,8,0,0,0,1,58.87507965189576
27,21,7,0,1,0,0,56.3433523330847
35,20,8,0,0,1,0,56.56343781842652
41,23,7,0,1,0,0,57.06248576130125
26,17,12,0,1,0,0,55.96665894319089
35,24,11,1,1,1,0,58.57843409432827
46,30,13,1,1,1,1,63.15040711774171
30,20,7,0,1,0,1,57.3032976791976
28,22,7,0,1,0,1,59.51662135593876
16,20,8,0,0,1,1,57.81463556321867
30,9,10,1,0,1,0,54.0117210174895
25,17,11,0,1,1,1,59.8825213809916
35,17,7,0,0,1,0,56.49321736645928
35,17,6,1,1,0,1,57.0070754216784
20,17,11,0,1,0,0,55.65097858719568
19,15,10,1,0,0,1,55.44983903025584
25,30,9,1,0,0,1,61.92336476583479
24,27,5,1,1,1,1,58.01142693234161
28,16,11,1,1,0,0,57.02813865598246
