individual_age,education_years,previous_month_income,dependents_count,work_experience_years,gender,rural_residence,universal_basic_income_beneficiary,current_month_income
20,19,11,17,2,0,1,1,33.51527773685857
32,17,11,9,4,0,1,0,38.6394666077658
24,21,16,19,6,0,0,1,34.29396148772185
34,18,11,9,8,1,0,0,36.53872753591379
24,17,9,7,2,0,1,1,41.60699412721614
29,21,13,13,4,1,1,0,31.83680511865931
27,18,15,12,4,1,0,1,41.50726353840503
27,28,10,3,6,1,0,1,38.22651987458895
26,17,11,6,3,0,0,0,39.90454528118089
19,15,13,9,2,1,1,0,37.51172313395912
25,26,11,12,5,1,1,0,26.75102011484392
25,21,5,14,5,0,0,0,29.04577997969442
35,34,9,24,4,1,0,0,15.500630674353069
27,18,6,9,3,0,1,0,36.60847724332004
27,18,9,8,4,0,1,1,41.47280275310189
17,22,10,16,2,1,0,1,29.99612206019039
28,14,15,10,2,0,1,0,43.02909944616986
29,21,10,18,4,1,0,0,28.38181878120509
24,12,13,14,5,0,0,0,38.1545735903403
41,15,8,15,2,1,1,0,37.08645410825605
27,20,9,9,1,0,0,0,36.32893264381429
38,28,13,19,4,0,0,0,26.489277327030987
22,27,12,18,3,0,1,1,27.78040283674281
40,36,13,8,2,1,0,1,30.53344301784333
28,21,9,16,3,0,1,0,31.176513635151448
36,21,13,9,3,0,1,1,41.976206677938606
33,31,10,7,4,1,1,1,33.77957038716859
48,30,9,10,5,0,1,0,31.55597664832488
24,25,5,22,0,1,0,1,28.3535223404384
22,32,7,12,3,0,0,1,26.07844316418057
24,16,5,15,5,0,1,0,33.84243216605198
46,16,3,10,6,1,0,1,44.221851709267845
22,17,13,16,2,1,1,0,33.406220182145304
27,15,7,12,0,1,0,0,37.00641110293311
31,5,8,13,3,0,0,1,48.8013606016678
19,14,4,22,6,1,0,0,27.847170774147745
31,13,5,8,2,1,1,1,45.77337253156986
38,14,12,14,1,1,1,0,39.368350130960096
35,19,7,17,5,1,0,0,31.81784248319044
43,12,7,18,6,1,1,1,42.43597676051355
21,19,12,14,0,1,1,1,36.90176969998894
36,21,11,9,1,0,0,1,39.330573723121965
28,16,10,13,4,0,1,0,37.72655556868655
28,23,9,25,3,1,1,0,24.11172562731315
10,6,10,9,3,0,0,0,42.15969354424893
41,21,12,19,5,0,1,0,31.14117074455865
31,16,3,17,6,1,0,1,37.3961957732748
27,23,9,13,1,1,1,0,30.97302758301475
34,25,7,21,2,1,0,1,28.80100830246956
40,12,13,22,3,1,1,1,42.82512798269046
21,5,8,23,4,1,0,1,43.13444783913952
21,22,10,20,4,1,1,1,29.84625746681948
38,9,10,15,4,1,0,1,44.24102170097729
27,34,8,7,1,0,1,1,28.29685533928375
31,11,9,13,4,1,0,1,46.53994770201952
17,14,6,11,5,1,1,0,36.0422793439035
21,10,11,4,3,0,0,0,43.28045809275557
36,28,9,15,2,0,1,0,27.229068061020502
30,27,13,19,2,0,0,0,23.151961046881063
31,15,13,34,5,0,0,0,24.18378213579929
20,21,10,15,7,1,0,0,28.72187617697737
25,9,10,8,2,1,0,1,47.49882909654173
20,18,8,10,5,1,0,0,32.3482763466271
35,10,11,18,1,1,1,0,38.907784966425
20,12,6,8,3,1,0,1,45.88766536695953
29,21,4,8,3,0,0,1,38.15621028737819
31,19,4,19,5,1,1,0,29.67702691860401
34,19,6,20,1,0,1,1,33.879134555135266
32,16,10,12,3,1,1,0,36.31569172349664
42,20,7,16,3,0,0,1,39.16578203181949
36,24,7,17,4,1,1,0,28.847504601024596
30,23,12,9,5,1,0,0,32.59432812216929
20,9,10,16,3,0,1,0,37.2495895153462
40,13,8,12,7,0,0,1,43.38933011960519
12,20,10,14,2,0,1,0,30.01613962713191
24,15,10,11,3,0,1,0,36.96608341632048
39,26,9,17,4,1,1,0,26.57450085279597
43,20,12,16,2,0,1,0,32.90626944178099
27,30,16,14,1,1,0,0,24.8608352138805
42,11,12,12,4,1,1,0,42.672987959541295
37,14,16,16,3,1,1,0,39.00948645693911
31,23,10,9,3,0,0,0,34.018173282534484
26,13,10,3,4,1,1,0,44.19495948211782
43,12,9,20,4,0,0,0,37.2369883615726
31,18,11,10,3,0,0,0,36.41994776096128
38,20,8,19,2,1,0,1,34.57052256507772
5,23,12,12,3,1,1,0,25.97404657833658
30,28,12,14,5,1,1,0,27.487591865384207
25,15,9,21,5,0,1,1,35.869251444543515
33,20,15,19,5,0,0,1,35.54048208904534
31,13,11,5,0,1,1,0,45.251942954195705
32,24,5,4,7,0,0,1,40.20047242624121
35,24,11,7,1,1,0,0,35.6691985296194
41,38,15,14,3,0,1,0,20.847488458540635
23,11,10,21,4,1,1,1,36.87851768731751
35,17,9,10,3,1,1,0,40.12829871969816
10,8,11,7,3,1,0,1,47.6667567777966
29,25,13,21,3,0,1,0,23.90915828358912
21,20,13,25,6,1,1,0,25.05556136019775
35,19,11,25,2,0,1,1,32.71012882258093
27,14,8,7,0,0,1,1,44.94660538271571
29,15,9,12,4,0,1,0,36.50300478071455
17,24,11,23,7,0,0,0,20.15557979042745
40,16,8,14,4,1,0,1,43.10620576724002
34,16,9,18,1,1,0,0,34.3070943418897
19,19,10,14,1,1,1,0,32.40906279037732
27,27,5,12,2,0,1,0,27.485101952000967
32,26,6,12,6,0,0,0,27.744722401531405
34,25,7,15,4,0,1,1,32.496364238875
16,30,9,12,3,1,0,1,26.83738871965892
32,19,10,20,4,0,0,1,34.84230610737244
37,3,10,13,4,0,0,1,51.48964898783719
30,18,8,7,3,0,1,1,42.78842616797568
31,20,9,9,4,0,1,1,41.07254067600634
25,22,10,23,1,0,1,0,24.09937480776552
30,26,6,15,2,1,0,1,32.01361815519435
25,24,10,11,4,0,1,0,28.36805566203691
35,22,12,5,3,0,0,0,37.87058537109686
25,16,14,11,1,0,1,1,40.91425302597168
31,10,9,10,5,0,1,1,48.48176452322808
21,3,9,9,5,1,0,1,50.83035194615638
33,20,6,18,7,0,0,0,26.595423137718317
43,19,13,13,4,1,1,1,42.66534686041776
35,11,13,22,2,0,0,1,40.246661052486544
20,19,5,4,3,0,1,1,41.27352837283717
25,24,10,14,4,1,1,0,26.42006792754161
27,15,9,9,8,1,1,0,39.40485590622956
32,18,6,11,4,1,0,1,40.9794654935665
34,22,10,22,6,1,1,0,25.39401918756304
23,22,5,13,3,1,1,1,33.65511062046046
31,14,10,11,2,0,0,0,39.02238186151112
26,22,15,19,3,0,0,0,26.737803206012508
30,15,11,11,6,0,1,0,37.59363609953607
37,16,4,18,6,1,0,1,37.25805214678756
49,26,10,8,5,0,1,0,35.29605498469761
42,7,9,16,3,1,0,1,48.25373087560506
25,18,8,8,0,1,1,0,36.62636510048206
18,18,12,7,3,0,0,0,35.05295741625415
16,33,14,14,5,0,1,1,25.59775334438733
30,13,5,16,1,1,1,0,37.54213309379781
29,20,9,12,4,0,0,1,39.68709036207497
21,30,9,18,7,0,1,0,19.797414785190945
24,24,6,23,8,1,0,0,21.76354713868487
12,16,16,16,2,1,0,0,32.090210816659166
48,23,10,8,1,1,0,1,40.6338017764393
35,12,9,8,5,1,1,1,47.907245362268185
39,16,9,15,3,0,1,0,36.17420826779317
43,26,7,7,1,0,1,1,38.66024353833085
24,25,13,21,1,1,0,1,27.83893520734506
25,6,12,18,3,1,0,0,39.79534950010975
25,15,15,28,5,0,0,1,33.161281093653606
38,25,9,18,5,0,0,1,31.92212390027101
22,16,10,13,4,1,1,1,40.3421759721191
24,26,8,15,2,1,0,0,25.34314535866317
45,20,11,9,3,1,1,0,37.83375174706626
27,17,7,11,5,0,0,0,33.81851504823057
24,14,7,15,5,0,0,0,34.3885893864422
26,25,8,21,2,0,0,0,23.522406586424044
30,26,14,13,2,0,0,1,33.26130724690729
33,18,8,17,0,0,1,0,33.04083933650617
34,22,8,23,4,1,1,0,26.64610997927798
26,20,7,12,3,1,1,0,32.161934779742225
25,27,11,12,5,1,1,0,25.780125389580096
15,14,10,15,6,0,0,0,33.154389693470144
26,27,6,8,3,1,1,1,32.967815304883686
42,25,6,24,6,0,0,1,29.28011314872457
26,27,11,15,4,0,0,1,32.53719361070302
40,14,13,11,4,1,0,0,41.89853341378475
42,23,8,20,3,1,1,0,27.52056406086428
22,18,8,8,4,0,0,0,36.19068659600998
39,15,7,18,3,1,0,0,33.28473096535215
32,21,8,17,3,1,0,1,34.92297410417179
20,28,11,3,6,1,0,0,31.12714992920933
35,12,13,11,2,0,0,1,46.15134030056392
31,10,13,8,3,0,0,1,50.26130359266525
24,32,14,14,5,1,0,0,23.77878088078941
28,24,11,4,4,0,0,1,39.52595411606488
38,25,11,8,1,1,0,1,39.517729163299066
27,20,9,12,2,0,0,1,37.9051838148484
29,18,11,18,1,1,0,1,36.72929132250741
19,14,9,20,6,1,1,0,32.50095689742648
41,21,12,3,4,0,0,1,44.670250290139
20,20,6,13,1,1,0,0,33.07260691528194
36,17,10,17,3,0,1,1,39.369004565879855
41,16,10,21,4,0,1,1,38.139792986644
27,27,12,10,6,0,0,1,33.73240066172002
40,18,12,8,3,1,0,1,42.39219858824652
22,30,5,11,5,0,1,1,28.01303483758955
19,18,15,18,3,1,0,1,32.237209702378344
18,12,14,8,2,1,1,0,39.81792794281791
29,26,0,20,3,0,0,1,25.98538996394918
37,12,10,17,3,1,0,1,43.149224207341646
24,22,7,9,5,0,1,1,37.75274918472137
29,13,6,18,1,1,1,0,34.074645563965746
24,28,13,12,6,1,0,0,26.703443296832077
26,16,9,13,6,1,0,1,39.12332239404758
40,23,10,19,1,0,0,1,33.13217244751329
34,12,10,11,4,0,1,0,41.70097215988388
42,19,11,11,1,1,1,1,42.82279613697393
25,26,10,13,5,1,0,1,30.938286305401476
31,22,3,10,4,0,1,0,31.47195162699229
21,37,11,11,2,1,1,0,19.831860623324484
42,18,8,10,6,0,0,0,39.0391509543782
28,27,14,10,1,1,1,1,37.17364088420857
36,19,8,6,3,1,1,0,40.389388757278105
22,24,7,17,6,0,1,0,24.05851907546326
42,20,4,12,5,1,1,1,41.28004514873805
27,21,4,13,2,1,1,1,35.961154667701194
39,32,9,12,3,1,0,1,30.363421073761494
