defendant_age,trial_length_days,prior_convictions,legal_representation,alternative_sentencing,recidivism
28,31,1,1,0,68.83784440711942
30,17,0,1,1,72.5639111527546
30,11,1,1,1,71.96265922755329
46,12,0,1,0,78.59238156913058
29,24,1,1,0,69.62432389948916
43,19,0,1,1,79.49418788705195
34,27,0,1,1,75.83666625354617
20,28,1,1,1,69.04047076417554
39,23,1,1,0,74.59951719772275
32,9,1,1,0,69.25542834170405
38,26,0,0,1,77.86159568163477
33,25,1,0,0,70.55831669500009
42,16,0,0,1,76.370192930834
37,26,1,0,0,72.74596534892423
15,18,1,1,0,62.34959885997192
44,18,0,1,0,76.01353092443492
37,19,0,1,1,75.98196315061581
22,19,1,1,0,67.39082815713819
26,18,0,0,1,69.03676091313059
36,21,1,0,0,71.99657344108647
31,24,1,1,1,73.49084907737156
42,20,0,1,1,77.41037765258574
37,22,0,0,1,74.93371736290902
30,14,0,1,0,70.33597519382246
38,13,1,1,1,74.96718860644144
40,26,1,1,0,76.09479649962461
40,16,0,1,0,75.02831249423261
34,15,1,0,0,71.70657855875744
38,14,1,1,0,73.16133165859621
30,22,0,1,0,70.10003573655807
34,8,1,1,0,72.86607828351512
20,4,0,0,1,64.20947904957586
18,17,1,0,0,63.25589819736146
31,25,0,1,1,73.14539817974125
15,33,0,1,1,64.22454243516009
25,16,1,1,1,68.84440144265508
38,27,0,1,1,78.27110882874803
28,14,0,1,1,70.1696977535424
35,15,1,1,1,74.87493363511635
26,22,1,0,0,68.41149009189614
17,31,0,1,1,68.0696950607918
25,24,1,1,0,68.38223804960201
19,25,1,0,0,64.51927420261899
37,10,1,0,0,71.92781082643808
34,19,1,0,1,74.45537853269748
31,15,0,1,1,72.4469780347148
34,14,1,1,0,73.96627204115372
26,11,1,1,0,66.27104658565483
30,27,0,1,1,73.90065898826539
30,16,1,1,0,71.56007677270723
34,26,1,0,0,71.8235839634772
30,18,1,0,1,72.30653353676678
19,19,1,1,0,63.7321930490676
37,16,0,1,1,76.50442032171463
22,21,0,0,0,67.38433600097571
36,24,0,1,1,75.76441984296231
17,14,1,1,0,61.39547708913482
33,24,0,1,1,75.63727414837066
32,17,1,0,1,72.90756183540023
23,14,0,1,0,65.04789402450706
35,24,1,1,1,73.7265113207613
15,18,1,0,0,61.907848604891896
35,21,0,1,0,73.21601509354547
34,22,0,0,1,74.32414775632135
36,17,0,1,0,72.90705774934952
27,6,0,1,1,69.08238310477307
21,16,0,1,1,66.52247850249135
39,19,1,1,1,76.85780992645888
39,13,0,0,1,76.8898455947739
24,19,0,1,0,67.42304853992742
36,24,0,1,1,77.56046380662846
24,6,1,0,0,65.32624223460859
47,22,1,1,0,80.63773760762103
27,24,0,0,0,66.40012999363273
17,18,1,0,1,66.28268629248947
44,22,0,1,1,80.79414177076163
21,35,1,1,1,68.40844271327151
32,13,1,0,1,73.06075369652324
28,17,1,1,0,69.16467025208053
20,18,0,0,0,65.46396702274451
33,15,0,0,0,71.7528043912122
15,24,1,0,0,63.775198786853686
33,16,1,0,1,74.55930645005076
26,26,1,0,0,67.4132416043562
34,14,0,1,1,74.99327874526253
14,23,0,1,1,64.39361428965985
27,22,1,1,0,68.51780169994089
33,21,1,1,1,75.04150869863112
44,22,0,1,1,79.79529753704324
28,26,1,0,1,71.15253704643783
21,22,1,1,0,66.34032886134051
21,13,1,1,0,67.45896016826642
24,27,0,1,1,70.15692661957634
26,21,0,1,1,70.12564606929155
19,20,0,0,1,65.66842197338613
31,32,0,1,1,72.8666029397584
33,20,0,0,1,72.99698224051788
27,26,0,0,0,68.06005791232374
19,28,1,1,1,67.98930479581506
41,16,1,0,0,75.78737673145108
20,21,1,1,0,66.52695337368108
41,23,1,0,0,76.60563498394403
32,11,1,1,0,70.54280570028568
26,18,1,1,1,70.4756749043092
34,15,1,1,0,74.86982772283636
39,11,1,1,0,75.96929094123385
37,13,1,1,0,73.5211218065336
25,14,1,1,1,70.6678493412304
37,9,1,1,0,73.32383646379688
38,20,1,1,1,75.07653069677163
20,17,0,0,1,67.4825855719099
28,14,1,0,0,68.74254065015671
10,13,0,1,1,61.64057258535433
15,23,1,0,0,63.42322797660068
