age,education_years,previous_month_income,job_experience_years,gender,minority_status,rural_residence,loan_received,current_month_income
29,15,8,18,1,1,0,1,20.983175369329683
38,14,7,17,1,0,0,1,18.60821099412633
29,16,12,20,1,0,1,0,16.940683228161184
21,25,11,22,0,1,1,1,17.736723928422556
24,24,10,7,1,1,1,1,10.685276333583694
33,16,6,18,1,0,0,0,18.88911610045609
18,12,9,11,1,1,1,0,24.44865654306451
24,16,11,10,0,1,0,0,13.168186744054935
27,9,9,18,1,1,0,1,27.244889097510747
29,23,11,13,1,1,1,1,9.31560368433618
33,25,9,12,1,0,1,0,5.60715794720697
32,20,11,11,0,1,1,0,9.746843704206292
21,22,8,27,1,0,1,1,23.570851536535663
38,13,10,15,0,1,0,1,15.584484186489894
45,9,8,14,1,0,1,0,13.98036433416666
30,21,7,7,1,1,1,1,12.164188589061787
31,22,17,14,1,1,1,1,4.213758003868735
19,14,16,16,0,1,1,1,20.62158365247915
33,19,10,17,0,1,1,1,12.453654273037577
34,28,10,10,1,1,0,0,1.6210393714183464
29,28,7,16,1,1,0,1,8.577350226464668
35,17,6,15,1,0,1,0,15.1632346467882
23,36,5,18,1,1,0,1,8.678111609435305
40,17,13,9,1,1,1,1,4.926995192946099
40,21,7,13,0,0,0,0,6.603617614888854
41,22,9,19,1,1,1,0,6.974465088114159
19,24,12,12,0,0,1,0,12.78235109695652
32,25,9,10,0,1,1,0,5.182597799755063
25,25,8,16,1,0,0,1,13.702280176165145
28,22,13,14,0,0,1,1,9.437886742161586
33,32,10,15,1,1,1,1,0.9287603249057832
21,17,10,17,0,1,0,0,20.696651971693843
19,17,9,7,1,1,1,0,18.633725545959216
25,8,11,8,1,1,0,0,21.260919222947088
33,31,8,13,0,1,0,1,5.728688251466432
43,19,14,15,1,1,1,1,2.0710670713547445
32,24,6,19,0,0,1,1,13.766884556721823
27,24,11,14,1,0,0,0,10.30293850286985
32,24,7,16,0,0,1,0,11.052889093877534
31,8,8,15,1,0,1,0,24.29504791925563
33,18,13,21,0,1,1,1,14.212707226907746
27,27,0,17,1,1,1,1,18.30510728540183
45,22,13,14,1,1,1,1,1.4548551930905351
27,34,8,8,1,0,0,0,0.4973908355823586
37,23,2,10,0,1,0,1,12.921789148822285
25,16,9,11,1,0,1,1,20.1256499850476
29,13,12,16,1,1,0,0,16.90741268309207
13,21,7,18,0,1,0,0,22.85649860711109
34,20,6,14,1,1,0,1,14.977757348325744
36,9,9,20,0,0,1,0,21.635050819505008
34,20,13,7,1,0,0,0,2.891721960370598
28,13,10,5,0,1,0,0,15.989488792695235
26,18,9,15,1,1,0,1,19.3658048958505
31,22,10,14,0,1,0,1,11.254014452179536
20,23,12,15,0,0,0,1,13.23391531794622
26,32,6,10,0,0,1,0,6.059714637852602
25,15,13,14,1,0,1,0,17.970192323275963
