age,education_years,monthly_income,living_expenses,gender,minority_status,rural_residence,new_community_program,life_satisfaction_score
31,25,9,8,0,1,1,1,42.95475416559633
39,10,6,13,1,1,1,0,49.6729404396109
30,16,5,17,1,1,1,0,41.3790607959093
21,14,9,14,0,1,1,0,40.40045775486524
16,18,6,9,0,0,1,0,37.08393856159548
32,23,11,19,1,0,1,1,47.917378307809415
25,16,14,9,1,0,1,1,49.51428044928077
39,1,6,10,1,1,0,0,57.80071506770675
26,12,9,16,1,0,1,1,55.81055011386502
20,21,12,7,0,1,1,0,36.39231598684918
29,5,5,21,1,0,1,0,54.16976790596127
45,28,12,10,0,1,0,0,35.5335773612958
32,1,12,21,0,1,0,0,57.18303035205839
39,16,3,9,1,1,1,1,54.25934200606129
25,22,6,15,0,0,1,0,35.122150294593695
17,29,9,16,0,0,1,1,37.88650758835016
25,20,10,11,1,1,1,1,46.267074804387626
44,16,10,8,1,1,0,0,46.00573128612567
14,23,12,16,1,1,1,0,31.92901067383168
34,19,8,13,1,1,1,1,49.1057973459838
18,20,12,18,1,0,1,1,46.43436556277213
31,20,9,6,0,0,0,1,48.184466745928646
24,17,12,14,1,1,1,1,49.735467908563606
37,17,12,2,0,0,0,0,42.03328424824347
15,18,17,10,1,1,0,0,36.19156765352119
29,22,10,16,1,0,1,1,47.0232331487946
24,33,13,13,1,1,1,1,34.80081349728908
35,15,5,12,1,1,0,0,43.65630992309156
36,22,12,18,1,1,1,0,38.25329022088295
22,21,11,0,1,1,1,0,34.445545406847096
36,28,10,20,0,1,0,0,33.02459923218508
35,23,7,14,0,1,1,1,46.26992849123216
30,18,9,29,1,1,1,1,49.62651704431132
13,23,9,16,1,1,1,0,32.18638290062961
46,26,13,20,0,1,1,0,36.86872542179466
18,16,12,10,0,1,1,0,38.37596216647169
19,27,10,17,0,1,1,1,38.50536241795987
18,16,10,18,1,1,1,0,36.5631702315504
48,31,13,13,1,1,1,0,32.75988772358471
31,24,8,9,1,1,0,0,36.31291999712097
44,17,8,16,1,1,1,0,44.33562945100319
32,13,9,10,1,0,1,1,57.32068528468934
8,16,10,26,0,1,0,0,37.85703543400045
29,16,10,10,1,1,1,0,41.817181386101126
32,19,9,13,1,0,1,1,50.32118850857283
37,17,10,9,0,1,1,1,51.12831963096973
23,20,9,11,1,1,0,0,36.69950594092972
30,26,12,11,1,1,0,0,32.75589339314891
9,25,8,15,0,1,1,1,37.39358233053459
25,9,9,17,1,1,1,0,46.97858176790791
21,27,7,18,0,1,1,1,39.19671018063335
29,25,9,14,0,0,0,1,44.90893027101669
31,30,13,14,1,0,1,1,38.57427989461959
30,25,7,11,0,1,1,1,41.82307556010558
37,30,5,12,0,1,1,0,30.96225317673691
31,14,9,18,1,0,1,0,45.98933072015262
51,22,6,15,1,1,1,1,53.25108816335477
32,16,15,11,1,1,0,0,43.30231012022249
42,18,7,14,0,1,1,0,43.44644681521663
33,24,11,16,1,1,1,0,35.82585585049679
39,21,6,19,1,0,1,1,50.62107293786188
18,22,10,19,0,1,1,0,33.91705737897769
26,13,13,17,0,1,1,0,43.1723039789918
24,5,9,13,0,0,0,0,50.91688597602735
24,20,8,13,0,0,1,1,45.58866640329585
36,21,11,21,0,1,0,0,39.76474942468933
21,27,8,15,0,1,0,1,39.68727663029906
31,19,16,17,0,0,1,1,50.4484064930897
14,20,9,12,1,1,1,1,42.3716505984564
40,26,9,5,0,0,1,0,35.166897650190535
35,12,9,13,0,1,0,0,45.64292394490912
26,26,11,13,1,1,1,1,40.51239898246016
31,18,14,11,0,1,0,0,41.6250427531445
10,19,8,6,0,0,1,1,43.96763214550048
35,12,4,17,0,0,1,1,56.10467476306884
28,22,11,20,1,0,1,1,44.56198496827055
26,13,12,12,1,1,0,1,49.838249268278105
38,10,8,9,0,1,1,0,48.70459867068019
29,14,10,11,1,0,0,0,42.68695165871048
29,16,14,19,1,1,0,1,51.779820175443625
28,24,6,7,1,0,1,1,44.07709181373207
39,15,6,23,1,1,0,1,55.398455107219135
24,24,14,18,1,0,1,1,42.209906516902834
33,20,10,13,1,1,1,0,39.816907977342495
15,25,10,5,1,0,1,1,38.76988004262151
29,16,7,10,1,0,0,1,50.61905918741909
41,18,6,14,1,1,1,0,43.507734846401455
27,25,12,9,1,1,1,1,45.43906993761247
34,14,5,21,1,1,0,0,45.15543973926374
32,17,11,15,0,1,1,0,41.35103716089689
36,14,7,12,1,1,0,0,45.34845002133294
37,34,4,16,1,0,1,1,37.22330502070539
44,21,7,21,0,1,1,0,40.55395482465464
25,18,8,12,1,1,1,1,47.36152563519188
36,20,10,15,1,1,1,0,41.00605984311797
27,9,5,11,1,1,1,0,48.607787480664136
50,14,6,26,1,1,1,0,50.47818115498645
37,20,16,12,1,1,0,1,47.941610853662326
43,13,12,16,1,1,1,0,49.0750133544812
36,4,10,14,0,1,0,1,63.69918439447355
25,15,10,3,1,0,1,1,50.58732218862006
27,16,16,17,1,1,0,0,40.742343936904206
25,22,7,11,0,0,1,1,44.271070186501255
32,19,8,12,1,1,1,1,49.45916618005766
36,24,11,14,0,1,1,0,38.79306900040851
41,18,9,15,1,1,1,0,44.31977746597625
24,17,10,14,0,1,1,1,50.37147554260584
23,22,7,12,1,1,1,1,46.32030367798954
12,16,6,9,0,1,1,0,36.62309112595321
40,9,14,15,1,1,0,1,59.36722041900222
15,29,6,13,1,1,0,1,34.8338560814632
29,29,17,5,0,0,1,1,38.886833915030856
17,23,9,13,1,1,1,1,42.256508844460775
36,25,12,4,1,1,1,1,43.33182074192564
33,11,12,12,0,1,0,0,46.37510732669031
27,13,9,20,1,0,0,1,55.2478772861714
31,24,9,13,1,0,0,1,44.07643145243688
18,22,7,12,1,0,1,1,43.99032437388679
38,26,7,13,1,0,0,1,44.78344658071325
12,15,9,20,1,1,1,0,40.39468640587919
34,4,8,8,0,1,1,0,54.09011998087228
28,9,14,12,1,1,1,0,47.02289626332212
25,19,18,6,1,1,1,1,44.75793925480976
34,11,7,23,0,1,1,0,46.03768833173855
35,25,3,17,1,1,0,0,36.49845557784535
40,32,16,18,0,0,1,1,40.2628283049982
28,9,9,18,0,0,1,0,48.26017694592159
22,12,11,15,1,1,1,0,43.2486875183344
23,27,11,16,1,1,1,1,40.555269326099
40,25,6,7,1,1,1,0,35.442695586579525
54,19,15,21,1,0,1,1,55.277949150073
30,24,8,11,1,1,1,0,34.76543553031586
29,27,10,8,1,0,1,1,40.40145164697685
31,26,10,13,1,1,1,1,43.03599944124358
14,21,12,1,0,1,1,0,32.698769230049265
38,24,11,17,1,1,1,1,47.20056960014088
37,24,11,12,0,0,0,1,47.484119355506735
35,29,5,18,1,1,1,0,32.59050533099114
42,15,9,8,0,1,1,0,45.66084879582971
23,24,3,13,1,0,1,1,44.24104726549198
31,21,12,18,1,1,1,1,46.74884727567001
33,29,8,15,0,0,1,1,42.32396908325817
40,23,12,19,1,1,1,0,37.673891794020754
20,15,13,18,1,1,1,0,43.032204251126736
16,18,9,22,1,0,0,1,47.39179132917056
44,18,9,8,1,1,1,1,51.35740611249666
39,16,10,5,0,0,1,0,44.36465649857068
33,16,5,14,1,1,1,0,42.70818108767075
40,21,13,14,1,1,1,0,40.5752732846248
35,21,12,10,1,1,0,1,47.428828728480646
33,34,15,25,1,1,1,1,36.157826393187925
11,29,10,25,0,0,1,1,34.85314333971436
29,14,7,25,1,1,0,1,51.74704723497373
24,12,11,17,0,0,1,1,55.55657637939524
28,21,13,10,1,0,1,1,45.688103160985605
33,23,9,11,0,0,1,1,47.22097389201135
24,20,11,15,1,0,0,1,47.599840893643766
39,16,9,13,1,1,1,1,54.36078785574457
34,33,4,24,0,0,0,1,36.80875006861797
22,10,8,21,1,1,0,1,55.95554594302599
35,22,14,5,0,0,0,0,38.3279267891991
35,22,11,11,1,1,1,0,37.26327594111527
36,7,11,24,1,0,1,1,63.04768708724691
35,19,4,18,0,1,1,0,40.59677466283293
28,22,11,10,1,0,1,1,44.94655205967435
31,21,9,13,0,1,0,0,38.38284758131379
28,15,10,19,0,0,0,1,52.11416212453143
40,13,13,6,1,1,0,0,47.902009174813614
28,17,2,19,1,1,1,0,42.93736372405765
36,11,7,20,1,1,1,1,57.101070497605015
35,28,11,-1,0,1,1,0,30.631556289617095
24,13,10,5,1,0,1,0,41.96929998476697
31,12,10,18,1,1,1,0,45.09121038540048
28,25,10,26,1,1,1,1,43.10176985235415
32,26,13,10,1,1,1,1,42.69833997906783
32,19,9,9,0,1,1,0,41.06969212928064
9,17,9,9,1,1,0,1,44.40886262834415
33,19,5,15,1,1,1,1,50.22478388769445
34,13,10,6,1,0,0,0,46.24715581370239
16,16,7,14,1,1,1,0,37.709620909451736
34,23,7,19,0,1,0,0,35.66538610372516
32,20,16,4,1,0,0,1,45.37399558385333
29,24,14,20,0,0,0,1,43.56825897915877
23,12,13,17,1,1,0,0,45.00516377350947
33,13,8,16,0,1,1,0,46.332889131691886
33,19,13,13,1,0,0,1,50.81558080542394
18,25,12,15,0,1,0,0,29.481953861612816
31,15,5,14,1,1,0,0,40.917006877383066
37,24,10,16,0,1,1,0,38.50759926765237
26,21,8,18,1,0,1,1,47.56203649107486
32,19,9,18,0,1,0,0,40.13562311107027
19,13,5,12,1,1,1,1,50.47407616159242
28,14,8,16,0,1,0,0,43.5566951094156
36,21,7,17,1,0,1,1,49.66522782071014
15,19,10,14,0,1,1,1,44.14146628317585
27,19,7,16,0,1,1,0,39.19462893442266
44,15,7,23,1,1,0,1,55.11330566249372
24,24,4,8,1,0,1,1,42.65172424317461
24,13,10,10,1,1,0,1,52.04850335263821
28,15,12,22,1,0,1,1,53.92443173143756
24,18,14,12,1,0,0,1,46.639807142123786
22,19,7,15,1,0,1,1,47.20420368536599
39,21,12,15,1,0,1,1,48.58336419258606
22,22,14,17,1,0,1,1,44.70324221377168
29,9,7,18,1,1,1,0,50.494363906701565
24,15,13,11,0,0,1,0,42.13431783915863
29,9,11,10,0,1,1,0,47.69866105847324
8,29,8,8,1,0,1,1,34.38729438337613
22,18,8,7,1,0,1,1,46.379664498619
33,25,14,5,0,1,1,0,34.05253661254137
18,19,10,17,0,1,1,0,37.39899518390162
14,23,6,20,1,1,1,1,42.33325727113261
27,18,12,19,1,1,1,0,40.1237287168002
30,14,12,9,1,1,1,1,51.61267085443804
19,24,11,14,0,0,1,0,32.06289610018312
21,19,10,16,0,1,1,0,38.75418125967855
34,23,16,20,0,1,1,1,47.42968833009991
19,18,15,3,0,1,0,0,35.79652230098671
32,17,7,1,0,0,1,0,39.49302987004232
33,31,7,15,1,0,1,1,39.38950180950149
31,16,9,16,1,1,1,1,51.37005570598608
30,30,8,21,1,0,1,1,38.80565742391719
48,25,8,13,1,1,1,1,46.4279722381261
21,20,10,15,1,1,1,0,36.815050831186426
30,0,1,9,1,0,1,1,66.2596994183037
20,20,15,13,0,0,0,1,45.31217065768055
25,16,10,16,1,0,1,1,50.42100716867781
31,32,8,9,1,1,0,1,37.54157891310247
23,21,10,9,1,1,0,0,36.11752166308978
27,14,9,11,0,0,1,0,43.96574826754234
22,21,8,8,1,1,0,0,35.047870480939785
25,13,10,24,1,1,0,0,44.08503052250609
35,16,5,16,0,1,1,0,42.68169196825355
15,22,6,15,0,1,1,0,32.88930772175408
23,18,11,19,1,0,1,1,48.81016872876467
17,15,12,22,0,1,0,0,41.2400836279301
22,25,11,13,1,1,1,0,31.775456318679787
33,16,12,11,1,1,0,1,53.569322861864975
27,24,7,2,0,0,0,1,44.117991394110966
34,21,12,19,1,0,1,1,49.091371919163805
38,21,10,15,1,1,0,1,48.59953115187157
41,19,9,15,1,1,1,1,51.37480406945559
26,16,7,16,1,1,1,0,41.92347806470816
26,11,9,17,0,0,1,1,56.24139402300509
33,18,14,6,1,1,1,0,41.38988757505488
36,18,10,12,1,1,1,0,42.60003340692938
32,9,16,9,1,0,0,0,49.0331483925162
27,14,7,18,1,1,1,0,41.9476025211236
29,31,14,17,0,0,0,1,37.77645611234969
38,30,4,9,1,1,1,0,28.74903120448872
42,20,10,14,1,0,1,1,51.15949146822476
42,17,12,14,1,0,1,1,52.65951686928955
25,19,11,12,0,1,1,1,47.54283148963116
29,22,16,19,1,0,1,1,47.68688159741165
18,21,7,7,1,1,0,0,34.872650441030416
21,16,9,16,1,1,0,1,49.39808144731147
31,18,10,17,1,1,1,0,42.28187713785314
42,15,9,10,1,1,1,1,55.274645031689005
40,18,13,13,0,1,1,0,42.12196621405906
32,10,12,11,1,0,0,1,58.447332498415925
45,20,9,15,0,0,1,0,42.81842812101256
33,13,11,8,1,0,1,1,56.53124576203477
24,23,10,8,0,0,1,1,44.42049925463788
33,9,1,15,1,0,0,1,58.4196690258219
42,20,8,23,1,0,1,1,52.46053316099498
30,23,8,20,1,1,1,0,37.13278270712995
19,20,13,8,1,1,1,0,35.26150346178403
42,21,14,15,0,1,1,0,41.0388305564457
42,21,11,16,1,0,1,1,51.10574209882051
40,27,11,7,0,0,1,0,35.47545153628622
31,14,11,11,1,1,1,1,53.57050076565426
31,27,3,11,1,1,1,0,30.997361464444595
22,15,9,22,1,1,1,0,41.574348368881466
30,27,14,19,0,0,0,1,43.38107561668064
43,24,8,1,0,1,1,1,45.99474366472614
22,18,9,8,0,1,1,0,38.48198513224144
38,26,2,0,1,1,0,1,44.12310968481143
27,28,9,11,1,1,1,0,30.588721206930863
38,13,13,13,1,0,0,1,56.4276295454174
32,10,10,7,1,0,1,0,49.47014423767018
27,18,11,14,0,0,0,0,40.62715417975633
25,23,10,10,0,1,1,0,33.083059696773404
39,23,6,23,1,1,1,1,48.33487932781576
25,20,6,23,0,1,1,0,37.471859071549815
24,22,11,13,0,0,0,1,44.1300447124291
27,25,14,16,1,1,1,1,41.44083669306935
28,30,10,13,1,0,1,1,39.39322814155573
22,28,9,9,1,1,1,0,29.68564515183577
40,17,4,14,1,0,1,1,54.98556582316103
24,10,11,21,0,1,1,1,54.20652389747451
28,13,10,20,0,0,0,0,44.55397323384639
22,26,5,18,1,1,1,0,32.19069229192566
26,13,17,14,0,0,1,0,43.95109573155569
26,14,10,11,1,0,1,1,53.98849561250462
16,29,15,17,1,0,1,1,37.12249145849505
