age_years,education_years,previous_month_income,work_hours_weekly,gender,rural_residence,job_retraining_program,current_month_income
21,10,11,18,0,1,1,52.41440945846964
25,18,10,8,1,0,0,39.47901245802965
32,34,8,19,1,0,0,42.422902775970975
25,19,12,8,0,1,1,51.32419154015445
10,24,7,16,1,1,1,55.271578340376834
39,23,11,18,1,0,1,47.47809168729633
30,26,8,14,1,1,1,50.52320428620966
31,21,6,6,1,0,0,38.67303520935231
30,18,16,19,1,0,1,48.46987502494167
31,24,8,10,1,0,1,47.47408619674649
34,21,7,17,1,0,1,47.77286136496081
38,21,8,10,0,0,0,37.69568799762425
19,11,11,12,1,0,1,52.81919895942884
20,20,13,11,0,1,1,52.27067317944156
25,19,9,5,1,1,0,41.68592328098831
25,20,8,16,0,0,0,45.15782930990526
26,15,9,4,1,0,0,40.70941104721004
23,22,13,16,0,1,0,44.62863371663187
24,23,7,18,1,0,1,51.10675843891173
30,23,16,12,0,0,1,48.46737724161616
23,16,7,14,0,1,1,52.25247845386423
32,18,10,6,0,0,0,40.01882833213852
27,4,9,17,1,0,1,48.74292163114466
31,27,11,22,1,1,1,50.20450268825908
28,19,9,16,1,1,1,52.52714175315809
35,24,13,15,0,1,0,44.5763764973457
31,26,9,10,1,1,1,48.71879199615298
25,25,9,25,0,1,1,53.87559735397347
10,20,7,14,0,1,1,55.89929038177105
15,25,9,13,1,0,0,45.36330268655273
23,18,10,13,1,0,0,42.47093227542363
29,18,10,17,1,0,1,50.70605826698427
29,12,15,18,1,0,0,43.24395967540708
14,25,9,12,0,1,1,54.28432892252656
35,17,11,-2,0,0,0,37.01984155169005
25,17,15,13,1,0,1,51.76913246277508
30,17,15,24,1,1,1,53.31261618003837
25,18,17,17,1,0,0,43.931708496507845
35,16,6,14,1,1,1,47.705779166585
34,30,12,13,0,1,0,41.16786651638417
10,26,8,18,0,1,1,57.68897977502247
26,17,13,8,0,1,0,43.45151315058653
31,14,13,8,0,1,1,49.07231607520514
17,19,9,0,0,0,1,50.08090748559259
28,20,7,18,0,0,1,52.904131332846944
42,16,12,11,0,0,0,36.77504286633137
26,17,10,12,0,0,0,41.60576082585184
25,21,5,17,1,1,1,51.89440936198916
44,22,8,19,1,0,1,45.913183482703
41,23,10,12,0,0,1,44.3860522386956
26,26,17,11,0,1,0,43.305051244959365
20,29,9,8,1,0,0,43.6138975264807
31,20,6,7,0,1,0,38.72693294178882
43,24,9,7,1,0,0,34.91657049137135
41,21,12,10,1,0,0,36.35654811885183
15,17,5,12,1,1,0,46.35861835165372
21,23,6,16,1,1,1,52.91191300978792
33,19,10,16,0,0,1,49.34196754795221
35,20,9,9,0,1,1,48.425622646634366
44,33,7,7,1,0,1,42.2136744172111
23,16,15,24,1,0,0,46.15785083633939
9,20,8,14,1,0,1,55.70294166277888
42,19,8,10,1,0,0,35.693400925767136
24,16,8,13,0,1,1,50.297069895948106
37,16,13,7,0,1,0,39.58167329320866
20,12,13,2,1,0,1,51.96633666413881
34,18,14,9,0,0,0,40.92661745159656
29,18,8,13,1,0,0,40.49280642894328
19,23,9,9,1,0,1,52.7147078838424
35,18,5,20,0,0,0,39.91174807896622
34,29,8,12,0,0,0,39.54859604180709
10,19,8,16,0,0,0,47.72109665139307
22,24,8,6,0,0,0,43.11907023856857
30,27,16,13,0,1,1,50.65174203567327
41,13,13,12,0,0,1,46.27489536149274
27,22,11,11,1,1,0,40.90395374268487
17,29,14,12,0,1,0,48.15406395507394
37,17,8,16,1,0,1,45.7235992102676
36,2,8,24,0,1,1,48.65379110027447
42,22,9,12,0,1,1,45.86346733072558
24,20,3,20,1,0,0,43.45294264124762
45,17,11,17,1,1,0,38.6384226443912
39,24,12,10,1,0,0,36.30849016188537
31,7,14,16,0,0,1,48.81606346686071
48,19,8,11,1,0,0,34.20807436764022
31,20,8,11,0,0,1,48.72821401089077
18,21,7,7,1,1,1,51.8394892633054
31,18,11,11,0,0,1,48.65515721595498
33,23,6,12,0,1,0,40.24439960275992
33,24,11,10,1,1,0,41.63707845231295
11,20,10,10,0,1,0,47.26981982952693
31,18,11,15,1,1,1,49.82185148639325
27,17,10,18,1,1,1,50.87680047289233
25,25,14,12,1,1,0,44.55567871688101
17,19,12,12,0,0,0,46.45001236920846
18,20,13,13,1,1,1,54.6794753179902
45,16,12,11,0,1,1,45.07114062413466
46,22,8,6,1,0,0,32.85825978939453
24,15,4,25,1,1,1,52.42568795730744
41,22,11,10,0,0,0,37.83819857269928
25,31,7,9,0,0,0,42.02938335272683
24,14,13,17,1,0,0,45.43717495508673
37,9,9,6,0,1,0,37.4631650702899
24,13,8,8,1,0,0,40.45219242434053
28,15,7,18,0,0,1,51.34412595581229
27,10,8,8,0,1,1,49.22681893106146
39,15,5,17,0,1,1,47.270892923893705
32,29,9,10,1,0,0,38.57654794452187
17,19,6,10,1,0,0,43.51232795538339
31,15,5,19,1,0,1,48.20174930682006
35,27,10,13,0,0,1,47.691606728796366
27,27,8,17,0,1,1,50.66365988567693
17,15,12,6,0,1,1,53.35227686502874
35,18,9,15,0,0,0,39.28046180282539
27,24,12,13,0,1,0,43.29478279467877
26,12,10,3,1,0,0,39.43894852725464
35,30,13,13,0,0,1,48.34707503351751
20,11,10,12,0,0,1,50.35696409495259
33,20,6,12,0,1,1,48.89290005476951
47,21,11,11,0,0,0,36.11866671845529
24,12,7,24,0,1,1,53.89106155339978
39,17,14,16,1,0,0,39.92224106372655
23,24,8,10,1,0,1,50.83876472533088
50,20,9,17,0,0,1,43.52505942857354
28,15,10,15,1,0,0,41.71335021738164
25,30,7,-1,0,1,1,47.495080055951895
28,22,13,16,0,1,1,53.29538824625807
38,15,15,26,0,1,1,48.96036323416936
23,23,9,15,1,0,0,44.60981615336377
31,23,11,10,1,1,0,40.8482601697937
30,25,11,13,1,0,0,41.917540523397925
32,19,13,12,0,0,0,39.91634083506783
26,2,15,13,1,0,1,49.512177291827655
25,26,10,13,0,0,1,50.685792643834496
27,20,6,8,1,1,0,40.70641525825384
41,5,11,11,1,0,0,36.54294132583453
34,22,13,13,1,1,1,46.958206126791765
22,15,11,14,0,0,1,51.59802047733996
42,31,7,10,1,1,1,44.58157714911878
35,24,15,11,0,0,0,40.67398426493597
26,15,9,19,0,0,1,52.65530357331394
21,18,11,16,1,1,1,53.262177001424014
29,19,12,24,0,0,1,50.947827672892814
40,19,12,19,0,1,1,48.69589582558108
24,23,12,25,0,0,0,43.906280531872575
34,19,14,17,0,0,1,49.52081903474946
18,19,10,12,0,1,1,53.30710284503628
21,19,7,17,1,0,1,51.15565786763108
19,15,10,11,0,0,1,51.93428980088039
47,19,7,20,0,0,0,37.43376710141718
32,18,13,17,1,1,1,50.18737811223555
14,21,13,14,1,1,1,57.251024558225446
35,20,11,9,1,1,1,46.85543005549237
25,22,10,20,1,1,0,42.97557749624636
34,12,5,10,0,0,0,36.915748180669496
18,12,5,9,1,1,1,53.09809528827111
15,28,4,21,0,0,1,53.83263758019246
33,15,10,18,0,0,1,48.8701348949742
26,28,10,7,0,0,0,42.65780641683891
45,19,8,23,1,1,1,44.388663898047454
27,17,0,9,1,1,0,40.88046823620211
33,14,11,21,0,0,1,51.15324777314825
26,24,9,17,0,1,1,51.80285569147784
17,21,12,10,0,1,1,53.31614277694857
29,23,8,13,0,1,0,41.9456168759503
34,19,9,8,1,0,0,39.44892102124321
33,25,15,16,0,0,0,41.21469273686643
19,23,10,11,1,1,1,52.67513654201532
23,29,5,17,0,0,1,51.14049328461631
25,22,5,19,1,1,1,51.68014662006508
28,18,8,20,0,0,1,50.037785727005385
21,24,9,15,1,0,0,44.46187754176063
38,12,10,13,1,0,1,47.25007752669063
36,12,8,15,0,1,1,47.52034452960746
37,20,-1,1,0,0,0,35.62656479224823
21,14,16,11,1,0,1,51.55416269090412
30,34,12,8,1,0,0,39.53111256629714
27,15,9,17,1,1,1,49.28573916798314
