age,education_years,past_month_income,unemployment_duration,number_of_dependents,gender,previous_beneficiary_status,rural_residence,universal_basic_income,current_month_income
28,13,11,13,2,1,0,0,0,30.587709465465004
39,27,12,17,3,1,0,0,1,27.373752222843677
28,21,11,11,9,0,1,1,0,28.72599249973155
43,15,5,3,3,1,0,1,1,30.746419517135084
21,18,7,17,4,0,1,0,0,32.098648556679315
37,14,11,14,4,1,0,0,1,34.18792292662068
30,20,8,13,4,0,1,0,0,29.814044573419665
17,23,7,5,4,0,1,1,0,32.57605748162615
29,28,10,19,3,0,0,0,0,26.7380484273548
9,9,8,10,3,1,0,0,1,45.59217231830526
23,16,9,15,2,0,1,1,0,29.153275624007108
32,28,16,8,6,0,0,0,1,30.473019491198087
33,21,11,12,1,1,0,0,1,31.699979215376025
38,25,13,10,2,0,0,1,1,31.88247413159364
28,13,7,22,3,0,0,0,1,36.11171452095542
21,17,10,23,3,1,0,0,1,34.650550593343894
24,34,9,17,1,1,1,0,1,29.97023026728482
28,25,8,20,3,1,1,0,0,26.57775228850926
25,22,11,12,3,1,0,0,1,34.15246182628425
32,19,6,12,4,1,0,0,0,29.19569083049777
37,13,9,15,1,0,1,1,1,32.75390712460534
27,19,11,18,6,1,0,1,0,28.884616070997996
21,23,10,17,6,1,1,0,0,29.61909765871984
28,11,10,11,3,0,1,1,0,32.29395565692351
34,17,11,21,3,1,0,1,1,29.426402546891055
28,19,10,9,5,1,0,1,1,36.48388727687387
22,23,8,16,1,1,0,0,1,35.42832787196118
26,12,10,17,6,1,0,0,1,36.14241940401328
25,22,6,15,3,1,1,0,0,29.493033525292724
16,20,9,7,3,0,1,1,1,37.773131596351526
31,16,12,16,4,0,1,0,1,33.84212271339941
11,21,9,13,3,0,0,0,0,34.330110466001955
18,5,7,12,4,1,0,0,0,36.76887705668476
28,18,10,10,1,0,1,1,1,34.58406307355384
36,19,5,11,6,1,1,0,0,27.41098086824116
33,12,15,15,3,1,0,1,1,31.07468318302614
32,20,10,12,8,1,0,0,0,29.5061377153459
12,22,11,16,5,1,1,1,1,37.50750241586679
15,8,12,12,6,1,0,0,1,39.258905809148125
28,22,11,20,1,0,0,1,1,31.737815408249297
21,12,6,12,4,1,1,0,1,37.43863194788598
16,20,15,13,3,1,1,1,1,35.83769217178797
40,18,8,12,5,1,0,0,1,32.74599276662458
27,14,10,13,4,1,0,0,1,36.24429902511105
20,21,10,16,3,0,1,1,0,28.849302449605485
36,24,10,10,5,1,1,0,0,26.1588925519114
14,28,6,14,6,1,1,0,0,29.29208682617853
30,12,10,14,5,0,1,0,0,31.277696232621675
35,17,13,16,3,1,0,1,1,31.530033106522986
28,10,5,9,4,1,0,0,0,32.79642338941971
32,28,6,19,5,1,1,1,0,23.70611996232792
35,25,8,7,2,1,0,0,0,26.788780929017044
28,19,9,14,4,1,1,0,1,34.36931443203583
17,21,6,4,5,0,1,1,0,36.27012340524991
28,24,9,14,2,0,0,0,0,29.62069867077217
15,21,8,13,5,0,0,0,0,32.03436805940969
29,21,4,12,5,0,1,1,0,30.51722816208259
16,21,11,11,3,1,0,1,1,37.17063394851142
35,21,13,14,5,1,1,0,0,27.92794063105492
33,21,8,12,3,0,0,1,1,32.38967731946413
37,17,13,17,1,1,1,0,1,31.305671850129112
47,6,9,15,4,0,1,1,0,28.17621737040836
33,21,10,6,2,1,0,0,1,33.80225000759535
23,19,9,12,5,1,1,1,0,29.42718955150597
22,25,8,15,5,1,0,0,1,33.91614173646584
37,20,13,11,1,0,1,0,0,27.6543613468741
25,21,7,13,3,1,1,1,0,28.319615973656965
47,16,6,16,3,0,0,0,0,25.49084930565352
30,23,9,12,7,1,0,1,1,33.74365924423327
19,18,12,24,2,0,0,1,1,33.68510903605968
34,29,11,17,5,1,0,1,1,28.408624731896023
21,22,5,17,3,0,0,1,0,31.24012440700504
23,10,11,15,4,1,1,0,0,35.218745233362625
31,26,10,8,2,1,0,1,1,29.75311632080723
31,17,9,23,3,0,0,1,0,28.246579206493763
39,29,8,2,0,0,1,1,1,29.331211258584805
35,21,7,12,5,1,1,0,0,25.748227230214702
33,26,5,19,4,1,1,0,0,24.879269746861063
38,16,15,10,4,0,0,0,1,31.7044328521631
19,28,5,2,6,1,0,1,1,37.81984233620032
23,26,10,18,0,0,0,1,1,34.133507586935416
18,20,8,13,3,1,0,1,1,36.5365151385072
24,26,10,9,2,1,1,0,0,30.013231914233863
15,29,6,17,3,1,0,1,1,33.358444729856814
