defendant_age,trial_length_days,pretrial_detention_days,prior_convictions_count,legal_representation_hours,violent_crime,gender,minority_status,alternative_sentencing,recidivism
40,22,8,19,2,0,0,0,1,42.70387423401791
25,10,6,10,3,0,1,0,0,45.40881438594802
41,30,6,5,0,0,0,0,0,36.62202797039457
27,16,11,19,5,1,0,1,1,53.02418005749245
41,24,6,16,4,1,1,1,0,40.86390223740164
29,25,6,10,5,1,0,0,0,45.6843749239671
26,8,8,16,2,0,1,1,1,49.41482304894616
35,20,5,15,1,0,1,0,1,44.26583338381904
25,19,8,9,1,0,1,0,1,49.42187154691811
22,16,11,9,4,0,1,1,0,53.17824581740469
31,30,6,11,5,1,1,0,0,44.5903188493951
27,22,13,12,2,1,1,1,0,49.17694011336887
36,8,6,19,4,1,1,1,0,40.77790440296875
24,23,12,20,4,1,0,1,1,56.60686906720523
27,23,15,8,1,1,1,1,0,50.44363232418438
25,21,15,20,3,0,0,1,0,50.61650002160172
36,22,4,13,3,1,0,1,1,47.02920139166503
27,23,12,13,4,0,0,0,0,49.50816579070888
46,15,8,15,4,1,1,0,1,41.75294488035898
38,19,8,22,2,0,0,1,0,41.49889055774416
26,32,10,15,3,0,0,0,0,47.936539758169054
30,16,9,20,1,1,0,1,0,45.42569267974411
43,23,12,13,2,0,1,1,0,42.24030762882284
20,16,13,9,3,1,1,1,0,53.44980028036128
32,22,8,13,4,0,1,1,0,46.62996198655379
27,15,5,8,5,0,1,0,1,51.11459243860549
43,21,10,27,6,1,1,1,0,41.0286571054964
22,22,10,15,3,1,0,0,0,49.04118642373437
35,21,8,12,3,0,1,0,1,45.965451515246805
26,14,10,14,3,1,0,1,1,50.16478164343145
30,14,9,24,5,0,1,0,0,45.44929076207999
23,17,6,17,2,0,1,0,0,45.07834228973191
34,24,8,15,3,0,1,0,0,43.114725731455096
33,10,11,6,4,0,1,1,1,50.501514011639536
35,16,10,18,3,0,1,0,0,41.96417820071277
21,25,10,12,4,0,1,0,0,51.80800158512547
34,17,13,15,2,0,0,0,1,46.646015313402735
13,16,10,16,3,0,0,1,0,56.447917742126165
36,22,13,12,5,0,1,0,0,44.21843141982797
31,24,9,6,1,1,0,1,1,49.37153108523489
