individual_age,previous_month_income,unemployment_status,rural_residence,retraining_program_participation,current_month_income
34,26,1,0,1,16.642730027343212
30,21,0,1,1,23.636741658745112
24,26,0,0,1,20.118528500478725
31,17,0,1,0,21.97298615170692
25,20,0,0,0,18.23548834261973
15,23,0,0,0,19.92712391864988
41,24,0,0,1,15.482341461574052
25,22,1,1,1,24.152067712979463
29,22,0,0,1,23.32315083155675
36,29,1,1,1,13.908048298020564
31,17,1,1,1,27.117340149415327
47,24,1,0,0,6.351263214965585
29,17,0,0,0,21.998720211554
28,19,0,1,1,29.577186039754785
38,26,0,0,1,15.823025258369896
25,12,0,1,0,28.8138483368991
29,23,0,1,1,24.074771417886115
29,27,0,0,0,11.253710469473734
26,21,1,1,1,23.43623016390596
35,23,0,0,0,12.25193910698793
8,20,1,0,0,24.61595715422184
34,22,0,0,0,13.543080713703356
24,3,0,0,0,36.94122654176749
28,11,0,1,0,29.9301186796017
28,6,1,1,0,32.359140828788064
16,14,0,0,0,31.411655126281023
35,22,0,0,0,14.109395116170097
26,22,1,0,1,23.35701457139476
34,36,0,0,0,-0.6408819029355914
32,11,0,1,0,27.45016810637664
42,21,0,1,1,19.716642084710777
24,18,1,0,0,22.821737167298007
30,20,1,0,0,17.683630729755727
42,23,0,0,0,8.697545039569384
22,26,0,0,0,15.41350796587367
33,22,0,1,1,22.442821747580265
34,20,1,1,1,23.52936681289338
24,15,1,1,0,23.97911180285715
44,14,0,0,0,18.255639665211334
34,12,1,0,0,23.538248463268427
22,11,0,0,1,38.42162892947146
15,12,0,0,0,31.131376787930165
21,21,1,0,1,27.576185311305505
21,20,0,0,1,27.516179892566218
18,22,0,0,1,28.62992832902906
35,21,0,1,1,21.02447954020717
18,23,0,0,0,22.03523453743901
45,13,0,1,1,25.64896763679382
33,13,1,0,1,31.145829980140565
36,14,0,0,0,20.08243263465683
45,24,0,1,1,15.91248279807147
21,19,1,0,0,21.76510615771548
20,18,1,0,0,23.9237226303333
22,30,0,0,0,11.517944510962902
33,18,1,0,0,19.288576626132425
10,25,0,0,0,19.958310953328787
30,27,0,0,1,17.439192007756557
43,16,1,0,0,15.671061073525689
34,11,1,0,1,33.254636078256404
21,11,0,0,1,37.95157568801567
28,24,1,1,1,21.332778662459127
33,18,0,0,1,25.48307405813593
33,25,1,0,0,9.72381878872864
34,14,0,0,1,28.759276126834457
35,18,0,0,1,22.836866029164383
43,15,0,1,1,25.95826546439595
37,22,0,0,1,18.977067478471177
30,20,1,0,1,25.427791704310348
29,11,0,0,0,27.71321037112106
26,20,1,1,1,25.419852092094395
28,21,0,0,1,24.42158017322766
20,10,1,1,0,31.187207407666666
18,27,0,0,0,15.33746000315609
36,21,0,0,0,15.898793616851307
22,14,1,0,0,26.89578917125347
29,22,0,0,1,23.546662164598764
38,21,0,0,0,14.99443915915015
21,6,1,1,0,35.312643970876124
11,12,0,1,0,33.96282142712133
37,29,1,0,0,4.163430005255278
38,18,0,1,0,19.449690409290856
33,18,0,0,0,19.25663440526042
44,19,0,1,1,20.523237445071015
12,20,1,0,0,23.903854801936625
32,17,0,0,0,19.954983367836498
20,11,0,1,0,30.99183635066612
20,26,1,1,0,14.539826884799217
35,21,1,0,1,18.27836546907359
41,16,0,0,1,25.358897348527748
30,25,0,1,0,14.35044671740502
35,27,1,0,1,16.591037409595735
15,21,0,0,0,22.928303812027696
38,17,0,0,1,23.760663145932057
36,25,0,1,1,16.231038890983132
20,25,0,0,0,19.58878997277341
32,22,1,1,0,16.761852044323795
33,24,0,0,0,12.95658714099067
41,22,1,0,0,10.266290921742506
24,21,1,0,1,25.94357859843058
53,21,0,0,0,7.476716524531501
21,19,1,1,1,30.01399805682647
25,18,0,1,1,27.37659704502164
19,21,0,1,0,19.237819268722397
30,20,1,0,0,17.119751836698555
30,23,0,1,1,21.04638445372718
