age,education_years,average_monthly_income,gender,minority_status,job_training_program,employment_status
30,26,17,1,0,1,107.04756834930429
30,16,14,0,0,1,98.9143460923714
29,20,11,0,0,1,96.95672342224697
30,16,7,0,0,1,88.78277316880768
26,24,6,1,1,0,86.07768747507777
20,20,13,0,0,1,91.01420905131256
38,18,13,0,0,1,104.08330084245364
15,19,4,1,1,0,75.16778408637045
8,19,12,0,1,1,81.38511678050024
34,20,12,0,0,1,101.1532015467931
33,19,10,1,0,0,93.8180888172116
35,22,14,0,0,1,104.72986596837843
22,25,9,0,0,1,87.95184426885697
15,20,4,0,0,0,75.02262354226056
22,30,10,1,1,0,90.88053857798704
31,19,11,0,1,1,98.59819773202418
34,23,5,0,0,1,91.2393959707882
35,14,10,0,0,0,94.68424221137248
24,18,14,0,1,1,94.1239060995494
33,14,14,1,1,0,101.41280817642486
26,20,4,0,1,0,82.40987493199661
27,20,11,0,0,1,94.77993021846
34,21,8,0,0,1,94.85553388769026
46,18,13,0,0,1,110.49278519835356
16,24,5,0,0,1,77.84231831077122
39,13,6,1,0,1,93.77445091321692
30,19,7,1,0,1,90.73511986317293
21,13,5,1,0,0,78.66659525416095
28,15,6,0,1,0,86.09347953260341
22,28,11,0,0,1,93.68971129703398
37,24,11,0,1,1,104.45447902160667
25,18,8,1,0,1,86.0905242148237
30,13,13,0,0,1,97.55020920775816
38,11,8,0,1,1,95.0583100939674
37,22,5,0,0,0,90.55342681903296
28,20,9,0,1,1,92.269634703029
40,16,9,0,1,1,100.60916870140572
26,24,10,1,0,1,93.04996387728946
33,16,9,1,0,0,94.32291828273635
28,26,10,1,0,0,92.71559086813134
37,3,12,0,0,1,98.66769361695953
38,13,14,0,1,1,103.93626672250782
23,5,8,1,0,0,80.48347420747709
25,18,13,1,0,0,93.35820437476428
35,7,10,0,0,1,94.07039054184628
28,23,9,1,1,0,93.39414845154457
43,22,8,0,1,0,100.55833778308232
27,21,16,0,1,1,102.6989860093522
27,19,10,1,1,0,90.89172746998392
37,10,10,0,1,1,98.65304767265046
29,20,7,1,1,0,88.01036204731307
27,19,2,0,0,0,79.58339052941093
35,12,10,0,1,1,97.47913530900176
30,24,15,1,0,0,102.77776865518166
31,21,9,1,0,0,94.53614069732411
22,24,9,0,1,0,86.64348923506344
23,21,10,1,1,1,92.83189625668932
23,19,16,1,0,1,99.166798150014
26,24,12,0,0,1,95.70507760129568
39,11,10,0,1,0,97.7791581832408
34,16,17,0,1,0,105.70065259221283
29,14,7,0,1,1,87.84920342513124
36,12,12,1,1,1,101.2358275481735
36,8,12,1,0,0,96.02539994336352
32,22,8,0,0,0,91.48433714079634
32,17,13,1,0,0,96.2347195595908
34,13,11,0,0,1,96.85356160594034
31,22,8,0,0,0,91.21610841300244
30,27,12,0,1,0,97.95288307569405
16,32,7,1,0,0,82.57453773767455
30,14,12,0,1,1,96.43713905894364
43,17,11,1,1,1,105.3805181985392
32,16,11,0,0,1,96.27533845057968
43,19,11,1,1,0,103.8196230902257
47,15,8,1,0,0,101.32793265070713
33,20,12,1,0,0,98.07743134297893
27,20,10,0,1,0,92.20578968714028
31,27,5,0,0,0,91.09155904117274
42,20,10,1,1,0,104.03038510368413
31,23,16,1,0,1,104.89278224142858
30,8,12,0,0,1,95.31564729941852
24,13,10,0,0,1,87.78079015547607
17,27,10,1,0,0,85.40683413018444
33,26,11,0,1,1,100.77699430190196
31,20,6,0,1,0,89.96427075144905
24,17,12,1,0,0,91.65435573890016
26,24,15,1,1,1,100.08213359018414
37,16,12,1,0,1,101.00275920652273
32,24,11,1,1,0,97.34269543578375
30,15,9,0,0,0,89.56475348770721
32,14,12,1,1,1,97.51254221766952
24,12,9,0,1,1,85.42307573397942
17,18,9,0,1,0,82.8663245422634
21,16,12,0,1,1,88.35380246309585
28,29,11,0,0,1,97.82870635899046
23,10,10,1,0,1,86.10128775545506
24,19,10,1,0,1,88.24780356763169
37,27,9,0,0,0,98.73425315017892
58,23,10,1,0,0,116.22512923821296
39,8,8,1,1,1,97.4736618420548
34,21,12,0,0,1,100.13648948958206
26,9,13,0,0,1,92.44953920376018
34,9,5,0,1,0,86.44668965176841
13,20,10,0,0,0,78.22663434611633
46,11,12,0,0,1,106.6207855208778
25,23,16,0,0,1,100.2131670811476
26,19,16,1,1,0,98.86000142184834
17,14,14,1,1,0,87.19898163057687
25,24,9,0,1,0,89.46038475903686
42,15,5,1,0,0,94.97999384031311
22,25,9,1,1,1,90.09687366863102
27,19,8,0,0,0,87.25102184995
28,22,8,0,1,1,92.4852945324027
41,14,7,1,0,1,95.31352829869414
25,20,4,1,0,0,81.5947054600285
30,21,10,0,0,0,92.42964810241092
27,22,8,1,0,1,90.29836527645152
25,18,10,1,0,0,89.68277137571806
25,19,6,0,1,1,84.1709801633258
49,33,16,1,0,1,121.20447143961428
28,14,8,1,0,1,87.24066228581346
14,16,12,1,0,1,84.8093958829924
31,11,9,1,0,1,91.16157505346874
30,21,12,1,1,1,97.514905747201
44,9,15,0,1,1,109.67189788503237
29,12,6,0,1,0,84.48024474184601
33,23,1,1,0,0,85.1625724429692
33,14,13,0,0,1,99.92490454415692
25,15,6,0,0,1,82.96752074413
15,10,6,1,1,0,74.01282764831377
30,13,8,1,1,0,89.53073115899404
36,17,13,0,1,1,103.08159836393652
19,10,9,0,0,1,79.3689122809884
23,12,8,0,1,1,84.62571490983574
38,17,7,1,1,1,95.70224294345368
39,21,8,0,1,0,99.2718158816969
37,13,8,1,0,0,91.8415193035508
29,17,5,0,0,0,84.76228612603344
14,29,7,1,1,0,80.8838174825131
29,19,6,1,0,1,88.84508700074755
29,18,7,0,0,1,89.91328550828216
33,26,7,0,0,1,92.75347155690082
36,18,4,1,1,1,91.47916507210516
30,20,9,1,0,0,92.54899282072287
24,27,10,1,1,0,91.28905441855586
31,40,10,1,0,0,100.26781402579972
38,30,6,0,1,0,98.041583152728
19,14,12,1,1,0,87.8242592138593
31,25,9,1,1,0,96.73110676763211
26,16,9,0,0,1,89.44649921012689
42,27,8,1,1,0,102.9188674250362
37,21,12,1,1,0,101.7707170992261
9,18,9,1,0,1,76.1491575708732
38,11,4,0,0,0,89.78882270310386
40,18,11,0,0,0,100.44511566553578
25,23,7,1,1,0,87.07712356777407
28,27,10,0,0,0,93.36980681472266
36,20,10,0,0,1,98.97685812067289
40,26,11,0,1,0,103.76652979689318
35,14,9,1,0,1,94.29591104155546
