student_age,parent_education_years,weekly_study_hours,class_size,low_income_status,gender,rural_residence,online_class_participation,end_of_year_grade
47,20,9,17,0,0,1,1,48.535990598027766
18,13,12,13,1,0,0,0,53.50357565146887
36,19,10,14,0,0,1,1,54.851230120282345
36,17,8,20,0,0,0,1,48.9105326398855
29,26,10,16,1,1,0,1,56.513571221551096
26,23,12,14,1,1,0,0,48.561536806819554
12,18,11,12,1,1,0,0,55.19755974876091
26,15,12,11,0,0,0,0,47.9411307060321
34,14,8,13,0,1,0,0,44.879612967633726
29,14,11,14,1,0,1,0,48.773370847094085
36,18,9,10,1,0,0,0,45.73988620431069
46,23,5,13,1,0,0,1,47.94738186781797
43,15,6,16,1,1,0,0,37.546970059526416
40,11,7,17,1,0,1,1,47.8411611407825
28,24,6,6,1,1,1,0,50.7497070127528
34,9,9,13,0,1,0,1,52.4640934865981
35,30,14,17,1,1,1,0,47.99450620170638
50,11,11,19,1,1,1,1,46.59153579101466
39,15,12,7,0,1,0,1,54.216838973015314
22,16,5,17,0,1,0,1,56.33409107693591
27,15,11,13,0,1,1,1,55.25693326553924
39,31,9,8,1,1,1,0,47.17537526311243
31,35,8,22,0,1,0,0,45.92895680135814
34,16,15,22,0,1,0,1,52.471909729593456
18,12,15,14,1,0,0,0,54.530360745908354
39,13,10,22,1,1,0,1,49.28700248168656
26,12,12,13,0,1,0,1,57.02060569837761
34,16,8,12,0,0,0,1,54.24468962708567
25,15,7,20,1,0,0,0,46.050585891083365
34,29,8,12,1,1,0,0,45.677136874669
26,31,10,5,1,1,1,0,52.35501597824601
30,15,9,19,0,1,0,0,44.09480036291628
31,17,14,29,1,1,0,0,45.64354822022788
28,22,14,10,1,1,1,0,52.3967194009144
41,22,11,20,1,0,0,1,50.475079155763005
35,27,8,-1,1,1,0,0,50.25921439896886
48,32,13,18,0,1,1,1,50.56954874558815
32,32,10,12,0,1,1,1,58.2179750134972
31,21,9,24,1,1,0,1,52.90007527303558
31,9,9,26,1,0,0,0,40.69995626778528
22,32,12,11,1,1,0,1,60.37616313057576
39,17,10,9,0,1,1,1,53.89800193566212
35,24,6,16,1,1,0,1,51.141885598247775
28,22,3,13,1,1,0,0,44.82298564463697
24,18,9,16,1,1,1,0,48.89735303480784
40,21,7,12,0,1,1,0,43.43624122688134
37,20,12,10,0,1,0,1,52.47866956699048
46,23,13,10,1,1,0,1,51.903167949266354
37,17,14,11,1,0,1,0,47.9347916092523
35,26,3,12,1,0,1,0,44.11621593672934
28,18,10,15,0,0,0,0,47.72040163580202
38,19,10,11,0,0,0,0,45.03678785316535
20,16,6,11,1,0,0,0,50.44842249857228
23,20,13,9,1,1,0,0,53.22637041730624
52,20,9,0,1,1,0,1,51.84763929058671
38,23,7,23,0,1,1,1,49.699254305095
40,24,8,9,0,1,0,1,52.45063527850076
30,17,10,13,0,1,1,1,54.54859717534354
34,17,9,12,0,0,1,1,54.92267173328709
22,24,8,15,0,0,1,0,48.834507406342674
30,30,11,11,1,1,1,0,52.84915701889384
38,23,5,0,1,0,0,0,46.04839193358628
37,20,6,11,0,0,1,0,44.57788147431534
24,21,8,12,0,1,0,0,46.92573502717354
34,10,11,8,0,1,0,1,55.79214733077853
16,27,17,9,1,1,0,0,57.29630446935831
22,15,8,14,0,0,0,1,56.68086764738703
32,18,15,16,0,1,0,1,56.1275205155424
28,22,17,15,1,1,1,0,50.841456760473655
24,14,8,8,1,0,1,0,52.04577277711645
26,23,8,11,0,1,1,1,58.2577911034688
25,14,13,6,1,0,0,0,52.513688333826885
29,26,11,10,0,1,1,1,58.28730038375056
30,27,8,16,1,0,1,0,48.69315403691198
28,18,10,15,0,1,0,1,55.88786167153261
23,20,18,16,1,1,0,1,62.16723392158612
25,23,10,11,0,0,1,1,59.610948492965214
24,7,5,10,0,1,0,1,56.65134819642974
29,12,9,14,1,1,1,0,47.65686105557328
35,21,13,-1,1,1,1,1,60.62378823421989
35,15,11,16,1,0,1,1,53.96961750039796
30,24,3,17,1,0,1,0,44.32084453175966
33,28,13,14,1,1,1,0,47.354397809072125
28,19,11,24,1,0,0,0,48.80949667300808
42,18,6,14,1,1,0,1,49.10804612226353
15,20,7,22,1,0,1,0,49.30223984485636
11,9,7,21,1,1,1,0,51.6094396576378
10,17,8,12,1,0,1,0,56.599463891419184
21,14,10,14,0,1,1,0,50.00331693062567
38,20,6,19,0,0,0,1,50.46873370250592
14,21,11,20,1,0,0,0,54.68787916286427
37,31,9,13,0,1,1,0,45.67689183872582
35,19,10,18,1,1,1,1,53.40025080653176
22,23,8,15,0,1,0,1,58.666076941548894
33,22,6,15,0,1,0,1,52.86656801396033
19,11,8,7,1,1,1,0,54.4760165720165
24,20,12,22,1,0,1,0,49.25833983669371
36,17,9,8,1,1,1,0,48.27674499069499
21,15,14,18,0,0,0,0,49.99947629360352
29,17,7,15,0,1,1,1,55.30151655899652
22,15,9,14,0,1,0,1,59.68394497305691
26,21,7,6,0,0,1,1,57.4092909476186
31,17,12,8,0,1,0,1,56.118071840393725
