age,education_years,previous_month_income,work_hours_weekly,gender,rural_residence,displaced_worker_status,job_retraining_program,current_month_income
25,15,7,14,0,0,0,0,48.89413361032643
35,20,4,11,0,0,1,0,42.81780388573879
21,9,1,6,0,0,1,0,46.11227911139443
29,13,7,16,0,0,1,1,50.719986296673625
22,23,10,10,0,0,0,0,45.77788723155324
21,22,12,16,0,0,0,0,50.82050589086025
28,14,13,13,0,0,0,0,54.35146788030608
37,16,9,9,0,0,0,0,48.39756755638004
22,15,10,10,0,0,1,0,49.48964742069799
20,21,6,3,0,0,1,1,43.44961637274773
26,19,14,18,0,0,0,0,52.0901541158818
33,18,13,18,0,1,1,1,50.996228077912185
27,18,10,20,0,0,0,0,50.98887993661967
38,19,7,17,0,0,0,0,45.158182414897325
24,21,5,12,0,1,1,0,43.4688251643528
10,9,7,19,0,0,1,0,56.44989062492858
33,21,7,12,1,1,0,1,45.00607151987575
26,16,13,16,1,0,1,1,56.45406146172744
28,21,9,9,0,0,0,0,46.5269410129222
44,19,8,16,0,0,0,0,46.327083839112326
4,17,5,7,0,0,1,0,47.59667214226429
18,20,11,19,0,1,0,0,50.98295754575258
32,15,13,17,1,0,0,0,52.17615676089319
16,21,8,16,0,0,0,0,48.63533028194823
31,15,8,15,0,0,1,0,49.15836697951677
45,18,12,23,1,0,0,0,50.80538213789622
26,17,13,15,0,0,0,1,54.188161105726216
37,25,7,14,0,0,0,0,41.17801190161048
30,6,14,14,0,0,1,0,57.28829769235671
41,23,11,11,0,0,0,0,43.68444511517754
36,11,12,24,0,1,0,0,53.68164736162015
39,15,8,17,1,0,0,0,48.93570243687738
21,22,9,8,0,1,0,1,46.44632183997827
29,12,16,17,1,0,0,0,59.10268403900321
29,15,11,4,1,0,0,1,50.64285362537783
20,23,11,2,0,1,1,1,45.74023620168376
35,25,8,16,0,0,0,0,42.28675538524002
29,22,11,15,0,0,0,0,48.14195362305191
37,16,12,16,0,0,1,1,49.5058011157408
12,27,4,19,0,0,1,0,44.37163727220794
24,30,9,19,1,0,0,0,45.69892271142391
57,22,13,18,1,0,1,1,47.30660911534924
52,21,10,7,1,0,0,1,43.48263424224275
21,12,9,14,0,0,1,1,54.67530692496813
33,26,8,11,1,1,0,1,44.80773426639813
26,19,11,10,0,0,0,1,51.53561668852799
25,25,5,17,0,1,1,1,43.4931487544069
18,17,10,8,0,1,0,1,49.980113858424886
17,5,6,10,0,0,1,0,52.5984492638205
18,24,9,13,0,0,0,1,49.96078310769182
39,22,10,23,0,0,0,0,47.40035051449752
33,19,9,17,1,1,1,1,48.30615356193445
45,15,4,12,1,0,1,1,46.10786813864937
42,17,10,15,1,0,0,1,50.18063421298325
23,32,10,17,0,1,0,0,45.45568673321818
34,21,9,22,0,1,1,0,48.011466130861336
20,25,5,2,1,0,0,1,42.680106228555
33,26,5,13,0,0,1,0,39.5049266057934
37,25,7,19,1,1,0,1,45.44894577212721
40,14,7,14,1,0,0,1,48.69056040474533
14,11,7,15,0,0,1,0,54.01831552380142
14,18,5,15,0,1,0,0,47.58469819247479
24,10,8,15,0,0,0,0,51.38610378608236
34,25,9,22,1,0,0,1,48.80395804786204
42,25,3,10,0,0,1,0,34.90211624474
39,23,9,14,1,0,1,1,45.06321603027147
28,13,3,11,0,0,1,0,44.83603460829645
23,12,9,4,0,0,1,0,48.2939932886248
34,31,11,19,1,1,1,1,45.9217129143945
27,10,11,19,0,0,1,1,56.1389800848184
26,13,11,11,0,0,0,0,51.01121720264745
36,22,7,10,0,1,0,1,42.06954833080563
38,19,8,16,1,1,0,1,49.78179188170746
27,16,9,18,0,0,0,0,51.791146583486615
21,17,5,19,0,0,0,0,49.5066878804825
24,13,7,13,0,0,0,0,51.02719013995848
26,19,12,18,0,0,0,1,52.692492816361664
30,25,16,11,0,1,0,1,51.55989019138704
27,21,8,29,1,1,0,1,53.67920906520118
26,11,6,7,0,1,1,1,48.75291476510099
32,16,7,20,0,1,0,1,49.596543724129575
18,28,9,9,0,1,1,1,44.78789308419832
20,23,11,14,0,0,0,0,49.170956207597726
27,15,11,13,0,0,1,1,50.81734533640471
28,21,4,15,0,0,0,1,44.88206145702728
35,18,6,15,0,1,1,1,45.49448245117726
32,20,13,12,0,0,1,0,48.68169149022392
33,23,10,17,1,1,0,1,47.69559705640501
34,7,12,12,0,1,1,0,53.850070174810526
31,19,13,12,1,0,0,1,52.3389488882046
36,11,11,14,0,0,1,0,51.460785519693175
30,20,12,8,1,0,0,1,49.30756744570736
20,20,9,11,1,0,0,0,49.27577667062494
23,9,10,18,1,0,1,1,56.39327761754745
26,12,12,13,0,0,1,1,55.27079116906336
17,25,6,9,0,0,0,0,43.80833855845066
24,17,14,19,0,0,0,0,53.25755013628121
30,18,12,9,0,0,1,0,48.93381977062037
24,20,18,8,0,1,0,1,54.8071987160883
38,26,12,12,0,0,0,0,45.28911921322891
18,14,7,18,0,0,0,0,51.334362364724086
27,22,8,9,0,1,0,1,45.68354426102227
25,20,11,22,1,1,1,1,53.44948674204219
39,22,11,13,0,0,0,1,47.71177180044824
23,19,8,13,0,0,0,0,48.32568113913847
