defendant_age,trial_length_days,previous_convictions,pretrial_detention_days,violent_crime,legal_representation,minority_status,alternative_sentencing,recidivism_rate
27,5,9,12,1,1,1,1,57.08122339853036
34,3,9,16,0,1,0,0,53.76161624478166
23,20,9,20,1,0,1,0,45.63219656314092
38,25,4,22,0,0,0,1,59.52125185067123
37,12,11,18,1,1,1,0,47.75299919454345
32,21,10,18,1,1,0,0,44.66604597627025
23,20,13,8,1,1,1,0,38.7197400483953
42,15,9,9,1,1,1,0,46.56931332713372
19,19,9,13,1,0,0,0,41.1567396712905
31,11,11,5,0,1,1,1,51.14659450072749
37,16,4,13,1,1,1,0,49.19392927276075
17,18,7,7,1,1,0,0,44.05497464430699
29,26,14,16,0,1,1,0,39.464164149580704
24,18,12,25,0,0,1,1,55.68950422122765
31,30,8,16,1,1,1,1,50.854768074251055
32,15,8,10,1,0,1,1,54.0372458105962
26,14,8,12,0,0,0,1,54.8921895406526
13,12,11,17,1,0,0,1,53.47599052856696
16,27,9,17,1,1,1,1,48.57090562244542
8,30,3,14,0,0,0,1,48.64055175486323
24,15,9,20,1,0,0,0,47.61947749514051
20,26,9,18,1,1,0,1,50.6646380750633
23,12,8,14,1,0,1,0,47.514302907393954
26,21,10,6,1,1,1,0,38.84096558868794
23,20,16,13,0,1,1,0,41.76853982569762
31,16,15,5,0,1,1,1,47.1430495769884
27,26,11,17,1,0,0,1,47.754759007574016
31,28,10,12,0,1,0,1,49.98821957051163
22,20,12,17,1,0,1,1,49.173501250854045
19,11,8,17,0,1,1,0,50.48336973460263
20,15,9,12,0,0,0,1,52.44137915215087
31,16,7,10,1,1,0,0,45.68955723238537
30,10,10,13,0,1,0,1,54.52241088322731
38,17,11,13,1,1,0,0,43.422367607244766
50,20,12,14,1,1,1,0,45.415578532412766
31,16,8,20,1,0,1,0,49.83322815596288
38,22,14,22,1,1,1,1,50.750971219929845
31,23,7,19,0,0,1,0,46.121495821768
19,26,14,17,1,1,1,1,45.083156266880096
39,30,7,8,1,1,1,0,38.52696531051834
21,9,4,13,1,1,0,0,51.365802137088
33,13,10,15,1,1,0,0,47.96508663260014
18,26,9,21,1,1,1,0,44.5256085670806
23,14,9,16,0,1,0,0,47.27960362436983
33,13,11,15,1,0,1,1,53.691261587978055
33,10,11,18,1,1,1,0,48.69020201097263
13,16,10,8,0,1,1,1,50.05245501008913
34,19,10,5,1,1,0,0,41.53914003268274
35,32,13,16,1,0,0,1,44.50749423041527
44,18,10,14,1,1,1,0,48.06558437945228
21,10,11,3,1,1,1,1,47.806618491566496
20,15,7,18,0,1,0,0,48.51390379913705
33,20,5,13,0,1,0,1,55.87922363515109
23,24,10,14,1,1,1,1,48.44302057734127
44,17,12,8,0,0,1,1,49.27530670930289
35,26,6,8,1,0,0,1,50.03678598434021
33,14,12,9,0,1,0,1,52.690221651617655
23,24,10,13,1,1,0,0,41.647255188077736
15,14,7,21,1,1,1,1,56.991516935499725
31,14,5,14,1,1,1,0,48.90877029172293
46,21,12,19,1,1,0,0,45.78793512545278
36,28,13,19,0,1,1,0,40.5297663115085
32,16,10,9,1,1,1,1,51.28142023643597
23,8,12,9,1,1,0,1,52.62775402316176
33,21,9,14,0,1,0,1,53.51692579571514
