age,political_engagement_score,income,gender,minority_status,campaign_exposure,voting_behavior
21,22,10,0,1,1,48.64359011486808
28,19,14,0,0,0,36.93345470451335
31,18,9,0,0,0,33.970021998669495
24,23,14,1,1,0,38.3418181798396
28,14,10,1,0,1,42.74440135871671
30,26,7,0,1,1,42.11504053850294
31,18,14,0,1,1,40.30448914345185
24,12,9,1,1,0,36.03123228734671
36,15,8,0,0,0,26.39134847785539
14,17,8,0,0,0,45.69952591645852
34,21,9,1,0,1,40.21529905048688
33,14,10,0,0,0,30.77477058399181
33,14,11,0,1,1,39.17109016536997
27,21,6,1,0,0,35.80520283873432
35,25,11,0,1,1,39.79289151839719
41,14,12,1,0,0,24.352389403808413
22,20,13,1,1,1,49.60404594877566
30,22,4,1,0,0,33.679729687473376
39,25,11,1,1,1,35.74150563603554
36,11,11,0,0,0,27.14556213177477
23,19,13,0,1,1,49.42584857913536
28,11,14,0,1,0,32.859796487938546
36,21,9,0,1,1,38.59435148083399
28,12,10,0,0,1,42.760330634768536
35,23,12,1,1,1,40.41596467978388
18,4,17,0,0,0,42.49293678541373
36,18,17,1,0,0,27.82652359484241
38,23,8,0,1,1,37.21919306847473
35,21,10,1,1,0,30.832260982134656
28,31,11,1,1,1,47.05861682337089
34,11,13,0,1,0,30.167941802598992
31,10,10,1,0,1,38.75202524063886
35,15,13,0,0,0,28.82943251315252
43,18,12,1,1,0,23.24442290462002
28,7,7,0,0,0,31.1980541878977
19,18,11,0,1,0,43.132179748417904
36,16,10,1,0,0,28.085340921211984
41,23,11,0,1,1,35.49491675590792
26,26,14,1,0,1,46.45431031245938
32,22,12,0,0,1,41.37207172826994
43,15,7,0,1,0,22.05672724043386
36,23,9,0,0,1,37.48866023742654
30,11,8,0,0,0,31.443350054925663
30,18,8,1,0,1,38.955430854588485
27,17,7,0,0,0,34.183501862814246
21,22,9,1,1,1,47.71722537825967
31,15,2,0,0,1,38.538735651622616
30,22,11,0,0,1,42.01753044901064
12,21,8,1,1,0,47.67192550553232
27,20,5,1,0,0,35.30664602003721
29,19,13,0,0,0,36.156384608908894
34,23,7,0,0,1,40.753331306637655
38,24,9,0,1,1,38.981870779272256
24,17,12,0,0,0,37.95991135199809
31,37,13,0,1,1,47.26477272055519
30,19,6,0,1,1,41.85507927389034
38,22,13,0,0,1,37.5039796854087
43,26,10,1,0,1,32.968776997536466
22,15,9,0,0,0,37.5039304443917
20,29,10,1,1,1,51.872360271468175
38,18,5,1,0,0,26.0261753833916
40,31,10,0,1,1,37.79838611229551
15,22,13,0,1,1,56.26195039900099
33,21,7,0,1,0,32.08698884997966
22,15,11,0,0,1,46.96922217983557
16,27,13,0,1,0,45.96291987275803
30,23,8,1,1,1,41.5447790575907
21,23,13,0,0,1,49.80024957943807
19,32,13,0,1,1,55.2895819811872
38,15,11,1,0,1,34.31583915547459
39,14,4,1,1,1,31.37785441887077
12,15,13,0,0,0,45.94355919077513
22,30,10,1,0,0,43.79564092346976
25,17,10,0,1,1,44.89774409553653
28,24,6,1,1,0,35.78948421191332
24,18,13,1,1,1,48.116200929588025
31,29,9,1,0,1,42.7798680940008
34,27,12,0,0,0,33.22965706754668
23,16,11,1,1,0,37.56673730817964
30,18,6,1,1,1,40.60925349607243
24,18,4,0,1,0,38.0932324232477
28,22,10,0,0,1,44.144325008838855
40,16,13,0,0,0,24.768881771083123
27,19,5,1,0,1,42.180128544107006
41,20,11,0,0,1,33.98478774857262
21,21,6,0,0,0,39.75880467962229
9,19,8,1,1,0,49.14530948481453
25,26,11,0,1,0,39.45750724937912
34,19,12,0,0,0,31.611529713985465
16,18,11,1,0,1,50.369651505120885
14,31,13,0,0,0,47.6343098653108
36,17,14,0,0,1,38.176288276888265
25,8,7,0,0,0,36.59366553114522
20,15,12,1,0,1,48.04190593044077
15,11,10,1,1,0,42.65210549741102
38,20,11,1,0,1,35.980196875440626
40,13,17,1,0,0,26.113088798086512
27,22,8,0,0,1,44.4256854531207
31,25,4,1,1,1,40.68981562518335
