age,work_experience,previous_month_income,education_years,gender,rural_residence,policy_beneficiary,current_month_income
16,22,9,12,0,0,0,49.61638066772149
22,16,17,6,0,1,1,52.48766231929329
30,25,5,14,0,0,0,54.86384368792014
37,23,11,10,1,0,1,56.85513498185358
22,16,9,16,0,1,0,51.95707682679882
33,23,5,19,0,1,1,59.62373096889698
30,20,7,8,0,1,0,53.17082085806787
31,25,10,8,1,1,1,53.63007530931974
27,18,13,19,1,1,1,54.780500854584666
27,18,9,24,1,0,1,56.51922120027848
26,29,11,11,0,0,1,54.200497807620586
24,14,10,18,0,0,0,52.45345040275838
31,17,11,1,0,0,0,53.29842277075986
24,20,11,10,0,1,0,50.94458021140654
26,35,8,8,1,1,1,51.38392721729554
21,13,9,25,0,1,1,55.61172425391563
43,7,12,18,1,0,1,62.66951558564831
27,22,9,2,1,0,1,51.5788822562858
28,13,10,10,1,0,1,56.584731007462885
43,15,9,17,0,0,0,60.49475918881175
37,11,6,15,0,0,0,60.59759656717755
35,15,4,19,1,0,0,57.73016099224712
25,22,9,17,0,0,0,53.73610456450294
19,12,9,8,1,1,0,51.12803876726929
38,26,9,10,0,0,0,54.40966159073882
40,13,6,9,0,0,1,62.92166449812429
29,17,10,20,1,0,1,55.41412357949879
14,26,10,17,0,1,1,51.113694190799634
27,20,14,9,0,0,0,51.082426840685606
19,23,7,18,1,0,1,53.16737521938277
33,24,13,14,1,1,0,52.68782972615195
26,23,9,14,1,0,1,52.8206635471768
47,18,9,16,1,0,1,60.457538686170544
42,20,11,15,1,0,0,55.81224634151645
29,7,8,20,0,0,0,58.23170748814607
27,19,3,6,0,1,0,55.721979939039215
27,19,12,16,1,0,1,53.16349529583157
25,21,8,24,1,1,1,53.51818642846227
24,11,10,8,0,1,0,53.121884524988936
25,12,11,1,0,0,0,51.82836807920728
38,12,10,9,0,1,1,59.08884092640879
38,18,9,20,0,1,0,57.2008846962843
18,8,10,15,0,1,0,51.72281084741967
33,16,12,13,0,1,0,53.86373062919067
34,24,3,20,0,0,1,60.44324683898619
18,17,12,12,1,0,1,52.6952372232186
24,20,5,14,0,0,1,56.40008035744069
34,29,6,17,1,1,0,53.82079993794284
31,12,8,15,0,1,0,57.76730569350149
49,9,5,14,1,1,0,61.21246141190223
16,16,7,21,0,0,1,54.0678369723726
40,11,10,16,1,0,1,59.57840324233419
5,11,13,19,1,1,0,48.01180240631987
21,12,12,22,1,1,1,53.304110659281605
37,28,12,12,1,1,0,52.59098268342535
21,14,5,16,0,1,0,53.58320260119044
21,14,7,20,1,1,1,55.95776884684943
9,27,13,26,1,1,1,44.71683317493316
25,29,14,5,0,0,0,50.62824242380746
41,21,7,15,0,1,0,56.39552748420933
15,15,8,23,0,1,0,48.97424205867404
31,23,12,10,1,0,0,49.32667306948835
21,27,8,18,0,1,1,53.996034687915376
34,31,7,15,1,1,1,53.15559637388262
27,20,12,14,1,0,0,51.80524068981394
41,22,6,10,0,0,0,59.768421463540136
15,5,9,16,0,1,0,51.04251910919478
30,14,14,9,1,0,1,55.05983840421892
36,18,2,10,0,1,1,60.786927590951954
31,25,13,15,0,1,1,54.18980694687417
19,27,13,18,0,0,1,50.739366332722085
32,17,11,14,1,1,0,53.6260347793218
27,21,9,12,1,1,1,53.20262976812784
37,14,16,18,1,1,1,56.1908964149107
31,20,11,8,1,1,0,51.825351079648414
21,21,11,18,0,1,1,52.16742605904552
25,20,11,13,0,0,0,50.94820612081792
34,22,7,13,1,1,1,59.33015238070978
25,19,10,18,0,0,1,54.97440233328675
44,24,15,25,1,0,1,59.19491525664125
20,20,13,13,0,0,1,50.3352225830899
22,18,7,3,1,0,0,51.402557541970125
18,20,14,18,1,0,1,51.21859364759179
29,33,4,15,1,1,1,54.51629425762004
20,23,5,8,0,1,0,51.56012763211049
43,25,10,15,1,1,1,59.26931006898051
26,25,7,22,1,0,1,56.899463950472025
32,28,7,11,1,1,1,55.16813042346919
33,12,11,10,0,0,0,54.54305469179364
35,17,9,9,0,0,0,54.92098278713423
31,16,12,8,1,1,1,55.58664687967862
39,23,9,9,1,1,1,59.35533888209304
28,23,11,16,0,0,0,54.35325067483836
50,15,11,11,1,0,1,62.09870770702941
17,26,13,16,1,0,1,49.39662755259169
32,20,10,15,1,0,0,54.667591692160016
25,21,5,7,1,0,1,54.52662851768271
19,27,8,13,1,1,0,47.91781533657936
17,24,10,5,1,1,1,50.32619922125328
36,20,13,16,0,1,0,53.992922356924296
34,20,8,11,1,0,1,56.57081845393974
28,21,12,17,1,1,0,50.2435105616323
49,21,11,11,1,1,1,61.402257371273386
26,19,8,15,0,0,0,53.5221502920958
37,20,11,10,0,1,0,54.58833797909907
22,20,11,9,0,1,1,51.92602780745696
22,25,12,18,1,1,1,50.04939390733158
31,24,11,10,0,0,0,51.88783162340161
30,19,11,12,1,0,0,51.51034636175234
38,20,8,8,0,1,1,59.26318191554783
29,24,12,18,1,1,1,54.70000230893336
33,28,12,5,0,0,0,52.268530866770746
19,14,4,7,1,1,1,53.72806137800127
22,10,11,8,0,0,0,51.35294797605129
37,5,8,13,1,1,0,57.20795977208199
26,-1,11,18,1,1,0,54.02106210481188
27,22,7,14,1,1,0,52.650946710354326
15,22,14,19,1,0,1,48.36459378428324
23,24,11,28,0,1,1,54.34160775395421
25,7,5,21,0,0,0,58.29777028870299
15,9,7,12,0,0,0,53.52685899790672
39,6,8,21,1,0,1,63.4440310716892
30,17,7,15,1,0,1,57.81556495609588
26,21,11,12,1,0,0,51.19558148709755
33,19,12,12,1,0,0,52.81068494174061
39,17,6,7,0,1,0,58.38724120479874
21,13,12,21,1,1,1,53.061315037970864
48,17,12,14,0,1,0,58.345771894063645
33,20,10,11,1,1,1,56.656243094369565
35,29,12,17,1,0,0,51.23761168915512
39,10,10,19,1,1,0,56.23759006672496
19,16,10,17,0,0,1,54.20888140811662
19,20,10,19,0,1,0,49.665691126895695
35,13,6,5,1,0,0,56.75440893194885
33,20,7,13,0,1,0,55.63789405561976
20,22,13,12,1,0,0,47.86578305087897
24,13,9,12,1,0,0,51.83360236498015
21,28,16,8,0,1,0,44.64200376643539
28,32,10,7,0,1,0,48.880860875909896
40,21,13,16,1,0,1,56.08894452886242
25,21,8,19,1,0,1,55.84188352981776
14,36,8,16,1,1,1,48.452547080117725
15,12,12,17,1,0,0,48.65277690539348
23,27,10,18,1,1,1,52.22088038727911
26,11,11,4,0,1,0,50.00532496980111
24,18,7,2,1,1,0,50.57084385783904
35,16,7,9,0,0,0,56.52138116897904
25,20,8,21,0,0,0,54.30708296911715
23,17,10,19,0,0,1,56.11114199760668
32,22,9,9,1,1,0,54.499177002053536
35,19,9,18,0,0,0,55.32483893180718
26,17,7,13,1,0,1,54.71239276019008
26,20,11,11,1,0,0,48.424668390151496
27,20,8,14,0,0,0,54.97180460454643
24,22,4,13,1,0,1,55.17676036376236
13,0,10,19,0,1,1,54.83440974221462
25,20,15,14,1,0,1,52.28094648383477
27,14,9,17,0,1,1,58.620080071479634
36,22,13,5,0,0,0,51.83940530408063
26,10,13,13,1,0,1,56.4378138331938
17,8,3,15,1,1,0,53.7234481195484
36,22,15,13,1,0,0,53.20019386704402
35,12,12,14,0,0,0,56.49333299275691
