age,education_years,income,community_involvement,unemployment_duration,gender,rural_residence,social_intervention_program,life_satisfaction
35,21,9,14,3,0,1,0,59.31287784566114
44,13,10,16,3,0,0,0,48.64189194871811
20,10,8,4,2,1,0,0,54.65848231902381
21,16,17,10,6,0,0,1,79.66948436299067
27,13,8,15,6,0,0,1,66.97483049277471
27,20,11,20,5,1,1,1,78.88306275265454
30,20,13,9,5,0,0,0,63.728743282145466
27,28,9,17,4,0,0,0,71.43551896087772
41,16,14,9,6,0,0,1,60.82927189949687
26,16,7,22,3,0,1,0,65.65076340597454
27,26,10,13,6,1,0,1,79.71781071342679
52,12,11,10,4,0,0,0,37.23902963243504
36,25,7,22,3,0,0,0,63.38180877934883
31,19,5,9,5,1,0,1,62.03303226287829
23,16,5,5,2,0,1,1,61.71969984466488
32,14,10,8,1,1,0,1,58.90457750065731
25,22,8,11,6,0,0,1,72.27003771458428
30,23,10,3,5,1,1,0,60.70518527817118
38,23,10,16,5,0,0,0,60.947095766792735
24,20,9,9,3,0,1,1,70.21121605550327
48,16,6,17,1,0,1,1,50.24222502970821
31,20,5,20,5,1,0,1,67.27870004742856
14,20,6,9,6,0,1,1,76.3220719858914
26,17,9,10,2,0,0,1,67.28371662173797
5,25,11,19,3,0,1,1,98.88718770351312
34,20,6,7,1,0,0,1,56.056067546246176
25,11,11,12,1,1,0,1,67.16714863625585
30,19,3,14,9,1,0,1,63.06044348963565
18,28,9,3,6,0,0,1,78.99596382876987
26,22,8,17,5,0,0,0,66.15720134563115
39,7,11,17,4,0,0,0,49.4076723083313
32,23,8,12,5,0,0,1,67.58827877725575
44,15,10,13,3,1,0,0,48.98367228919875
24,18,11,6,2,0,1,1,68.04708649040825
35,13,7,10,3,0,0,1,55.67162724301479
21,20,10,16,4,1,0,0,72.54519615560149
29,25,10,16,4,1,0,0,67.98673518047207
24,25,7,19,6,1,1,1,80.30865951821471
25,17,10,2,2,0,0,1,65.24256278723846
38,17,13,0,5,0,0,1,58.20504306291935
39,25,9,14,3,1,0,0,56.882104340632765
36,22,10,14,2,0,1,0,59.009426824678414
51,23,7,17,3,0,1,0,49.72877678461912
33,12,8,24,3,1,0,0,59.14706703236019
32,16,9,20,3,1,0,1,69.23243766476413
20,14,10,18,1,0,1,0,68.78206770333577
29,22,9,5,0,1,1,1,65.11902218593791
9,16,8,12,3,0,0,1,80.24607461509565
16,27,9,16,2,0,1,0,78.45425817790944
32,14,8,10,2,1,0,1,58.17907285751156
33,22,12,15,4,0,0,1,73.15123461751043
29,21,14,12,1,1,1,1,75.7200963419296
37,23,5,16,2,0,1,1,61.91169575268887
12,21,10,17,3,0,0,1,86.19909267742919
21,20,5,18,0,1,0,0,66.17523877011644
41,10,9,15,3,1,0,1,52.33036247500184
19,18,9,12,3,0,0,1,75.25390881371912
30,15,10,20,5,0,0,1,71.22558421045491
27,16,11,9,5,0,1,1,67.7318010149127
36,23,6,8,2,1,1,1,59.60651810120192
23,15,8,15,5,1,0,1,71.80368099021236
38,24,13,16,3,0,1,0,64.93965448591757
28,23,10,7,4,0,1,1,69.73108318083779
39,12,12,13,3,1,0,0,52.20360117699471
32,18,9,1,0,0,1,1,57.12342185447445
38,13,4,20,0,1,0,0,46.45193393609896
23,28,12,14,5,1,0,1,85.2811742382664
29,30,8,10,4,0,1,0,68.02696038379432
28,14,11,9,3,0,0,1,66.26373563139819
37,10,9,3,2,1,1,0,43.4252112630318
34,19,10,11,3,0,1,0,55.459910616751245
42,8,8,16,4,0,0,0,43.86842822590258
44,28,15,10,4,1,1,0,60.18913515912013
37,11,8,12,3,0,0,1,54.858728856560354
31,15,6,18,2,1,0,1,62.04038063381099
37,27,3,16,2,0,1,0,56.93886595726591
24,19,6,12,0,1,0,1,67.1799292902916
21,15,6,14,3,0,1,1,69.59380705555122
38,14,7,3,2,0,0,1,49.56639725875152
33,15,5,20,6,1,0,1,64.3543424194106
28,24,17,10,0,1,0,0,73.51348792102559
40,16,10,22,2,1,0,0,56.08882723318645
29,16,12,17,0,1,0,0,65.03484241979277
32,15,2,10,2,1,0,0,47.13799889187111
29,26,10,8,6,1,1,0,65.68095053798164
31,25,7,18,4,1,0,0,66.65032851183969
38,26,13,9,2,1,0,0,60.22364713927921
