age,experience_years,gender,rural_residence,job_retraining_program,monthly_income
24,22,0,1,1,66.24238605295737
17,26,0,1,0,60.54002145442612
28,33,1,1,1,67.96090915173535
27,16,1,0,0,64.17890474397605
27,18,1,0,0,64.36458239018451
34,17,0,0,1,67.59369319227382
27,19,1,0,0,64.55102713788992
44,23,0,0,1,73.31791770286186
28,16,0,0,0,64.69715215443517
40,10,0,1,1,69.39255355390318
36,8,0,0,1,69.28096667816548
19,14,1,0,0,61.38661967798247
20,25,1,0,0,61.95564531726684
38,24,0,1,1,72.82824766449542
35,15,1,0,1,68.49580798075588
34,18,0,1,0,66.99695370503679
25,15,0,0,0,62.95128467777743
25,13,0,0,1,66.33371439613573
32,16,0,0,0,66.50706155213875
20,23,1,0,0,61.97607032536898
22,12,1,1,0,63.86933680383312
17,26,1,0,0,62.191778548867326
21,23,1,0,0,61.75043965732969
32,22,1,1,0,67.45402473594517
21,30,0,0,0,63.386011969102825
22,20,0,0,1,64.09501081082516
38,28,0,1,1,71.47771309970942
23,16,0,0,0,63.09961462990977
19,19,1,0,0,60.92392175551589
20,15,0,0,1,62.38648386764676
28,16,0,0,1,65.25401079260959
27,14,0,0,1,64.86954566507342
20,20,0,0,0,60.29642274761404
34,25,0,0,0,68.13408514612158
20,11,0,1,0,59.04164251034588
28,20,0,0,1,66.75554674253401
19,16,1,0,1,63.11372831482049
33,12,0,1,0,65.77209538688676
23,7,0,1,0,62.728191330985965
23,21,1,0,1,62.69858880513835
26,22,0,0,1,66.52152498940512
21,17,0,0,1,63.20829214249831
32,8,0,1,1,66.38744817014204
37,19,1,0,0,69.63167848160057
43,18,0,1,0,69.92339744151289
26,24,0,0,1,64.80431570226355
38,21,0,0,1,71.46392492156079
21,23,0,0,0,64.2562576636221
34,13,0,0,0,67.13422383594295
32,24,1,0,1,70.30574983017317
31,18,1,1,1,67.55784850395794
24,15,1,1,1,65.38303614943513
19,19,0,0,1,63.79207147639127
37,26,1,1,1,71.91734539015219
41,28,0,0,0,72.78818938810022
41,13,1,1,1,67.86350625090877
26,18,0,0,1,65.32296917181343
6,17,0,1,0,56.31574166784131
26,18,0,1,0,62.89761640699589
21,20,0,0,1,64.45598893640573
30,15,0,0,1,66.76268773322917
35,17,0,0,1,69.23584278597097
37,13,1,0,1,69.64280424095004
8,20,0,0,0,56.12186630328954
32,28,1,0,0,68.15480102262224
39,22,0,0,1,73.85236653649379
32,18,0,1,1,68.79892611221416
20,16,1,1,1,63.62048672465066
43,21,1,1,0,71.43409546569995
31,26,1,0,1,67.60888506819313
28,13,1,0,1,65.88432209171143
37,22,0,1,1,71.46740262151194
22,25,0,0,0,64.02367520723061
20,29,1,0,0,63.163779811268846
17,13,0,0,1,61.10385881748206
22,20,0,0,1,64.95349356157965
23,24,0,0,1,67.56056904452812
28,20,1,0,0,64.96343446749542
39,21,1,0,1,69.77761080594189
28,23,0,0,1,67.34061303376949
26,27,0,1,0,65.92694841945155
30,16,1,0,0,64.48840853774752
21,12,0,1,1,61.68172124544244
24,22,0,1,0,64.87689344812927
22,23,0,0,0,66.29622083349172
29,23,1,0,1,66.79220516392637
26,11,0,0,1,64.17551068848785
26,16,0,0,1,64.24491039326294
15,18,0,0,0,58.97425088965182
12,17,0,0,0,59.055045501895336
24,29,1,0,0,65.31676081787025
39,20,0,0,1,70.96443052639684
46,27,1,1,0,73.79432231180587
42,24,1,1,1,73.57657350685348
42,14,0,1,1,70.70701699143007
37,17,1,0,1,69.52761450945684
29,12,0,0,0,65.02674019177623
34,22,0,1,0,68.21735848658362
35,23,0,1,1,68.9389478482564
30,29,1,1,0,65.41784583027695
36,24,0,0,1,70.02106990625306
31,6,0,0,1,64.1681883966949
37,18,1,0,1,68.90311699111763
25,22,0,1,1,65.01772927103833
20,19,0,0,0,61.25326497839693
41,19,0,1,1,70.97593290042646
31,13,1,1,0,67.6478724398201
31,22,0,0,0,65.69653844757825
26,15,0,0,0,62.26224045474679
30,19,0,0,0,64.5781529247247
27,20,0,0,1,65.97231320646439
30,29,1,1,1,67.51199042673592
32,23,0,0,0,66.41004720223654
22,16,1,0,0,63.34841311517919
26,22,1,0,0,62.74863268819721
17,14,1,0,1,61.21039398049014
31,32,1,0,1,71.08458869521381
24,21,0,1,1,64.94571783534013
23,16,0,0,1,65.12757860538971
29,27,0,0,0,67.11482419439432
38,25,0,0,1,70.0572810676717
32,15,0,0,1,66.66942507092931
33,14,0,1,1,67.37655048270783
32,20,1,0,0,67.01795434515122
39,19,1,1,0,69.42100639931171
31,14,0,0,1,65.34079840960709
25,23,0,0,0,63.88246674383348
31,25,1,1,0,66.86006531203822
22,23,1,0,0,61.95888069212466
