defendant_age,trial_length,prior_convictions,legal_representation,violent_crime,alternative_sentencing,recidivism
20,18,0,0,1,0,51.49745965751949
41,14,1,1,0,0,50.00243203161425
26,20,0,0,1,1,60.66920430167238
24,23,0,0,0,1,62.22111553693841
21,17,0,0,1,0,49.67693802938832
31,21,0,1,0,1,60.9544487067523
34,17,1,1,0,1,61.96718548778102
40,19,0,1,0,0,53.34948485135843
29,23,0,1,1,1,60.21541085783999
31,26,1,1,0,1,63.04293208581094
18,17,1,1,0,0,50.15085030686006
31,16,1,1,1,0,50.92686815540309
42,31,1,1,1,1,63.40209995167812
42,21,0,1,1,0,51.3486854229818
22,20,0,0,0,1,61.507565745714246
26,26,0,1,1,1,64.36740418576531
35,25,0,1,0,1,61.1731473245313
29,14,1,0,1,0,50.27728412372948
23,36,1,0,1,0,54.19024980589028
34,21,1,1,0,0,51.50727447869626
26,22,0,0,0,1,62.329259976059
21,20,1,1,1,1,61.022597037636274
22,17,1,0,1,0,51.936403844256745
45,33,0,1,1,1,64.21895456993879
40,21,0,0,0,0,51.00181513316393
34,15,0,1,1,0,50.99990397543216
34,24,0,1,0,1,62.62646811412098
30,30,0,1,1,1,62.48085181256938
30,16,0,0,0,1,61.194445944448255
41,15,1,0,1,0,50.30356948496155
36,21,1,1,0,1,61.77634442280071
33,18,0,1,0,1,59.75553998991062
27,23,0,1,1,1,61.77993615395593
38,22,0,1,1,1,61.09645133326112
32,21,0,1,1,1,62.11600608539504
30,27,1,1,1,0,54.58635585591464
31,24,0,1,1,0,52.98475595498319
9,26,0,1,1,1,64.81046738224084
36,20,1,1,1,0,50.46948558428008
30,21,1,0,0,1,60.857878531371526
29,16,1,1,0,1,58.14287139517487
32,34,1,1,1,1,63.93337218494989
37,23,1,1,0,0,52.41244308040783
19,20,1,1,0,1,60.065538444885625
26,19,1,0,0,1,61.23751067985751
25,21,1,1,1,0,52.79121976059589
18,20,0,0,0,1,62.05051893244565
39,16,1,1,1,0,48.9977675996406
30,13,0,1,0,1,58.62852851677349
44,16,0,1,0,1,58.26952900365042
24,27,0,0,1,1,62.00769288527173
26,21,0,0,0,1,61.56138503064272
5,26,1,0,0,1,62.92443419833838
20,18,1,0,1,0,51.58066580910727
26,25,0,1,1,1,63.04542440393736
33,13,0,1,1,0,50.17276098678511
21,21,0,0,0,1,58.91700461574427
23,26,1,0,0,0,53.09007131254878
39,17,0,0,0,0,49.67593536879309
23,19,0,0,0,0,52.59614596590391
24,18,0,0,1,0,50.71739139394872
22,22,0,1,1,1,61.44434524753866
36,13,1,0,0,0,48.97985368517704
23,21,1,0,1,0,52.61499711588435
40,24,0,1,1,1,62.09869288883976
35,23,0,1,0,1,62.194476721693
36,21,0,0,1,1,61.54679123489871
22,18,0,1,0,1,59.99234546843187
26,18,1,0,1,0,51.403334669932704
22,21,0,1,0,1,61.698068809100185
24,19,0,0,1,0,51.2335806215467
22,13,1,0,1,0,48.93835720690135
20,26,0,0,0,0,53.912604137622765
