age,education_years,previous_month_income,gender,rural_residence,minority_status,microcredit_recipient,current_month_income
42,19,10,1,0,1,0,37.40270226448664
24,23,9,0,1,1,1,48.93724608834436
17,10,9,1,0,1,0,45.60679187670117
25,26,5,1,1,0,0,38.89495152032294
16,8,7,0,0,0,0,47.8470394236456
42,29,12,0,1,1,1,43.33835998452683
35,22,2,0,0,0,1,50.54504211298651
38,16,8,1,1,1,1,48.22459044924634
27,17,8,0,0,1,0,40.08159922684459
33,17,13,1,1,1,1,49.055965710014526
35,15,8,0,0,0,1,51.56915181246587
26,4,9,1,0,0,0,48.84881230078511
23,22,11,0,1,0,0,40.499653757006776
36,23,8,1,1,1,0,36.92698730751977
33,22,8,0,1,1,1,47.73621008618396
24,21,14,1,1,1,0,40.00611836943401
16,30,10,0,0,0,1,46.97538173107302
36,26,8,0,0,0,0,38.444331770018174
22,20,7,0,1,0,0,40.19736762744368
40,25,7,0,1,0,0,34.7043908121791
36,9,10,0,0,0,0,42.45251861211318
31,15,9,1,1,0,0,38.90353603340076
30,22,9,0,1,1,0,37.67307480873848
29,26,11,1,0,1,1,47.69388835287659
18,21,5,0,1,0,1,51.930444343863066
28,21,14,0,1,0,1,49.50613081515564
17,29,15,0,0,1,1,46.64394806330109
40,20,10,0,0,0,1,44.92864241573766
25,20,19,1,0,0,0,40.15247129065295
36,10,12,1,0,0,1,49.810092326296655
34,23,13,1,1,0,0,36.509788321244606
27,25,11,1,1,0,0,40.9895169660647
16,30,13,0,1,1,1,47.23445569125248
18,15,7,1,0,0,0,45.91874804764869
21,22,7,0,0,0,0,41.33195933471719
27,23,6,0,0,0,1,48.73222580138052
21,25,6,1,1,1,0,39.93390996262443
19,17,13,0,1,0,0,42.82318102547694
40,18,4,0,1,0,1,49.28045157067554
33,33,11,0,1,1,1,43.60141926349522
32,14,18,0,1,1,1,49.65289099088315
50,21,10,0,1,0,0,35.7820471774708
27,19,9,1,1,0,0,40.81551149519027
26,14,9,0,1,0,1,51.970196641644336
24,23,7,1,0,0,1,50.01947495211499
40,19,10,1,1,0,1,46.62089933298233
32,24,8,0,0,0,0,39.26906532918117
19,14,12,0,0,0,0,43.9245500834462
31,16,8,0,1,0,0,41.81756143946863
26,20,17,1,0,0,1,49.01716213025851
46,29,7,1,1,1,0,33.70607410891846
41,13,8,0,0,0,0,41.08537336352826
24,24,10,0,1,1,1,48.24408487686777
42,20,10,1,0,0,0,39.046576981478296
27,20,12,0,0,0,1,49.03156917675196
27,18,9,1,0,1,1,50.46817444256108
36,14,10,0,0,1,1,50.56166622741081
31,15,15,1,1,0,1,50.37699207912056
37,19,9,0,0,1,0,39.089109216944365
39,18,12,0,0,1,1,46.45146683798764
45,21,9,1,0,0,0,37.86531408693959
37,26,11,1,0,0,0,37.40818076757882
21,9,10,1,0,1,0,44.51519242167304
24,19,6,1,1,1,1,50.93991974394376
38,22,5,0,0,0,1,49.15730863388978
44,6,8,1,0,0,1,50.99279753127463
34,19,7,1,1,0,1,50.19304324041543
39,24,2,1,0,1,1,46.53615744178613
46,15,3,0,1,0,1,49.19472248074992
26,22,9,0,1,0,0,38.95124461799816
27,18,14,0,0,0,1,49.5063821571104
33,24,8,1,1,0,1,47.659829533856055
24,17,7,1,1,1,0,40.50535148859409
40,20,5,1,0,0,0,38.41153128676798
14,15,7,1,1,0,0,44.93732638186913
38,19,4,0,0,1,0,38.96772338143638
28,18,14,1,1,0,0,39.71110743569519
32,17,7,0,1,1,0,39.52968291328873
32,13,10,0,0,0,0,41.06794841317945
37,26,9,0,0,0,1,45.93621753102474
27,23,9,0,1,0,1,49.08812494770118
31,32,4,0,0,0,1,45.91032295531371
35,10,13,0,0,0,1,51.77493995551733
30,22,8,1,0,1,0,40.178230349996525
41,37,9,0,0,0,1,42.745859264264
30,17,14,0,1,0,1,49.44391311473915
29,20,11,0,0,1,1,48.98013830322433
26,23,4,0,1,0,1,48.12893625672914
30,20,7,1,0,1,0,40.1998531907992
32,21,13,0,0,0,1,47.83111478210669
34,26,8,1,0,0,1,47.32486964517906
34,22,5,0,1,0,1,47.87090294041903
27,11,12,0,0,0,1,53.227090743452415
16,17,9,0,0,1,0,43.62956292454998
21,18,6,0,1,0,1,51.91615329354852
22,22,4,0,0,1,1,50.84923685025588
22,18,5,0,0,1,1,52.0036647423058
32,22,13,0,0,1,1,47.25838002951126
28,18,13,0,1,1,0,40.06150719101593
10,10,12,0,0,1,1,55.12411639008589
40,16,12,0,0,1,1,47.754642579260256
20,17,10,0,1,0,1,52.88233273764416
22,32,3,1,0,0,0,39.577708123556256
31,16,6,0,1,1,1,49.91878795384854
30,19,10,1,0,0,0,40.70966452805598
46,16,12,0,1,1,1,46.8042803358693
27,22,11,0,0,0,0,38.27672168255642
36,2,4,1,0,0,0,45.162458158484725
29,2,13,1,1,1,0,45.81405151212712
31,23,13,0,0,0,0,38.70747889773545
29,19,8,1,0,0,0,41.10884422948982
35,23,7,1,1,0,1,47.02984943445932
35,12,11,1,1,0,1,50.95632757215932
30,16,7,0,0,0,0,40.15462640931144
20,26,10,0,0,1,1,48.615976609297455
28,13,11,1,0,0,0,43.20787668528831
40,16,7,1,0,0,0,39.088144751076186
29,14,7,1,1,0,0,42.221275390727975
16,23,12,0,0,1,1,50.17187639609152
36,30,14,0,1,0,1,42.481833667414
31,32,9,1,0,0,1,43.94382561634944
25,7,4,1,0,0,0,46.52510937113346
14,17,13,0,0,0,1,50.55655173263762
31,24,10,0,1,0,1,45.90377585482264
27,7,13,0,0,0,1,54.21407768681497
30,26,12,1,1,0,0,37.390848314689904
32,14,2,0,0,0,0,42.60390881259153
26,34,9,1,0,1,0,35.350406307864006
31,22,14,1,1,1,0,39.73157088186561
22,29,11,0,0,1,1,47.37851373249899
13,18,8,0,0,1,1,51.76740824298392
34,20,10,1,0,0,0,38.74757303803719
14,34,7,0,0,0,1,48.20390236954759
21,19,13,0,1,1,0,40.46833829478227
25,4,8,1,1,0,0,47.027540844485976
15,22,11,0,0,0,1,51.89642518182262
31,15,7,0,1,0,1,50.40193354004296
43,14,8,0,0,1,1,47.94517912072278
21,26,7,0,1,0,0,39.55447242512801
24,19,15,0,1,1,1,48.22473022126462
29,19,8,0,1,0,0,39.945768158692175
31,30,14,0,0,0,1,43.31543403611391
32,13,8,1,0,1,0,42.658327236010685
43,19,6,0,0,1,1,49.03162103689071
31,20,19,0,0,0,1,46.1107356128933
35,23,10,1,0,0,0,38.08033252466981
17,8,7,0,0,1,0,48.43700371911566
44,15,13,1,0,0,0,39.14444616593447
24,26,11,1,1,1,1,45.82483199249311
39,15,15,0,1,1,1,47.286604065967744
22,16,13,1,0,1,0,43.92383478200433
33,26,10,0,0,1,0,38.102926622683285
32,16,9,0,0,0,1,50.76678194792208
29,10,8,0,0,0,1,52.88465603760692
19,16,8,1,0,1,0,43.71341748169494
36,17,11,0,0,0,0,40.182225714599504
29,13,8,0,0,0,1,52.52588841610228
28,22,5,1,1,0,0,39.99372469099282
36,19,5,0,1,0,1,47.93571621119999
16,18,9,0,0,0,0,43.10137032363535
28,17,8,1,1,1,0,40.29857736546796
14,12,14,0,1,1,0,43.21724182914883
29,17,12,1,0,0,0,40.58499098082457
50,31,11,0,0,1,1,40.15051014160874
24,17,6,0,1,1,0,42.93600554062498
38,13,6,1,0,0,0,42.68083990325307
34,30,6,1,1,0,0,35.7644153208945
40,23,14,1,0,0,0,36.8823276105544
27,24,9,1,1,0,0,37.33326347053903
24,16,8,1,0,0,0,43.28267331470944
25,17,9,0,0,1,0,41.89937712958426
53,24,10,1,0,0,0,34.71565511798085
31,21,9,1,0,0,0,38.91664395621401
36,16,15,0,1,1,1,48.38948289707093
15,17,9,1,0,0,0,44.37252798220244
36,13,10,0,0,1,1,51.01710601154971
32,26,7,0,0,0,1,46.36402309440663
29,24,6,1,0,0,0,39.66871070180885
16,30,11,0,1,0,1,46.31951017450631
43,24,10,1,0,1,0,34.74646548874616
33,16,10,1,0,0,0,39.99642969249768
38,24,8,1,0,1,0,36.6056245411231
11,23,13,0,1,0,0,41.64804031894411
27,19,11,1,0,0,0,40.60610264282562
26,21,8,0,1,0,1,47.43134180707143
32,22,8,0,1,1,1,48.3203767041824
34,17,11,0,1,0,0,40.893654297140046
14,21,12,1,0,1,0,42.51818025759916
22,22,10,0,0,0,0,39.19278423869335
18,24,7,0,0,0,1,49.53683904856504
28,17,8,0,0,0,1,50.13469157254357
35,16,15,1,0,1,0,40.35998582512157
34,11,9,1,0,0,0,41.371069561211606
34,8,8,0,1,0,1,53.03266970792616
