age,education_years,previous_month_income,gender,rural_residence,minority_status,participation_in_self_employment_program,current_month_income
27,13,13,1,1,1,1,28.49784474752382
27,17,7,1,0,0,1,32.70916551478359
24,17,11,0,1,1,1,32.33028883382253
17,29,10,1,1,1,1,30.710981553693728
39,19,16,1,0,1,0,11.54507213276364
24,13,13,1,1,1,0,26.64074959521624
43,22,1,1,0,1,0,16.247095632472433
33,22,6,0,1,0,0,20.57486280015233
7,19,12,1,1,1,1,40.42508577887043
32,19,4,1,0,1,0,24.82876688341013
26,26,5,1,1,1,1,29.452526363273392
27,21,6,1,1,0,0,23.34520306628325
33,21,7,1,1,1,0,20.772961362307623
32,29,9,1,0,1,0,16.53043207370686
27,25,5,1,0,0,0,24.66886167699165
26,22,14,1,1,0,0,21.524556562053245
43,3,10,1,1,1,1,25.85157928111604
31,24,8,1,0,0,0,19.88605662522643
42,13,9,1,1,1,0,17.22797885967101
36,15,9,1,1,1,0,19.397729215729388
27,25,16,1,0,1,1,22.177693420687305
24,13,11,1,1,0,0,27.47541272638514
37,19,8,0,1,1,0,18.606632436667148
21,26,9,0,0,0,0,24.70859413115843
33,17,9,0,1,1,0,20.54278413904897
27,17,11,1,1,0,0,24.24061594006681
19,20,5,1,0,1,1,36.83532969495437
30,5,12,1,1,1,1,32.47514465662282
26,29,9,0,0,1,1,25.996797950691803
20,24,10,1,1,0,0,27.34702530186429
15,13,12,1,1,1,1,38.07076722596553
23,22,11,1,0,1,0,24.68279548063953
20,26,10,1,1,1,0,25.68517260028149
35,20,5,1,0,0,0,22.508066534693825
29,24,7,1,1,1,0,22.388012271422035
30,18,8,1,1,1,0,22.81418417594395
33,20,10,1,0,1,1,24.998543897504263
40,19,10,1,0,1,1,21.40518460271744
25,11,7,1,1,0,1,37.41273062926811
27,23,13,1,0,1,0,20.4855943808046
43,26,10,1,1,1,1,19.050616667230283
29,32,11,0,1,0,0,18.71596380076644
24,17,14,1,1,0,0,23.34719850241937
27,17,8,0,1,1,0,24.342208644901586
29,19,11,1,1,1,0,22.669083271864736
24,13,13,0,0,1,1,31.114745801732816
34,6,14,1,1,1,1,28.017140025573354
31,25,9,1,1,1,1,24.356016916224803
18,31,9,0,0,1,1,31.22267092600252
41,17,11,1,1,1,1,19.99921031596125
26,26,9,1,1,0,0,22.92244560679916
25,7,11,1,1,0,1,35.20049762719511
36,11,10,0,0,0,0,20.641846662516592
28,31,9,0,1,1,1,24.63988986354204
23,22,16,1,1,1,1,25.96333469733513
45,15,5,1,1,0,1,22.11984820739776
40,31,12,1,0,1,1,13.29359114262292
32,19,6,1,0,0,1,28.301561561374413
33,18,9,1,0,1,0,21.108487797991767
38,16,10,1,0,1,1,23.817022864452376
22,20,5,1,1,1,0,28.846381128973825
29,22,12,1,1,1,1,24.93502060353906
10,10,9,1,1,1,1,44.63194256372775
42,14,12,0,1,1,1,21.784180926599877
25,13,7,0,0,0,0,30.48661443376129
40,11,13,1,1,1,1,23.03217224669524
26,24,10,1,0,0,1,26.00322444312848
35,11,12,1,1,1,1,25.61694492474386
32,21,6,1,1,1,1,28.058194579522738
33,13,6,1,1,0,1,28.853626628822905
20,25,9,1,0,1,0,27.11934310671561
32,14,12,1,1,1,0,21.54911389466737
36,12,11,0,0,1,1,25.83377439640181
29,28,12,1,1,1,0,16.955293410849173
45,22,10,1,0,1,0,13.58477062777433
43,24,8,0,1,0,0,13.461056983554974
35,21,12,0,1,1,1,23.06291676025886
21,15,9,1,1,1,0,30.619956555474165
39,21,9,0,0,1,0,14.663457325490784
25,23,7,1,1,1,1,31.10167088058876
31,18,9,0,1,0,0,23.600274646448906
39,14,16,1,1,1,1,20.72004687429535
31,23,6,1,1,0,0,22.21883077662428
31,27,11,1,1,1,0,17.60482590897034
24,23,8,1,0,1,0,24.47939163300809
27,21,8,0,1,1,0,23.54440602406396
25,24,10,1,0,1,1,27.46037576566754
24,16,8,0,1,0,1,34.70299896558791
28,30,7,1,1,0,0,20.22214303092987
28,15,14,1,1,1,1,27.612663859623467
24,10,9,1,1,1,1,34.30449187774953
37,23,11,1,0,0,0,15.107602473213536
21,30,14,1,1,1,1,26.915534279017606
32,13,8,1,0,0,0,24.32478657426472
23,18,11,1,0,0,0,25.44570606592945
42,22,13,1,0,1,1,15.497321686767284
31,24,6,1,1,1,0,21.32120811988485
24,25,11,1,1,1,0,22.806778425592416
25,26,11,0,1,1,1,28.327703661054784
24,23,11,0,1,1,1,26.713696876624724
30,13,9,1,1,1,1,28.625683852246755
38,25,5,1,1,0,0,18.02590609597173
36,12,12,1,0,1,1,25.72592816286725
24,31,11,0,1,1,1,23.409056308335234
25,20,9,1,1,1,1,32.07469794414248
30,14,13,1,1,0,0,20.493719306477345
26,13,5,0,1,0,0,29.41845284985728
36,16,14,0,1,1,1,21.79711495866646
17,15,8,0,1,1,0,32.40632811567127
39,13,6,0,0,1,1,26.46864895172677
39,23,8,0,0,0,1,21.739970184248502
25,1,9,0,1,0,0,30.658864299817523
41,27,7,1,0,1,0,12.536673191866893
23,14,8,1,1,1,1,35.06054549142553
25,11,6,1,0,1,0,29.29105987342465
35,27,8,1,0,1,0,16.870108935463747
40,22,8,1,0,0,0,16.954188660332704
20,16,12,1,0,0,1,31.93182811575051
30,13,8,1,1,1,1,31.49379659278732
31,15,10,1,1,1,1,27.65771137097567
25,14,6,1,1,0,1,36.84172686382764
34,27,13,1,1,1,0,14.489492692279288
31,15,3,1,1,1,0,26.418763181532217
19,23,6,1,1,1,1,33.74263507467907
28,19,5,1,1,1,0,26.273446358571803
32,16,10,1,0,1,1,26.0921843112924
36,23,5,1,1,0,0,20.810313605306543
16,8,8,1,1,0,1,41.5709612345673
26,17,9,0,1,0,0,25.223064683325493
23,19,8,0,1,1,1,32.88868242685424
8,18,12,0,1,1,0,36.407250778825045
18,13,5,1,1,1,0,35.45692409135306
40,19,11,1,1,1,0,13.056253531337552
29,26,9,1,1,0,0,20.43234390564665
28,24,7,0,1,1,0,22.347541779539064
28,11,9,1,1,0,1,33.57526022987354
22,11,5,1,0,0,0,34.201914743545395
29,14,9,1,1,1,1,31.00328534048172
33,14,4,0,0,0,0,25.818392626619275
28,20,8,0,1,1,0,22.40781478907964
28,27,5,1,1,1,0,21.650876964274563
32,17,10,1,0,0,0,22.814109516462644
28,20,10,0,0,1,0,22.71960408173486
20,18,6,0,1,1,1,36.850346080722936
22,20,14,1,0,1,1,30.094052123435777
28,23,14,1,1,1,0,19.827729313711504
39,16,8,1,1,1,1,23.872263059765217
26,25,10,1,0,1,1,27.93791403143037
30,28,12,0,1,1,1,22.74588877801997
37,21,8,0,1,1,0,18.18543498978555
16,14,14,1,1,0,0,29.424034180775998
22,20,9,1,1,1,1,34.0774235286904
46,22,8,1,1,0,0,11.778269777257709
41,23,8,1,0,1,0,13.633694167495154
37,22,9,0,0,1,0,16.971409891802864
25,31,9,1,1,1,1,24.974086434116003
27,20,11,1,1,0,0,21.488061622536037
22,18,9,1,1,1,0,27.19534523821556
32,8,5,1,0,1,0,28.633151419556917
34,25,9,0,0,1,0,17.65576599563746
29,15,12,1,1,0,0,23.368379516909297
38,25,12,0,0,1,0,10.819619614827246
28,27,9,0,0,1,1,25.267484181087426
27,21,11,1,1,0,0,21.504630929805373
26,4,10,1,0,0,0,30.215561555593943
36,27,10,0,1,1,0,12.633568068005932
23,30,12,1,1,1,0,19.657473025549827
21,25,7,0,1,1,0,27.65087637013272
22,13,12,1,1,0,1,34.18803977658192
31,13,10,1,0,1,1,28.16444318472056
36,22,10,0,1,0,0,17.346853492906128
27,18,3,1,1,1,0,28.30338905560748
28,13,15,1,1,1,1,26.43262030186421
15,25,8,1,1,1,0,29.854064559803557
23,17,14,1,1,1,1,30.65372868876496
18,22,10,1,1,1,1,32.390747578526096
32,12,6,1,1,0,0,24.27721005431919
28,12,9,1,0,1,1,31.467822427044467
32,12,6,1,1,1,1,31.831215420042184
21,14,10,1,0,1,0,29.417021129318517
