teacher_age,average_study_hours,low_income_status,rural_school,online_learning,end_of_year_grades
32,18,1,1,1,44.22945307694445
19,16,1,1,0,37.46968053419377
30,11,1,1,0,41.058818083116265
39,16,1,0,1,43.68538692408698
35,19,1,1,1,42.83672152036114
32,31,1,1,0,30.99030357534313
19,20,1,1,1,39.93645434301381
32,11,0,1,0,43.57730175640879
37,21,0,1,1,42.23217042982965
24,15,1,0,1,44.76538093711887
30,10,1,1,0,43.91819647872629
35,14,0,1,1,48.675353658582296
26,21,1,0,0,36.327646085057815
22,17,0,1,1,42.60470579379196
17,22,0,0,1,38.3687079933961
19,12,1,1,1,45.63277872950327
36,18,1,1,0,37.85224622042681
32,20,1,1,0,36.68855816166341
17,13,0,1,0,41.5707067802725
23,8,0,1,1,48.548145358500726
32,31,1,1,1,36.929284177368665
36,13,1,0,0,41.33198609153476
19,11,1,0,1,45.63251824375052
25,20,0,0,1,42.50043589246516
23,17,1,1,1,42.37311615033762
40,21,0,1,0,38.39586815587171
14,27,1,0,0,32.99375947066766
39,8,1,0,0,46.5223447039428
30,17,0,0,0,40.56200050612141
29,28,1,1,0,32.21072119424268
32,19,0,1,0,39.85288394952448
30,23,1,0,0,36.39456860793138
39,25,1,1,0,34.85656039009358
45,20,0,0,1,43.11423786407403
23,20,1,0,1,41.19730075860287
30,24,1,1,1,40.607865006755816
48,20,1,0,0,39.97673000712441
26,31,1,0,1,36.595754672039575
23,16,0,1,1,43.37895149991618
26,8,1,1,0,42.76422630202614
38,25,1,1,0,35.57632258248696
33,22,0,1,1,39.78270146378144
37,19,0,1,1,44.63953776643957
15,16,1,0,0,38.09482185356107
40,13,0,0,0,44.69288923202958
23,14,1,0,1,46.26240401266202
24,9,1,1,1,46.48747885233947
33,20,1,1,1,41.34896848457985
21,15,1,1,0,40.588873394198565
46,19,0,0,0,39.35699701986239
24,25,1,0,0,33.6393258440065
27,25,1,0,0,35.085786489852374
26,32,0,1,0,30.884510122512523
27,19,0,0,1,42.8583686304561
35,26,1,0,0,35.85752416273905
31,17,1,0,1,45.23147451920384
40,16,1,1,0,43.34860062982847
30,26,1,1,1,37.76402677022489
25,25,1,0,1,38.77393983874976
25,11,1,1,0,41.76982754273352
15,22,1,1,0,36.99472128669864
21,23,1,1,0,36.39724926361826
42,15,0,0,0,40.49352629001429
23,17,0,0,0,40.71257443702828
38,16,0,0,0,42.21083796391124
29,15,0,0,0,40.382791285199815
22,18,1,1,0,37.87939721767371
35,30,1,1,1,35.26855855505099
35,2,1,1,0,48.06724247882895
42,19,1,0,0,39.957621220465406
46,20,1,1,1,41.85151575254851
23,10,0,1,1,46.06814499780667
44,18,1,1,0,39.957826177797074
30,10,0,1,0,43.04976858915433
29,22,0,0,0,37.88604179989744
24,18,1,0,0,39.49002522972124
32,13,1,1,0,41.00885981148843
40,18,1,1,1,44.500594889341485
32,21,1,0,1,43.46607601999865
41,20,1,1,1,43.76521154612215
27,24,1,1,1,40.6757617788171
29,13,0,1,1,45.58918844807289
38,35,1,1,1,32.929412021522346
21,24,1,1,1,39.15284454571985
41,25,0,0,0,35.059520401532126
24,12,1,1,0,43.1454851593024
36,23,0,0,0,37.91066974583152
40,26,1,1,1,40.18423879290261
33,12,0,1,0,42.85002006745341
35,21,1,0,1,42.034689275952616
26,27,1,1,0,33.225503196214355
42,16,0,0,0,42.103575020911045
19,15,0,1,1,43.659145141299966
23,6,1,0,0,45.015440978583285
29,16,0,1,1,43.45095096958126
23,13,0,1,0,39.85368308304237
46,18,1,1,0,38.11447757815492
27,20,0,1,0,36.64401712026528
35,13,0,1,0,43.30215719774543
