age,education_years,previous_month_income,unemployment_status,gender,rural_residence,ubi_recipient,current_month_income
29,14,11,0,0,1,0,38.986153749879726
40,20,14,0,1,1,1,44.724140923976
35,35,12,1,0,0,0,16.564167704962436
36,9,12,0,0,0,0,51.3973600581968
29,32,4,0,1,1,1,29.08981424946562
29,10,13,0,0,0,0,42.82119034345944
40,30,9,1,1,0,0,27.745205836106383
26,24,9,0,0,0,1,34.51069788407035
26,19,9,1,1,1,1,38.59552353282899
23,27,10,1,1,0,1,26.048915821030988
37,12,11,0,1,1,1,54.32477349937521
29,19,14,0,0,1,1,41.605052165325134
10,27,10,0,1,0,0,12.58915007240201
27,24,5,0,1,0,1,38.0669239139597
39,21,4,0,1,0,1,48.30401463324528
16,17,10,1,1,0,0,30.44159474101773
22,24,14,1,1,1,0,19.713132590927238
37,19,11,1,0,1,0,38.66254391876626
29,24,11,0,1,0,0,25.544171283594626
26,21,12,1,0,1,0,29.05524256620344
35,27,11,0,0,1,1,35.70876003760445
29,15,11,0,1,0,1,44.47508666703026
33,17,5,1,0,1,1,50.49858068616695
35,19,14,0,0,0,1,42.685551998547226
31,30,11,0,0,1,1,29.43265560556764
17,19,9,1,0,1,1,34.89542876897613
44,13,10,0,1,1,0,51.36160143868748
21,19,14,0,0,1,1,32.56101510283151
30,14,10,1,0,1,0,41.495804628296455
37,16,6,0,0,1,1,56.13989115188037
25,16,9,0,1,0,1,43.36752841555954
36,16,11,0,1,1,0,41.46932176366645
34,14,7,1,0,0,1,54.25725385911016
37,19,9,0,1,0,0,39.47452205992211
27,26,12,1,0,0,1,28.737016689558704
19,18,13,1,1,0,1,33.76538195260674
37,25,8,1,0,0,0,35.32927614030318
32,20,7,0,1,0,0,35.82397614166484
37,17,7,1,0,0,1,52.58425364688961
19,15,10,1,0,1,0,34.44110244016425
51,16,6,1,0,1,1,61.687979662470426
33,25,9,1,1,1,0,31.70323165723935
36,16,9,0,0,1,1,50.79093762590829
33,11,19,0,1,1,0,39.95693220604842
27,14,11,1,0,0,1,47.92755527159181
