student_age,parent_education_years,classroom_size,school_funding,private_school,urban_location,tutoring_services,online_education_program,final_grade
28,20,8,17,1,0,1,1,100.1116559289324
34,26,2,20,1,1,0,0,98.43782001435557
38,24,3,13,1,1,1,0,99.78281587704214
32,31,11,11,0,1,0,1,115.61307729558496
46,23,7,17,1,1,1,1,118.49593936952375
27,17,8,13,1,0,1,0,88.46571668849386
19,25,4,18,1,1,1,0,86.87208840135297
40,25,8,14,0,1,1,1,114.49332713613646
25,19,8,10,1,0,1,1,96.0539364049664
29,16,4,18,1,1,1,0,86.49176731795072
46,33,5,17,1,1,1,1,124.97528601333086
18,21,4,9,0,0,0,0,78.72713600168197
35,13,7,13,1,0,1,0,89.77250430729572
31,22,8,17,0,0,0,1,105.87119298928656
32,20,3,24,1,1,1,0,93.75748107714304
33,23,3,14,0,0,1,1,104.16080150476324
35,20,2,12,1,1,0,0,91.32117066093171
34,27,7,21,0,1,1,1,112.12719131252824
21,26,4,3,1,1,1,1,96.6001866310108
8,28,6,17,0,1,0,1,89.61014884397424
9,27,2,18,1,1,0,0,77.8160911301739
29,25,8,15,1,0,1,0,96.94504606536272
27,22,7,17,1,1,1,0,93.95746547330776
24,26,5,13,0,1,0,0,88.45634135070493
29,16,5,15,1,1,1,0,87.57352607103873
19,18,8,12,1,1,0,1,90.5557505619495
39,21,7,21,0,0,1,1,110.44921895001671
22,23,5,10,1,1,0,0,87.02476431349601
39,27,7,25,0,1,1,0,106.28350034783702
30,24,6,26,0,0,0,1,105.96703727532892
7,22,4,14,1,1,1,0,72.14389744648413
19,17,3,19,1,0,0,1,86.93330041355786
17,20,3,10,1,1,1,0,79.91314851305978
34,26,6,16,0,1,0,0,98.20675522719588
22,21,6,21,0,1,0,0,86.25851317585291
26,28,7,24,1,1,1,1,108.48482987279276
29,25,5,23,1,1,0,1,106.11285326312498
22,18,4,14,0,1,1,0,81.45721076972085
18,25,5,13,1,1,0,1,93.70481872826876
19,24,4,14,1,1,1,0,85.44606789960086
23,19,4,25,1,1,0,1,94.81027227416826
35,24,2,13,0,1,0,1,105.90916670345958
29,20,6,18,0,0,0,0,91.38171351925924
23,23,9,12,0,1,1,0,90.07396737481704
16,30,3,14,1,1,1,1,95.05010392750934
20,19,9,7,0,0,1,0,81.73958434193501
29,17,5,13,0,1,1,0,87.85729689481592
40,23,3,15,1,1,1,0,100.61211548115192
30,23,8,14,1,0,1,0,95.5293687089192
26,33,11,19,1,1,0,1,110.53228075311408
24,26,3,17,0,0,1,0,91.93851052568614
26,27,9,12,1,0,1,1,105.97883780645128
36,23,7,11,1,0,1,0,100.31244194793216
25,22,5,15,1,0,0,1,96.2611518843324
28,29,3,14,1,0,0,1,102.13881800592378
16,22,8,16,1,1,1,1,93.4821290700419
33,24,3,22,1,0,0,1,105.08243971792264
19,24,2,18,1,0,1,1,93.68123822422524
40,19,7,12,1,1,0,1,107.97761512069916
27,17,5,13,0,0,1,0,85.14139240813762
43,23,2,15,1,0,0,0,102.78040684255032
23,27,2,13,0,1,0,0,87.51948263343188
14,23,4,18,1,0,1,0,82.26036016640906
9,17,6,14,0,0,1,1,81.36352056242478
10,18,10,14,1,1,1,1,85.82992651420795
38,16,7,13,1,0,1,1,103.97453095968233
38,26,8,18,0,1,0,0,104.41178045976756
29,28,4,16,0,0,0,0,93.93622608309212
10,23,5,6,1,0,1,0,75.97341955610338
19,20,4,19,1,0,1,1,90.39400588441998
20,17,3,5,1,0,1,0,75.89831813588798
39,33,6,8,1,1,1,1,119.03777369894986
34,24,3,22,0,1,1,1,107.0339666635588
27,17,4,12,1,1,1,0,86.41135274691493
17,14,7,22,0,1,0,0,77.99777616500869
25,22,8,15,0,1,1,0,89.77351066732058
21,26,5,19,1,1,1,0,88.9034339135374
33,25,6,18,0,0,1,1,108.80346551920243
39,26,10,11,1,1,0,1,115.0516743857378
51,23,7,6,1,0,1,1,118.48223137286236
12,19,10,7,1,0,1,0,77.71918339464145
26,29,8,19,1,1,0,1,106.2857907101931
25,21,4,14,1,0,1,1,95.82598444085409
35,20,9,12,1,1,0,0,97.23147753044212
11,28,5,14,1,1,1,1,91.15539383762136
34,28,1,19,1,0,1,0,101.0199746541582
34,28,6,14,0,1,0,0,100.9672174026206
49,20,8,15,0,1,1,0,110.79516750227468
9,25,7,16,1,1,1,1,85.89245007693478
9,26,3,17,1,0,0,0,78.7714016395866
20,22,6,18,0,1,1,1,95.60567292841228
37,25,3,15,1,1,1,0,100.17244269029446
30,32,8,8,0,0,1,1,110.2984037091821
22,25,4,20,1,0,1,1,98.83769051186836
27,18,6,13,0,0,0,1,94.09806922262648
33,21,5,10,1,0,1,0,92.51391278132157
28,26,9,13,0,1,1,1,106.1600078222633
25,27,5,20,1,1,1,1,103.14192855052688
35,22,7,13,0,1,1,0,97.48401831999608
20,26,5,17,1,1,1,0,90.19491349379906
20,33,7,19,0,1,1,0,95.69059962480252
18,21,5,16,1,0,0,1,89.88139272238608
24,26,6,12,1,0,0,0,90.96002458186948
38,20,4,23,1,0,1,1,107.5956344188039
12,22,7,15,1,0,1,0,79.9883018867924
22,21,4,17,0,1,1,1,93.23527343469496
34,29,1,13,1,1,1,1,109.52610095368928
16,26,7,12,1,1,1,1,95.43910665340722
27,29,5,24,1,1,1,1,105.6421114551911
4,28,7,19,1,0,0,1,86.38740977912556
36,25,2,17,0,0,0,0,97.5260705332139
37,22,4,17,1,1,0,1,106.19040171920086
18,21,8,15,1,1,0,0,82.18759675060946
26,25,2,12,0,1,0,0,89.10459306821247
21,18,5,12,1,0,1,1,90.20077414298709
29,18,5,16,1,0,0,0,88.84274444671892
33,33,0,14,0,0,1,1,107.98904891845952
26,24,6,16,0,1,0,0,90.61701402480767
22,30,7,11,0,1,0,1,102.43772530388252
37,25,4,13,1,0,0,1,109.35390935790376
23,21,4,10,1,1,0,1,92.65149978497608
34,21,6,17,1,1,1,0,97.49952930301534
30,15,4,18,1,1,0,1,95.34809799942995
28,25,8,14,1,0,1,0,97.7418000389875
29,22,4,16,0,0,0,0,90.4495239492817
40,22,7,16,1,1,1,1,112.50057523194477
22,20,7,14,1,0,1,1,96.48606626374048
28,28,7,17,0,1,1,1,107.0727846830426
32,17,7,15,1,1,1,1,103.34359400053144
10,26,9,19,0,0,0,1,92.62636907211794
23,27,7,12,0,1,1,0,91.66339062963384
24,22,4,11,1,0,0,1,94.81732519935323
47,24,7,9,1,0,0,1,117.98498878323396
36,24,5,20,1,1,0,0,100.93934232861533
11,23,4,24,0,1,0,1,86.49798200680775
31,19,8,14,1,1,0,0,93.48732211554272
16,23,8,12,1,0,1,1,92.66799336450792
29,26,2,21,1,1,1,0,96.14655738624268
17,27,10,10,1,1,1,0,88.83483039188594
26,24,7,19,1,1,1,1,102.45060348020124
41,18,7,10,1,1,1,0,100.78550897282383
19,23,3,17,0,1,1,1,90.8946044413222
43,27,4,17,0,1,1,0,109.72132640685444
5,24,3,10,1,1,0,1,80.49105313504518
17,15,9,16,1,0,1,0,78.71630068221211
35,26,2,12,0,0,1,1,106.15144912896072
13,28,3,13,0,0,0,0,80.58826388831717
22,22,9,11,1,1,1,1,99.74373562034828
47,24,1,20,0,0,1,0,107.81914692642204
24,25,6,17,0,1,1,1,99.58356642564094
19,22,7,12,0,0,1,1,93.29750378071132
11,30,5,15,1,1,1,1,94.40325110315057
8,18,6,22,1,1,1,0,74.40403722919757
44,29,6,10,1,1,0,0,111.35238176002191
46,29,6,13,1,0,1,1,122.38553509024588
21,28,6,18,0,1,1,1,102.89813149155916
33,25,5,15,0,1,0,1,106.65854697986386
26,22,6,10,0,0,1,1,97.46799162924913
13,27,6,8,0,1,1,0,83.18492923676588
36,20,6,10,0,0,1,1,103.41659427069428
23,21,8,22,1,0,1,0,90.7961909546955
27,30,5,13,1,1,1,1,106.22768822195964
22,27,6,22,1,1,1,0,93.21674315799731
47,21,3,17,1,0,1,1,112.52335846573634
21,30,6,15,1,0,1,0,93.15251600921628
18,18,3,23,0,1,1,0,80.7029232985534
26,26,5,17,1,1,1,1,102.89838516374137
5,23,4,22,1,1,1,0,73.89187436974709
19,25,6,10,1,0,1,1,93.61166411813385
34,23,6,9,1,0,1,1,103.8087680767327
36,15,5,22,0,1,1,0,94.28934130233476
17,23,3,10,0,1,1,0,80.51610907940685
23,29,7,25,1,1,0,0,97.551553741471
21,28,2,15,1,0,0,1,96.5362659703214
8,22,3,14,1,1,1,1,81.30442610421117
24,22,6,22,1,0,1,1,98.75331200503436
29,23,7,11,1,1,0,0,92.64774550229887
2,20,7,22,1,0,0,1,79.9133286029089
22,16,5,18,1,1,1,0,81.4960761726996
41,23,6,13,0,0,1,1,112.54180714653198
19,20,6,17,0,1,1,1,92.43311470862496
45,24,6,11,0,0,0,0,105.46651585391204
31,21,6,15,1,1,0,0,94.23532275640449
28,23,7,22,0,1,1,1,103.32095075504024
7,19,6,17,1,1,1,0,70.7963009745953
38,20,5,22,1,1,1,1,110.6274317786154
24,31,4,14,1,0,0,0,94.65086014462167
18,22,5,20,0,0,0,1,91.17794935577612
31,20,9,12,0,1,0,0,93.9285891639555
31,23,3,12,1,1,0,1,102.2767963329657
32,22,9,22,1,0,1,1,107.62131467097362
25,18,3,18,1,0,1,0,83.61549568138949
30,20,9,20,1,1,0,1,103.0980552634322
21,22,6,13,0,1,0,1,93.93746721032286
8,24,9,16,1,1,0,1,87.42376450855566
25,28,6,21,1,1,0,1,104.91026854111112
38,30,5,14,1,1,0,0,107.2765687038534
49,16,8,14,1,1,1,1,116.13930353328632
25,24,9,14,1,1,0,1,101.18633949737794
26,21,5,16,0,0,1,1,97.29201069394726
31,24,3,21,1,1,0,0,94.84727512803258
24,18,7,22,1,1,0,1,96.60253720204784
23,22,5,15,1,0,1,1,95.49250859371568
23,18,5,17,1,0,1,1,92.624991714573
38,20,9,15,1,1,1,1,110.48107623672102
5,20,6,14,1,0,1,1,78.79190450566428
24,27,6,19,1,1,0,1,101.522461964434
36,21,7,16,0,0,0,1,105.66381421086568
39,26,3,11,1,1,1,1,110.85226164330248
