age,education_years,monthly_income,experience_years,hours_worked_weekly,has_union,job_security_level,has_benefits,received_training,promotion_received
30,29,4,7,1,0,1,1,1,83.00513578829067
41,29,8,6,1,1,0,0,0,85.14522465681661
23,17,8,17,2,0,0,1,1,81.33461553124114
43,21,5,17,2,0,0,0,0,86.99074461188756
19,22,3,12,1,1,1,0,1,75.23811965598378
38,27,1,19,0,0,0,1,1,87.07225085412345
10,22,5,20,1,1,0,0,0,73.93999170262829
17,20,4,21,3,0,0,0,0,78.32282602446101
21,28,5,6,3,1,1,0,0,76.88825606608388
51,18,5,11,1,0,0,1,1,88.52502301950132
29,27,3,9,2,1,0,0,0,79.26868211738021
27,24,4,15,1,0,0,1,0,80.6098498104389
30,21,6,24,2,0,0,1,0,87.75622820063742
37,19,4,22,1,0,0,1,0,84.8867229484654
27,21,6,23,2,1,0,0,0,84.30559647731319
22,32,8,24,3,0,0,1,0,90.9201865661571
20,24,7,14,3,0,0,0,0,79.97156951395993
26,28,4,20,1,1,0,0,1,84.54259602266691
32,28,6,21,1,0,1,1,1,88.83628039680805
-4,22,6,25,0,1,1,1,1,74.83947546108222
29,29,6,18,1,0,0,1,1,86.88500374100998
16,23,5,13,2,1,0,0,0,75.12886087828542
17,26,3,15,0,0,0,0,0,74.77857607985864
22,24,8,10,3,0,1,0,0,78.97924657690567
39,27,10,9,2,0,1,0,0,87.7242738118622
38,24,4,12,1,1,0,1,1,85.64892787353581
23,21,5,17,1,0,0,1,1,81.3018734781498
21,29,8,16,1,1,1,1,0,83.73681102484201
14,20,5,19,2,1,1,1,1,76.66757381870853
13,29,7,20,2,0,1,1,1,81.21942557187997
27,24,2,18,2,1,1,0,0,81.47888824879611
22,29,7,14,2,1,1,1,0,83.12029245831629
21,17,0,11,0,0,0,1,1,69.58057685605709
11,26,7,18,3,0,1,1,1,80.72238911095164
21,28,6,20,3,0,1,0,1,84.79000632745579
37,27,6,17,0,0,1,0,1,88.77032814166138
39,22,8,18,2,1,0,0,1,88.60365806412695
30,24,7,12,0,0,0,0,1,81.02116778651268
36,19,8,13,1,1,0,1,0,83.40094802844189
16,20,5,15,3,1,0,1,1,77.05781860048587
33,22,6,14,2,0,0,0,1,79.90494354745346
53,26,6,16,3,0,0,1,1,97.29923268131311
24,23,8,16,3,1,1,1,1,85.64994484217337
19,26,7,16,1,0,0,0,0,79.27923501911634
28,25,3,9,1,0,1,0,0,76.36417116469505
22,17,7,12,3,0,0,1,0,75.77670226471825
17,27,2,25,1,0,1,0,0,80.2563106602912
27,24,7,17,1,1,0,0,0,83.03802584608995
9,20,5,23,0,0,1,0,1,74.5319614287932
11,20,3,16,0,1,0,1,1,73.24393144824762
22,25,7,7,1,1,0,0,0,75.10288823965861
39,18,4,23,1,1,1,1,0,85.98477758705617
23,29,5,11,2,0,0,1,0,82.51296009819899
33,19,10,9,1,1,1,1,1,82.16738076530389
35,31,3,18,1,1,0,1,1,90.77541564900746
20,22,4,17,1,1,0,0,0,78.19130863674526
29,22,8,18,1,0,1,0,0,82.11699820244112
14,28,6,9,0,1,1,1,1,75.42350193322288
32,16,4,12,1,0,1,1,0,76.28212323839223
25,26,7,20,1,0,1,1,1,88.14941082522301
23,16,6,10,0,1,1,1,1,74.28144533512045
17,22,5,14,1,0,0,0,0,75.85067919298982
37,20,4,19,0,1,1,1,0,84.60537145231994
15,20,7,16,1,0,0,0,0,75.61088455140974
23,31,5,18,0,1,0,0,0,83.58117018243047
27,16,5,15,3,1,0,1,0,77.8866492322392
14,23,5,13,1,1,0,1,1,76.59389201382675
20,16,6,13,3,1,1,1,0,77.11348690989698
28,27,6,13,3,0,0,1,0,83.81633652816357
32,29,3,15,2,0,1,0,0,85.50538924433788
41,21,3,12,2,0,0,0,0,84.16996157260236
32,29,4,19,3,0,0,1,0,85.26475815230582
12,17,0,22,1,0,1,0,0,72.25322384975304
16,27,7,17,1,0,0,0,1,80.0031065971082
27,26,9,13,0,0,0,0,0,83.9663412368738
23,23,2,17,2,1,1,0,0,76.18269055499991
0,23,3,16,0,0,0,1,0,66.68331327655139
27,25,9,20,4,1,1,0,1,89.99432821954035
41,18,4,18,0,0,1,0,0,83.0708925931917
18,28,7,22,1,0,0,0,0,82.44805701492156
-3,26,8,15,0,1,1,1,0,71.52840709116224
16,27,3,13,1,1,1,0,0,75.80697879410096
45,21,7,15,3,1,1,0,0,89.18350083648417
40,21,9,8,1,1,0,1,0,84.981569583772
37,17,4,19,0,0,1,0,0,81.35198686011638
43,21,8,18,2,0,0,0,0,90.09512028069702
42,30,4,16,2,0,0,1,0,90.67319011509912
12,20,7,21,1,0,0,0,0,75.39220269028503
23,29,3,16,3,1,0,1,0,80.61819496630109
28,25,3,17,3,1,1,1,0,82.92508945709557
29,15,4,20,4,1,1,1,0,79.32467092387351
19,24,6,16,1,1,1,1,0,78.64039190869592
15,29,5,22,1,0,1,0,1,82.1622917119903
24,25,3,17,1,0,0,0,0,76.9847996727881
24,25,4,18,3,1,1,0,1,82.17112096100543
27,23,4,8,2,1,1,0,1,77.26405684241381
37,27,7,16,1,0,1,0,1,90.43484198592752
24,19,3,18,4,0,0,1,1,79.2758330631887
32,17,7,17,0,0,1,1,1,83.56034051974069
38,19,6,11,1,0,0,0,1,82.00137166950589
14,29,3,4,0,0,0,0,1,71.31796008633202
34,24,4,14,2,1,1,1,1,82.0375400487912
24,22,4,16,3,1,0,0,0,79.84270873942991
16,29,4,18,1,1,0,1,0,78.86224161593383
25,22,5,15,2,1,0,1,0,78.74860650038049
24,24,6,13,2,0,1,1,1,81.02108124794523
9,23,6,19,1,0,1,0,1,75.53648688552853
18,24,6,15,1,0,1,0,1,79.82454549912666
27,24,9,15,3,0,0,0,0,85.10462066783896
33,19,0,14,1,1,1,0,0,78.60312929840937
15,22,4,12,1,1,1,0,1,73.24317879203639
11,23,1,10,1,0,0,1,1,68.59089383475795
37,23,7,16,2,1,1,1,1,88.12779755415863
19,22,7,13,2,0,1,1,0,76.334970901775
33,18,6,10,3,1,0,1,1,81.80783127247975
36,22,6,20,2,1,1,0,0,87.8379351056202
12,24,6,18,3,1,0,1,0,77.5810813562057
33,25,4,12,0,1,0,0,0,81.9415735175474
32,22,4,18,3,1,0,0,0,82.35143685125126
37,25,7,8,1,1,1,1,0,83.79006580968799
43,30,10,13,1,0,1,0,0,92.76253599305907
21,25,4,18,1,0,0,0,1,81.93169990535152
12,18,7,18,2,0,0,0,1,76.65356730937224
44,22,8,16,1,0,0,0,0,87.7357968567306
25,24,4,10,0,0,0,1,1,78.6336574511866
22,29,6,19,2,1,1,0,1,85.49584130559946
19,20,6,22,3,0,1,0,1,82.42795423725234
24,22,7,13,1,1,1,1,0,80.85930492058297
31,27,9,18,1,1,0,1,0,87.83684156597448
29,27,6,13,2,1,0,1,0,84.22125286350219
16,18,6,12,2,1,0,0,1,73.53398524373787
27,20,-1,11,0,1,0,0,0,73.76790654891211
17,27,5,12,1,1,0,1,0,77.78932366877078
25,18,5,23,2,1,0,0,0,81.29327902155298
34,19,9,16,2,0,1,0,1,85.54369611160381
13,21,7,22,1,0,1,0,0,77.46692300506743
34,25,7,17,1,0,0,0,1,87.17836038546754
27,29,3,16,1,0,1,1,1,83.67382649947488
25,24,5,17,2,1,1,1,0,82.74628733969786
14,15,4,12,4,1,1,1,0,70.93509032916386
16,20,8,17,1,1,1,0,0,77.25668899635868
35,24,8,17,2,1,0,1,1,88.98549390064778
21,27,5,11,1,0,1,0,1,80.45368956502396
18,19,3,19,2,0,1,1,0,75.669694119828
23,24,5,21,4,0,0,1,1,84.61087813780915
41,22,6,19,1,0,1,1,1,91.39327746473673
29,19,10,12,1,0,1,0,1,81.45812570781156
23,28,4,9,1,0,1,0,1,76.89563333055008
12,16,5,11,2,0,1,0,0,68.08270249011095
29,21,3,10,3,0,1,0,1,78.17886570359997
12,15,7,11,1,1,0,0,0,68.97432710417367
27,23,5,17,0,0,0,1,0,80.89583612924072
17,19,5,17,1,0,1,0,0,74.31744724203544
11,23,5,17,2,0,0,0,1,75.57869084004308
23,31,4,19,2,0,0,0,1,85.28865213766393
17,28,1,21,1,1,1,0,1,79.34849840716305
18,29,5,9,0,1,0,1,1,80.03552770916647
33,27,5,17,2,0,1,1,1,89.50007979189577
34,12,3,15,3,0,1,0,0,78.25923408267074
8,25,7,21,1,0,0,0,0,75.83832849113129
16,26,6,14,4,1,0,1,0,78.78950259872141
42,20,8,16,0,1,0,0,0,87.46531334416645
28,22,9,16,2,0,0,0,0,83.55978537181997
17,20,4,13,2,1,1,0,1,73.75149302162815
9,16,7,10,1,0,1,0,0,68.65677281686312
27,22,7,11,2,1,0,1,1,81.69772407678488
27,14,3,14,4,1,1,0,1,78.19169436436212
36,23,7,12,2,1,1,0,1,85.31830403280784
18,19,4,23,1,0,0,0,1,77.74009172609243
21,26,4,10,1,1,0,0,1,77.72477882421238
17,16,10,12,1,0,0,1,1,75.7447966132745
32,34,4,14,1,0,1,1,0,87.94206322803491
38,15,5,21,2,0,1,0,1,84.68738669927264
11,19,9,11,0,0,0,1,0,72.32832814008677
23,15,4,11,2,0,1,0,1,72.90615740724004
16,25,11,13,2,0,1,0,0,77.37850245441996
28,15,3,19,1,0,0,1,0,78.89511328746975
25,29,3,16,2,0,0,0,1,81.47981612041441
29,32,2,19,1,1,0,0,1,87.21813772625511
38,20,5,11,1,0,0,1,0,81.7382298456485
44,21,10,16,3,0,1,1,1,94.39026297760644
12,25,4,18,0,1,1,1,1,78.3880999805811
13,25,7,17,3,1,0,1,1,81.64070545014349
35,21,3,21,2,0,1,1,0,86.13708566178838
29,23,4,15,1,1,0,1,1,83.24669157385118
27,23,8,14,3,1,1,1,1,85.15044544129732
45,25,7,5,2,1,0,1,0,88.01056218600448
26,26,4,20,2,0,1,0,1,83.59652926024603
45,25,5,20,0,0,0,1,1,91.34199872862276
18,21,4,14,2,0,1,0,1,75.81239594798235
37,21,6,20,1,1,0,1,0,88.19240836181362
30,22,4,17,1,1,0,0,1,83.76866398285111
13,23,2,18,1,0,0,0,0,73.63660173120547
17,30,8,12,1,0,0,0,0,79.08776141587363
39,16,5,17,2,0,0,1,1,83.96110365228367
18,17,6,21,2,1,1,1,0,77.92854683949675
20,20,3,20,0,0,1,1,0,77.67272070968077
18,28,3,30,1,1,0,0,1,85.58972493299747
4,24,10,20,1,0,0,1,0,77.39761875347178
12,26,6,14,2,1,1,0,0,76.84705087562246
24,21,4,9,1,0,0,1,0,74.91195747890997
5,27,3,7,3,0,0,0,0,67.02257865452316
20,37,2,17,2,0,1,1,0,84.51574878387191
30,28,8,18,1,0,1,1,1,89.1604065288615
34,19,10,23,0,0,0,1,1,87.81202403237805
27,26,9,20,1,0,1,0,0,85.55065162812235
22,19,8,15,3,1,0,0,1,80.4425445269979
22,25,5,22,2,1,0,0,1,86.11701642343746
30,23,2,28,0,1,1,0,0,86.68773131459007
8,25,3,11,2,0,1,1,0,71.42225548384462
34,25,9,14,2,0,0,1,1,88.67233353010782
18,19,3,19,1,1,1,0,0,76.41605646394513
43,31,4,11,1,0,0,0,1,88.9864320442197
33,29,5,18,1,1,0,0,0,88.32168230080465
31,24,5,14,1,0,0,1,0,82.954551150936
32,27,8,19,2,1,0,0,0,88.64917187911966
23,17,3,18,1,1,1,1,1,76.79305680962041
13,26,5,18,3,0,1,0,0,78.39210719270883
28,22,6,19,0,1,1,0,0,82.38406714550875
23,31,7,14,5,0,0,1,0,87.14241565492841
26,23,6,19,2,1,1,0,0,82.16206038623785
37,23,6,12,2,1,1,0,1,84.38955152099024
27,19,10,7,2,1,1,0,0,77.11173419544505
21,27,7,9,1,0,1,0,1,80.1156799257549
23,24,11,20,1,0,0,0,0,84.04901038071218
39,23,7,12,3,1,1,0,0,89.24723745797246
22,18,6,11,2,0,1,0,1,76.85854308065744
14,33,4,13,1,0,0,1,1,79.88969109961644
28,27,1,18,1,1,0,1,1,84.41200002543951
29,20,8,14,0,0,1,1,1,81.63558252057561
16,25,9,17,2,1,0,1,0,81.2856994139594
24,16,7,14,1,1,0,0,0,77.08893023589012
20,30,5,15,3,1,1,0,1,82.61863764224103
46,26,3,17,2,0,1,1,1,92.95106507894418
9,25,9,15,1,0,1,0,0,75.67776063294596
12,27,5,13,1,1,0,1,1,75.2211653636632
40,19,2,14,2,0,1,0,0,81.03281144408282
14,13,2,14,1,1,0,0,0,66.63091365265531
24,25,6,1,1,1,1,0,0,73.60394254913223
17,25,6,17,1,0,1,1,0,80.84162845045624
13,27,4,21,2,1,0,1,0,79.23638171285849
19,22,5,18,4,1,0,0,0,78.12350404212368
26,26,6,7,1,1,1,1,1,78.99266753128327
23,28,6,15,2,0,1,1,1,84.38984730323305
46,32,3,18,1,0,1,0,1,93.25658562628928
23,20,2,23,3,0,1,1,0,80.43720520834734
12,20,3,16,2,0,1,0,0,72.01210320961363
25,23,6,14,0,1,0,1,1,82.40851477046652
16,19,2,22,1,0,1,0,0,74.71626577404776
22,25,8,15,1,1,1,0,1,82.97478175788197
0,27,3,13,2,0,1,0,0,69.11373642435325
36,18,6,26,2,0,1,0,0,85.83727877325276
16,23,4,15,2,0,0,0,0,74.59740099649837
36,27,7,9,1,1,0,0,0,84.76207062896282
17,25,8,12,2,0,0,1,0,77.73102657194127
39,20,6,14,0,1,0,0,0,82.13337751653825
26,16,4,17,3,1,1,0,1,78.30200078876048
21,27,7,20,2,1,1,0,1,85.01909685730593
31,25,8,19,2,0,1,0,0,85.69980007200162
47,24,3,19,0,0,0,1,1,90.18605510030028
13,22,4,15,0,1,0,1,1,74.0828047809166
33,21,2,15,0,0,0,1,1,80.19518458475878
32,34,4,13,1,0,0,1,1,88.93903524940657
14,18,2,9,0,0,1,0,1,67.2369295936158
45,18,6,16,0,0,0,1,0,87.15362656064073
15,29,8,16,1,0,0,1,1,82.29239149757738
16,19,7,15,2,1,0,0,0,76.22034841424964
30,20,5,14,1,1,0,0,0,77.65533619830313
24,30,4,11,0,1,0,0,1,80.38832468583135
22,23,8,17,0,0,0,1,1,83.31183249730478
29,25,5,27,4,0,0,1,0,87.49820090219328
23,17,0,19,2,1,1,0,0,74.13915072472024
12,25,8,19,1,0,0,1,1,77.89587829416395
15,24,8,9,0,0,0,0,0,75.65149711815508
11,16,9,13,2,0,0,1,0,73.93566996859782
18,17,2,10,2,1,0,1,0,69.18979866906682
36,14,4,23,3,0,0,0,1,84.12146278329473
10,36,5,14,0,1,1,1,1,80.54008259024549
23,23,8,10,1,1,1,1,0,78.57986199476187
21,31,4,13,0,0,1,0,0,80.28936563517028
29,22,9,8,1,0,0,1,1,82.29478664265282
34,25,5,17,1,1,0,0,0,83.97937770358637
12,23,7,10,1,0,0,1,0,72.99577700706148
21,20,9,13,3,0,0,1,1,79.40115910233564
10,19,4,24,0,0,0,0,0,73.23267234897565
36,16,2,5,1,0,1,0,0,73.54554999941944
28,25,3,22,3,0,0,1,1,86.87463917580001
13,18,3,14,3,0,0,0,1,71.62259711448465
40,30,2,12,0,1,0,0,1,85.29482599908212
15,23,6,8,1,1,0,0,1,74.05156812510403
17,17,5,11,1,0,0,1,1,72.9844378539738
26,18,7,15,1,0,0,0,0,78.78167262718189
19,27,8,24,0,1,1,0,1,86.66852474308875
35,15,9,17,1,1,1,0,0,84.51854394516377
14,21,2,10,0,1,0,1,1,70.43718860464656
39,26,6,21,1,1,0,1,1,93.10533969686767
27,23,4,13,3,0,0,1,0,79.29811218042421
28,27,7,17,2,1,0,0,0,85.56575775765849
25,22,4,17,2,1,0,0,0,79.5566711942335
32,25,6,9,1,1,1,1,0,83.56263584455685
31,21,6,15,0,1,1,0,0,81.34784632057148
36,24,8,26,1,0,1,0,1,91.13782891406136
12,24,6,10,0,1,1,0,0,69.88413084656594
11,30,6,22,1,0,0,1,1,83.34727654550349
22,26,8,15,3,0,0,1,1,81.84671037932563
36,21,2,13,2,1,0,1,1,82.75299218964949
26,24,8,9,1,1,1,0,0,77.68767811604904
29,22,7,16,1,0,0,1,1,84.88624176285376
29,23,6,19,1,1,1,1,1,83.2342187619818
4,26,7,8,4,1,0,1,1,73.30452201504507
39,27,6,15,3,0,1,0,0,88.34410220311635
36,23,7,19,2,1,1,1,1,91.15048807464171
9,26,4,13,3,0,0,1,1,73.13731741643754
25,28,1,9,1,0,1,1,1,77.99982356488519
32,20,5,16,0,0,1,0,0,81.08116389858928
40,27,5,18,0,0,0,0,0,87.75287932283054
29,23,3,8,1,0,1,1,0,77.0724366508222
30,21,4,18,2,1,0,0,1,82.47346472211642
23,16,4,14,2,0,0,1,1,76.27590243034655
14,22,4,15,1,0,0,0,1,74.50509959457993
26,26,2,22,2,1,1,1,0,83.03220963027087
29,13,4,13,1,1,1,0,1,76.76354153710876
