participant_age,income_level,property_value,homeowner_status,previous_loan,job_stability,loan_grant,successful_repayment
8,29,7,1,0,1,0,74.952497017103
16,26,7,0,1,0,0,80.40405017532942
39,24,6,0,0,0,1,103.36110789692712
8,23,6,0,1,0,0,70.50110786729192
-6,24,4,1,1,1,0,57.47098893703665
16,24,2,0,0,1,0,71.86215749247296
30,26,9,0,0,0,1,97.45610334686288
28,23,7,0,0,0,0,86.99463415634371
34,20,6,0,0,1,1,97.15117064626472
16,22,5,1,1,0,0,75.50765336002515
16,23,7,1,0,0,1,83.9201970975919
15,30,7,0,0,0,0,79.80225845679016
8,29,3,1,0,1,0,67.3820306949557
28,20,10,1,0,1,1,96.24165045527808
13,23,7,1,0,0,0,74.10288706851276
21,24,8,1,0,1,0,82.79306779199948
24,21,9,1,1,1,0,87.01186649350457
5,24,7,0,0,1,0,68.62460605505859
19,27,4,1,1,1,0,80.94201732625032
5,22,5,0,0,1,1,72.21786015273312
27,23,8,1,1,0,0,89.97764388414753
32,29,5,1,1,0,1,99.74806983808632
12,16,3,0,1,0,0,65.76963518951548
44,23,6,1,0,0,1,107.69262236663018
33,19,10,1,1,1,1,99.74429743191088
24,30,4,0,1,1,0,85.8735848718405
18,28,7,0,0,0,0,79.5253384191125
20,29,3,1,1,0,1,86.90886695554221
22,24,7,0,0,0,1,89.67076131039686
32,26,7,0,1,0,0,90.94324257532377
27,22,7,0,0,1,0,85.5879639537057
34,25,5,0,0,1,0,92.74835320201495
31,15,2,1,1,1,0,82.36711765767711
29,26,9,0,1,1,0,92.1268693375427
11,24,6,1,0,0,1,79.93897753283692
12,24,8,1,0,1,1,82.64553575971372
22,30,4,0,1,0,0,83.72632208843244
5,25,8,1,1,1,1,79.09675695274645
18,25,4,0,1,0,0,77.84137304098495
26,28,8,1,1,1,1,95.87170144177678
22,25,3,0,1,0,0,81.54823772457442
25,25,9,0,1,0,1,94.05861402108474
35,28,5,0,1,1,0,92.316516465385
15,26,7,0,1,1,1,86.262341065471
31,30,2,0,1,0,1,94.5049035027827
23,27,4,1,0,1,1,89.65909308885472
39,23,1,0,1,0,1,96.61011324379872
42,25,6,1,0,1,0,99.20510784278537
17,18,4,0,1,0,1,80.08154497624004
32,25,5,1,1,1,0,90.73889073113342
37,21,4,1,0,1,1,97.69763959003724
17,20,5,0,0,0,1,78.86301076360638
28,21,8,1,1,0,0,89.37102196440242
24,22,6,0,0,0,0,83.31097425618334
21,20,4,0,0,0,1,82.37593490936867
25,22,8,1,1,1,1,91.40055503797336
27,28,5,0,1,0,0,88.83942647406002
37,26,7,0,0,0,1,102.42081564963812
4,27,3,1,0,1,1,72.34962097986289
18,27,8,0,1,0,0,83.12938207146512
14,20,2,1,1,0,0,71.09176742155756
34,13,6,1,1,1,1,94.73138229640789
22,19,5,0,1,0,1,86.41323850111306
15,26,7,0,0,0,1,85.62079788624892
9,23,3,1,0,1,0,69.8295248843149
22,23,6,1,1,1,0,81.70543483612602
12,18,6,1,1,1,1,79.03328153789522
30,23,5,1,0,0,0,87.11747951417024
4,23,7,0,0,1,0,68.86013538032294
28,32,4,0,1,1,1,96.32012869505564
40,25,4,0,0,1,0,92.53932860810112
35,17,3,0,0,0,0,87.16074208153033
26,22,6,1,1,0,1,90.95938555626968
2,23,7,1,0,0,1,74.16581087079274
27,24,8,0,0,0,1,93.7133448919031
34,20,2,1,0,0,0,86.07921105014992
23,19,6,0,1,0,1,86.7594149609423
35,25,7,1,1,0,0,93.61108303936328
32,21,7,1,1,0,0,89.94076464586628
4,23,2,0,1,0,0,62.88255657928856
31,23,9,0,0,1,0,93.46917519180272
22,21,2,0,0,1,0,77.63519408958464
21,28,11,0,1,1,1,96.43317829008758
30,31,4,0,1,1,1,96.1600020361962
26,32,4,1,1,0,1,94.9599656971829
6,22,8,0,0,0,0,71.31798298121849
30,18,6,0,1,0,1,91.8453951652627
21,24,8,0,1,1,1,90.10417562720734
23,30,3,0,0,0,1,88.9005696081614
37,20,7,0,0,0,1,100.96357765111291
17,25,5,1,0,0,1,83.67025940771633
22,24,4,0,0,0,1,85.81615311939667
27,23,2,0,0,0,0,82.57242120579602
29,27,4,0,1,0,1,93.35777130557214
24,21,5,0,0,0,0,79.55729433389989
22,23,4,0,1,1,0,81.17570201489842
27,20,6,0,0,0,1,89.46481426769672
17,27,4,0,0,0,0,75.0958081279192
23,27,6,0,1,1,1,92.23590998691428
16,25,7,0,1,0,1,85.51752551089848
17,20,5,0,1,0,0,74.46602662604681
27,28,4,1,1,1,1,93.05356315185908
28,13,3,0,1,0,1,84.60096486279282
36,25,3,1,1,0,1,97.74855968943588
14,27,10,0,1,1,1,88.8857585762797
8,19,4,1,0,1,0,66.93962851210645
23,23,3,0,0,0,0,79.09036510412935
22,25,5,1,0,1,0,81.78598515654392
19,31,3,0,0,0,1,84.05626398926267
24,27,6,0,0,1,0,83.9252311992674
33,29,4,0,0,0,0,92.26779746880918
24,20,9,1,0,1,1,91.1419150623258
16,21,6,1,0,1,0,75.12567416697303
37,19,4,0,0,1,1,97.14645642443476
29,26,9,0,0,0,1,96.3729791047473
24,23,9,1,0,1,1,92.2921078953806
22,24,5,0,0,1,0,81.39232547609595
30,24,6,0,1,1,1,94.7408235074357
37,31,4,1,0,0,0,97.44353457999937
27,22,5,1,0,1,1,88.83851203705035
35,21,2,1,1,0,1,94.19114740886955
25,23,5,0,0,0,0,82.78535711189745
24,20,9,1,0,1,1,92.00706494369686
34,25,6,0,1,0,1,98.7643787551161
45,24,6,1,1,0,0,102.74773194403926
44,25,7,0,1,1,1,108.00885482761105
27,25,6,0,1,0,1,93.71357362011064
38,23,5,1,1,1,0,94.43120660998756
39,20,7,0,1,1,0,95.9417608328555
27,18,4,0,0,0,0,81.56016369062057
10,22,8,1,0,0,0,72.58783419921053
20,24,4,1,0,0,1,84.85398347983326
24,21,0,0,0,1,0,75.40295103868564
5,22,2,1,1,0,0,62.76380235668484
16,23,6,0,0,1,0,76.44324875451721
21,30,6,0,0,1,1,90.45330367078668
30,24,5,1,0,1,1,95.74483390858012
4,22,10,0,0,0,0,70.12660496480467
28,27,2,0,0,0,0,83.39713053009895
26,20,5,0,1,0,1,88.41456966193516
37,21,4,0,0,1,1,97.85085286526898
34,22,2,0,0,1,0,86.5445455175883
27,21,2,0,1,0,1,86.8519657686196
52,24,4,0,1,0,1,111.73085798304652
17,20,2,0,0,1,1,79.56928625190575
23,25,7,1,0,0,0,84.65356629372316
33,28,3,1,1,1,1,98.34013825612122
28,21,9,0,1,0,0,89.58746219711509
22,20,7,1,0,1,0,80.76202641847956
28,24,5,0,1,1,0,87.91960723989956
33,32,6,1,1,0,1,102.33791286565165
6,22,5,0,0,0,1,74.5245100823958
18,22,6,0,0,1,0,76.23076122754206
48,25,10,0,1,1,0,106.92662370082932
14,28,5,0,0,0,1,81.1714118799572
29,27,5,1,1,0,0,88.54334911441106
30,29,5,0,0,0,1,95.23317720264292
35,22,5,0,1,0,1,98.88259365317936
30,17,9,1,0,1,1,95.29277682908176
13,17,5,1,1,1,1,77.13251638442398
14,20,5,0,1,1,0,73.0738485585897
17,23,4,0,0,0,1,80.66763838340422
24,29,8,0,0,1,0,88.4649914930293
18,25,9,0,1,0,0,83.37788148635457
25,30,7,1,1,0,0,89.87056284691339
29,19,3,1,0,1,0,81.49816598175126
21,27,8,0,1,0,1,91.65882637833222
0,13,8,1,0,1,1,67.04422517059669
17,25,6,1,0,1,1,83.9274173772798
27,20,9,0,0,1,1,93.72798220256092
28,16,8,1,1,0,0,86.59620704244239
28,27,4,1,1,0,0,88.53833000408176
25,12,1,0,0,0,1,78.80172820888417
19,29,4,1,1,1,1,86.10627936805095
18,28,3,0,1,0,0,78.92626846768906
17,18,2,1,1,0,1,79.06626344733012
27,26,1,1,0,1,0,82.92973034138384
22,22,11,0,0,0,0,86.13818819156916
21,20,5,0,0,0,0,77.14099131179276
8,20,8,0,0,0,0,70.50914176758575
26,26,5,1,1,0,1,92.69893442732642
17,24,7,0,1,1,1,86.92883675041973
10,18,0,1,1,1,1,70.1755434791197
37,23,3,1,0,1,1,96.5458417310563
11,28,5,0,1,0,1,81.51375036554815
34,21,7,1,1,0,0,91.20510925573603
26,22,6,1,0,1,1,91.62965813163932
20,23,7,0,0,0,1,87.96212270001318
39,19,6,0,1,1,0,94.4597332457236
32,24,2,0,0,0,0,86.6771357250702
18,30,6,1,0,1,0,81.15985368834842
26,24,2,0,0,1,1,87.15592555020729
40,29,4,0,1,1,1,103.71036641444545
19,23,4,1,0,1,0,77.61487059718755
36,23,8,0,1,1,1,100.97460935945028
43,26,6,0,0,1,1,107.06142672243756
0,22,6,0,1,1,0,62.415707320218125
22,28,7,0,1,0,0,85.02539485618125
19,25,7,0,0,0,0,78.29873187923265
15,25,9,1,0,0,0,80.87528291272393
7,19,8,1,0,0,0,69.55038863239902
2,22,6,0,0,0,1,68.58784937358786
18,15,6,1,0,0,0,73.24091812356126
41,23,10,1,0,1,0,101.82810461548117
33,22,10,1,0,1,0,95.28410188750098
23,27,9,0,1,1,1,94.27098114255269
21,27,5,1,0,1,1,87.36360809319874
26,27,7,1,0,0,0,89.51590477417871
51,23,10,0,1,1,0,110.2891411383164
34,17,4,1,0,1,0,84.80712115687925
33,34,4,0,1,0,1,100.36781823200737
36,24,5,1,0,1,1,99.04878333376102
26,28,3,1,1,1,0,85.56012848319727
28,27,1,0,0,0,0,82.5518932617157
40,20,5,1,0,1,1,103.49979302320612
6,25,5,0,1,1,1,76.21824287866421
23,22,2,1,1,0,1,85.92049035116872
26,21,8,1,0,1,0,85.90174422086034
30,18,10,0,0,1,0,88.18027466779759
23,17,5,0,0,1,0,78.0075284950877
27,20,8,1,1,0,1,93.20377709244733
36,21,7,0,1,0,0,94.63075442896636
31,28,5,0,0,1,0,89.02518205364763
6,18,7,1,1,1,1,74.9870394251848
22,20,4,1,1,0,1,85.86019406314776
33,23,5,1,1,0,1,97.60192653239254
32,27,8,0,1,1,0,93.80113861652468
31,21,7,1,1,0,1,96.30311733464865
11,18,9,0,0,1,0,71.93782314256487
36,25,2,1,0,0,1,97.53517810436522
19,22,5,0,1,0,1,84.59612015487218
29,22,7,0,0,1,0,86.21785843177015
7,28,6,1,1,1,1,79.51942413210149
33,24,5,0,0,1,1,97.53334869967196
32,24,10,0,0,0,1,99.63940366340158
23,27,3,0,1,0,1,85.54723603546778
29,18,3,0,0,0,0,82.71204200864071
24,27,5,0,0,0,1,89.59827940609057
33,26,6,0,1,1,1,99.58934790846077
20,19,9,0,1,0,0,81.62933754125781
15,19,6,0,1,0,1,79.04035724440779
29,25,5,0,1,0,1,94.98854857800669
34,16,4,1,0,1,0,85.12666590263011
32,25,5,0,1,0,0,91.03549147790524
19,29,6,0,1,0,0,82.778034247939
13,21,7,1,0,0,1,81.96582127383824
20,23,7,1,0,0,1,87.46576768421696
34,21,5,0,1,1,0,91.00607336258982
9,26,6,1,0,1,0,72.88585080664711
25,27,5,1,0,1,0,85.72384084127745
31,24,8,0,0,1,1,97.34853038748562
29,22,3,0,0,1,1,88.55277628533638
1,20,8,0,1,1,1,70.71963200251484
48,19,3,0,0,1,1,103.45872338033192
26,29,9,0,1,1,1,95.8940613378843
28,14,3,0,0,0,1,85.40487835007315
19,23,5,1,1,1,1,88.59312619953424
21,27,8,0,0,1,1,90.94340687599504
32,13,3,0,1,0,0,81.48634063947829
28,23,3,1,1,1,0,83.63202834116676
32,26,3,1,0,1,1,94.81071687567348
21,27,7,0,0,1,1,89.16638114419034
29,25,3,0,1,1,1,92.95759760506978
33,18,4,1,0,0,1,94.19600668399222
34,27,8,0,1,1,0,95.65962888042914
22,31,5,0,0,1,1,89.16203176043938
27,29,4,1,1,1,1,93.40769336314231
8,25,4,0,0,1,0,70.2674169503121
6,25,10,0,1,1,0,74.15934728584385
19,28,10,0,0,0,1,91.52128733476384
18,21,7,0,0,0,1,83.75521339185981
21,29,8,1,1,0,1,92.35513175285664
45,31,5,1,1,0,0,105.67381743768664
24,20,8,0,0,0,0,82.32313218215106
17,19,6,0,0,0,1,79.37984157849445
36,23,4,0,0,0,0,89.24626543407514
30,20,8,1,0,0,1,95.46136307881784
19,23,8,0,1,0,1,87.93877974664031
32,29,3,0,1,0,0,90.93969271464915
34,19,5,0,1,1,0,87.78553525890094
33,25,7,0,0,0,0,92.49724687097762
37,25,4,0,0,1,1,99.97530601879518
44,18,7,1,0,1,0,99.81743913899932
11,25,5,0,1,0,1,78.69919184135794
30,21,2,1,0,0,0,82.95813375503228
16,23,6,1,0,1,0,77.27780573399869
9,29,4,1,1,0,0,72.81192576801483
25,17,3,0,1,0,1,85.99645278847498
33,24,7,1,0,1,1,98.79801296890454
21,15,7,0,0,1,0,75.49668294716237
53,28,4,1,0,0,1,114.9287973372905
8,23,5,0,1,0,1,74.27727482824993
38,26,8,1,0,0,1,105.58840609472458
28,19,5,0,1,1,0,82.96984565234656
11,20,7,0,1,1,1,77.6248636890716
6,27,7,0,1,0,1,76.68354108817213
49,25,6,1,1,1,0,105.30163207723362
29,25,7,1,0,0,1,96.58180404246424
24,23,7,0,0,0,1,91.41974011466496
24,24,5,1,1,0,0,83.20133538850594
19,19,7,0,0,1,1,83.88221870990253
18,29,6,0,1,0,0,80.58085979960092
35,24,2,0,0,0,1,94.23374864256463
13,23,9,1,1,1,1,83.35706439749116
30,29,9,0,0,0,1,100.15504912933076
37,26,6,0,1,1,1,102.29710038600108
26,21,6,0,0,0,1,89.42873158077964
28,25,2,0,1,1,1,90.48086958777422
8,17,9,0,1,0,1,76.68370266284705
32,27,6,0,1,0,1,99.12432320595384
8,22,5,1,1,1,1,75.12243131596213
39,24,6,0,1,0,1,102.49951492643422
22,26,6,1,1,1,0,86.24521216044741
28,26,7,0,1,0,0,91.09211297604966
27,23,3,0,1,1,0,83.17026380875237
19,21,6,1,1,0,0,81.50937159705678
15,25,8,0,0,0,0,77.56579565781739
20,25,4,0,1,1,1,86.72977303894884
20,22,0,0,0,1,0,73.69002983224539
23,23,8,0,1,1,0,85.02660990050904
11,24,5,1,0,0,1,78.33169045725954
33,22,4,1,1,0,1,95.90232264663965
15,27,1,1,0,1,1,81.0669347822545
26,22,6,0,1,1,0,85.6629486645131
35,26,5,0,1,0,0,92.82431990738506
17,23,2,1,0,0,0,75.29878690922824
17,26,4,0,0,0,1,84.48770051369978
20,23,5,0,1,1,0,80.48760051030914
