age,education_years,income_level,registered_voter,political_affiliation,urban_resident,voter_education_program,voting_rate
10,29,3,0,1,1,1,67.74647705252
36,33,2,1,1,0,1,76.92131992653195
30,15,4,0,1,0,1,74.54144942322988
9,32,4,0,0,1,0,59.86326118855321
26,23,10,1,0,1,0,66.75517628239271
6,26,3,0,0,0,0,56.10090677439416
17,24,5,0,0,0,1,67.55254025951979
38,26,5,1,1,1,0,70.38928240043172
22,28,6,0,0,1,1,69.99667234357547
30,7,5,0,0,0,0,66.28104488245135
12,18,9,1,0,0,0,60.096148088775095
2,26,6,1,0,0,0,56.38372961270534
22,29,2,0,0,0,1,70.11697993435207
28,19,6,0,1,1,1,74.37181340317153
25,35,3,1,0,0,0,64.95614382428474
25,25,3,0,1,1,0,65.87567294836127
41,21,10,0,0,1,0,71.34942547820934
19,20,9,0,1,1,1,71.31690459882172
32,24,5,1,1,0,1,76.73002674806573
26,22,11,0,1,1,0,68.27357537562513
30,18,6,1,1,1,0,69.46918737974302
32,19,11,1,1,0,1,75.33319051303594
26,19,1,0,1,0,0,65.59353474437212
17,17,7,1,0,1,0,62.44848621863522
14,26,3,0,0,1,1,67.48215929872042
18,22,7,1,1,1,1,68.91515160667714
34,28,5,0,0,0,0,69.82188674828932
16,23,7,0,0,1,0,63.155877649425925
30,21,6,0,0,0,1,73.21126260964316
35,19,1,0,1,0,0,70.53683690306477
21,31,5,0,1,0,1,71.94425957698165
43,16,3,0,1,0,1,79.74793835381084
28,23,3,1,0,0,0,66.30901804776342
37,19,5,1,1,1,1,77.96046063528851
4,24,7,1,0,1,1,63.2635067234886
17,18,6,0,1,0,0,62.06363598340968
19,23,4,0,0,1,0,63.05607291671162
34,21,5,1,0,0,1,76.3267505583755
26,24,5,0,0,0,1,73.7401348384731
14,29,3,0,0,0,0,61.15978872889867
15,24,10,1,1,0,1,67.75153243941969
20,10,4,1,0,1,1,70.45609380246425
23,28,8,0,1,0,0,66.13380983359552
24,24,2,0,1,0,1,72.85811407031798
21,26,5,1,1,1,1,70.3610174544032
32,27,5,0,0,1,0,68.14815826447185
18,20,7,0,1,0,0,63.10572237929155
20,18,6,1,0,1,1,70.75869121512908
22,26,2,0,1,0,1,71.90864236969807
13,26,10,0,0,0,1,67.0986396114457
35,17,7,1,0,0,1,76.52660570700586
11,22,11,0,0,0,0,60.56161187587704
31,28,5,1,1,0,0,67.13793871454426
17,28,3,1,0,0,1,67.4328676151167
12,23,7,0,1,0,1,67.72041273758202
21,26,9,0,0,0,1,72.56423803416575
21,24,8,0,1,0,0,64.8106601667735
20,21,4,1,1,0,0,63.98650976133586
18,22,2,1,1,1,0,62.07775315531017
19,23,3,0,0,0,1,70.08240266827409
34,24,7,0,0,0,0,68.62256552060323
21,24,5,0,0,0,1,70.44711606685286
17,23,3,0,1,1,0,62.49348253656566
10,21,6,1,1,1,1,68.49822473871772
34,24,4,0,0,1,1,75.58227930888418
29,23,7,1,1,0,0,68.16243337566858
26,22,4,0,1,0,1,74.57804052506953
23,20,6,0,1,0,1,71.98650887549707
21,25,5,1,1,0,0,65.34930443006402
43,27,1,0,0,1,1,78.2750999366008
33,31,6,1,0,0,1,75.84443142822084
51,15,3,1,1,0,1,82.916891517371
41,31,8,0,1,0,1,80.92999829658058
20,22,6,0,0,0,0,63.195452519483815
10,26,3,0,0,0,0,59.205579212510095
29,21,5,1,0,0,1,72.99326135883953
14,21,5,0,0,0,0,58.78398539460963
