age,family_income,num_children,years_education,economic_shock_index,participation_in_program,rural_residence,tax_credit_received,annual_spending
50,22,1,15,2,1,1,0,83.68952253354706
29,25,3,14,0,0,1,1,80.46168804215566
15,28,5,11,1,1,1,0,69.06023989501334
16,20,4,9,3,1,0,1,70.09253063267738
23,15,3,25,2,1,1,1,79.3345964324857
49,17,6,17,2,0,1,0,87.62964290709198
39,23,8,23,1,0,1,1,89.02453178182938
22,31,6,14,2,1,1,0,73.81889041112385
12,25,4,19,2,1,1,1,73.42125782493572
12,21,6,19,2,1,1,1,75.079537004241
27,24,4,21,2,0,0,0,78.22523631255801
32,13,6,22,2,0,1,1,81.87922998777894
29,17,6,21,1,1,1,1,83.79306722437852
43,33,3,8,2,1,1,0,81.60000848557985
0,26,8,19,0,1,1,0,65.93909135063079
30,27,7,25,1,0,0,0,82.02415410772979
27,26,3,19,1,1,0,0,77.08425130780839
42,24,8,17,0,1,1,1,92.200949339777
23,25,6,22,0,0,0,1,81.7191775243828
39,21,3,12,3,1,0,0,78.14739680609037
34,23,8,11,1,1,0,0,78.92330740304435
25,20,6,17,1,1,0,1,79.73445299873451
35,18,3,10,2,0,1,1,80.89011397471295
35,17,7,18,4,1,1,0,79.56421815151936
18,27,5,10,1,1,1,0,70.10071593326255
32,24,5,16,1,0,0,0,76.43560923630332
11,26,5,17,1,1,1,1,74.96118904124289
9,23,8,19,1,0,0,1,73.273769323541
20,25,5,17,1,1,1,1,77.68603612429945
28,21,4,15,0,1,1,1,80.22358837334029
27,25,5,12,2,1,1,0,75.1945723625803
9,25,6,19,0,1,1,0,66.82513748988366
28,26,10,17,2,0,0,0,79.47205209369768
20,27,9,18,2,1,0,0,76.63283397305138
40,18,6,13,2,1,1,1,84.13702738639543
36,26,5,11,1,1,1,0,78.1070332134925
30,22,3,17,2,0,0,0,73.05413130510034
22,25,4,14,0,1,1,1,76.55632062861227
36,21,3,9,1,0,0,0,73.57618861373776
29,24,8,17,1,1,1,1,84.38907813070658
17,22,4,9,2,0,0,1,69.66218492777686
28,23,7,15,1,0,0,1,82.80659516438413
37,25,6,22,3,1,1,1,88.38035055256356
29,24,8,14,2,1,1,0,79.49477941488806
25,18,4,17,2,1,1,1,79.32319278478454
28,21,6,12,2,1,0,1,79.49853904553412
20,23,4,20,1,1,1,1,78.35682382969252
25,20,5,24,2,0,0,0,75.86526596926586
12,22,8,18,2,1,0,1,75.5425123671621
19,22,6,22,0,0,1,0,75.6407794068836
