individual_age,education_level,household_income,employment_status,community_involvement,internet_access,public_transport_access,social_media_usage,political_participation
20,28,1,17,2,0,0,0,97.19601221843853
4,31,6,18,1,1,1,1,94.930424904789
39,15,5,14,5,0,0,0,104.02624438821218
20,26,3,8,2,0,0,1,99.41450374298918
11,23,9,12,2,0,1,0,84.43619624555198
23,28,9,19,1,0,0,1,108.26797348582603
25,21,4,14,1,0,0,0,94.7291010136446
19,29,4,16,1,1,0,0,95.46889285674904
31,32,5,21,0,0,1,1,118.29126517017777
26,25,0,18,0,0,1,0,97.31963715932366
10,26,5,13,3,0,0,0,87.34249532458009
10,34,3,17,0,0,0,1,99.0824138210452
46,26,7,19,1,0,0,1,128.43981102682957
25,15,2,29,3,0,0,0,96.00312613596746
32,18,6,15,1,0,0,0,98.3439768961472
17,24,0,19,2,0,1,1,100.05371380717746
13,27,7,12,2,0,0,0,88.07727249890569
4,22,4,15,2,0,1,0,78.59867584924312
16,27,4,22,2,0,0,1,104.757039228472
19,24,5,8,2,0,1,1,96.98670018855609
12,17,4,23,5,0,0,0,83.74261403703534
23,29,5,28,3,1,0,0,105.26795673280056
25,28,7,10,2,0,0,0,99.659676083809
21,26,9,24,2,1,0,0,99.92160976900227
41,21,5,12,2,0,1,0,108.508716025865
28,16,3,9,1,0,0,1,99.81513138543367
30,23,0,12,3,0,0,0,98.99820514868183
40,24,4,13,2,0,0,1,117.76113816803904
33,30,0,16,0,0,0,1,116.50107025562453
25,21,4,11,2,0,0,0,92.9711189997506
19,31,5,20,2,0,0,0,102.03940618171217
32,24,9,19,1,0,0,0,105.18873051678077
20,19,4,20,2,1,0,1,99.87434089813031
35,29,7,13,1,0,0,1,118.6050995081712
35,26,4,11,3,0,0,1,114.30829853901552
40,28,0,12,2,0,1,0,110.94381584426948
22,25,9,19,2,1,0,1,108.00359148971982
31,25,10,3,3,1,0,0,102.22779551573664
35,18,4,11,0,0,0,0,99.1298169881116
12,24,6,12,2,0,0,1,91.84399916200869
17,29,4,12,3,0,0,1,100.54073466015916
13,17,5,20,2,1,1,0,82.62736750457911
29,21,5,12,2,0,1,0,96.5232089355416
10,22,9,14,3,0,0,0,85.1004342996805
13,25,9,5,0,1,0,1,91.50109724004678
40,27,6,18,0,0,0,0,112.22133269518918
33,20,7,9,2,0,1,0,100.23887819256652
11,28,9,16,1,1,1,0,91.1797251240098
33,27,3,15,1,0,0,0,107.1146046627814
0,24,6,16,1,0,0,0,76.72016205752715
25,26,5,11,0,0,1,0,97.44234098507194
9,31,4,19,2,1,0,0,92.33765497711305
38,13,10,12,2,0,1,1,108.8664371353774
27,15,7,12,1,1,0,1,100.51333814329244
44,17,4,12,1,0,0,1,114.65741173317198
17,18,6,22,3,0,0,0,91.07233422636745
31,22,6,7,0,0,0,1,106.27701819720411
35,21,9,17,1,0,1,1,112.9735618746556
23,17,4,11,0,0,0,0,87.45126676476518
29,24,5,19,2,0,0,1,112.02889037982362
30,26,7,22,0,0,1,0,105.76643597326948
25,26,6,16,1,0,0,1,108.8461998049127
37,28,3,18,0,0,1,1,119.5029992570196
10,19,5,22,2,0,0,0,84.6669663977758
6,20,5,16,2,0,0,0,79.35919456079333
25,22,4,12,0,1,0,1,103.04163743524688
34,25,9,15,1,0,0,1,113.9553506412352
39,24,4,14,3,0,1,0,111.33205951910696
49,29,6,8,2,1,0,0,121.84954671460224
29,27,3,16,1,0,0,1,110.75138861135956
28,22,8,8,2,0,0,0,96.74410271043496
25,28,3,15,1,0,0,0,98.97546128257628
0,19,6,13,2,0,1,1,80.99312497647308
34,25,9,14,3,0,0,1,117.4411594270615
36,18,2,16,4,0,0,0,101.63544206200866
29,17,4,18,2,0,0,0,97.66341944367376
31,14,5,7,1,1,1,1,99.1601151583341
9,21,1,15,1,1,0,0,80.13994600744151
32,25,8,15,1,0,0,0,106.40168290219545
23,27,4,15,2,0,1,1,107.2671043671187
24,20,3,21,2,0,0,0,96.81034215804134
25,23,1,15,2,0,0,0,97.44268395324669
25,20,3,13,2,0,1,0,95.0174602712728
