worker_age,years_of_experience,hours_worked_per_week,income,union_membership,completed_job_training,has_benefits,received_minimum_wage_increase,job_satisfaction
21,18,6,20,1,1,1,0,104.6881588632741
29,26,1,9,1,1,1,0,102.47997959446954
39,29,8,15,1,1,1,1,135.93314544336857
18,23,4,21,1,0,0,1,109.02632975411169
46,20,2,8,1,0,1,1,121.62097686704736
24,22,7,21,1,1,1,0,110.944261539752
25,21,5,12,1,1,1,0,100.79054765663976
27,23,7,18,1,1,1,0,112.759040324189
34,24,2,16,1,1,1,0,113.61279105122132
24,18,8,20,0,1,1,1,117.2094101408884
39,27,8,2,1,0,1,0,109.38913703305438
28,18,5,6,1,0,1,0,95.25496791159536
37,22,8,18,0,0,1,1,128.74848506857796
36,20,5,14,1,0,0,0,111.07062977420576
33,27,5,13,0,0,0,0,112.3657217219691
15,24,8,26,1,1,1,1,118.56284240183496
34,24,3,9,1,0,0,0,106.34315716781175
31,18,7,20,1,1,0,1,121.83844093030628
24,23,1,12,0,1,1,1,107.68252265344849
28,21,4,11,1,1,0,0,99.896945697785
9,24,6,12,0,1,1,0,86.78543033869263
36,20,7,17,0,1,1,0,116.244793712281
8,28,4,20,1,1,0,1,105.14154558566167
8,19,6,13,1,0,0,1,92.43473370443584
17,34,9,16,1,1,0,1,116.39577418768744
30,20,5,11,1,0,1,0,102.62682693988826
18,23,6,19,1,0,0,0,104.72181529249664
20,26,7,18,1,1,0,1,113.61765543748292
26,22,6,14,1,1,0,0,104.60553294577886
30,27,2,12,0,1,1,1,115.54151668627712
38,25,5,14,1,0,0,1,126.35638756626368
38,27,5,14,1,1,1,1,128.48067647433666
25,26,9,20,1,0,1,1,123.76003629148454
23,22,4,11,1,1,1,0,99.3667300135844
19,28,8,13,1,1,1,1,111.51776046106777
26,19,8,16,0,1,0,1,114.32012729173312
24,27,7,11,0,1,1,0,104.1382243401388
19,26,3,20,0,1,0,1,110.9404901800186
36,26,2,16,1,1,0,1,124.065164616684
22,25,5,17,1,0,0,0,105.1108388076403
37,25,3,18,1,0,1,1,129.03581195359865
31,24,4,11,0,1,1,0,108.11839667451252
21,18,5,19,0,1,1,0,102.06424513211915
15,25,6,10,1,1,0,0,92.20316768188832
