resident_age,income_level,urban_residence,employment_status,public_transport_subsidy,public_transport_usage
19,24,1,0,0,79.10890734011761
39,18,0,1,1,92.79886755234534
14,22,1,1,1,80.72367605719927
20,20,1,0,1,82.1767435839006
21,20,1,1,0,78.48419327628339
27,23,1,1,1,90.62799283734796
25,18,0,0,0,77.84766968948901
28,23,1,0,1,89.36686163299528
26,24,0,0,0,83.6156972770285
23,35,1,1,0,88.39382678070842
49,19,0,0,1,100.27025358522438
20,29,0,0,0,79.62120515541119
33,18,0,0,1,90.06970580409755
13,25,1,0,0,76.73135540815093
11,27,0,0,0,74.69323397254492
27,25,0,0,1,89.88821424520144
31,24,0,1,1,92.9600466645163
25,22,1,1,0,80.40069590875794
16,28,0,0,0,76.93664599209468
17,30,0,1,0,78.22744753045893
20,26,1,0,0,81.46786210084997
28,26,0,1,1,90.04651589512964
14,11,0,1,1,73.52157516450443
11,25,0,0,1,79.9404830762462
27,22,0,0,1,88.20265368278683
28,23,1,1,1,89.05793760370841
25,22,1,1,0,81.5203813460565
19,23,0,1,0,78.37730741570807
36,22,0,1,1,94.28272340355888
35,23,1,0,1,95.3790978649748
19,27,0,1,1,86.0712106519729
27,26,0,0,0,84.66752826500418
16,18,0,1,1,78.69555311406664
18,29,0,1,1,86.14906643550628
19,28,1,1,0,81.75383884176861
20,21,1,0,0,76.95981874334173
18,29,1,1,1,87.49730349413036
35,19,1,0,1,91.53831971060828
17,26,1,1,0,81.04813261031967
43,27,0,1,1,100.42107881079944
21,18,1,1,0,78.86187893517452
37,20,0,0,0,88.9700217599923
27,27,0,1,1,91.08707169844332
17,15,0,0,0,72.43836124386023
18,23,0,0,1,83.90750457686212
20,23,0,0,0,78.31632371361958
13,23,1,0,1,79.25633416714133
7,21,1,1,1,75.52898881414842
16,30,1,1,1,85.10751706053753
30,27,1,0,1,92.53316041859166
29,24,1,1,0,85.61587082967696
38,21,0,0,1,94.959185727736
13,21,0,0,0,73.91073040096447
17,20,0,0,0,74.14786620601524
22,12,0,1,1,80.91997785817725
12,27,1,1,1,82.37800746027737
31,16,0,1,1,87.06016221435995
34,22,0,0,0,86.57721253858243
35,21,1,1,1,93.29191487529
19,25,0,0,1,85.82465420555903
23,20,1,1,1,85.24400703800394
20,30,0,0,0,78.70357426928425
26,23,1,0,1,87.9786059647598
39,19,1,0,0,86.42854063341126
40,27,0,0,0,94.00914160453692
35,26,0,1,1,95.00537382962057
25,17,0,1,1,84.85590441731884
35,25,0,0,0,88.26810091465417
26,23,0,1,0,81.66963749119553
15,25,1,1,0,75.58963656366937
44,20,1,1,0,93.7156133443766
22,33,1,0,1,91.61723878875266
22,21,0,1,1,85.6530194864396
25,25,0,0,1,86.73020202522515
15,28,0,1,0,78.7106917700704
39,25,0,1,1,99.32363892995954
20,21,1,0,1,83.6864125944214
44,17,1,0,1,95.99528120468116
24,25,1,0,0,83.46050590259209
21,20,0,1,0,77.4464802784314
19,21,1,0,1,82.50994718835764
29,23,0,0,0,84.39441622984424
24,28,0,0,0,81.60653689230823
21,22,1,0,0,78.86023092109347
31,35,0,1,0,92.64353639576456
20,25,1,1,1,86.98725603672086
13,24,1,1,1,80.72995377738347
13,25,0,0,1,78.65048338986173
25,33,1,0,1,93.52162436751868
23,25,0,1,1,87.55199107088131
28,19,1,0,1,87.42031724483897
43,20,1,0,1,99.4558061455414
29,21,0,0,1,88.12850174069862
36,26,1,1,0,92.0014683168092
24,29,0,1,0,83.76460638149216
17,26,1,1,0,78.3176502202159
30,19,1,1,1,88.30791563088219
27,23,0,0,1,86.7082530400366
26,20,1,0,1,88.51257163641644
15,22,1,0,0,74.35872210946192
20,14,1,0,0,73.06252788904513
3,25,0,1,1,72.64831569225925
21,22,0,0,0,77.92650968035946
20,23,1,0,0,78.91424089443713
22,28,0,1,0,82.2926964795733
37,25,0,1,0,91.21846876289588
42,27,0,1,1,100.03252197809722
16,21,1,0,1,81.2733606340288
9,23,1,0,1,77.28728665643204
32,24,1,1,0,87.7220545135892
19,26,1,1,1,88.43302794792916
34,28,0,0,1,94.2893127430922
18,27,1,1,1,86.39406805534702
34,18,1,1,1,91.82376960445568
8,18,1,0,0,68.17694257233651
41,19,0,1,0,91.24910208658106
5,26,0,0,0,69.2669872375872
10,22,1,0,0,70.95794414200374
15,19,0,0,0,72.34748568769149
26,30,0,0,1,91.85007648859973
9,17,1,1,0,66.98888228678253
36,25,0,0,0,90.42710848119977
21,24,1,0,1,85.69243714516062
35,22,0,1,1,94.87222893833928
32,20,1,0,0,84.85016566512446
43,30,0,1,0,96.85073206700108
10,25,1,1,0,72.52046230131405
25,27,0,0,0,82.66246442616146
34,27,0,1,1,95.22107600019562
39,22,1,0,1,98.22474688987226
36,28,1,0,0,92.85207098506504
25,23,0,0,0,80.2157959551221
13,22,0,1,0,72.99724949458127
31,24,0,1,0,84.62358782423998
28,24,1,1,0,85.42392337957178
39,18,1,1,0,90.26392010928728
7,25,0,1,1,77.38826628375439
15,30,0,1,1,85.13899933571926
