defendant_age,lawyer_experience,prior_convictions,legal_aid_received,accepted_plea,restorative_program,recidivism_rate
30,25,1,0,1,1,93.35054515951624
25,25,1,1,0,1,91.62915202837604
21,26,0,1,0,1,91.8261188216038
20,17,1,1,0,1,82.92529447069528
17,22,0,0,1,1,84.8665330644757
19,20,1,0,0,1,83.81487619084179
31,25,1,0,0,0,86.64549628792315
25,19,1,1,0,1,84.26011683232706
39,33,0,0,1,1,101.94864067258573
18,24,0,0,1,1,87.31411274187217
26,27,0,1,0,0,85.90659414529007
27,29,1,0,1,1,95.09894999195718
21,29,1,0,0,1,94.67504574928702
29,21,1,0,0,1,90.4327017783278
35,27,0,0,0,1,93.46704530686388
19,19,1,0,1,0,74.91797260245127
26,20,1,1,0,0,78.41698339662507
35,27,1,1,0,1,96.77609369109476
25,22,0,0,0,1,85.30287594257551
6,29,0,1,0,1,87.57269571063095
39,21,0,0,0,1,91.5028885075642
30,28,0,0,1,0,86.54740713601282
19,17,0,1,1,0,73.32166499849666
36,26,0,1,1,0,88.28104611770229
10,24,0,1,1,1,83.6564536192374
20,27,1,0,1,1,91.93508904411551
32,35,1,0,0,0,97.3324059072494
19,26,0,0,0,0,81.0986627970231
32,26,0,0,1,0,86.25115608003115
24,22,1,0,1,1,88.78490897739798
25,14,1,0,0,1,79.76287798669365
20,22,1,0,1,1,86.59519644881868
44,26,0,1,0,1,97.42077576057068
20,19,1,0,0,0,76.72430987273886
17,17,1,0,0,0,74.83759453761374
39,27,1,1,1,0,89.67670669296346
20,33,0,0,1,0,86.89301670011547
33,18,1,0,0,0,80.29322989819363
9,22,0,1,0,1,81.63329721713694
20,24,1,1,1,1,89.4919188183244
22,21,0,0,0,0,78.77552713565747
38,26,1,1,0,1,96.6256725824314
19,23,0,1,1,0,78.73677668709944
31,24,1,1,0,0,84.32507381313363
17,17,0,1,1,0,72.87880110564821
-7,22,0,0,0,0,68.74712715843515
31,25,1,0,0,1,93.53996277284098
14,19,1,0,0,1,83.89147762948113
11,28,0,1,0,0,82.6046802659233
6,25,0,0,0,0,75.76917432789092
15,29,0,0,0,1,90.32767721275884
28,27,1,0,1,0,87.81248556536843
44,24,0,0,1,0,86.83584697072581
33,27,1,0,0,1,96.45096117807452
46,32,0,0,0,0,95.97223461568362
33,24,0,0,0,1,91.43709603487552
23,19,1,0,1,0,79.35125745747467
