participant_age,annual_income,homeownership_status,previous_loan_history,employment_stability,loan_granting_policy,loan_repayment_status
9,20,0,0,0,1,71.32523322635764
38,19,0,1,1,1,73.45380456366064
20,28,1,0,0,1,81.4526676982444
26,27,0,1,0,0,77.48415207173183
35,22,1,0,1,1,77.83751508465235
21,20,0,1,0,1,75.4709489872358
34,20,1,0,1,0,70.30827619940861
15,27,0,1,1,0,76.7353091072201
26,29,1,0,1,1,82.20944915796258
28,30,1,1,1,0,80.11100331265858
21,19,1,1,1,0,69.64307304093647
24,22,0,1,1,1,75.58833539359921
17,27,0,1,0,0,75.20545040604094
19,21,0,1,0,1,75.23500780705598
31,31,1,1,1,1,85.76533954013179
22,29,0,1,1,1,82.70114963656737
33,21,0,1,1,0,72.40838663847025
25,19,1,1,1,1,73.79215233810919
20,18,1,1,0,1,70.68880148833416
24,22,0,1,0,0,71.58751055076611
-7,22,1,1,1,0,71.1238932958495
20,20,1,1,0,1,74.53350898628852
42,24,1,0,0,0,73.7025761049457
25,26,1,1,1,1,79.88358269724888
1,26,1,0,0,1,76.51822025657623
39,25,1,1,0,0,75.527256318394
34,22,1,0,0,0,70.92534714309457
27,18,1,0,0,1,73.94428311478356
35,22,1,1,1,0,73.75967958671569
47,24,1,1,1,0,77.01744487667048
28,18,1,0,1,0,69.74807794026525
19,27,1,1,1,0,75.875276919071
38,19,1,1,1,1,77.54174900537545
42,23,0,1,1,0,76.12156616944779
4,19,1,0,1,1,71.59873071807426
30,24,0,0,1,1,76.70855739030823
24,19,1,1,0,0,69.21618793137114
-2,18,1,0,1,0,64.51243833749085
46,21,1,1,0,1,76.15386137718438
21,14,1,0,1,1,70.02940055167805
35,28,1,1,1,0,79.28409695960751
21,25,0,1,1,0,75.57036194012866
27,26,1,1,0,1,80.79310312344188
32,23,1,1,1,0,75.77064502943688
30,25,1,0,1,1,80.56451718859441
26,29,1,1,1,1,82.61352778226971
16,18,0,1,1,0,69.0348265138623
16,18,1,1,0,0,68.43019636437337
35,21,1,1,1,0,73.14003068213219
15,23,0,1,0,1,76.15792482904175
21,22,0,1,1,0,71.92094042008347
18,19,1,0,0,1,71.89421103724793
-9,13,0,1,0,0,61.05674046756228
23,25,1,1,1,1,79.2926100375681
13,25,1,1,0,1,77.91991970261266
25,20,1,0,1,0,70.80461498703906
23,21,1,1,1,1,76.00908806227086
39,20,1,0,1,0,70.31913026777657
32,25,1,1,1,0,77.2286784340791
27,17,1,0,0,1,71.70857553977447
17,23,1,1,1,0,73.44388594796845
31,25,0,0,0,1,76.51733871639586
37,25,0,0,1,0,74.23674834262268
24,22,1,1,1,1,77.65359160660968
22,36,1,0,1,0,84.85373013493506
13,23,0,0,1,0,71.1557370822316
6,28,1,1,1,1,81.92417924763576
23,24,0,0,0,0,71.69874944102594
29,24,1,1,1,0,75.52195664019014
14,25,1,1,1,0,75.28328919360693
57,32,1,1,1,0,84.46480699525827
40,22,1,1,1,1,76.77270936107475
23,26,1,1,1,0,75.58185471376035
12,29,1,1,1,1,81.97280274156661
-10,18,1,0,1,1,70.78461889791797
39,25,0,0,0,1,81.52120859703241
8,25,0,1,1,0,73.38487979614568
23,21,1,1,0,0,71.06190893578534
21,28,0,1,1,0,76.17988935081895
26,22,1,0,1,1,76.274436667508
29,22,1,1,1,1,78.02593645953566
25,23,1,0,1,1,75.46147334531368
22,30,1,0,0,0,76.68704226749004
16,29,0,1,1,0,76.83133200065406
24,23,1,1,1,1,77.17889471103047
40,23,1,1,1,0,75.08816234151921
23,22,1,1,1,0,72.20015402461304
1,27,1,1,1,1,79.67046787239899
26,17,1,0,1,0,67.42652939809825
27,21,0,1,1,1,75.09104389195832
41,23,1,1,0,1,79.44692663549964
29,26,1,1,1,1,81.55910392002892
15,25,1,1,1,0,75.05753205133598
18,24,1,0,1,1,77.74516187492382
14,23,0,1,1,0,71.15103807436988
21,28,0,0,0,1,79.5647605612697
13,25,0,0,0,1,78.1562783761558
29,26,1,0,1,1,79.98437105745693
30,20,1,1,1,1,76.15449187903536
21,20,1,0,1,1,74.41467495350159
13,18,1,0,0,1,71.18689305964773
33,26,1,1,1,1,82.00127720988725
38,23,0,1,1,1,78.58558628210533
43,25,0,1,0,0,77.76813478584074
18,16,0,0,1,0,67.25647452270037
24,25,1,1,1,0,74.09648079265503
