individual_age,years_of_education,employed,internet_access,rural_residence,digital_literacy_program,internet_usage
26,21,0,1,0,1,67.74523548627052
5,27,0,1,1,1,50.634988967201934
13,25,1,0,1,1,57.22680815788789
39,26,1,1,0,0,77.13973934177032
19,21,0,0,0,0,61.3322283008388
15,21,0,0,0,1,56.842663617609816
21,24,0,0,0,0,62.84015251501484
12,23,0,0,0,1,56.12148857787861
14,25,0,1,1,1,58.15795018689139
-2,23,0,0,1,0,47.04768082204858
22,27,0,1,0,0,61.71177806485313
42,19,0,0,0,1,78.78903895546713
31,23,1,0,1,1,71.55025432709364
27,23,1,1,0,0,66.02479814550279
9,20,0,1,1,0,53.64927105869768
3,23,0,0,1,0,49.3468129248353
36,21,1,0,1,1,77.18462368969453
28,29,0,1,1,1,68.98660472994324
17,26,0,0,1,1,60.02688064214882
13,26,0,1,1,0,56.41972077598014
21,20,0,0,0,0,60.83402516483229
22,28,0,0,0,1,65.00707221592164
18,18,1,1,1,0,60.784210514545634
27,20,0,0,0,0,67.79124187207881
5,22,0,0,1,0,50.09888868761848
16,22,1,0,0,0,57.88906075476443
42,16,0,0,0,0,78.17034887856718
27,25,1,1,0,0,67.56668945833002
23,27,0,0,0,1,64.82409941306116
13,24,0,0,1,0,55.60805069066308
20,22,1,1,0,1,62.77841966421845
29,18,1,0,1,0,69.01555155184948
4,16,0,0,0,1,50.86846170811516
13,14,0,0,1,0,58.41132454928614
29,16,0,0,1,0,67.0192298305476
32,22,0,0,1,0,69.42061978041934
13,24,1,1,0,1,58.48031059373449
12,24,0,1,0,0,55.6388782773159
17,25,0,0,1,1,60.78359276755479
33,20,0,0,0,0,71.0015174755177
19,17,0,0,0,0,58.39626275897138
11,15,1,0,0,1,56.968226318486025
15,20,0,1,0,1,56.35133890935218
20,19,1,1,0,0,61.236311346917
27,26,1,0,0,0,66.51773201066769
23,25,0,1,1,1,65.16476593268993
10,21,1,1,1,1,55.37289067744872
13,27,0,0,0,1,57.28372816307896
28,24,1,1,1,0,66.92317126148845
33,25,1,0,1,0,71.50596843634332
14,21,0,0,1,1,59.18101533678155
28,23,1,0,0,1,68.07418908114253
10,24,1,0,0,0,53.551386052079096
24,22,0,1,1,0,65.08027051640948
27,33,0,1,0,1,69.29014759873061
37,22,0,1,0,0,75.25490176704614
36,22,0,1,0,0,72.95943839570019
24,29,0,1,0,1,65.225993699566
24,16,0,0,1,1,66.04935872089852
19,19,1,0,0,0,59.96207980881913
25,26,1,1,0,0,65.53597641019697
25,21,0,1,1,0,66.04989352582913
7,9,1,1,1,1,53.86092584923283
16,21,1,0,0,0,57.5202227538044
20,25,0,1,0,0,62.07771815296799
9,27,0,1,0,1,56.69712430995066
35,23,1,1,1,1,74.13138982092002
17,27,0,1,1,0,60.06966993322277
18,26,0,1,0,0,60.17595468470555
42,27,0,0,1,1,78.58240021956972
38,29,0,1,1,0,76.1387171697845
30,23,1,1,0,0,68.67251304811404
35,30,0,0,0,1,72.81660068204677
11,24,0,1,0,1,56.44076867240089
11,16,0,0,0,1,57.36178344363341
23,20,0,0,0,1,64.35733573851091
28,29,0,1,0,0,67.94273212598411
34,23,0,1,0,0,70.52870934381562
23,23,0,0,1,0,63.14688960093649
21,21,1,1,1,0,63.135303475988536
25,30,0,0,0,0,65.54358316364387
30,21,0,1,1,1,70.05943796873868
-3,26,1,0,0,0,43.20018588353493
27,16,1,1,1,0,67.10238683338353
29,24,0,0,0,0,67.9098854002525
9,14,0,1,1,1,56.678790690245854
31,26,0,0,1,1,72.07823057010634
32,26,0,1,0,1,70.26381285121674
15,20,1,0,0,1,59.07467146710837
15,25,1,0,1,0,57.336066983271415
11,29,0,0,0,1,55.74588827459371
49,28,0,0,0,1,84.11806221238693
30,26,0,1,0,1,69.18231371218916
32,25,0,0,0,1,71.17839917354199
25,22,0,1,0,1,66.43221713019743
10,24,1,1,0,0,56.08381041934227
17,25,1,1,1,1,62.08847252721197
11,20,1,0,0,1,56.29218530263183
35,20,0,0,1,0,72.09164289997791
