student_age,parent_education_years,classroom_size,rural_school,tutoring_access,online_program_participation,final_grades
13,19,5,0,1,1,75.38988969479031
16,32,5,1,0,0,80.08990500452178
13,24,1,0,1,0,72.03936757618936
13,22,2,1,0,1,76.877894876254
18,22,6,0,0,1,78.95557157276117
23,29,8,0,0,0,79.97558141342309
13,19,10,1,1,1,77.92981441043612
44,23,7,1,0,1,82.61980560389644
29,29,1,0,1,0,78.45171752847925
3,27,4,1,1,0,73.63288893685312
21,23,6,1,0,1,79.41156869806144
29,23,10,1,1,0,76.08294535731623
29,16,4,0,0,1,74.2238261073986
29,17,6,1,1,0,70.96433740301794
12,23,7,1,1,1,79.20997070932233
26,24,8,0,1,1,82.04491209412114
39,30,4,1,1,1,85.8200298106686
20,24,9,1,1,0,75.56790069330513
42,21,6,1,1,1,80.51399346109832
15,27,6,0,1,1,82.12323351096302
14,24,5,1,0,1,79.39046110069643
13,20,3,0,1,1,76.20175680397689
30,25,5,1,1,0,76.0829727256712
20,26,7,1,0,1,83.24176114523237
12,19,6,0,0,0,68.73547888754302
17,24,6,0,1,0,72.02921293073462
20,20,9,1,1,1,80.66594252143578
22,22,5,0,1,0,72.66212267041868
49,27,6,1,0,0,79.51265755828088
23,18,3,1,1,1,75.81146602608156
17,25,6,1,1,1,81.2197455162002
4,27,4,1,1,1,83.3144936604151
12,20,5,1,0,1,76.35137856353461
26,21,5,0,1,1,77.1985339050159
32,30,7,1,1,0,79.38874899075545
1,17,5,1,1,1,72.94015591569615
29,22,7,1,1,0,74.18359268639249
25,19,6,1,1,1,80.18202989861858
22,29,7,1,0,1,83.6140058036895
34,23,5,0,1,0,73.91674672935834
30,27,6,1,1,1,85.89912056073695
28,15,5,1,1,0,67.41226166834194
10,18,7,1,1,0,69.89008982977901
14,23,6,0,1,1,78.40395680048272
19,21,9,0,1,0,71.18488910377283
31,20,5,1,0,1,80.90571351782509
14,22,8,0,0,1,80.1059745963591
44,23,5,0,0,0,74.43181058720121
19,25,5,0,0,1,82.76765224487394
22,25,6,1,1,1,80.7529663911253
31,26,3,1,1,0,77.18263686240257
18,22,4,1,1,0,72.04171442435141
19,23,6,1,0,1,79.54763306455561
