individual_age,education_years,income,weekly_working_hours,job_experience_years,union_membership,job_training_program,job_security_policy,job_satisfaction_level
24,21,5,24,2,0,1,0,92.66087221719278
14,23,7,15,2,0,0,0,81.13789277022168
31,20,3,18,2,0,1,0,94.368117502771
25,26,7,20,0,1,0,0,93.55829532609609
25,25,6,17,2,1,0,0,89.18400717080408
1,25,6,11,2,1,0,0,72.86370776053396
20,25,5,17,1,1,1,0,88.35674948084126
28,21,7,22,1,1,1,1,99.61666922347604
39,27,8,7,3,1,0,0,99.14222079993334
18,22,6,20,1,1,1,1,93.76663754769535
33,21,4,7,1,0,1,0,89.18479334720165
24,18,3,16,0,1,1,1,92.61996846474308
46,25,4,25,0,0,0,1,118.4436947070517
34,26,3,8,1,1,0,0,94.80701904473256
22,24,8,17,1,1,1,1,95.2488709957236
16,28,3,14,0,1,1,1,94.20975211614432
27,27,6,17,1,1,1,1,101.31558341922916
12,27,5,14,1,1,1,0,83.75541609007581
32,19,5,22,2,0,1,1,99.99298269912002
40,30,4,19,1,1,1,0,106.75801804520944
28,23,8,20,2,1,0,1,99.60750760744337
18,19,12,14,2,1,1,1,87.35534799123194
32,18,4,10,1,0,1,1,94.14771218277212
14,26,6,16,0,0,1,0,85.25830208339934
29,24,6,16,1,1,1,0,93.21711783994552
29,17,4,18,1,1,0,1,94.91922065260964
34,22,6,22,2,1,1,0,98.83449060769296
26,26,3,10,0,1,1,0,88.98330168250887
34,21,5,18,1,1,1,1,102.82428614644188
17,26,4,16,3,1,0,0,87.77612797654149
5,27,6,16,0,0,1,0,80.02618060399817
17,26,4,13,2,1,0,1,93.5595403394296
34,21,9,15,3,0,0,1,100.94831153723013
33,26,7,15,1,0,0,1,105.88014939080148
44,21,5,22,2,0,0,1,110.63866299817433
23,21,3,18,1,1,0,1,95.15696979914168
26,19,8,7,1,1,1,1,87.89122732219181
25,28,6,12,1,1,0,0,91.72249249302232
5,24,8,21,0,1,1,1,87.64246140950776
21,27,5,18,3,0,1,0,90.96056535805523
18,20,4,15,2,0,1,0,81.74742175284914
12,29,4,10,1,0,1,0,83.45460737622291
21,19,6,19,1,1,1,1,92.08803100780668
12,21,4,20,2,1,1,0,82.09638609930593
23,20,5,15,1,0,1,0,84.02777940904294
-7,23,5,18,1,0,1,1,78.1896044359664
18,19,10,16,1,0,0,0,82.68919604295083
1,26,6,8,3,1,1,0,72.80915076098348
13,19,7,10,0,1,0,0,75.78814896254273
28,28,8,18,2,0,1,1,105.23663914158097
12,17,5,15,1,1,1,0,76.63993757870391
22,26,9,14,1,1,1,0,89.27443551045836
24,25,7,23,2,1,0,1,101.72990831272476
15,22,7,16,2,1,0,0,82.47009018396717
28,27,6,7,2,1,1,0,89.02492230901832
25,19,6,22,1,1,0,0,89.36958169242561
0,21,4,19,1,0,1,0,71.76683082643557
33,30,10,12,1,0,0,0,99.55971631816276
25,21,5,13,2,1,0,1,92.98140322272016
47,23,7,10,2,1,1,1,109.04947674790094
28,22,7,11,3,1,1,1,95.27211797650374
22,27,11,4,1,1,0,0,84.37737616127876
29,25,10,21,2,1,1,1,105.68477896985546
31,24,4,17,3,0,1,1,104.03591699198208
21,19,2,14,3,1,1,0,83.75153785390496
32,27,4,18,0,1,1,0,99.22926985051376
18,25,8,13,0,0,0,0,84.15814276506455
46,23,4,17,2,1,0,1,110.83642862575036
33,26,8,8,0,1,1,1,99.6651898066464
17,27,5,13,2,1,1,1,93.17743923249918
36,25,10,21,1,0,1,1,108.4392382722376
13,21,6,11,0,0,0,1,85.29530786154885
29,24,6,13,2,1,1,0,90.75955498172108
22,23,5,11,1,1,1,0,86.10701993939324
15,18,8,12,1,0,1,1,84.63377150662087
16,26,8,19,1,1,1,1,93.27082829864928
11,23,5,15,1,0,1,1,87.19492781850542
11,18,7,19,0,1,1,1,86.95407629656658
23,23,8,14,2,0,1,1,94.74357759623852
11,18,7,3,1,0,1,0,67.62314034719495
32,25,5,16,3,1,1,1,101.7970491762052
17,28,3,16,0,1,1,0,90.6288443036
14,25,3,14,2,1,1,1,90.62484883451503
20,22,5,19,4,1,1,0,88.21689735361171
34,20,9,20,1,1,0,0,95.21975146199028
27,20,4,14,3,0,1,1,94.80192585756072
26,19,3,15,1,0,1,1,93.11685465481898
42,28,2,11,0,0,1,1,109.17246079577885
13,24,4,13,2,0,1,1,86.97780835845892
22,24,8,6,1,1,1,1,92.9994526064701
30,26,6,21,2,0,0,0,95.30692866723294
42,25,6,18,4,1,0,0,102.43902042174028
23,27,4,22,3,1,1,1,100.72875167140025
34,23,9,20,2,1,1,1,106.17344614234348
17,24,5,17,2,0,1,0,85.37432464796267
31,29,6,22,2,0,0,1,107.52083890491112
16,20,6,18,0,1,1,1,88.98672567943203
39,35,8,11,3,1,1,1,112.79214202530773
40,20,5,14,1,1,0,1,102.415421338421
36,21,6,11,2,1,0,0,93.65326186902342
18,20,4,16,2,1,1,1,87.93967728422167
27,24,5,19,1,1,0,0,92.0335784859726
40,17,9,6,3,0,1,0,88.12966825663445
13,26,7,18,3,0,1,1,93.26234757159446
17,19,4,7,2,1,1,0,76.90867102634832
32,24,7,5,2,1,1,0,91.3786963939349
27,16,10,24,1,1,0,1,95.30733402855408
21,27,6,20,3,0,0,1,97.8936119542892
23,25,6,18,0,0,0,0,90.31375638695376
18,32,2,16,3,1,1,0,92.5490338616088
46,23,7,13,1,1,0,1,109.71484544411037
8,23,5,15,2,0,1,1,86.19800934229832
9,30,2,11,0,0,1,1,89.50921335930148
18,27,5,12,1,1,1,1,94.33406715548487
17,23,7,21,0,0,1,1,96.67603303492548
21,17,5,15,2,1,0,0,80.97433844458183
30,20,8,17,4,1,0,0,91.22939693816475
28,20,8,17,1,1,0,0,88.7376499692035
20,22,6,15,3,0,0,0,82.79291489264148
27,17,5,12,2,1,1,1,90.93585865856892
13,16,5,19,2,0,0,0,77.98527962827987
30,21,4,17,0,1,1,0,91.81076751664814
19,25,6,14,1,0,1,0,85.68717502170925
26,21,7,14,2,1,1,1,95.00883452085714
27,20,6,13,0,1,1,1,94.31582704316742
32,20,2,21,1,0,1,0,93.9269126094063
48,30,7,15,2,0,0,0,109.73221438178194
32,20,3,14,0,1,1,1,96.832598191891
49,29,5,20,1,0,1,1,120.08343040552934
23,27,3,22,1,1,0,0,94.37075900014328
44,23,6,14,1,1,1,0,99.82883435354812
38,25,4,19,2,1,1,1,109.66381612562787
27,24,9,27,2,1,1,1,105.30316169030166
21,27,5,20,2,1,1,0,91.3260871024972
16,27,8,13,2,1,1,1,91.86013757712986
40,27,2,22,1,1,1,1,111.61649146582717
9,18,5,15,2,1,1,0,75.41760935787856
11,26,4,14,3,0,1,0,81.24013197344804
19,21,4,20,1,0,1,1,93.04113013000077
17,22,4,14,0,1,1,0,82.83617014058325
25,27,3,15,1,1,1,1,98.73092366006266
29,25,6,15,1,1,1,0,91.12428623720312
32,28,9,18,2,1,1,1,108.79054196017248
29,28,8,17,4,1,1,1,102.30650383009424
29,25,2,20,1,0,1,0,97.3347198146586
7,27,6,13,2,1,1,0,79.08771775060254
34,19,8,16,0,1,1,0,91.00947715483872
16,20,3,18,0,0,1,1,88.01333155511954
20,26,9,14,1,1,1,0,89.08973055239792
24,25,5,20,0,0,1,0,93.11312036730529
20,23,8,23,3,1,0,0,90.76594295387692
17,16,6,10,3,0,1,0,76.04265062273711
9,30,3,16,2,1,1,0,82.85356537681906
32,27,6,14,2,1,0,0,96.0983725239533
14,20,3,12,1,1,1,1,85.39527345978496
10,16,9,18,0,1,1,1,81.48422253773215
13,19,2,17,1,1,0,1,86.65707143947502
21,20,3,17,3,1,1,0,83.02500642636203
33,16,6,17,2,0,1,1,96.63787217434184
8,28,5,14,2,0,0,0,80.7671475093336
31,26,7,10,1,0,1,0,90.75315879332516
17,27,5,13,1,1,1,1,92.27413448270056
22,33,7,23,1,1,1,0,100.500973864802
26,28,4,10,1,0,1,0,90.85718626382528
22,21,5,22,2,0,0,1,97.09835866774392
26,23,3,14,3,1,0,1,97.0113952440544
20,28,6,13,3,1,1,1,96.57260808579436
27,21,5,10,0,1,0,0,85.8682414664962
31,24,10,22,2,1,1,0,97.11260111084296
15,26,3,14,2,0,0,0,83.54880008672245
39,26,10,15,2,1,1,1,108.58525615336576
20,20,6,9,1,0,1,1,88.06439248029646
17,22,0,6,1,1,0,0,78.23230052801327
38,22,8,13,2,1,1,0,96.20478678808296
27,27,5,16,1,0,1,0,94.48075679772964
2,22,4,20,3,1,0,0,75.29911355947658
34,26,3,18,1,1,1,0,99.58741867188226
46,25,8,25,1,0,1,1,115.7468251178651
23,29,2,11,3,1,1,1,96.67898853957146
24,21,11,19,1,0,1,0,89.04287587257187
13,26,3,25,3,1,0,0,88.4398345985671
10,23,6,14,2,0,1,0,81.10342634655791
20,22,7,19,0,1,1,0,86.64546035924647
29,26,2,15,3,1,0,0,94.1926814130762
19,25,9,21,1,1,1,1,94.86330531042042
37,24,10,9,1,1,0,0,94.57960184847222
31,20,5,19,2,0,1,1,100.546738147271
30,22,7,13,1,1,0,0,90.9963103815316
10,26,5,10,2,1,1,0,78.24945532732421
27,22,5,10,2,1,1,0,86.52147091225947
14,25,7,13,3,1,0,1,90.5634036571295
18,30,3,16,2,0,1,0,90.21796979506767
40,20,5,15,2,1,1,1,103.23090730748233
31,29,4,25,1,0,0,1,109.54273616371948
15,25,5,23,3,0,0,1,93.92801566304496
23,20,5,20,2,0,1,1,97.2768564787577
21,18,4,8,3,1,0,0,78.70180052884452
24,27,2,10,3,0,1,0,87.1018718614856
9,21,6,17,1,1,1,0,78.52165965852387
27,23,8,11,1,1,0,1,94.83161074102463
31,25,6,13,1,1,1,0,92.68807617236284
35,27,6,21,1,0,0,1,108.888135852391
26,27,5,10,2,0,1,1,97.907295996974
13,22,7,22,1,1,1,1,90.67171016798136
28,19,5,11,2,1,0,0,86.64771756490626
25,28,1,21,1,1,0,1,104.09940832061189
