age,education_years,income_level,number_of_dependents,rent_or_own,urban_or_rural,employment_status,received_subsidy,policy_intervention,housing_stability
23,24,5,16,1,0,0,0,0,101.65424957954268
19,26,8,14,0,1,0,0,0,99.05972531245136
20,28,10,17,2,0,1,0,0,104.65521734616088
15,18,2,18,2,1,0,1,1,99.7265054036592
21,22,5,15,1,1,0,0,0,99.063707693675
15,20,2,13,1,0,0,0,0,87.3985841244931
20,25,6,20,3,0,1,0,0,105.45772578128272
17,26,5,21,2,0,0,1,1,110.93162111157328
22,21,5,19,2,0,0,1,1,109.46833451059338
20,26,4,19,3,0,1,1,0,105.17350454624189
30,25,7,18,2,0,1,1,1,120.571516891572
21,32,7,17,3,0,0,1,0,108.91268572935604
17,32,4,17,2,1,1,0,1,111.0961700019553
27,22,5,19,3,1,0,0,0,107.26503262349956
22,24,4,13,2,0,1,0,0,98.55157270719047
17,29,6,24,0,0,1,0,1,115.60957371146824
22,25,5,8,0,1,0,0,1,101.90801862248377
33,15,0,19,1,1,1,0,0,105.83082025107832
34,23,2,9,2,0,0,1,1,110.6352278251464
18,27,5,16,1,0,1,0,1,110.54525167331568
33,24,5,11,0,0,1,0,0,105.17220241161894
14,31,6,23,3,1,0,0,0,108.18650889413344
35,27,10,17,1,1,0,1,1,127.17242777442608
17,26,8,7,4,1,0,1,0,92.26241242374049
18,25,6,20,1,0,0,1,1,109.63632995157718
-4,16,6,7,2,0,1,0,0,66.51593201564444
16,19,5,14,0,0,1,0,1,95.94637216975978
33,23,7,11,2,0,1,1,0,107.1108145913105
29,26,5,18,1,1,0,0,0,111.208393419689
39,20,7,14,1,0,0,1,0,112.40723764572628
23,23,5,22,2,1,1,1,1,112.85176257353145
38,23,5,18,1,0,0,1,0,116.49286013402508
15,20,6,15,1,1,1,0,0,92.8549905507949
44,17,9,20,0,0,0,1,1,128.67572849757283
39,21,2,14,1,0,0,1,1,117.87386762127854
28,30,4,2,1,1,0,1,0,97.19338632831813
10,21,5,14,1,1,1,1,1,95.3817834032999
38,23,8,14,1,0,0,1,1,121.12734727258172
16,21,4,13,2,1,0,0,0,91.7767930656432
17,28,6,17,2,0,1,0,0,101.90720354141418
29,25,7,22,3,0,0,0,0,115.63593053462712
25,27,8,20,2,0,0,1,0,111.9667850897928
12,21,9,21,2,0,1,1,0,97.9784015982579
47,25,4,14,0,0,0,0,1,128.2432974209073
5,18,4,19,0,1,0,1,0,84.70529425867339
16,28,3,11,3,0,1,1,0,93.0869284481665
12,31,5,20,2,0,1,0,0,100.9473385391889
17,23,5,14,2,1,0,0,0,94.20112959840505
25,18,6,20,1,0,1,0,0,103.94450205246588
27,25,4,19,1,1,0,0,1,113.99671029034002
10,21,5,16,0,0,1,1,1,96.95959796620002
22,25,12,14,1,0,0,0,1,110.37741720156768
21,28,5,16,3,0,0,0,1,109.93567800087288
18,22,6,15,1,0,0,1,1,103.1050124731334
18,27,4,12,1,1,0,1,0,95.34298288062335
38,24,7,19,1,1,0,0,0,118.3019111467196
23,26,5,16,2,1,0,1,1,110.86477279967414
20,18,7,16,1,1,1,0,1,104.21837692551078
31,24,5,15,3,0,1,0,1,117.27895451957946
22,24,9,15,2,1,0,1,0,103.31305848397106
29,21,9,12,1,0,1,0,1,110.35238871616346
42,20,6,24,3,0,0,0,0,123.9441792576838
36,18,4,12,1,0,0,0,0,104.10241368015473
17,28,5,10,3,1,0,0,1,103.26923608084596
25,23,8,11,0,0,1,1,1,106.68643196138828
29,17,9,22,2,1,0,1,1,118.71658674967884
23,27,7,21,1,1,1,0,0,109.75150048010354
17,24,7,8,0,1,0,1,1,98.16978896403644
26,25,3,11,2,1,0,0,0,101.1313250406696
18,20,7,15,2,0,0,0,1,103.3914101140216
27,18,6,10,1,0,0,1,0,96.94545130361938
16,26,6,21,2,0,0,1,0,102.33992935787111
19,23,4,15,1,0,1,0,1,103.39450052189424
25,24,6,16,1,0,1,1,1,114.1594443971474
26,20,4,22,1,0,0,1,1,112.7622803276184
26,16,8,15,3,0,1,0,0,97.98704173878578
34,27,4,19,2,0,0,0,0,116.21802699046084
36,24,3,8,1,1,0,0,1,109.94058768425884
36,22,2,9,2,0,0,0,0,104.56634017803847
43,22,9,11,1,0,0,1,0,116.1735362241246
25,23,5,19,2,1,1,0,0,107.28838591900453
28,24,5,12,0,0,1,0,0,101.857954582301
35,17,4,15,1,0,1,1,1,114.83886451763354
9,28,5,20,3,0,0,1,1,104.56281926082212
26,22,4,16,0,1,0,0,1,109.40801337629988
23,27,4,14,2,1,0,1,0,105.18948762711722
39,22,4,12,2,0,1,0,0,112.43055122202328
12,25,1,6,0,1,0,1,0,81.06100929527939
15,18,10,19,2,0,1,1,0,96.75184205023434
21,16,4,10,2,1,0,1,0,90.89641378388028
30,22,2,22,1,0,1,0,0,109.9598018541034
