age,education_years,income,political_interest,news_exposure,urban_residence,previous_voting,campaign_exposure,voted
15,27,4,14,1,0,0,0,94.1652560176878
9,23,5,20,1,1,1,0,94.6965255551448
16,27,4,16,1,0,1,1,101.00495348951016
18,24,6,20,2,0,0,0,99.49729442312564
30,27,8,10,2,0,0,0,96.65037284348492
30,23,6,23,1,0,0,0,104.91957889736872
23,20,7,14,2,0,0,1,95.26855158135704
21,19,8,20,3,0,0,1,103.2657573543816
16,29,7,16,0,0,0,1,100.45523745596482
29,19,2,14,1,0,1,1,95.58094175388212
28,31,8,16,3,1,1,0,102.93362881444352
35,26,6,13,2,0,0,1,102.34353322037278
22,25,5,10,0,0,0,1,95.38849177655828
36,28,9,11,1,0,0,0,98.88211947303232
25,29,2,15,1,1,0,0,98.24050376905728
24,21,4,14,2,1,0,0,91.75938469034146
25,32,4,16,0,0,0,1,106.6338446357825
34,15,2,13,0,1,0,0,89.7754620219096
20,26,6,18,2,0,0,1,102.81134496759628
23,16,4,18,2,0,0,1,97.98452782596657
36,24,2,16,2,0,0,0,98.8145409793929
6,27,10,19,1,1,1,0,99.594554633305
38,24,4,17,1,0,0,1,106.34879250264808
45,21,9,12,2,0,0,1,102.29653366944694
31,29,8,17,0,1,0,0,105.47179486429164
17,27,7,22,3,1,1,0,105.61210025239087
14,30,6,16,1,0,1,1,103.45348223466716
28,18,4,6,1,1,0,1,87.93491919353988
46,29,5,20,0,1,0,1,113.44030322407538
20,23,4,10,1,0,0,0,87.40781063200635
35,20,4,16,1,0,1,0,96.65748021533156
28,25,8,18,1,1,1,1,109.04615103362836
18,21,6,22,2,0,1,0,100.77400072445282
3,23,8,16,2,1,0,1,93.91973923267106
41,36,3,18,2,0,1,1,117.80311307102728
6,25,7,20,2,0,1,1,102.4511398368472
10,25,7,14,-1,1,0,0,92.15563463937748
47,15,9,10,2,1,0,0,92.72651456320064
26,23,5,15,1,0,0,0,95.34277302723692
8,20,5,15,1,0,0,1,90.74101432613108
18,25,5,14,0,0,0,1,98.62557740380846
32,30,5,16,2,0,0,1,107.24092777987993
27,26,6,14,1,1,1,0,98.33649240666831
27,22,7,10,2,0,0,1,95.03208764461132
34,26,2,19,3,0,0,0,103.57798071276368
39,21,4,15,2,0,1,0,98.19211100042769
23,21,4,10,2,1,0,0,89.1080652152492
31,31,11,22,1,0,1,1,115.56889532283093
16,25,6,20,2,1,0,0,98.73308543215131
18,24,8,14,2,0,1,1,98.72642325433164
21,24,5,9,1,0,0,1,92.29883932707337
24,23,2,21,3,0,0,0,99.90430076186756
