participant_age,annual_income,crime_rate,home_ownership,education_level,employment_status,public_safety_fund,safety_satisfaction
25,29,8,0,0,0,1,98.35642703505104
24,18,4,0,1,0,0,85.06238911661514
37,25,6,1,1,0,0,101.96073594503387
27,23,5,0,0,0,0,86.99132771984712
14,24,2,0,0,1,1,83.76695725349666
10,19,5,0,0,0,0,71.27492335426984
13,23,0,0,1,0,1,79.32408385222725
34,17,3,0,0,1,1,97.57641949793278
21,22,6,1,1,0,1,91.99574646681678
41,27,3,0,0,1,1,110.16252840342636
30,15,4,0,0,0,1,97.07622238143873
28,21,6,0,0,1,1,96.59852903513014
25,24,7,0,1,0,1,98.312842361255
28,27,3,0,0,0,1,96.32683010163584
31,21,8,0,1,1,1,104.21136187383868
20,21,5,1,1,0,1,91.88403609500772
22,20,5,1,1,0,0,82.12554848253619
3,20,7,0,0,0,1,73.37787152629502
18,20,7,0,0,0,0,81.39011719248178
24,18,9,1,1,0,1,98.1579617084814
35,27,7,0,0,0,0,98.69401639957955
12,19,6,0,0,0,0,73.68470196345082
38,27,6,0,1,0,0,101.64862427334766
16,24,4,0,0,1,0,77.85668118476688
33,27,6,0,0,0,1,103.36825086708136
11,26,2,0,1,1,0,73.74886004243216
15,26,6,0,1,0,1,86.98540091515405
18,28,6,0,1,0,0,82.16093529595648
45,31,2,1,1,1,0,106.2264854541716
-2,17,6,0,1,0,1,69.36459297941038
32,27,6,0,0,0,0,96.23217442750764
33,22,7,1,0,0,1,105.21222735196844
21,24,2,1,0,1,1,90.79623471663942
19,27,4,0,1,1,0,82.57576045443741
12,26,4,1,1,0,0,74.6848134468882
33,29,4,0,0,0,0,92.53982697742131
20,27,4,1,0,1,1,90.04671625337325
10,19,7,0,1,0,0,74.34322748814239
25,22,8,1,0,1,1,98.1257624910089
34,16,5,0,1,0,1,101.52888775340784
31,31,9,0,1,0,0,95.57154135231583
32,20,2,1,1,0,1,98.22172754808724
20,22,6,0,1,0,0,85.87168046512929
41,18,7,1,0,0,0,104.03820640867325
11,22,2,0,1,0,1,79.09332092943121
28,23,9,0,0,1,0,94.72418583948824
43,25,5,1,1,0,0,104.2150393168826
30,22,5,0,0,1,1,98.85780865062948
31,18,3,1,1,1,0,91.62145406789666
33,30,6,0,0,0,1,105.46280674497112
28,24,2,1,0,1,0,88.50473257145458
25,26,3,1,0,0,0,84.22594389082448
32,26,9,0,0,1,0,97.97564859486634
20,20,5,0,0,0,0,81.54217070434272
9,25,4,0,0,0,0,71.28895261757029
19,25,7,1,1,1,0,85.89120749822462
32,21,6,0,0,0,0,94.01826442926688
33,26,4,1,0,1,0,94.69283980288296
13,22,8,1,0,0,1,87.44432174327181
26,30,2,0,0,1,0,86.19373070374571
7,23,5,0,0,0,0,69.97596530074037
40,27,3,0,0,1,1,107.23173982126607
25,28,7,1,1,1,0,90.69901164773634
25,24,6,0,0,0,1,97.64495719522029
37,25,7,0,1,1,1,108.57558289046663
1,28,3,1,0,0,0,65.79321978401725
15,27,4,0,0,1,0,77.32710273782091
18,27,5,0,1,0,1,88.58694578194077
30,24,2,1,1,1,0,90.82481271008652
17,24,2,1,0,0,1,84.93074803431044
27,23,7,1,1,1,1,99.74583427220776
27,27,6,0,0,0,1,97.34879877398406
19,19,3,0,1,0,1,85.9059578378394
15,22,6,1,0,1,0,79.13630104698701
28,20,5,1,0,0,1,97.78285365205146
18,20,8,1,0,0,1,91.2156175442699
35,31,6,0,1,0,1,106.29890567333064
34,22,4,1,0,1,0,95.28582577713765
26,17,5,1,1,1,1,96.28952831133785
17,19,10,1,0,0,0,83.6135189790284
12,19,6,0,0,0,0,73.29247790917833
32,21,7,0,0,0,1,101.4635808192608
23,26,7,0,0,0,1,97.5112793125634
30,26,5,0,0,0,0,92.51656514612895
12,15,13,1,0,1,1,87.84195722545867
25,27,10,0,0,1,0,92.99456635619433
17,23,4,0,1,1,0,77.57047372695341
-1,28,5,1,0,1,1,73.20095229304229
39,29,7,1,0,0,1,111.39052416717014
40,23,6,1,1,0,1,111.2630410360699
26,25,5,0,0,0,0,88.92001548339124
28,23,6,0,1,0,0,91.01818267492108
38,28,6,1,0,0,0,102.01317859512255
14,25,6,0,0,0,0,79.6068576363221
62,27,1,0,0,0,1,127.04505636650217
13,23,6,0,1,0,0,76.30263795526672
33,20,5,0,0,0,0,93.76475134642632
27,18,5,0,0,1,1,95.38012279263394
44,22,5,0,1,1,0,105.04400484855432
24,27,8,0,0,0,0,89.63492649916303
30,33,6,0,1,0,0,95.62705264411264
31,28,7,0,0,1,0,95.74811580993864
20,23,6,1,0,0,0,83.86154107563708
6,24,3,0,0,0,1,74.34362430442506
21,25,6,1,0,0,0,84.04793351921957
32,30,1,0,1,1,1,99.94732515195538
17,20,4,1,0,0,1,86.51603617662191
29,24,7,1,0,0,0,93.43027020487978
15,25,5,0,1,0,1,85.9127405896222
30,21,4,0,1,0,1,97.08265304640422
41,15,4,1,0,0,1,107.64323367574822
31,24,5,1,1,0,1,102.15643258354456
23,25,3,1,0,0,1,91.46174649202122
25,23,6,0,1,0,0,88.2560372725593
31,21,5,0,0,0,1,99.31231732465685
20,22,5,0,0,1,1,91.56442683025412
16,15,7,1,1,0,0,78.83870046612175
23,27,7,0,1,0,0,87.0670352111853
14,23,5,1,0,0,0,77.72857499001145
31,19,7,0,1,0,1,100.74738745870116
39,18,7,0,1,0,1,110.4982185398632
20,22,7,1,1,1,1,92.39236208585484
22,21,5,0,0,1,1,92.39650259594616
24,23,9,1,1,0,1,99.55120067738603
26,23,6,1,1,1,0,90.21344343230707
40,22,7,1,0,0,0,102.14542052096292
19,17,3,0,0,0,0,77.81517133434471
27,29,3,0,0,0,0,87.95997242453832
10,21,7,0,1,1,1,81.59347535989623
3,28,4,0,0,1,0,65.97078985630404
27,26,8,0,0,0,1,100.61478661500465
15,32,7,1,1,0,0,83.19490180762958
27,26,3,1,0,0,0,87.89372066546352
16,24,10,0,0,0,0,83.6390528208521
25,28,3,0,0,0,0,85.91107104443554
44,20,6,0,0,1,0,104.89639519052344
29,23,8,1,0,0,1,104.19035690236711
32,18,3,1,1,0,1,101.43716679509396
30,26,2,0,0,0,1,95.67543374416508
20,25,4,1,1,1,1,92.25350008437115
19,29,9,0,1,0,0,86.26616389094181
29,13,8,0,1,0,1,99.89266626854918
14,14,5,1,0,0,0,74.63278084435134
21,21,7,0,1,0,0,84.20702020992724
5,20,5,1,1,1,0,68.86371676947033
12,24,5,1,1,1,0,76.0853482201975
28,17,9,1,1,0,1,100.78487989400617
33,18,4,0,0,0,1,100.28800303890628
28,22,4,1,0,1,0,90.05710808084733
43,27,4,0,0,1,1,112.68744035499353
17,21,2,1,0,1,1,83.62929998597603
12,17,6,1,0,1,1,82.91408546797983
22,14,8,0,0,1,0,85.43870480888339
32,23,6,1,1,0,1,105.6036254762109
13,25,6,0,0,1,0,76.15080662493831
31,28,6,1,1,0,1,104.07966335371115
36,20,10,1,1,0,1,110.76953692680894
27,21,6,0,1,1,0,91.67168845237018
31,26,6,0,0,1,0,96.05541708472173
28,24,6,1,1,0,0,91.65570395008714
23,26,8,0,1,0,0,89.47275385460607
19,27,10,0,0,0,0,88.20851623412311
43,28,9,0,0,0,0,109.83375480265065
32,23,6,1,0,1,1,102.60636424064532
37,19,6,0,0,0,1,106.5550194076003
21,21,9,1,0,0,1,94.06499219577888
11,24,5,0,0,1,0,73.11654524176568
25,24,9,0,0,1,1,99.4087069179628
26,16,7,1,0,0,1,95.1790591721658
28,22,6,0,0,1,0,89.57170717637608
41,23,8,0,0,1,0,105.51604777341524
15,23,6,1,1,0,0,81.0088923172547
29,24,4,1,1,0,1,97.98405577249656
16,28,4,1,0,0,1,86.75184809074605
34,24,4,0,1,0,0,94.38936325115012
28,27,5,1,0,1,0,92.59174280291668
19,27,0,0,0,1,0,76.47371419103705
20,29,4,0,0,0,1,91.40913879776426
38,27,1,0,1,0,1,106.00323223871352
32,22,4,0,1,1,0,91.97080284628132
22,25,4,0,0,0,1,92.35484107516707
25,25,5,1,1,0,1,96.35801249171833
29,27,5,0,0,1,1,99.62900061888014
31,22,3,0,1,0,1,98.27837156528716
18,21,5,0,0,0,0,78.39030269978835
33,27,3,0,0,0,0,93.82797972065508
16,20,6,1,0,0,1,87.74787077715669
29,29,8,0,1,0,0,96.3861219416514
5,21,3,0,1,0,0,66.66430262900283
31,24,5,1,0,0,0,91.70636445693586
32,22,5,0,0,0,0,94.13755247315385
23,18,7,0,1,1,0,85.77697338995789
17,26,6,1,0,0,0,81.98781221278513
26,24,3,0,1,0,0,85.30352946315658
36,22,8,0,0,1,1,108.6050358185872
29,31,3,0,0,0,0,89.42610864304949
20,24,4,1,0,0,0,82.48906659565414
33,24,10,0,1,0,1,106.3174147700968
22,31,7,1,1,0,1,95.5856366059045
37,22,5,0,1,0,1,106.99272652706586
36,19,8,1,0,0,0,98.45649206947662
