defendant_age,prior_convictions,severity_of_crime,legal_aid_received,lawyer_experience_years,plea_bargain_accepted,community_service_completed,victim_impact_statement_presented,restorative_justice_program,recidivism_rate
28,23,9,18,1,1,1,0,1,97.0512642057839
25,17,7,19,1,0,1,0,0,84.407393021081
25,28,4,14,2,1,0,0,0,87.67398339769017
24,25,7,16,2,1,0,0,0,84.13476003362236
28,20,6,17,1,0,0,1,0,81.86979452781009
17,19,6,10,1,0,0,0,1,83.9760957918438
19,24,3,21,1,0,0,0,1,96.67037486476704
29,22,4,6,2,0,0,0,0,79.6083281443386
29,23,5,14,2,0,0,0,0,83.78933657216109
27,25,4,20,1,0,0,0,0,87.78477609119503
31,18,7,21,1,0,0,0,1,94.83543599612317
34,17,4,17,1,0,1,1,1,90.85432598923543
32,29,6,12,2,0,0,0,0,87.77649082819393
32,20,9,16,2,0,1,1,0,85.46283936881842
20,20,8,16,2,0,1,0,1,92.42770472194202
32,26,6,13,2,0,0,1,0,84.91717962028689
9,28,5,18,3,0,0,0,0,86.42805590730777
12,20,7,10,0,0,0,0,0,76.26355188365842
25,22,5,14,3,0,1,0,1,94.13991670933076
21,24,8,13,2,1,0,0,1,92.897331474458
27,20,10,20,1,1,0,0,0,84.1850468662699
40,25,8,25,2,0,1,1,0,94.00871860075516
23,21,5,9,3,0,1,0,1,87.73809816682842
41,30,5,15,0,1,1,0,1,99.43194578186748
36,22,11,22,0,0,0,0,1,97.6357094061172
9,25,8,14,2,0,0,1,1,93.3095343398902
24,19,8,15,1,0,0,1,0,81.49612692648665
36,22,2,15,1,1,1,0,0,84.12187076421432
13,21,4,15,2,0,0,0,1,89.82978293206999
34,22,6,15,2,0,0,0,0,82.8044380862535
23,27,7,16,3,0,1,1,0,88.9860685967025
24,19,5,10,4,0,0,0,0,77.62898797656554
28,25,4,16,0,0,1,1,0,84.68867204032307
11,26,8,13,1,1,0,0,1,90.89774698620862
12,17,8,16,4,0,0,0,1,89.52255536448574
17,25,4,12,3,0,0,1,0,82.50422037892503
20,23,6,13,3,1,1,0,0,81.06544530337898
6,23,6,13,2,0,0,0,0,79.67201422984427
24,27,6,19,2,1,0,1,0,90.44903303101016
23,23,5,22,0,0,0,0,0,87.02527144052965
30,24,3,18,3,1,0,1,1,97.15461017292094
21,31,6,20,1,0,0,1,0,91.18565583467168
6,22,7,21,1,0,0,0,0,83.29252564618572
34,29,4,11,1,1,1,1,1,95.24177164697676
17,28,6,16,3,0,1,1,1,97.73722163294626
25,26,7,13,2,0,0,0,0,82.85409621587625
