age,education_years,income,political_activity,news_exposure,rural_residence,previous_voting_history,campaign_exposure,voting_turnout
10,24,5,12,0,0,0,1,96.42293754640713
19,21,6,18,0,0,0,1,108.52627652141678
18,23,7,4,0,0,0,0,89.19653881217488
24,17,7,7,3,0,0,1,97.00426638691708
10,32,8,12,1,0,0,1,102.01983926496398
37,24,5,19,1,1,1,0,124.81430746172136
25,27,3,22,1,0,0,0,116.33970941381584
34,27,6,16,2,1,1,0,120.21005676917792
20,30,4,5,1,0,0,0,101.00698606591948
21,24,2,9,0,0,1,1,102.79012253181526
41,25,3,8,2,0,1,0,116.51177973258211
24,24,7,18,2,0,1,1,116.16964337860374
23,27,2,17,2,0,1,0,111.13256436771366
18,24,8,15,0,0,1,1,106.35561457174138
13,25,4,18,0,1,1,0,101.96760881625762
15,25,6,18,2,0,0,0,102.13519835917484
29,17,4,11,2,0,0,0,101.14150521630386
7,22,6,15,2,0,0,1,95.32056429618392
24,28,10,14,1,0,0,1,113.62258351524348
21,21,4,9,2,0,0,0,94.49802342528386
27,20,9,13,0,1,0,1,110.00958658235405
27,24,7,14,1,1,1,1,115.90499218359484
17,21,5,13,1,0,0,0,96.61547132368484
22,23,11,12,3,1,1,0,105.79858749470306
31,20,3,16,3,0,0,1,114.12052167318237
20,26,2,20,2,0,1,0,108.85883313492133
18,23,3,15,2,0,0,1,105.25983581920084
34,20,7,13,2,1,0,0,110.90295871475098
24,23,6,12,1,0,0,0,103.98282448731683
24,25,5,14,1,0,0,1,110.6614262841947
34,26,3,10,1,1,0,1,114.81559332281596
24,23,3,12,2,0,1,1,108.1316942531851
26,32,7,20,1,1,0,1,125.3254949620723
30,30,6,10,3,0,0,0,113.9746512828942
18,23,3,13,1,1,0,1,105.07973918172708
17,28,5,8,2,0,0,1,101.7535674516086
27,22,1,14,2,0,1,1,114.05327392705502
32,26,9,22,3,1,1,1,131.5911293365182
14,25,2,16,1,0,1,1,104.19150199068912
31,24,5,17,0,0,0,0,112.3335903616277
41,17,4,25,1,1,0,1,130.8857394987273
9,17,5,25,1,0,0,0,99.26985007513936
31,24,7,10,3,1,0,1,110.50856892676694
27,24,4,19,2,1,0,0,113.42366635689034
18,22,4,16,3,0,0,0,100.35479698503254
39,24,6,12,2,0,1,0,118.1023600903688
37,25,3,8,1,0,0,0,110.5697486960966
19,27,4,10,3,0,0,1,104.6344299821158
10,14,2,11,1,0,0,1,86.54397117597435
20,27,7,19,3,0,0,1,114.63666661845237
26,22,6,18,2,0,0,1,113.7644673043394
21,22,9,16,3,0,1,0,105.03643924148987
29,21,6,8,3,1,1,1,108.72202772514603
10,27,7,19,2,0,1,0,102.85454349613067
38,23,5,20,1,1,0,1,126.5381262023792
20,20,0,18,1,1,0,1,107.58110149967044
15,24,6,8,0,0,0,1,94.89098048905848
27,23,5,7,2,0,0,1,106.83956100339512
24,21,8,16,1,0,1,1,110.98530676839022
25,22,5,16,2,0,0,0,107.64318787489847
12,24,6,18,1,0,0,1,104.6462806926047
32,27,1,18,2,0,0,0,119.01424511646772
21,20,1,21,2,0,1,1,111.3836529279758
9,23,8,18,2,0,1,0,98.01432664569376
8,29,4,16,1,0,0,0,98.48609963149272
30,20,5,12,1,0,0,1,107.26684791322694
21,18,7,12,1,0,1,1,101.12250155421508
20,25,6,14,2,1,0,0,103.85728109615756
33,29,7,17,2,0,0,1,125.7015236387516
29,26,4,11,1,1,1,0,108.33681327163228
45,27,5,12,2,1,1,1,129.73371178988856
9,24,5,17,2,0,0,0,96.37536346771051
30,25,2,19,0,0,0,0,115.8819543351546
6,30,4,20,1,0,1,1,106.3788192952113
16,22,4,13,0,0,0,1,101.73939254393744
27,21,7,12,1,0,1,1,109.56498884981951
31,30,8,23,2,0,0,0,125.57071098836694
20,16,7,19,1,0,0,1,104.61850818006836
26,23,6,17,3,0,0,0,110.33214809544847
30,23,7,17,2,0,0,0,113.7608936350858
29,19,3,15,1,0,0,0,106.20378622021131
16,17,6,18,1,0,1,0,99.04731183026128
2,15,4,17,1,0,0,1,87.50501818012947
25,22,5,11,2,0,0,0,102.1146601517267
37,27,5,17,0,0,0,0,123.16858215322888
23,26,5,20,1,0,1,1,117.62931623257325
28,25,3,9,3,1,0,0,105.29291412752204
22,25,7,22,2,0,1,1,118.66741357370628
25,28,5,18,4,0,1,1,119.29694036584068
26,21,3,18,2,0,1,1,114.06117934166316
9,26,3,7,1,0,1,1,92.514589745991
31,18,4,17,3,0,0,0,109.09758499896547
31,24,3,11,1,0,0,0,108.87898126685472
29,23,4,19,1,0,1,1,118.78947690356652
17,19,3,12,4,1,0,0,94.111163963233
18,23,4,20,1,1,0,1,110.7392363400788
37,21,2,13,3,0,0,1,118.42976592394132
33,28,7,12,2,0,0,1,119.2815504911191
16,20,2,13,1,1,1,0,96.5478554776941
42,18,9,25,2,1,0,0,127.21189102815768
22,29,5,16,2,0,1,0,110.2505990537625
35,23,0,14,3,1,1,1,121.2976599345536
28,20,4,10,1,0,0,0,100.81009060865148
28,24,8,14,1,0,0,1,113.12915182425576
41,21,4,27,3,1,0,1,136.4203995620737
9,19,7,22,2,0,0,1,101.42997820490646
37,14,4,21,4,0,0,0,117.76927569515291
21,28,6,15,1,0,1,1,112.59742037934406
39,26,2,14,0,1,0,1,124.26307054685068
30,29,5,18,2,0,0,0,119.7525336408055
40,20,5,13,2,1,0,0,117.31955002369384
43,22,4,13,2,0,0,0,119.35579351232234
41,26,6,16,1,1,0,1,128.7223061507105
20,26,3,12,0,1,0,1,108.25007803748753
25,23,9,16,3,0,0,1,112.10306043757016
31,26,7,10,2,0,0,0,111.29310264819976
23,22,3,17,1,0,1,0,108.6300869254378
27,24,9,17,2,1,0,1,117.56103184866438
53,16,6,20,0,0,1,0,131.0938273214307
15,26,12,9,3,1,0,0,97.68411751683004
40,29,7,15,2,0,1,0,125.85552739692288
26,24,5,22,1,0,0,1,119.49333833406942
48,22,5,11,0,0,0,1,127.11778722518184
33,22,5,21,1,0,0,1,123.40091814383943
11,26,7,13,1,0,0,1,98.83364005314826
21,20,7,13,2,0,0,1,102.543159889357
29,27,5,21,1,0,1,0,119.7581336574604
30,22,2,12,1,1,0,1,110.92684961614997
27,22,4,21,1,1,1,0,115.54647155411504
13,18,8,21,1,1,0,1,103.87829924046142
25,16,3,11,1,1,1,0,98.08253586058235
17,24,2,18,0,0,1,1,108.20971090338249
27,17,2,21,1,0,0,1,113.40731826092345
23,13,1,8,2,0,1,0,91.35526366708156
18,23,11,18,1,1,0,1,110.76245027319062
39,26,3,5,3,0,1,0,112.9324844380946
37,25,7,19,1,0,1,0,122.94824049727708
21,15,7,16,1,1,1,0,98.37832551511788
23,30,11,18,1,0,0,1,117.55816404347183
20,24,4,12,1,0,1,0,100.40330008372622
29,26,5,27,4,0,1,1,130.8703862895635
27,25,6,27,1,0,0,1,126.48951969862614
14,25,6,25,1,0,0,1,113.8654409339328
29,23,3,19,2,1,0,0,113.56163263836042
33,23,8,13,2,1,0,0,113.67715595998378
26,16,0,17,1,0,0,1,108.30358822123344
13,27,2,23,0,0,1,0,106.18946152619664
30,27,4,15,2,0,1,0,113.33211894017134
27,20,5,14,1,0,0,1,110.0873467780762
30,18,7,24,0,1,0,1,120.0681304067816
37,24,6,12,1,0,0,0,114.02948731248944
19,30,7,18,0,1,1,1,118.207166903163
23,19,8,11,3,0,1,0,101.06593431940922
14,18,10,11,2,0,1,1,96.03195436088237
18,28,10,13,3,0,1,0,105.77435464346328
17,23,6,18,3,0,0,1,109.55721726710186
36,19,7,20,1,0,1,0,118.24382615987793
25,23,5,23,2,1,0,0,115.26072536285088
13,29,7,13,1,0,0,1,102.93490572581244
17,25,2,16,2,0,0,1,106.29384264254422
19,24,4,19,1,0,0,0,105.9430962732671
25,23,10,10,1,0,0,1,106.90133632729744
36,21,5,19,1,1,0,0,118.4775455643105
25,27,8,13,1,0,0,1,113.26900744305026
16,24,6,17,2,0,1,0,102.97248596419546
9,22,7,18,2,1,0,1,100.69859831326698
22,27,5,15,2,0,0,1,111.2593608725094
26,26,4,17,2,0,0,0,113.86851526642025
22,31,4,16,2,0,1,0,114.77411480741924
26,25,7,14,1,0,1,0,109.582516376181
23,26,10,18,1,0,0,1,115.55588644845626
33,28,3,17,1,1,0,0,121.4493747309605
15,25,5,23,1,0,1,0,108.14250366722162
36,25,6,16,1,0,0,1,123.99431939906108
38,24,7,13,3,0,0,1,122.10558387000256
25,23,5,13,0,0,0,0,103.89173819169324
27,34,5,16,0,1,0,1,123.22886652225684
26,25,6,11,1,0,0,1,109.38652592269987
29,29,3,19,0,0,0,1,121.9906952185136
33,23,8,16,0,0,0,0,114.02785464786396
10,26,6,21,3,0,0,0,104.30383292212235
18,28,3,11,4,0,0,0,100.66415737485804
20,24,9,11,2,0,0,0,100.53227685795189
24,23,2,10,1,0,0,1,103.55981401304446
13,23,6,13,1,0,0,1,100.01076555880567
6,22,6,20,1,1,0,0,93.83631866644365
38,20,4,11,3,0,0,1,115.42737062026796
38,22,5,11,3,0,1,1,120.21605433881702
25,25,6,21,0,1,0,0,116.21987691147628
18,17,6,20,5,0,0,1,106.56392976570932
27,19,6,15,0,1,0,1,110.25424978103446
20,27,6,7,0,0,0,1,102.11955169036456
21,27,3,6,1,0,0,0,98.13871826510652
12,23,5,5,2,0,0,0,85.84067002541748
17,30,7,15,2,0,0,1,111.70564136180316
20,21,5,10,1,0,0,0,96.49634837127792
26,29,1,12,0,0,0,1,112.90620280102353
31,22,5,13,3,0,1,0,109.35211164374604
23,16,7,11,2,0,0,1,100.17099129673196
22,32,7,14,2,1,0,0,113.25242831574396
35,19,7,11,3,0,1,1,115.64837587396627
11,21,6,13,2,0,0,0,91.41196646924014
14,17,4,6,0,0,0,0,84.03799566815694
27,24,4,14,2,1,0,1,114.81038757224758
24,26,5,13,2,0,0,0,105.64350128472634
26,29,4,17,1,0,1,1,120.3560256007938
42,28,5,14,1,0,0,0,125.28138502535604
29,22,8,14,2,0,0,1,114.586477096666
20,23,5,22,1,1,0,1,114.03764538383837
13,27,1,21,2,0,0,1,109.5319215881356
31,27,4,13,1,1,1,0,115.78778307773796
26,29,7,16,1,0,0,0,113.01725944633355
17,26,5,22,2,0,0,1,113.93618998934744
42,24,3,19,0,1,0,0,128.6156075006313
11,19,7,18,1,0,1,1,99.66692659418054
21,18,5,13,1,0,0,1,102.63585401198722
13,20,4,16,3,0,0,0,95.79600667218928
0,24,4,12,2,0,0,0,82.2114712866343
20,30,3,9,1,0,0,1,106.82613586511069
25,21,6,9,1,1,0,0,98.93317825921424
21,28,7,18,1,1,0,1,117.2805147295144
34,20,5,10,1,0,0,0,106.4285541951348
21,23,3,21,1,0,1,0,108.46562399416926
30,24,1,10,2,1,0,1,112.6912406307076
38,22,7,23,0,0,0,1,129.2404343566415
15,20,7,13,1,0,0,1,98.00804011731718
7,22,5,16,0,0,1,0,91.9065415965868
28,21,6,17,2,0,0,1,112.71579568987158
22,24,6,14,2,0,1,0,103.84755648891004
24,20,3,13,2,0,1,0,102.93645621919192
30,24,3,15,2,0,0,1,118.59384062238716
14,23,6,22,1,0,0,1,107.29077036006564
30,23,4,17,2,0,0,0,114.11354251959888
4,27,9,13,2,1,1,0,93.12582946083134
29,27,6,19,1,0,0,0,118.16088514702795
38,31,3,11,1,1,0,0,121.5733149746403
8,25,6,17,2,0,0,1,101.33171928381014
25,24,4,12,3,0,1,0,105.93843736286252
12,20,4,19,3,0,0,0,96.92729384160636
23,23,6,14,1,0,0,0,104.07359267017502
14,21,5,18,1,0,1,0,99.98218688037151
12,28,9,17,1,0,1,0,101.01094651108738
35,24,11,12,2,1,0,1,120.91428282670049
14,27,9,14,0,0,1,1,104.7067577802558
22,28,6,14,0,0,1,1,113.47166499447412
18,23,3,22,2,0,0,1,112.4991599603249
12,23,3,23,2,0,0,0,104.7033082491201
25,24,6,8,2,0,1,0,101.34728844842674
10,27,6,16,2,0,0,0,98.71103061703388
32,24,9,12,3,0,0,0,113.41314091484826
29,25,5,9,2,0,0,1,111.4396441738054
34,18,2,24,2,0,1,1,126.0692024492106
15,27,5,11,1,0,0,0,97.3376745227863
22,17,3,18,0,1,1,0,103.34196677267887
30,27,3,17,2,0,0,1,120.28037799569984
26,18,5,14,1,1,1,0,104.82164579437034
28,22,7,14,1,0,0,1,111.73705832339448
37,21,8,15,0,0,0,1,122.42536479785709
19,21,4,16,0,0,0,1,104.87614721357652
16,19,1,11,1,0,0,0,92.02372893010411
26,15,8,21,3,0,1,0,109.10474717580284
32,28,7,14,1,0,0,0,117.76787138116498
16,27,7,8,1,1,0,0,97.81488850117972
24,27,6,16,2,0,0,1,115.68738282159327
24,26,6,23,3,0,0,0,117.68947819245903
11,24,11,15,1,1,0,0,96.34207423060192
24,17,4,15,2,0,0,1,105.80896951150966
31,21,5,23,3,0,0,1,124.02176944634653
41,21,3,21,1,0,0,1,129.420982631825
34,20,2,20,1,0,0,0,118.25303009698226
19,25,4,15,2,0,0,0,105.2063948253788
31,26,6,12,3,0,1,0,111.99773706205534
22,19,4,11,1,0,1,0,98.04786132835667
40,24,5,14,0,0,1,1,126.61314629925874
16,22,5,9,2,1,0,1,97.5558860508614
18,22,7,17,1,0,0,1,106.03677683679832
42,27,7,11,3,0,0,1,127.98186058893472
17,26,5,19,0,0,0,1,109.18756941392344
33,21,9,16,3,0,0,1,117.72931639780931
42,25,5,16,3,0,1,1,127.85159506142348
32,22,7,10,1,0,0,1,110.92610613401632
13,23,5,11,1,0,0,0,93.13329523012187
