age,income,home_owner_status,previous_loan_history,job_stability,loan_grant,loan_repayment
18,22,1,1,0,0,76.78367824008525
24,34,1,1,1,1,88.84751929820082
33,20,1,1,1,0,81.62094188572225
26,25,1,1,1,0,79.65234153696287
22,25,1,1,1,0,79.1858600936901
18,25,0,0,0,0,77.29873251044798
17,24,1,0,0,1,79.72145836499719
17,27,0,1,1,0,77.57595908737696
48,25,0,0,1,0,88.7522693900975
18,20,1,1,0,0,75.60443360973214
31,26,1,1,1,1,87.00546178926503
34,19,1,0,1,1,84.11910232967467
33,20,0,0,0,0,79.61186724197837
27,21,0,0,0,0,76.64438041641411
29,31,1,0,1,1,89.3512107257699
17,16,0,0,0,1,76.96899784505348
18,24,1,0,1,1,79.13441454138675
32,23,1,0,1,1,88.37795810334978
0,27,1,0,1,1,77.9974661881321
29,22,0,1,1,0,82.51248696059436
33,32,1,1,1,1,92.98021894701412
24,20,1,0,0,1,80.4293284624315
46,23,1,0,1,1,90.85295004532988
46,20,1,1,1,0,86.52720462011368
35,25,0,1,1,1,87.16849064812925
18,22,1,1,1,1,81.07836819992995
33,20,0,1,1,1,83.76672772131526
12,26,0,0,0,0,76.33933968901133
27,24,1,1,0,1,84.12936430670744
36,22,1,1,1,0,83.2614443129011
25,19,0,1,0,1,80.62285319145481
12,19,1,1,0,1,76.49342902882259
23,18,1,0,0,0,77.61060680052636
9,17,1,1,0,1,74.96455010281865
29,30,1,1,1,0,86.17150569381411
26,25,1,1,1,0,84.61210323312815
7,25,0,0,1,1,77.73409671139386
33,20,1,1,1,1,85.40552227829508
32,24,0,1,1,0,82.22553793247856
14,31,0,1,0,1,81.60675515854754
27,20,0,0,1,0,78.27701167202376
15,24,1,1,1,1,80.62777989657376
20,26,0,1,0,0,79.64141334989164
30,24,1,0,1,1,85.86349114736637
33,29,1,1,1,1,90.56457522201718
17,20,1,1,1,1,80.2322905486247
12,27,1,1,1,1,80.57681509250644
32,18,1,1,0,1,84.11602555779776
25,22,1,1,1,1,83.54101269420356
41,20,1,1,0,0,83.52970418903661
-2,26,1,1,0,1,73.80641611498638
5,24,0,1,1,1,76.2993253762587
20,23,1,1,0,0,78.7984031750386
33,26,1,1,1,0,84.91592264243727
22,25,0,1,1,0,78.50483554885814
22,22,1,1,1,1,82.4846695978667
9,22,1,1,1,1,77.05688107889152
14,18,1,1,1,1,75.7548432346201
30,19,1,1,0,1,83.53580368457186
31,26,1,0,1,0,83.90468084754787
27,21,1,1,0,0,78.6524222445113
31,25,1,1,1,0,84.04993637421352
46,21,0,0,1,1,89.2794750110691
27,24,0,1,0,0,80.16957939115542
14,30,0,1,1,1,82.69449826262318
14,32,1,0,0,1,83.37865860295017
28,25,1,1,1,1,86.41836133588357
45,24,0,0,1,0,88.07013899497638
39,20,1,1,1,1,88.15060849838231
27,33,0,1,1,1,88.24985461066312
21,24,1,1,1,1,83.39062654815622
22,22,0,1,1,0,78.24843579048391
23,25,1,0,1,1,83.39309928425776
28,22,1,1,1,1,84.21851891893489
21,21,1,1,1,1,80.57890178124515
21,23,0,1,1,0,77.94934962815054
10,22,1,1,1,1,77.92130410318303
24,24,1,1,1,1,83.59270468781527
19,19,1,1,1,0,73.79606392185241
28,30,1,1,0,1,87.24762253258318
34,19,0,1,1,1,84.67683674745065
23,15,1,0,0,1,77.95925472658755
27,19,0,0,1,1,81.27008860883672
20,33,1,1,1,1,86.80280556995284
18,29,0,1,0,1,81.33081006971537
22,28,1,1,1,1,83.12032001190171
37,26,0,0,1,0,84.1535081084078
14,16,1,1,1,0,73.41447397717312
28,24,1,1,0,1,84.04716503565396
16,27,1,1,1,1,83.18528644894018
34,22,1,1,1,0,85.34290500519005
38,18,1,1,1,0,81.88402802010472
8,26,1,1,0,1,77.94917733842276
9,21,0,1,1,0,72.16195818151968
39,16,1,0,1,0,80.36719619811743
27,29,0,1,1,0,83.39902169923266
19,32,1,1,1,1,86.80222747660405
25,29,1,0,1,0,84.2746158219069
26,31,1,0,1,1,88.27080310092198
26,27,1,0,1,0,82.43697185561645
40,25,1,0,1,0,86.56867007851268
17,24,0,1,1,0,76.18285758295227
16,24,1,1,1,0,77.75290790017942
24,29,1,0,1,1,85.00369734864839
17,19,1,1,1,0,72.95766761553242
37,27,1,1,0,1,89.7293765609222
23,25,0,1,0,1,82.84679229832581
27,22,1,1,1,0,80.80592233333081
15,27,0,1,1,0,77.51074208404859
9,33,1,1,1,0,78.01543094547638
29,26,0,1,0,0,82.90863970760732
45,20,1,0,1,1,88.58672318281076
18,22,0,1,1,0,76.19738383249575
42,27,1,1,0,1,91.65041042191244
17,26,1,0,1,1,82.67610033508815
30,23,0,0,0,0,78.68703941017355
22,27,1,1,1,0,83.02279084111305
36,16,0,1,1,0,80.18507104550383
14,17,1,1,0,0,71.77329246176335
18,23,1,0,0,1,80.60163824408788
14,26,0,1,0,1,81.812914375596
26,27,1,1,1,1,85.2560647524983
8,20,1,1,0,1,75.20457966345181
13,29,1,0,1,0,78.48063328536652
25,25,0,1,0,0,79.62608195575282
31,25,1,1,1,1,86.72721489356057
47,32,1,1,0,1,95.23659582161108
30,26,1,0,1,0,85.22520371271892
28,20,1,0,1,0,80.4409600359028
22,28,1,1,1,0,81.936843022851
33,23,0,0,1,1,85.62866507083574
22,20,1,0,1,0,77.51718436697665
26,19,1,1,0,0,77.93328903609306
12,17,1,1,1,1,74.83410019836552
26,28,1,0,1,1,85.51746073532044
23,25,1,0,1,0,81.71106308276002
30,27,1,1,1,0,85.42915488857417
18,20,0,0,0,0,75.03251748454306
13,22,1,0,0,0,75.08088768411798
33,22,1,1,0,1,85.85304384504572
20,24,0,0,0,1,80.98719012589272
21,26,1,1,0,1,84.25614231133753
24,22,1,1,0,0,77.15916151547131
30,23,1,1,1,1,85.42580145997776
30,24,1,1,1,1,85.86748659527088
22,20,0,1,1,1,79.72260207917483
24,23,1,1,1,0,81.12997285062525
20,18,1,0,1,1,81.64381486447482
28,21,1,1,1,0,80.88397135780093
30,21,0,1,1,1,85.5228233118739
10,22,0,1,1,1,77.74206400974731
27,22,0,0,1,1,83.04132572593112
19,25,1,1,0,1,81.73834164740553
46,19,1,0,0,1,87.69880950195764
18,18,1,1,1,1,80.64662826727198
23,27,1,1,1,0,81.68423693312492
20,15,0,1,0,1,75.21966789533045
15,28,1,1,0,1,80.98157319703375
16,34,1,1,0,1,85.24607127442266
33,30,1,1,1,0,86.65605272267055
19,24,1,1,1,1,81.95241887230263
24,15,1,1,1,1,80.24432243667147
28,24,0,1,1,0,81.25294933872173
35,20,0,1,0,0,80.4474448957149
19,28,1,0,0,0,76.95628043685
8,23,1,1,0,1,78.1213756900247
37,22,1,1,1,0,85.44595314642547
39,28,1,0,0,1,91.69281682309182
38,21,1,0,1,0,85.19331754361832
21,24,0,1,1,1,81.38892622051414
38,24,0,1,1,0,86.04349877484952
15,19,1,0,1,0,75.61161399669103
35,19,1,0,1,0,82.51516202266015
9,25,0,1,1,0,73.19425279501908
28,31,1,1,1,0,83.8772479816267
11,24,0,1,0,1,77.09510651934642
22,21,1,1,0,0,78.18415261301695
30,19,0,1,1,0,79.21835575606113
15,17,1,1,1,1,78.22832625781089
8,23,1,0,0,0,73.58360604705162
22,23,1,1,0,0,78.67086962944255
30,24,0,1,0,1,84.16161561558422
31,18,1,1,1,1,82.93567419634431
27,29,1,1,1,0,83.1551681777219
24,17,1,0,1,1,81.63086600414928
42,20,1,0,1,0,85.49614037131458
38,22,1,1,1,1,87.74959396335527
13,27,1,1,1,0,77.89889991213659
40,19,1,1,1,1,87.68167444911671
23,33,1,1,0,1,87.36293012436303
26,27,0,0,0,0,81.58663720349588
22,26,0,0,0,1,83.84050799303287
23,17,0,1,0,1,78.746781365209
12,21,1,1,1,1,78.73128303051848
31,24,1,0,0,1,85.35013694808237
20,29,0,0,1,1,85.15334635986731
15,25,1,0,0,1,80.97985989002115
31,23,1,1,1,1,85.80959017867546
27,25,1,0,0,0,82.11894373762989
13,36,1,0,1,1,84.16855959141101
22,17,1,0,0,1,79.23180950680519
45,21,1,1,1,1,88.93334789680564
28,30,1,1,1,0,83.85352024664066
26,29,0,1,0,1,84.61344116811874
21,23,1,1,1,0,78.74399167639004
13,25,1,1,1,0,76.31960705892524
15,20,0,1,1,1,76.47432546832259
7,26,1,0,1,1,79.7661791515986
36,24,0,1,0,0,82.55924089569058
28,22,1,0,1,1,83.91167815620247
13,22,0,1,0,0,74.74257049428239
27,20,1,1,1,0,79.13348978592865
26,16,1,0,1,0,76.69361255689536
6,23,0,1,1,1,76.82913885719783
42,18,1,1,0,0,81.7173459210366
4,23,1,1,1,0,71.09703771985835
19,19,1,1,1,1,78.97327392565434
30,25,1,0,0,1,83.8254563029857
27,28,1,1,1,1,87.35069797975609
25,22,1,1,1,0,80.0842230610719
14,19,0,0,0,1,75.15706468540601
28,24,1,0,0,0,80.86036209298021
22,23,1,1,1,0,79.56258034568563
5,23,0,0,1,0,72.04637934311876
35,23,1,1,1,1,87.62788175202881
21,20,1,1,1,0,78.44843480632228
31,29,0,1,1,0,84.87990631692709
20,22,1,0,1,1,80.87759930725684
39,23,1,1,1,1,88.8142837601985
17,23,1,1,1,1,80.25325462754749
21,28,1,1,1,1,87.47697530027887
39,27,1,1,0,0,87.8438698333775
56,24,1,1,1,1,95.1855644223694
12,20,0,1,1,1,76.42201312098103
29,26,0,0,1,1,84.78320664921574
12,41,1,1,1,0,85.39734590052578
20,27,0,1,1,1,83.224821732047
22,26,1,1,1,0,80.69624043212166
18,24,1,1,1,0,76.82771201071712
23,27,0,1,1,0,82.74470129749717
29,16,1,1,1,0,78.07179480032627
21,29,1,1,0,1,84.04737626068898
33,25,0,1,1,1,88.61996002800493
29,27,1,1,0,0,84.19463980304715
22,29,0,1,0,1,83.94798787162202
18,15,1,1,1,0,70.75709054734547
23,24,1,1,1,0,78.20286338718418
31,27,1,1,1,0,85.03380875544207
11,25,1,1,1,0,76.36648945849088
28,29,0,1,1,0,83.55690451147852
41,23,1,0,1,1,88.97851026400562
12,23,1,1,1,0,75.86908098148486
18,22,0,0,0,1,78.73998034688847
36,23,1,1,1,0,85.53674712809216
33,26,1,1,1,1,89.8438330209581
15,29,1,1,1,1,83.6768819827972
28,27,1,1,1,0,82.00538183649225
23,23,0,1,1,0,77.44573466867975
35,19,1,1,1,0,81.26270549133042
13,27,1,1,0,0,79.30384404326009
33,24,0,1,1,0,82.95774469198952
27,17,1,0,1,0,77.588680617473
22,30,1,0,1,1,85.25730750579397
32,17,1,1,1,0,79.20847166009544
17,35,1,1,1,1,86.13214306719597
35,26,0,0,0,0,82.1057028301678
35,25,0,0,1,1,87.14550848945306
37,22,1,0,1,1,87.68898004924476
16,25,1,1,0,1,79.69565545893252
13,22,1,1,1,0,75.5340102865158
28,31,0,1,1,1,87.99549463879497
20,34,0,1,0,1,86.95858732523172
19,17,0,1,1,1,78.53871113524876
12,27,0,0,1,0,76.67986297997791
