defendant_age,years_of_experience,severity_of_crime,previous_convictions,legal_aid,plea_bargain,community_service,restorative_justice,recidivism_rate
19,20,0,22,0,0,0,0,78.36351812107802
35,26,8,10,1,0,0,1,99.490329503046
36,23,4,12,1,1,1,1,99.29785741531222
20,31,4,19,0,0,0,1,92.20865578674837
31,23,3,8,1,0,0,1,90.95092370783904
17,22,4,18,0,1,0,0,80.63460909772239
32,24,6,9,1,0,0,0,88.79703732873523
16,25,7,11,0,0,1,1,87.16536749328598
22,22,4,23,0,0,0,1,92.80260004079048
30,23,3,15,1,0,0,1,93.99766665311049
29,22,4,8,1,1,1,1,91.10970941524693
21,17,6,22,0,1,0,1,94.63681931712118
10,20,7,19,1,0,0,0,78.41144739257268
29,23,10,23,1,1,0,1,103.2479138087179
25,27,8,19,0,0,1,0,91.5937628621217
18,24,6,21,0,0,0,1,92.52066234104126
16,19,6,14,1,1,0,0,80.23387925937409
14,21,6,21,0,1,0,0,81.50249629231782
27,22,2,19,0,1,0,1,93.04821510186956
29,23,4,15,0,0,0,1,94.24720901096572
31,32,7,8,0,0,0,1,97.07159883475876
23,20,8,14,0,1,0,0,84.76977070053985
25,27,5,20,0,0,1,0,88.23279513692438
22,19,10,13,1,1,1,1,93.82542290078588
26,25,6,13,1,0,1,0,86.42735476021073
17,16,4,18,1,1,1,1,88.72562041569574
21,22,5,16,1,0,0,1,89.40054729736651
12,21,7,9,0,0,0,0,74.78655014711589
34,25,6,12,0,1,0,1,100.45503743114358
22,25,5,23,0,1,0,0,89.31480953608742
18,19,8,12,1,0,1,0,81.05214324026656
23,23,7,20,0,0,0,0,88.6717839111482
19,22,2,16,1,1,1,0,80.96920993847854
21,27,2,28,0,0,1,1,96.26616874062842
23,18,3,11,0,0,1,1,86.23245451342471
35,18,4,13,0,1,1,1,96.2746062557676
20,28,10,21,0,1,0,0,89.68062833060266
21,23,3,19,0,0,0,0,81.3822128823226
30,25,7,10,0,1,0,1,95.40113347187425
37,25,4,22,1,1,0,0,94.27199560538716
28,25,8,6,1,1,1,1,95.57628790126184
24,20,3,13,0,1,0,0,83.78149087630646
26,20,5,18,1,0,0,0,85.33264139421297
30,27,6,18,0,0,0,0,91.77817120122742
30,16,3,13,0,0,0,1,89.83990407895197
23,27,4,19,0,0,1,0,86.20121848277255
10,27,3,15,0,1,1,0,76.73575961349259
15,20,5,10,0,0,0,1,85.62821699672169
22,32,5,9,0,0,0,1,90.09886193855492
13,20,2,14,0,1,0,1,84.70935921116086
17,29,6,15,0,0,1,1,91.04850597877451
37,30,3,16,0,1,0,0,93.9508768655391
35,27,5,19,1,0,1,0,96.06424438330262
3,12,4,16,0,1,0,1,76.57287234626897
35,28,10,19,1,1,0,0,99.720469034017
18,16,5,12,0,1,0,1,86.09376535375942
23,23,3,23,1,0,0,1,93.42678664224992
15,23,7,12,1,0,0,1,87.44360291475893
32,22,4,17,0,0,0,0,87.75272226502217
33,26,6,14,1,1,0,1,100.6574408954285
32,21,7,12,0,0,1,1,96.76708204919204
26,19,7,20,1,1,1,0,89.4250070288202
18,29,6,16,1,0,0,0,83.7631014600115
34,18,7,19,1,1,1,1,102.205081174744
27,24,4,14,0,0,1,1,92.95040177943696
14,21,9,10,1,0,0,1,88.41121198960238
29,25,5,14,1,1,0,1,95.56032355145724
27,21,4,22,1,0,0,0,88.73995140517033
28,27,3,16,0,1,1,1,97.58374377097392
16,29,7,12,0,1,0,0,82.48021712874568
29,22,5,6,0,1,1,1,90.95663094112425
14,21,6,12,0,0,0,1,85.23622868498674
26,25,3,21,1,1,0,0,88.22746098609532
12,25,5,14,0,0,0,1,85.52994838968738
34,16,6,18,0,0,0,0,88.84310875993646
46,22,4,19,0,1,1,0,98.34269371319328
37,29,6,15,0,1,0,1,102.38009254050311
30,28,6,13,0,0,0,1,97.35022107827332
