participant_age,education_years,household_income,gender,rural_residency,previous_voting,campaign_exposure,voting_turnout
28,22,3,1,0,0,1,83.48204307561753
26,27,7,0,0,0,0,83.6995802976062
33,14,6,0,0,0,1,86.66235625041345
22,20,5,1,1,1,0,78.86282349345765
10,26,4,0,0,1,0,66.12516191091314
32,21,1,1,0,1,0,85.66069676122405
16,26,7,1,1,1,0,75.60288765719488
21,19,5,0,0,1,0,77.49540777866224
0,26,0,0,0,0,0,55.079761592678
21,20,6,0,0,0,1,78.45488720875832
18,17,5,0,0,1,0,73.63635606702913
36,26,4,1,1,0,1,94.21303209526
26,25,7,0,0,0,0,86.13066556659781
20,15,4,1,0,1,0,72.19617382244675
25,24,0,1,0,0,1,79.79270354257265
31,19,5,0,1,1,0,85.46505954661328
22,14,8,0,1,0,0,77.99621480473535
17,22,4,0,1,0,1,76.55793401606515
20,22,5,0,0,0,1,77.79473319457976
27,23,4,0,1,1,0,82.33241217090047
23,23,9,0,0,1,0,83.34937842867087
14,20,10,1,0,1,1,75.88289907293428
13,22,7,0,0,1,1,72.61501653153539
29,23,3,0,0,0,0,83.07578291831044
24,20,7,0,1,0,0,81.23520536359884
25,25,11,1,0,1,0,83.80438972069668
40,23,4,0,0,1,1,96.90956342078957
4,24,3,0,1,0,1,63.671435616448825
30,23,5,1,0,0,1,88.77799729635906
17,25,2,1,0,0,1,74.26811662439188
34,27,7,0,1,1,1,91.8458894289072
12,23,4,1,0,1,1,71.27289979672287
28,23,7,0,0,0,0,85.41030537880678
24,22,4,0,0,0,1,80.3570313029412
35,20,3,1,0,1,1,89.37154889217486
24,17,6,0,0,0,0,78.44462320387565
26,26,4,1,1,0,1,84.54733612982317
29,21,4,0,1,0,0,83.2261978946372
13,22,7,0,1,1,0,72.81305063484943
37,32,7,0,0,0,1,99.69530909837098
17,22,6,1,1,1,1,77.8960051527508
33,21,7,0,0,0,0,87.19419071181572
30,32,5,0,1,1,0,87.84666524817547
27,27,5,1,1,1,0,85.4338053449812
18,24,6,0,0,0,0,73.92714765547882
28,22,7,0,0,1,1,86.70685445194438
13,21,9,0,1,0,1,75.33054043595261
12,34,7,0,0,0,1,77.67136849301438
48,28,2,1,0,0,1,101.93070585526024
30,13,5,0,0,1,1,84.65776181900834
25,31,4,0,0,1,0,82.45322353326289
31,29,8,0,0,0,0,89.18151399995061
16,19,1,0,0,0,0,70.43062678834329
15,24,3,0,1,1,1,74.40551972742223
13,23,6,1,1,0,0,70.7941256247307
22,24,5,0,0,0,1,80.77084248831486
20,24,4,1,0,0,0,75.81494368232109
35,29,4,0,0,0,0,91.44734596793464
35,29,8,0,0,1,1,94.7227695600511
34,22,6,1,0,0,0,88.18987392230902
22,25,3,0,1,0,1,80.54219754376555
23,26,6,1,0,0,0,80.70014188168254
25,18,5,0,0,0,0,79.08090355872051
27,29,8,1,1,0,1,88.93127713121731
22,29,10,0,0,1,0,81.94565108936689
22,26,6,0,1,1,1,82.49423826474126
40,29,6,1,1,0,0,97.85463703166192
3,18,4,1,0,0,1,60.21103122281373
21,19,4,0,1,0,1,78.19839716520701
33,22,6,0,1,1,1,91.8646095712672
33,27,4,0,0,0,1,89.53553653803264
18,23,6,1,1,0,1,77.03830562968052
40,21,5,0,1,0,1,96.61349121461576
33,27,3,0,0,0,0,87.86393031327904
7,27,9,0,0,0,1,71.39083311476323
