age,income_level,education_years,household_size,is_homeowner,has_unemployed_member,received_government_benefits,tax_credit_received,annual_spending
25,29,3,10,1,0,0,1,79.72567679033592
30,23,7,19,0,1,0,1,85.6380830845538
19,27,7,10,1,0,0,0,76.68428150008708
18,28,9,10,1,0,1,1,83.00532932104576
16,24,5,21,0,0,0,1,85.23286085103936
33,25,6,24,0,0,1,0,88.82077353323997
32,23,2,17,0,1,0,1,82.30218252054294
21,25,6,15,0,0,1,1,81.83684377722469
15,23,4,15,0,0,0,1,78.83726260830448
25,18,5,18,0,0,0,1,82.70033143074234
33,22,3,13,0,0,1,1,80.94139026165963
25,25,3,18,1,0,0,1,83.35069025712514
34,22,4,17,1,0,0,0,81.314374014597
32,22,6,15,1,1,0,1,83.43985710359685
11,30,9,10,0,0,0,0,79.80903597785218
29,23,5,14,0,0,1,0,78.85885847816617
21,27,6,21,1,0,1,1,88.91115022736356
23,23,6,21,0,0,0,0,85.07294247462586
45,30,6,20,0,0,1,0,91.69548197707854
32,22,5,19,0,0,0,1,86.61418854288192
25,26,5,19,0,1,0,1,85.47126943278714
20,25,4,13,0,0,0,0,78.30666102425022
32,21,5,17,0,1,0,1,84.93037476494672
34,22,4,15,1,0,1,1,80.58389387900564
30,27,10,18,0,1,0,1,90.10609419393424
15,20,4,8,0,0,0,1,72.43849992457287
36,22,10,10,0,1,1,0,79.23980421448452
38,24,2,16,0,0,1,0,81.560134336984
13,21,4,12,1,0,0,1,75.9308017712543
21,20,4,16,0,0,0,1,78.84907405327375
45,18,3,8,0,1,1,1,77.31066809763234
39,23,7,13,0,1,0,1,83.77038088980599
40,29,4,14,0,1,0,1,86.33729902422401
37,23,4,10,0,0,0,1,78.81989665006282
39,20,3,15,1,0,0,0,78.83475738778618
18,23,7,18,1,1,0,1,84.30247495875516
35,23,6,17,0,1,0,0,81.56141627403564
22,20,4,23,1,0,0,1,85.61518896866005
19,21,7,17,1,0,1,0,81.34583475313138
28,28,5,15,0,0,0,1,84.24003648294348
10,25,2,16,1,0,1,0,79.30540110332522
27,18,4,13,1,0,0,0,74.52822562281419
20,28,2,11,0,0,1,1,79.0420178873775
15,31,8,12,0,0,1,1,82.43702857166629
15,26,8,17,0,1,0,0,82.09668682449255
14,22,6,6,0,0,1,0,70.53614208718493
36,25,4,20,0,1,1,1,89.77615234764178
14,27,7,14,1,0,0,1,82.2613578843665
32,25,5,10,0,1,1,0,78.52567310608042
13,28,6,19,1,0,1,0,82.62148773561648
28,28,7,23,1,1,0,1,93.04536208821474
28,30,7,7,1,1,0,1,79.35206042508986
22,29,6,16,0,0,1,0,82.56624766355846
14,25,7,18,0,1,1,1,84.02624942052496
19,24,5,20,0,0,0,0,85.01921920031823
32,26,2,16,0,1,0,0,82.14619498231644
21,23,6,22,0,0,0,0,83.50096368503536
31,25,6,12,0,1,1,1,82.64718662406142
25,25,5,1,1,0,0,1,70.74514024874473
30,20,2,21,0,0,0,1,84.7936305941429
18,24,10,14,0,1,1,0,80.01470427384577
32,22,0,17,0,0,0,1,82.59056667450176
37,28,6,13,1,0,0,1,82.74145346743077
14,24,7,16,0,1,1,0,82.12128820620624
8,26,7,15,1,0,0,0,78.525064636664
41,27,2,21,0,0,0,0,86.4843948397112
8,29,8,16,0,0,1,0,80.90711205021032
6,19,3,14,0,1,0,0,73.43807876029027
23,23,4,22,0,1,1,0,85.23906257276494
30,25,6,15,0,1,1,1,84.69875091588935
17,27,2,24,1,0,0,1,88.87616984806257
14,18,9,19,0,0,0,1,82.32273065716484
29,17,6,13,0,0,1,0,74.6877708327855
24,28,4,17,0,1,0,0,82.58574234190021
8,36,6,14,1,0,0,1,85.35352524323567
33,25,11,19,0,1,0,0,87.0189932005586
41,24,4,19,0,0,1,0,85.62294242090591
35,28,5,18,1,1,1,0,86.76784834851944
31,22,6,11,0,0,0,0,76.19532431226335
41,22,2,18,1,0,0,1,85.20436891328974
33,18,7,23,0,1,0,0,87.29271312091375
24,24,6,9,0,0,1,0,75.46010209706319
31,24,0,6,0,0,0,0,70.58263366829756
41,21,7,12,1,1,1,1,80.74033454403707
34,27,7,11,0,1,1,0,81.81515924738855
21,28,4,16,0,1,1,1,85.26534469581657
38,25,2,21,0,1,0,1,89.9628268671349
33,23,7,15,0,1,1,0,82.28902575527032
15,24,4,13,0,1,1,0,79.46946580435954
7,19,4,13,1,0,1,1,75.17874102932396
33,29,3,10,0,1,0,1,81.35348859476574
31,21,6,26,0,0,0,0,89.68584701897855
43,34,8,14,1,1,0,1,90.75401554671816
0,24,10,7,1,1,1,1,75.3994458825095
23,28,5,10,0,0,1,0,78.43501024400342
14,25,8,13,1,0,0,1,81.68245892296318
13,22,7,17,0,0,0,0,79.96392403014438
17,25,6,13,0,1,0,1,80.77405821105066
32,17,4,19,0,0,0,1,82.21790341679213
35,30,7,28,0,1,1,1,99.43645855711117
19,23,4,19,0,0,0,1,84.0680314807463
32,28,6,20,1,0,1,0,85.95608566026668
22,21,8,15,0,1,1,0,78.31555621980644
16,27,6,22,0,0,0,0,85.60406038676503
24,25,8,15,0,0,0,1,83.7767095914894
13,28,5,17,0,1,0,0,81.49099746736283
20,19,4,24,0,1,1,0,81.97411984064618
30,21,5,6,0,0,1,1,73.48857708198246
30,23,7,19,1,0,0,1,86.4105551245806
39,20,6,20,0,0,0,1,85.26715456972423
33,26,9,11,0,0,0,0,78.12102522485648
21,19,2,12,0,1,1,0,74.98718272280641
25,21,1,16,0,0,0,0,77.01230922655226
29,23,6,16,0,1,1,0,81.65036437656806
23,34,7,11,0,1,1,1,86.20019171505488
28,23,4,21,0,0,0,0,82.1310381606492
13,22,5,17,1,0,0,0,78.23494016425546
27,27,6,18,1,1,0,0,84.99944696436138
40,19,8,11,0,0,0,1,78.87594253564862
32,21,7,16,0,0,0,0,80.69978381556736
37,26,6,18,0,0,0,1,86.10921260752934
44,23,10,18,0,0,0,1,89.03827364272728
22,23,12,10,0,0,0,0,75.58864179294605
33,22,3,12,1,0,0,0,76.61911934090737
32,25,6,3,0,0,0,0,71.75876828445088
21,29,4,19,0,0,0,0,86.23997040790374
30,22,11,18,0,1,0,1,85.54273299076124
48,22,5,11,0,1,0,0,78.5899253710901
16,24,4,20,0,0,0,1,85.45267817998993
22,24,4,18,0,0,0,0,81.58660542953402
19,25,6,15,1,0,1,1,82.33942656318345
20,26,8,11,0,0,1,1,83.03610511831499
23,33,11,10,1,0,0,0,83.28876941728139
15,26,7,7,0,0,1,1,75.9331517659886
6,18,3,21,0,0,1,0,79.26104055060006
48,26,6,13,1,0,0,0,82.5086429206575
23,22,4,8,1,1,1,0,73.3850169388246
15,25,4,10,0,1,0,1,77.95451451835103
28,21,8,13,0,1,1,0,79.40651314398191
23,26,6,16,0,0,0,0,80.97654343811485
4,27,8,9,0,0,0,1,76.8083499499979
