student_age,parent_education_years,classroom_size,school_funding_per_student,distance_to_nearest_library,school_location,access_to_private_tutoring,school_type,enrollment_in_stem_program,final_math_score
17,20,5,18,2,0,0,0,0,82.9778161170813
26,10,5,17,1,1,0,1,1,89.8160756491885
5,15,6,10,4,0,1,0,1,78.86056872666222
33,28,8,22,3,1,1,0,0,97.30692783583903
7,28,0,14,0,1,1,1,0,79.64998588276903
32,26,3,17,0,1,1,0,1,97.1980705736003
30,21,6,13,1,0,0,0,0,83.47110236801214
34,22,4,20,3,1,0,1,0,92.29827921990672
11,24,9,14,2,1,1,1,0,80.53980791465534
30,23,3,20,2,1,1,0,0,90.46699084298976
47,18,4,15,1,0,0,1,0,89.86728430851939
29,27,4,14,1,1,1,1,1,96.62008131233316
26,26,7,12,2,0,1,1,1,93.8406657052901
21,20,10,6,2,1,1,1,1,85.38262325834118
25,19,5,24,0,1,1,0,0,89.92647823161734
32,29,6,21,2,0,1,1,1,102.61104558105148
24,28,6,16,2,0,0,1,1,93.6572963800438
36,30,6,17,3,1,1,0,0,94.0155797446274
14,29,6,13,0,1,1,1,0,80.08037782034687
36,24,4,7,0,1,0,1,0,82.29521472716378
35,28,7,8,3,0,1,1,0,87.28323067531356
24,23,3,16,2,1,0,1,1,94.28389835480156
28,20,4,27,0,1,1,1,1,102.44872447030792
23,27,4,15,1,1,1,1,1,94.21885812039494
25,28,3,10,2,1,1,0,0,85.53086146459414
24,27,10,24,0,1,0,1,0,90.6187444579532
48,27,4,9,1,1,0,1,1,97.60448337872864
26,20,3,9,1,1,1,1,1,89.80575819036444
23,18,6,20,1,1,1,1,0,87.60804484120564
14,27,3,15,3,1,0,1,0,84.2357162026654
38,22,7,15,3,1,1,1,1,99.3216153057448
18,33,4,13,0,0,1,1,0,84.3219554062806
29,22,3,9,1,1,0,0,1,87.88717505574682
23,15,3,16,2,1,0,1,0,83.0440691374311
20,18,10,23,3,1,1,0,1,97.82023199940068
10,18,6,11,0,1,0,0,1,80.90735085745196
28,29,8,16,1,0,0,1,0,88.28227331776208
36,21,5,12,1,1,1,1,1,96.172571855444
0,24,7,13,1,1,0,0,1,81.62441954041546
16,27,3,15,1,1,0,1,1,91.520743398935
20,24,5,17,0,0,1,1,1,91.06180699161736
26,18,1,20,2,1,1,0,1,96.36200889888175
