worker_age,years_of_experience,union_membership,job_training,minimum_wage_increase,job_satisfaction
15,24,0,0,0,81.36511230260255
20,23,0,0,0,82.52628023190694
17,18,0,0,1,82.00675900615202
15,21,0,0,1,84.82656266428589
27,21,1,0,0,86.16532500791749
21,17,1,0,0,78.39261239139404
15,20,0,1,1,83.04741805330887
36,23,1,0,1,96.98697180805382
21,25,1,0,0,86.71006224315497
17,19,0,0,0,77.25165094123062
27,22,0,1,0,85.70214585771558
35,27,0,1,0,94.3569319531979
30,27,0,1,0,91.91662117086284
31,24,1,0,1,97.0193679884975
13,24,0,0,1,86.00401507941457
15,22,1,1,0,77.92573872669824
20,24,0,1,1,88.726377309253
26,13,0,1,0,79.13720510759006
17,21,0,0,1,85.65211353408374
27,27,0,0,0,90.82412962668806
28,26,0,0,0,89.51349040299355
48,21,0,1,0,95.72288112026986
39,18,1,1,1,97.6773904676453
21,28,0,0,0,87.17247432030523
23,24,0,1,0,85.69514032917884
24,19,0,1,0,82.0717207964642
6,18,0,1,0,71.51709350134934
31,17,0,0,1,89.93878674142188
12,21,0,1,1,84.11016091154379
35,19,0,0,1,94.0472226061764
19,22,1,1,1,87.68011384325939
32,24,0,0,0,90.89105166679064
30,22,1,0,0,87.75151514680915
19,22,0,1,0,81.93909767330155
25,18,0,1,1,87.4980708317784
16,31,0,0,0,87.42402895653113
6,25,0,0,0,75.17123386263422
18,23,1,0,0,82.04873537375973
23,20,0,0,0,80.76866792661113
24,21,0,0,0,84.7063696302283
28,25,1,1,1,96.06887481761922
44,19,0,1,0,95.07598358827954
30,19,1,1,0,86.03032404523881
29,22,1,0,1,96.3305732553263
22,17,1,1,0,81.21900139664399
21,26,0,0,0,87.65298782428204
31,23,0,0,1,95.1188692727272
38,30,1,1,1,107.46911920018306
32,23,0,1,1,96.16138188267806
32,26,0,1,0,93.74985835775664
20,23,1,0,1,90.60851878750324
36,23,1,1,1,97.69532238773064
30,24,0,0,1,94.89632221852771
31,19,0,0,1,90.43844467839628
29,25,0,1,1,95.2719532589686
19,26,1,0,1,91.24839662093255
24,21,1,1,1,91.38402368097944
19,21,0,1,1,87.36036201737036
13,25,1,0,1,87.55481243588488
31,15,1,0,0,83.26651777878038
21,22,1,1,1,90.221088225905
39,21,0,1,1,97.75999738577038
14,27,0,1,0,84.3650471694235
39,24,1,1,0,96.3958724427468
31,21,0,1,0,86.17033322379385
2,29,0,0,1,85.07511501217203
38,27,1,0,0,97.2714397462498
23,27,0,1,1,95.77813478083354
37,25,1,0,0,94.5821391978209
45,14,0,1,0,90.6756583836462
19,26,0,1,0,84.59290073762128
10,19,0,1,0,76.19891431783088
16,20,0,0,0,78.54439912996175
29,18,0,0,1,90.21829282607672
22,24,1,0,1,90.47736943048356
21,24,1,1,1,91.46102931461644
27,23,1,0,1,94.12781147387416
47,24,1,0,0,100.66639690693528
37,24,1,0,1,99.60493137509232
23,31,0,0,1,96.45093664846334
14,23,1,1,1,87.41871590465092
28,26,1,0,0,89.24101975527152
21,24,0,0,1,89.09073076899911
3,28,0,0,1,83.39224699534421
37,26,0,0,0,95.5062417218153
25,30,0,0,1,99.47031448021944
25,25,1,0,1,94.51892911363234
32,27,1,1,0,92.97995385720267
15,23,1,0,1,85.08152849644168
31,26,1,1,1,99.45982741064996
24,25,0,1,1,92.42667063587926
15,22,0,1,1,84.4530070155126
32,21,0,0,1,94.00966418343768
19,20,0,0,0,78.0668418496686
31,27,0,0,0,92.61344766394043
30,21,0,0,1,92.63155204761505
38,20,0,0,1,98.56022192509984
11,19,1,1,1,80.81186473549361
24,22,0,0,0,84.73403589506508
38,23,1,0,1,99.27645944405738
20,27,1,1,1,92.54893559561296
30,18,0,0,1,89.69465534697318
34,33,0,0,1,106.07188753885328
20,24,1,0,1,92.39733393000266
27,21,0,0,0,85.37332179499245
23,13,1,0,0,77.07089344469877
33,21,1,0,1,95.89370915002372
16,21,0,0,1,84.60503745060507
19,25,0,0,0,83.63603677277675
14,24,1,0,0,82.57165586278026
40,26,0,1,0,97.70805271055724
15,24,0,1,0,80.13384835517144
20,25,1,1,0,84.59824786310956
26,27,1,0,1,97.30120343255172
12,19,1,1,0,76.26169675906172
8,18,0,0,1,76.97609355079004
19,21,0,0,0,82.52747352003725
13,28,0,0,1,87.83332592394147
22,22,0,0,0,83.20657621067139
37,25,0,1,0,93.33286898679718
36,22,0,0,1,95.25448420764933
25,30,0,1,0,91.6539049323256
22,22,1,1,1,89.76750231213184
38,29,0,0,1,106.25012068649052
30,17,1,0,1,88.83470168206999
25,24,1,1,0,87.41243806339625
25,26,0,0,0,88.2673480904463
25,28,0,0,1,97.27836229062282
25,20,0,1,0,84.96768689382411
38,24,1,1,0,94.38812332954764
13,23,0,1,1,87.31691971028042
47,16,0,1,0,91.80864631529316
23,22,1,1,1,89.34794667643756
24,16,0,0,0,78.70225935142156
28,23,0,0,0,87.60378838008191
32,28,1,0,0,94.61233820737058
30,21,1,1,0,89.18931636711379
24,22,1,0,1,92.1921524421568
10,29,0,0,1,89.75878263866579
28,18,0,1,1,89.29568488173348
20,21,0,0,1,85.66223079897487
17,22,0,1,1,86.32799939560496
12,30,0,0,1,89.56804309949689
36,14,1,1,0,85.66406656728459
19,31,0,0,1,95.6517789334714
10,23,0,1,0,77.12756608193207
38,22,1,0,1,99.63740380543956
13,22,1,0,1,85.83947093891632
22,22,0,0,0,83.4253239509981
19,24,0,1,1,88.88361297392949
11,26,1,0,1,88.68256910466611
29,29,0,0,1,99.53879143419316
31,25,1,0,0,91.628847359474
28,21,0,0,0,87.66559931039588
12,34,1,0,0,87.90681016449471
33,20,0,1,1,94.2354379387405
-4,22,0,0,0,69.6414560255674
25,27,1,1,1,94.1769442619516
32,23,0,0,0,90.5136260525938
37,22,1,1,0,91.79748408022564
20,14,0,1,0,76.12275399715669
29,23,1,0,0,87.79466698530015
51,31,1,0,1,114.34185925775498
43,20,1,1,0,94.98909803935533
42,25,0,0,0,97.16832788940134
31,20,0,1,0,88.08169475681605
20,30,1,0,0,88.46751518739774
28,21,0,1,1,92.4714755486247
29,22,0,1,1,91.87883681635218
12,18,0,1,0,76.29534061402359
25,24,0,0,0,85.68716336533336
24,25,0,1,1,95.21656783504936
30,21,0,0,0,87.01703384429895
22,20,0,0,0,81.08711478723157
16,27,1,0,0,86.47291702464517
34,19,1,0,0,88.56573185454124
25,23,1,1,1,91.33801066728986
24,22,1,1,0,83.29192101617687
9,27,0,0,0,81.50929165387247
20,27,1,0,1,93.09520488448068
13,23,0,1,0,78.84179089887427
25,16,0,0,1,87.45525825309082
45,19,1,1,1,99.15020900027623
13,21,0,0,1,83.91827805107688
10,25,0,0,1,85.0992759586561
24,20,0,1,0,82.88657527525648
28,23,0,0,0,88.73199939681133
22,25,0,0,0,85.49222318438349
33,24,1,0,0,92.02910830822935
28,27,0,1,0,91.1737464543184
23,22,1,1,0,85.14217529089395
34,16,0,0,1,90.07851177996952
34,23,1,0,1,97.2950637152905
17,25,1,0,1,90.73554396434038
9,23,1,0,1,83.50787747534505
28,24,1,0,0,89.53760252563364
36,27,0,1,1,101.77755588751025
10,16,0,0,0,73.04510151333209
31,22,0,0,1,92.73068359225182
16,25,0,1,0,81.74247334498693
27,23,0,0,0,87.0335506993073
45,20,0,0,0,93.98644088309791
39,22,0,0,1,98.49587459200478
25,20,1,1,0,83.25947986224327
25,21,1,0,1,90.49634108958942
35,25,0,0,0,93.54025581814534
22,24,0,0,0,88.01826331613262
21,32,1,0,0,91.79999332138208
35,23,1,1,0,91.98414224724398
15,22,0,0,1,84.96416990292637
30,18,0,1,1,91.02327773579596
15,26,1,0,1,87.80161027192467
0,34,1,1,1,87.43577645628248
19,22,0,0,1,88.2810119050917
18,25,0,0,0,83.68278219983283
39,28,0,1,1,103.94445262559714
37,26,0,1,1,101.21432365705508
28,22,1,0,1,91.2252086650828
25,18,0,0,1,87.93487262473894
34,23,0,0,1,97.16044710035194
6,16,0,0,0,71.0356544363204
23,20,1,0,1,91.08528951846108
15,29,0,0,0,85.26686605762634
21,22,1,0,1,90.71739551294328
36,21,1,0,0,91.16641264951646
23,21,1,1,0,83.32416421801904
33,22,1,1,0,90.1610049362374
31,26,0,0,1,96.71491663395668
11,20,0,1,0,76.44042102983605
26,36,1,0,1,105.28481560574905
14,22,1,0,1,85.31733368675278
28,20,0,1,0,86.14701076724394
25,30,0,1,0,92.78976934761027
25,16,0,0,1,85.87415376076278
34,29,0,0,1,102.89166705380708
27,18,0,0,0,83.994032588565
26,16,1,0,1,87.85144868781285
28,33,0,0,0,94.98333352197172
41,22,0,0,1,98.99751810024478
23,23,0,1,1,92.5972020913492
32,23,0,1,1,94.817971152065
25,26,0,1,1,97.0330563286012
23,27,0,0,0,87.03896061133787
29,34,0,1,0,97.5158659294162
16,18,0,0,1,82.87043600292618
23,18,1,0,1,89.00449374128056
21,19,0,0,1,86.40435737562984
33,23,1,0,0,90.00605048245238
46,24,0,0,1,105.43564479204598
15,24,0,1,1,86.30709744675796
20,36,0,1,1,100.69611105225626
16,22,0,1,0,81.68830780853199
31,20,1,0,1,93.49264669035232
21,18,1,1,1,86.5429710543149
23,18,1,1,0,81.71252233441993
38,18,1,0,0,90.26183353846808
40,25,0,1,1,102.67053860765706
-9,22,0,1,1,72.83020615728007
31,21,0,1,1,92.97570563990328
20,29,0,0,0,86.57931942856324
22,19,0,0,1,88.47583573407522
19,19,1,1,0,78.81148949057666
9,15,0,0,0,69.63621837905369
23,18,0,1,0,81.2559955968241
19,28,0,0,1,92.77408805330477
27,22,0,0,1,91.5072593243022
31,17,0,0,0,83.48222439059492
33,22,0,0,1,96.06041184307392
8,31,1,0,1,87.91997275533264
34,20,0,0,0,87.9147285164872
26,32,1,1,1,98.46370292916454
27,24,0,1,1,93.14863654293188
41,24,0,0,1,101.6781216214265
20,17,0,1,1,83.82931701655379
26,22,1,0,1,93.22696381335857
10,28,0,0,0,81.69001174890727
14,27,0,0,1,89.0746530754453
24,17,1,0,0,82.23634991901689
14,19,0,0,1,81.2706634504075
16,23,1,1,1,86.30125632726478
10,22,0,1,1,83.13764285193724
30,19,0,1,1,92.17926588406937
31,20,1,1,0,86.71225935950429
25,22,1,0,1,91.89295890942026
45,20,0,0,1,101.1341604321991
25,20,0,0,0,84.08673772848336
27,28,1,0,0,92.49805009823406
32,26,0,1,1,100.70693436923098
33,28,0,1,1,101.5708212039076
9,23,0,1,0,76.66995630465925
24,29,1,0,0,91.49395050720103
10,25,0,0,0,78.2901818916715
20,18,1,1,1,84.90349377595358
15,23,1,1,1,86.43309480025563
24,19,0,0,1,88.20253021076235
27,28,1,0,0,92.40584900710355
16,22,0,1,0,79.17764655376412
10,22,0,1,0,76.73057568435972
20,24,0,0,0,84.50330884220085
4,28,0,0,0,79.4766589749958
18,20,0,1,0,79.45777782347729
17,23,0,1,1,88.47015640095809
37,27,0,0,0,95.8018683578026
27,20,1,1,1,92.00500810364348
36,20,1,1,0,89.58573596963079
23,28,0,1,1,93.62233780571476
38,23,0,1,1,96.78680883303925
30,20,0,1,1,92.57873873632198
