participant_age,income_level,crime_rate,education_years,employment_status,home_ownership,received_funding_policy,received_public_safety_funding,perceived_safety_level
20,27,6,14,1,0,0,1,81.20221044362555
44,17,2,13,1,1,0,0,72.99496083290668
33,22,6,10,2,0,1,0,75.25304761380804
36,22,6,20,3,1,0,1,82.26769336344597
19,28,6,11,1,0,0,1,79.10978102105014
42,28,3,18,2,0,0,0,84.89439635840185
11,25,10,20,2,0,1,1,82.10140271213278
23,23,5,14,1,0,1,1,75.40515418744593
31,24,7,6,3,1,0,1,78.20172660343458
11,25,6,10,1,1,0,1,73.75968110949718
31,16,8,21,1,1,1,0,76.92827227304834
40,19,7,20,1,1,1,0,78.96186628818366
11,30,4,15,1,1,1,1,83.00032182699199
27,26,4,23,1,1,0,0,83.69855954391943
1,22,5,15,1,1,1,1,74.37431911696183
43,26,7,18,2,1,0,1,86.22094055905927
42,26,3,14,3,1,1,1,84.15332557120666
15,28,10,23,2,0,1,0,85.58970508109178
15,19,4,16,1,1,0,0,71.08651535225475
32,25,6,12,2,1,1,0,78.34488063986927
10,26,4,8,1,1,1,0,71.72789580162114
33,24,8,19,1,1,0,0,82.38706073285101
27,20,6,19,1,0,1,0,75.59292134222018
30,19,1,16,4,1,0,0,73.99803897962047
25,19,4,7,1,0,0,1,71.49145546756105
37,23,6,21,0,0,1,1,82.03215610841802
34,19,9,12,2,1,1,1,76.86171294198839
18,29,5,15,2,1,1,1,82.31140318225076
14,21,4,15,1,0,1,0,75.02305178325163
23,23,7,16,2,0,0,1,79.67523539674418
49,31,7,24,1,0,1,1,95.41487644563496
49,25,3,13,2,1,1,0,82.8469640124092
28,26,8,9,2,0,0,1,79.93544674988291
26,21,7,9,1,1,0,0,70.7765261911006
36,30,5,19,1,0,1,0,83.369288638615
5,21,4,12,2,0,0,1,73.31535552406059
36,21,4,31,3,0,0,0,84.86192176224667
20,24,4,11,2,0,1,1,79.19329944539064
27,20,2,12,3,1,0,1,75.2363918269512
31,28,10,20,1,0,1,0,85.15987978970178
28,26,4,8,0,1,1,0,75.46234059204117
24,25,8,25,2,0,1,1,84.60115248080704
31,25,5,16,1,0,0,0,77.6364130998797
18,22,7,11,3,1,1,1,76.61676517831106
13,23,3,21,2,1,0,0,78.25949255415799
24,24,3,15,3,0,1,1,80.03824686805628
33,25,5,10,3,1,1,1,81.82725158801411
30,25,7,10,1,1,0,1,78.37179606178185
27,27,4,12,2,0,1,1,81.76811893442729
36,28,5,20,1,1,0,0,84.0826133611367
