age,education_years,income_level,political_interest_score,urban_residence,previous_voting_history,campaign_exposure,voting_turnout
16,23,4,23,0,0,0,76.87123691768667
34,29,5,10,1,0,0,91.97983724926752
25,25,2,17,1,0,1,89.83624618516588
38,22,10,16,0,0,0,96.08255548800526
24,23,3,18,0,1,1,88.82661807545102
24,21,7,14,0,0,1,87.77405840072889
27,17,6,19,1,1,0,84.23733116188058
20,26,3,5,0,0,1,79.80178074925715
15,23,8,19,0,0,0,74.5935174574154
16,21,6,18,0,0,0,72.83007552719437
33,24,5,20,0,1,1,97.94247736529512
14,22,9,20,1,1,0,75.24517341842416
32,26,8,20,0,1,1,99.27261210342562
33,24,6,14,0,1,1,97.32197427288364
48,29,6,20,0,0,0,108.86079392982752
45,20,2,17,0,0,1,107.55647031317206
16,23,9,15,1,0,1,80.95242376336762
11,30,4,18,1,0,1,79.13507277574186
37,20,3,12,0,0,0,90.68773425741033
43,22,2,12,0,0,0,95.68548783215722
18,20,5,23,1,0,1,85.88628032899366
17,18,4,21,1,0,0,75.90195384730245
27,26,7,15,0,0,1,89.7175810250354
11,19,5,23,1,0,1,78.05478944442913
33,15,0,23,0,0,1,95.29197719335056
1,26,5,25,0,0,1,69.98166126824086
30,19,5,16,0,1,0,84.96614307237537
22,29,1,13,1,0,0,79.41004629063663
26,28,6,12,0,1,1,89.73076308727754
20,25,7,15,0,0,1,85.91469617365779
34,33,7,15,0,1,1,99.84331580784934
16,24,7,15,0,1,1,82.00738833623244
25,23,4,10,1,0,0,79.96296621348567
25,22,6,11,1,0,1,88.75537449363449
11,22,6,20,0,0,0,70.31418026833624
23,26,9,19,0,1,0,83.16149180354331
24,31,5,13,0,0,0,81.5315304842782
24,23,6,23,0,0,1,92.68647292364172
28,20,5,15,0,0,1,92.97976120211946
22,21,8,10,0,0,1,84.81977368503456
20,26,3,12,1,0,1,83.13113194840315
25,19,7,19,1,0,1,91.94416423838705
36,25,10,21,1,0,1,105.58273062327092
32,27,5,11,0,1,1,95.67226904727532
43,22,8,13,1,1,0,99.95708136558898
10,21,3,24,0,0,0,69.54757175342155
14,24,6,19,0,0,1,81.00299564848635
11,20,5,18,0,0,0,67.67256178427085
28,25,2,14,0,0,1,88.87774022658307
