age,income,previous_loan_count,home_ownership,job_stability,rural_residence,low_interest_loan,loan_repayment
-5,21,6,0,0,1,0,59.52414533108551
29,25,8,0,0,1,0,84.58842666963605
18,26,8,0,1,0,0,78.72801755554967
38,29,5,0,0,1,1,95.63588474496927
7,29,7,1,1,0,1,76.56695179714728
44,26,3,1,0,1,1,95.91366311181108
41,22,5,0,1,0,0,88.04643481796843
27,26,2,1,1,0,0,78.75945263092329
38,27,3,1,1,0,1,93.7999063035142
42,25,4,1,1,1,1,96.66675955495988
1,16,5,1,1,1,0,60.82775742663652
38,21,7,1,1,0,1,95.94757489116049
26,21,3,0,1,0,0,77.86073483628986
22,21,9,1,1,0,0,83.14922940120813
42,26,4,1,0,0,1,96.24359518364945
35,26,5,1,0,1,0,88.29390043254104
49,21,4,0,0,1,1,98.8360829374232
47,28,6,0,0,0,1,101.82311939920896
27,25,9,1,0,1,0,85.46579416604568
33,22,6,0,1,0,0,86.13878982953185
3,21,6,1,1,0,1,69.27197290144305
19,19,4,1,0,0,0,72.59601231276082
17,27,3,0,1,1,1,79.61980890917773
23,20,2,1,0,0,0,74.02914834805485
23,25,5,0,0,0,0,77.4482033134192
40,24,7,0,1,0,0,90.46313807077064
38,26,10,0,0,1,0,94.04389957032372
31,28,6,1,1,1,1,92.78189654137005
32,19,8,0,0,1,0,86.8350968408294
27,17,3,0,1,0,1,82.3141142568693
28,25,6,0,1,1,1,88.78309923898118
28,30,9,0,1,0,0,89.11809813779428
27,22,8,0,1,0,1,88.34146403536477
23,24,7,1,0,1,1,85.72528500889568
18,24,5,0,1,0,1,81.48194223130962
21,24,6,1,1,0,0,79.52409878153512
26,20,5,1,0,1,0,78.63753661886629
15,22,8,0,1,1,1,81.85274289411281
30,24,8,0,1,1,1,92.93835750694068
28,20,7,1,0,0,0,83.18443754099071
36,23,3,1,1,0,1,89.24935924852595
15,21,5,0,1,1,0,74.54463601694849
1,24,3,1,0,1,1,67.21280395050711
16,27,7,0,1,0,1,81.67600706454853
43,25,9,0,1,1,0,96.11072327384
6,21,7,0,1,0,0,67.19496449301778
20,27,5,0,1,1,0,76.83334856524607
26,28,5,0,1,0,0,82.35787836833828
40,22,4,1,0,0,0,87.00352270921177
15,19,4,0,0,0,1,76.77350618362108
23,24,5,0,0,0,0,77.27661060013173
40,26,5,1,1,1,0,92.21201219801344
11,25,8,0,1,0,0,74.11591882359093
46,29,5,0,1,1,1,101.39191042262294
37,29,5,0,0,1,0,88.57675241867568
28,31,5,1,0,1,0,84.2110345760555
24,30,2,1,0,1,0,78.23405713642707
11,20,3,1,0,0,0,65.26394315843089
37,19,4,0,1,1,0,85.75673681506261
31,27,3,0,1,1,0,83.31135424811808
14,22,6,1,1,0,0,72.68219163090309
33,22,6,1,0,1,1,91.19287602935664
28,16,8,1,1,0,0,83.43007043749078
15,17,7,0,0,1,0,72.15851699697264
39,24,5,0,0,0,1,92.91937999577964
26,26,6,1,0,1,1,86.81089405820856
12,28,7,0,1,1,1,78.68550461212925
14,16,5,1,0,0,1,73.26594899360168
20,24,6,1,1,0,1,82.59014223734562
14,24,6,0,0,1,0,74.91815490073958
23,26,3,0,0,0,1,81.80911455231657
56,20,3,0,1,1,0,97.7988744149842
34,15,3,1,0,1,1,86.49624569625209
31,23,8,1,0,0,0,87.71825865584914
34,30,3,0,1,1,1,92.29104925085583
23,23,2,1,1,1,0,76.84155496066279
19,28,0,1,0,0,1,77.41864260780802
10,24,6,1,1,1,1,78.30601640875136
24,21,1,1,1,1,1,81.14926281193316
35,29,4,1,1,0,0,87.72067971642628
20,27,3,1,1,0,0,77.336474859763
35,13,7,0,0,1,0,85.20699263704192
39,20,7,0,1,1,0,90.1444643879684
29,20,5,0,1,1,0,81.71665289290853
30,31,8,1,0,0,0,87.18630778776755
16,21,3,0,1,0,1,77.70873731396236
