age,education_years,income_level,crime_rate,home_ownership,urban_residence,neighborhood_watch_participation,perceived_safety
29,18,5,13,1,0,1,81.66816569746673
27,25,3,23,1,1,1,91.51701654074289
28,25,6,13,1,0,0,82.82199913184405
17,23,2,13,0,1,1,80.37034693903719
28,22,0,18,1,0,1,81.52765673501776
9,22,8,20,1,0,1,89.49084342038272
16,20,5,14,1,1,0,78.31302327764934
9,25,1,6,0,0,0,70.3625340897435
27,23,7,21,1,0,1,92.75622139889587
19,25,8,7,1,0,1,80.34219976080301
22,28,7,15,1,1,1,88.8080324654176
18,25,10,17,0,1,1,92.2081606487717
32,25,1,22,1,0,0,85.55489257623911
12,24,5,20,0,1,1,90.08818941590592
24,20,3,22,1,1,0,85.85049689394992
13,20,5,16,1,0,0,80.75558765484297
42,20,2,26,1,1,0,90.10569555464124
43,26,3,18,1,0,0,85.0891903450538
28,23,6,19,1,1,1,89.69710973890821
13,17,4,11,1,0,0,74.39853686427452
8,23,4,15,1,1,1,84.90435428857444
32,32,4,18,0,1,0,88.7627930087831
32,26,7,24,0,0,0,96.46466879266002
17,20,7,17,0,1,1,86.25604176831257
21,21,5,20,1,0,1,87.98010080275814
40,18,3,17,1,0,0,79.93646248523586
27,21,5,16,1,0,1,84.13911232168077
24,24,7,13,1,1,0,84.44354583362045
38,24,3,18,1,1,1,84.8789267215101
-8,23,6,20,1,1,0,86.0794060390011
20,23,4,20,1,1,0,84.69520082629874
14,29,7,19,1,1,1,92.22731642962508
42,21,5,15,1,1,0,80.93417674418374
36,24,7,13,0,1,0,83.0533957552559
21,23,7,15,0,1,0,83.31341992002797
36,24,5,13,1,1,1,83.19533105264034
35,24,7,13,0,1,0,81.5652015317113
8,27,3,19,0,1,1,86.88320933785037
37,24,5,8,1,1,0,75.8649016532747
27,19,7,13,0,1,1,85.63928033959314
45,20,5,21,1,1,0,87.82934334655573
23,24,7,16,1,0,1,89.24841431453109
12,21,8,20,1,0,0,89.79157314102123
30,25,11,15,0,1,0,88.00414765898205
37,27,6,20,0,1,0,88.60534746201763
33,22,5,14,1,0,1,83.72973127987929
17,21,3,20,1,1,1,86.45475134690648
4,17,7,15,0,1,1,84.26781851636306
33,20,7,15,0,1,0,81.25174299376593
14,20,8,12,1,1,0,80.68523696613379
37,24,7,22,0,1,0,94.32471887892572
17,27,6,15,0,0,1,85.73773570177018
23,19,4,18,1,1,1,86.19712867527753
31,28,5,21,1,0,1,91.50404339167665
36,25,5,14,0,0,1,82.63597387603639
27,29,6,11,1,1,0,81.93510201802378
32,13,6,9,0,1,1,73.52795921992607
13,29,4,17,1,1,0,88.26174423596127
26,20,5,13,1,1,0,80.38910275532301
19,21,4,13,1,1,1,79.70912890574317
30,22,8,8,1,1,0,78.24751402167038
34,31,3,11,1,1,1,82.52217832562361
20,21,3,16,0,0,1,81.64164980170838
12,18,3,17,1,0,1,81.72921628957732
24,30,1,12,1,1,1,83.2304538746507
12,23,9,12,1,1,1,85.69104496559638
14,25,5,15,1,0,1,85.44740794442288
20,22,4,13,1,1,1,81.74625699177965
53,29,8,14,1,1,0,86.31481847558199
29,22,8,14,1,1,1,86.07696314552824
22,26,5,10,1,1,1,83.25807495586065
25,23,7,26,1,1,0,97.26621672169388
37,21,9,7,0,0,0,76.93217201388858
17,24,7,11,0,1,0,80.42438931432417
36,21,8,17,1,0,1,89.28128501607733
