student_age,parents_education_years,classroom_size,school_funding_status,tutoring_access,online_program_participation,final_grade
16,26,4,0,0,1,67.10002218065131
22,20,5,1,0,0,59.13231514233255
18,21,3,1,1,1,69.54641999835343
45,24,1,1,1,0,58.54442873559651
22,29,7,1,0,1,69.9461509951283
24,26,3,0,0,0,58.30389180974717
32,19,9,1,0,0,60.57590423122575
30,28,5,0,1,1,69.54840233468586
28,26,3,1,0,0,58.60365230313732
23,19,4,1,1,1,68.60961708390532
0,25,3,1,0,1,67.57176184715901
17,21,8,0,1,0,62.25216962268048
20,31,5,0,0,0,61.78116159250801
20,24,4,0,1,1,67.66647599851761
15,24,4,0,0,0,59.44452984449507
28,22,1,1,0,1,63.40954997677115
16,18,3,0,1,0,57.51447207211824
19,27,3,1,0,0,61.06321249468973
20,20,9,1,0,1,71.2641315446934
41,32,6,1,0,0,62.10937777600108
15,18,6,1,1,1,68.64443833912172
40,17,7,1,0,0,59.56437301882988
19,18,6,0,0,0,59.74527278264815
32,15,6,0,0,0,59.040380193630384
15,30,5,0,1,1,71.1909562242924
13,20,4,1,0,0,58.9897082855239
34,29,4,1,0,0,61.11106482406062
12,22,7,1,1,0,62.40805101624605
19,25,5,1,0,1,67.54817894429706
25,21,4,1,1,1,66.34895405889122
18,16,9,0,0,1,68.06223727404303
20,28,8,0,1,0,63.10939342283792
28,19,2,1,1,1,64.06373838556479
12,31,5,1,1,0,62.77584299137201
49,16,6,0,0,1,68.91475976604247
22,21,5,0,1,1,70.79331390076271
22,20,6,1,1,0,62.79072966129571
9,23,8,1,1,0,63.20640694967317
24,19,4,1,0,1,65.98986437988943
34,24,2,1,1,1,66.95159904420426
30,23,8,1,1,0,62.26188646575358
15,21,3,1,1,1,66.55828960621142
37,19,1,0,1,1,64.05365352632724
20,25,5,0,1,1,68.77287183803281
29,21,5,0,1,1,67.55126642241075
0,21,6,1,1,0,61.49414986062817
13,22,3,1,1,0,58.87017958007527
39,19,4,1,0,1,65.36353591272172
12,17,8,1,0,1,71.00015023037518
42,23,6,1,1,1,69.06401257213109
21,19,9,0,1,1,69.95548857177556
39,25,4,0,1,1,69.52647580778078
27,22,3,0,1,0,59.61282276783057
27,19,2,0,1,1,65.62599927864667
11,23,4,0,0,1,65.74419451552589
26,29,2,0,0,0,61.09042928372475
8,32,7,1,1,0,63.41823408969705
38,34,8,0,1,0,66.15756265115044
20,24,2,1,1,0,59.52326813073731
36,19,9,0,0,0,60.75791416133684
19,21,6,1,1,1,69.10449147746164
23,26,1,1,0,1,64.78203211241458
11,21,5,1,0,0,60.27758396705452
33,20,7,0,1,0,62.32160071271738
19,25,4,1,0,0,61.032757190212365
44,18,7,1,1,1,67.6853084607843
18,28,6,0,0,0,61.036699715330414
16,24,5,1,0,1,67.6580689676237
37,23,10,1,0,1,72.59872190484269
45,31,1,0,1,0,59.24944444841996
18,24,4,0,1,0,59.6032094761788
21,29,2,1,1,0,61.70903606104428
28,26,5,0,0,0,60.8123330386309
26,21,8,1,1,0,64.12376809477112
38,24,8,0,1,0,62.44696063388568
