worker_age,education_years,previous_income,working_hours,union_membership,job_security,job_training,minimum_wage_increase,job_satisfaction
43,23,6,13,0,0,1,1,82.82247627566119
23,18,6,14,1,1,1,1,80.16867841366063
23,26,0,8,0,1,0,0,71.46198433562873
23,27,8,23,0,0,1,0,87.6390467034344
20,27,2,14,0,0,0,0,75.70220949563178
36,30,9,15,1,0,1,1,90.87458990585448
36,20,3,21,0,0,1,1,84.70893665018997
27,16,7,20,0,1,0,0,79.42948237048813
11,20,8,22,0,0,1,1,87.75056356252882
39,27,4,16,0,0,0,0,79.01491925256737
24,28,5,13,0,0,1,0,78.04979036129342
22,24,5,7,1,0,0,0,72.48337534211204
29,19,7,12,1,1,1,0,74.6033264774549
17,21,7,19,1,0,1,1,86.07511010855053
48,25,2,14,0,0,0,1,80.12805688044473
16,23,4,18,0,0,1,0,78.79353872143841
32,26,7,15,1,1,0,0,81.26157708901056
37,15,4,15,0,1,1,1,78.40671584021598
27,19,5,17,1,1,0,1,81.61078446260673
7,25,7,13,0,0,1,0,76.82068488446303
21,24,4,12,1,1,0,1,79.1345343537194
19,27,3,16,1,0,0,1,85.0293154536219
26,21,3,19,1,1,0,0,78.48124142633259
8,34,2,19,0,1,1,1,90.37606649413571
14,24,7,27,0,0,1,0,86.802688475563
27,26,6,17,1,0,1,1,87.41739867423317
23,22,10,18,1,0,0,0,83.53277570611158
29,29,7,20,0,0,0,1,91.40459386588071
27,27,4,13,0,0,0,0,76.90520882890635
28,24,3,22,1,0,0,1,88.55870491395513
21,21,4,12,0,1,0,0,71.84064669300238
30,20,7,17,1,0,1,0,79.71164410319443
6,9,2,17,1,1,1,1,74.19735075168242
20,29,4,12,1,1,0,0,76.53698001180742
24,25,8,16,1,1,0,1,86.18419583084004
25,21,6,21,0,0,1,0,80.07376754433443
30,28,6,13,1,0,0,1,84.05895108624708
11,23,6,9,0,1,0,0,73.03868801615776
32,18,8,18,1,1,1,0,81.77065169583781
23,18,7,21,0,0,0,1,85.84394779163502
37,27,6,23,0,0,0,0,85.63397747168533
33,18,7,21,0,1,1,1,86.12469825783504
31,26,7,14,0,1,0,1,82.30760449036832
23,29,5,10,0,1,0,1,79.48109342101509
27,27,2,20,1,0,0,0,79.0457032722755
19,26,9,3,1,1,1,1,75.96369528241668
25,28,5,13,1,1,1,1,84.06981650698657
24,17,5,15,1,1,0,0,73.39291318991422
33,22,4,13,0,0,0,0,74.06483707777379
33,17,6,22,1,1,0,1,85.14098100517761
55,25,5,17,1,0,1,1,85.72694879652181
29,23,8,14,1,1,1,0,78.39971799218131
13,17,9,15,0,1,0,0,76.57568731831228
30,22,10,14,1,1,0,1,85.41928528095642
15,21,5,13,1,0,1,1,79.9255305829911
34,27,5,8,1,1,1,0,74.98176583232912
23,29,5,19,0,1,0,0,82.33664122729002
34,27,5,17,0,1,0,1,85.28240185671925
32,18,4,20,0,1,1,0,77.29496705039581
45,24,2,16,0,1,0,1,81.98290660499057
15,23,8,18,1,0,1,1,87.42945045583458
22,27,7,18,0,0,1,1,89.06436244194478
17,23,10,11,0,0,1,1,80.94996165011767
19,22,4,12,0,0,1,1,80.64199209322952
27,22,10,14,1,1,0,0,79.13936613764109
29,23,5,24,1,1,0,0,84.78085704190049
30,19,4,17,1,0,1,0,78.05545640879038
43,12,8,17,0,1,1,0,75.0053854300255
11,22,10,18,0,1,1,0,83.45017505431204
39,23,5,14,0,1,0,0,77.18483459875486
11,24,2,15,1,0,1,0,75.26315192212991
29,23,4,13,0,0,0,1,78.7442230331345
27,26,5,13,0,1,0,1,82.82834373883922
28,19,3,17,1,1,1,1,80.9389655844603
25,21,8,12,1,0,1,1,82.57509638969154
19,22,9,14,1,1,0,0,79.86696610501947
16,28,8,20,0,0,1,0,86.38332102156626
29,22,7,12,1,0,0,0,74.92106685699437
44,21,7,18,1,1,0,1,84.38004981775596
13,18,3,14,0,0,0,1,77.04332438564832
15,27,6,20,1,1,0,0,83.79728797355945
30,26,5,11,1,1,0,0,75.98314746260772
31,29,5,18,1,1,1,0,83.28361122004976
24,16,5,21,1,1,1,0,77.84638579960907
14,24,6,21,1,1,1,1,88.11547832530486
24,29,0,19,1,1,1,0,81.46475991545636
32,28,8,13,0,0,0,0,80.03826331620483
22,20,5,16,1,0,0,1,82.20171735610988
21,21,3,10,1,1,1,0,73.26415448436815
45,28,4,12,1,1,0,1,83.49683070617017
29,23,8,17,1,1,0,1,86.26700761751705
37,24,5,18,1,0,0,0,80.32473672288195
15,20,10,8,0,0,1,1,78.18430590572379
33,25,7,11,1,1,0,0,77.09370709919092
27,27,5,15,0,0,0,1,83.85641589599584
19,23,2,8,0,1,0,0,67.6719423435233
23,16,3,15,0,0,1,1,75.92463925353155
25,28,6,12,1,1,0,0,79.0804481533151
37,26,4,16,0,1,1,1,84.92183782183945
23,18,9,7,0,1,1,0,70.23585240402106
28,21,4,16,0,0,0,1,81.16418190423155
20,26,7,16,0,0,1,0,80.69861998819867
8,26,4,10,0,1,0,1,79.12356190903135
34,25,5,12,0,0,0,1,82.15332534376641
32,23,4,20,1,1,0,0,78.90009875342642
20,17,6,19,0,0,0,1,80.59160218511424
15,22,4,16,0,0,0,1,80.81329335212692
21,13,3,13,1,1,0,0,68.20803632137698
31,26,6,18,1,0,0,0,82.12347799882296
8,18,2,23,0,0,0,0,77.52149250334836
35,16,3,18,0,1,1,0,74.09698470535308
22,22,2,17,0,1,1,1,79.86222390991264
17,22,6,13,1,0,0,1,83.09668875220197
31,22,6,24,0,1,0,1,90.34522667785616
25,21,10,12,1,0,0,1,82.64696360544048
21,27,6,16,0,1,0,1,84.3469013072824
37,23,5,10,0,0,0,1,77.40136332500794
29,18,5,10,1,1,0,0,69.60640007520776
36,25,6,15,0,0,1,1,86.35870112144889
22,22,6,24,0,0,0,1,89.05437564997624
23,24,7,15,1,1,0,1,84.37641434288368
26,27,9,16,0,1,1,1,88.47791661202353
28,25,4,16,0,0,1,0,79.69783799970229
