defendant_age,lawyer_experience_years,previous_convictions,legal_aid_received,plea_bargain_accepted,restorative_justice_program,recidivism_rate
24,28,0,0,1,1,68.57324378921471
22,26,0,1,1,0,58.16505514268775
31,27,0,0,0,1,66.48246334662807
18,19,0,0,0,1,64.11243476530002
25,23,1,1,1,0,57.85388409582517
44,29,1,1,0,0,59.80191692118777
29,20,1,1,0,1,66.52353440835157
10,30,0,0,1,1,67.44643420975447
14,22,1,1,1,0,58.26085545639257
9,22,0,0,1,0,56.344901582991625
27,23,1,0,0,0,57.67072944630207
5,18,0,0,1,0,55.6123101203004
28,27,0,1,0,0,59.92594129506963
30,28,1,0,0,1,67.53053688791613
24,22,1,0,1,1,65.672447767608
44,17,0,1,0,0,56.446084818006014
22,18,0,0,1,1,61.49930489240148
36,22,1,1,1,0,58.28336665830407
34,24,1,1,0,1,66.96669884992245
16,23,1,0,0,1,63.44309541193776
20,24,0,1,0,1,65.46590159882238
9,16,1,0,1,1,61.89211701957176
10,22,1,0,0,1,64.53748063663734
19,17,0,0,0,0,53.57315782630774
29,22,1,1,1,1,63.995047843454266
26,23,1,0,1,0,57.56362037701106
34,21,1,1,1,0,59.29672393293851
21,28,0,1,0,1,65.99412416375975
36,27,0,1,0,1,66.878446911776
16,20,0,1,0,0,56.34259228148247
11,24,1,1,1,0,56.72408298862283
30,19,0,1,1,0,55.66756626986708
28,22,0,0,0,0,56.3820689400649
30,22,0,1,1,0,58.12892481161234
19,20,0,1,0,1,63.87022750061255
30,31,0,0,0,0,61.00063039819352
30,20,1,1,1,0,54.939243835896185
39,24,1,0,0,0,57.65038731056315
28,25,0,1,1,1,63.517802480438206
22,29,0,0,0,1,68.85215214585095
24,22,1,0,0,1,67.9069189951517
32,15,0,0,1,1,61.05499756406271
3,20,0,0,1,0,55.79701597436164
16,25,0,0,0,1,67.7653186627776
11,29,1,0,1,0,59.51197715749374
28,21,0,0,1,1,66.2651313983274
18,29,1,0,1,1,67.40188342527404
22,23,0,0,0,0,56.748705003628125
14,23,0,0,0,1,64.62021083553631
32,28,0,1,0,0,59.04913455918593
44,24,1,0,1,0,56.90296548164046
10,25,0,1,0,0,56.42531486131135
20,19,0,0,0,0,57.27370640165981
30,19,1,0,1,0,56.10785287001082
17,18,0,0,0,0,54.41350438292084
22,24,1,0,0,0,57.00948539375769
29,23,0,1,1,1,67.9291878643334
6,15,0,0,0,0,53.47488574316984
12,22,0,0,0,1,65.81481839038793
3,17,1,0,1,1,62.385365602722594
2,19,1,0,1,1,63.50139868753719
23,28,1,0,0,1,67.52023198586396
36,27,1,0,0,0,59.40911519613133
11,24,1,1,0,0,56.91495390649932
40,17,0,1,1,0,56.04614659484945
16,21,0,0,0,0,57.6501336964174
28,19,0,1,1,0,55.73705478597664
22,22,0,0,0,1,64.94270239155823
32,22,0,0,1,0,57.22889039496263
21,21,1,0,1,0,58.10907881599357
33,23,0,1,0,1,64.75009125876184
18,28,1,1,1,1,68.2736729993889
13,18,0,1,1,1,64.87745403399478
43,23,0,1,0,0,56.56123906376383
30,19,0,1,0,0,53.77791672412027
30,28,0,1,0,0,62.206433598227534
11,19,0,1,0,0,53.99438117927672
38,32,1,1,0,0,61.44739432492556
29,21,1,1,1,0,54.62916517593781
30,22,1,1,1,0,57.50325995553546
20,19,1,0,0,0,54.44013909274194
24,26,1,0,0,1,66.16602590771726
26,25,0,0,1,0,59.71074899387781
