student_age,pre_test_score,gender,low_income_status,school_gpa,tutoring_program,post_test_score
5,4,1,1,4.019369899366756,1,12.759641447423906
8,5,1,1,3.696939345298485,0,7.633441909841433
9,5,0,1,2.3887435759412226,0,5.347307180641608
3,5,1,0,3.095588444094484,0,7.575120991202268
7,4,0,1,5.422459425748265,1,12.467221285359932
4,6,1,1,3.145411763181821,0,7.897816726656711
9,6,0,1,2.962438073077581,0,6.571043036161334
8,6,0,0,1.9121167198965456,0,4.883471300141786
10,8,1,1,2.419261051249131,0,5.133784581193394
3,9,0,1,7.189487806067223,1,15.461653936215914
7,7,0,1,2.302359543146978,0,5.486099746910631
8,5,1,1,4.1859442261428415,1,10.514310065104944
6,6,1,0,4.226146572451703,1,12.54175792442662
7,7,0,1,-0.1579468815248095,0,1.2916263582633094
0,6,0,1,6.143105777102366,1,14.756536412261337
4,7,1,0,5.132005875236478,1,11.961508479390844
12,2,0,0,2.999020866644756,0,5.262854288475858
6,4,0,1,5.53221729172601,1,12.599918570062952
2,7,1,0,4.865208066848137,1,12.930126706151718
10,3,0,0,2.349484996793623,0,4.413307098690113
5,7,1,0,2.0163693449470195,0,5.4545738065575895
7,5,1,1,2.3473307992506776,0,5.728421772063573
8,4,1,0,3.3975054341907165,0,6.835917483237039
7,7,1,0,1.7403242280784728,0,4.770958361182049
9,5,0,0,2.445941075739882,0,5.222674297454385
17,5,0,1,4.0677506495996445,1,9.245351280155608
5,4,0,1,5.13552786328307,1,12.975158753518484
5,7,1,1,3.4178296695597057,0,7.917060257291239
3,4,1,1,3.45347791485006,0,8.875124213031425
12,8,1,1,3.542978188477265,0,7.116946445432069
11,7,0,1,5.118457561756733,1,11.21771624896232
13,8,1,0,2.0667945609395577,0,4.043068269435083
6,8,0,1,5.281723271622193,1,12.40730708150567
12,6,1,0,2.934242441541878,0,5.739278305892134
3,7,1,1,0.2402641275363457,0,3.489065635719026
15,7,0,1,4.031927627725357,1,10.75288273408263
8,5,0,0,5.925109459089453,1,13.554754541190992
8,5,1,0,4.760217311906626,1,11.680048716501856
4,6,0,0,7.185134762669412,1,14.547206998542189
6,6,0,1,3.1837839913953125,0,7.28498552821536
15,6,0,0,4.572270523164748,1,10.098813758096869
3,4,1,1,4.513786079657836,1,12.581585401806684
7,6,1,1,6.008456121254804,1,13.152842385292322
4,1,0,0,4.2989639139724485,1,13.144868591365078
7,6,0,1,4.353240603178407,1,11.311704312531283
8,3,1,1,2.8764320779975048,0,6.756374203913516
9,5,1,0,8.567894737751605,1,15.148208392378358
9,5,0,1,5.685117467973837,1,13.061788999429996
7,4,0,1,5.324095668202304,1,12.471815989777188
7,5,0,1,3.3024850381249413,0,6.932627484248796
3,6,0,0,7.133125783612895,1,13.950957699955794
9,5,0,0,2.849435292355249,0,6.446986858290893
4,3,0,1,3.179163231748729,0,8.054934702674
4,3,1,0,3.2972469555523034,0,7.560997681111598
8,8,1,1,2.1005680401881044,0,4.596767483965915
5,6,1,1,1.2705211625982074,0,5.060665394199022
5,7,0,1,4.276054100560607,1,11.41503136343353
10,5,0,1,4.701078154772186,1,11.58888548151571
8,4,0,1,0.7162176043543402,0,3.57287662143845
7,6,0,1,3.2070045388944,0,7.046825193727291
13,4,0,1,3.6906346859482544,0,7.161619061811119
12,6,1,0,5.930411206188629,1,11.929837569269743
7,5,1,1,2.1919953174866813,0,5.124567794815734
8,4,0,0,2.2423878675923707,0,6.01884027371073
10,4,1,1,3.358679317884604,0,8.322903355082488
8,5,1,0,4.397834868418345,1,11.592761416799831
5,4,1,1,5.337716999909135,1,13.186161305415164
10,5,0,1,4.880810197158798,1,11.501992103438258
11,4,0,1,3.1052278644926004,0,6.213935502285361
15,6,1,0,1.5238548021916785,0,2.57701045798495
1,3,1,0,5.524066360942702,1,13.474629232876568
7,4,1,1,1.6507852587351026,0,5.075575796225609
10,5,1,0,7.166096095424184,1,12.458150222549143
9,5,1,1,5.76746935272281,1,12.646832108492974
7,4,1,0,4.396002817112425,1,12.161283707178436
9,6,1,1,3.8123524939192848,0,7.318530784697637
6,5,0,1,3.682455875743552,0,8.195412882949315
5,8,1,0,3.4660721246614767,0,7.9655577605982915
9,5,1,0,4.043214004065836,1,11.17018006485804
10,4,1,1,3.85934609331985,0,7.423479637527795
4,6,1,1,5.328645358658445,1,12.557891575457525
8,7,0,0,2.299486389020221,0,5.855928610455351
13,5,0,0,1.8268444327591613,0,4.874211199036218
12,4,0,1,3.627763278764332,0,7.603742564951178
10,3,1,0,3.2847106323089577,0,7.55299592438381
9,3,1,1,2.6071031246314824,0,6.333287906501898
9,6,0,0,4.5999904722332206,1,12.82583559139314
12,7,0,1,3.096661899032505,0,6.504772776182957
7,6,1,1,4.536935740191618,1,11.46241645780538
11,5,0,0,1.740021253771226,0,4.666658033413659
8,6,1,1,2.7229718624947266,0,6.05641822438588
9,8,0,1,0.3295791404775552,0,2.6547289839755406
5,5,0,1,-0.0812444259182703,0,1.5120623131210562
2,6,1,0,5.5427984200076725,1,12.951560125540889
5,3,0,1,6.086808553599704,1,13.765230535693473
8,5,1,1,6.156570890343989,1,12.693035812517362
11,4,0,0,4.739446603486286,1,11.490850425076395
8,5,1,0,3.774711072329125,0,7.301659713089828
12,8,1,0,2.1528183765917315,0,3.934164785569283
10,7,1,0,4.53498612147752,1,10.247890142400006
8,6,1,1,4.110819406168554,1,11.899768362149612
8,5,1,1,6.5321392626036,1,12.724554721350875
6,7,0,0,0.5427658769765373,0,2.2256109381077582
8,4,0,0,4.451958906423834,1,11.78481169606746
7,7,0,1,4.3838178551256695,1,10.226947109178711
7,6,0,1,3.9642482591468458,0,8.47990168560462
8,6,1,1,6.972398434803253,1,14.10391112567304
14,2,1,1,3.309205981260784,0,5.683242536386897
8,6,1,0,8.602363421081154,1,15.347593576560124
6,1,1,0,3.4300469365082016,0,7.946256217310179
9,4,1,1,3.0792157838752447,0,5.872472613342802
9,5,1,1,5.37543382860374,1,12.764743012517778
9,7,1,1,3.8591598889917953,0,7.255813141187685
8,4,1,1,2.811745102590684,0,5.090399840774893
8,6,1,0,4.16025184153952,1,11.764282031526756
8,6,1,0,1.07901718477226,0,3.275689787522663
7,3,1,1,4.701574796205483,1,11.916006043560635
14,5,0,1,1.502433116832433,0,3.9955661870515926
7,4,0,1,4.04795854975989,1,11.081637804794942
8,3,0,1,0.606909403340921,0,3.718150041565493
9,7,1,0,2.5092269227373896,0,5.691504011065245
3,7,1,1,4.372297120517022,1,11.55774109794082
5,4,1,0,-0.0558481936479697,0,2.4778501966452637
7,6,0,1,1.806800616991896,0,5.075864737591936
7,5,1,0,3.2677525940245298,0,7.785064968331016
0,6,1,1,5.231932797700436,1,14.308602534296762
9,4,0,1,3.5967170050640487,0,6.506992549293911
7,3,0,1,-0.585442145876403,0,2.036441572342688
8,5,1,1,2.413753939851655,0,5.05108728728264
6,4,1,0,5.369443995526161,1,13.50328362024486
6,7,0,1,5.54572263578387,1,13.325272806835343
1,5,1,0,-0.4146684918855676,0,1.863783242015075
7,4,0,1,3.319822359073178,0,7.7980014403147475
2,6,0,0,7.665508124524811,1,15.092619240402106
8,5,1,1,3.5824258277834105,0,6.989560322877687
5,6,0,1,2.9390995178598978,0,6.322790767139659
9,5,1,1,5.034019605305625,1,12.488011651795183
6,6,1,1,1.519338148538543,0,4.017941697912729
2,6,0,0,3.066569023712304,0,7.529644621056856
7,5,1,0,5.934991774956104,1,12.536670044588208
7,5,0,0,4.853004023709695,1,11.960211377244857
6,5,0,1,0.8823587697559643,0,5.185363148751979
6,4,0,1,5.24745882140519,1,13.34764675918977
7,4,1,1,2.4313817642674747,0,5.627131291990723
8,8,1,0,2.3271782107718115,0,5.570129229754506
7,7,0,1,5.917694501499021,1,12.564806711885582
7,4,1,0,6.043008403474143,1,12.876914716325327
3,4,0,1,0.6132657733896041,0,3.821674630007121
12,6,1,1,5.816948373239629,1,11.906511138584827
11,6,1,0,2.6139964903312167,0,6.178776602412725
11,6,1,0,3.505177392938324,0,6.286733138765936
3,3,0,0,4.517854208942231,1,12.16688959886935
8,5,1,1,4.246539905580833,1,11.254441821648646
5,4,1,1,2.793663258162008,0,5.970833820684126
13,3,1,0,2.570132574979694,0,4.212208016687624
10,7,0,1,2.9226114132724685,0,4.9878317023627226
8,6,1,1,2.4039160835239475,0,4.551786806748178
7,6,0,0,1.2910927622853374,0,3.3865073182259438
8,6,1,1,3.51480667237987,0,7.378210320623396
5,6,1,0,6.832497842511694,1,13.8878584666384
3,6,0,1,3.383573094540809,0,7.77303799278549
11,5,0,1,3.454793545573142,0,6.836504076095922
0,7,0,0,2.309023668145369,0,6.978867693953996
1,7,0,0,2.074476891892344,0,6.803162142383576
8,5,1,0,3.117171294995392,0,6.887530082494267
7,5,1,0,4.921686450045147,1,12.0802704732837
10,7,0,1,2.0822970303216457,0,4.950308470182299
9,5,0,1,-0.9180234703130764,0,1.654035285575752
7,6,0,0,3.427958672499131,0,6.692961635137732
8,8,0,1,4.122466513643719,1,11.385411921838145
5,5,0,1,5.559393232760927,1,12.49873685148061
6,6,0,1,3.3511093025689043,0,7.582612813917185
9,5,1,1,3.88544965912942,0,7.445214605976519
9,8,1,1,3.223229900576941,0,6.220417177649964
12,6,1,0,2.940855105814526,0,6.058287894560671
7,4,1,1,4.73438465144334,1,12.504755007278812
10,4,1,1,3.907275329998416,0,7.929549136994671
11,6,1,1,4.907938398300094,1,11.442684581013577
6,6,0,1,4.767178404027108,1,12.062890566545551
12,2,0,1,2.1719422650086893,0,5.262531106689126
8,6,0,0,1.6757381642957596,0,4.174347839496191
10,5,1,0,6.803433492367276,1,11.856235808529265
12,6,1,0,4.891404719927968,1,10.817151720883068
6,4,1,0,1.1114718478519103,0,4.43045387580686
7,5,0,0,6.499556245815247,1,13.289782320303186
5,3,1,0,4.782483635161334,1,12.880721376452954
7,6,1,1,0.3718301866963864,0,3.648389283794767
6,8,1,1,7.312348073224264,1,13.71809092625169
13,8,1,1,0.9436014699882328,0,2.864090301015572
7,6,0,0,3.534975095268911,0,7.501332275338894
12,7,1,1,1.819730933875064,0,3.599680211708507
6,5,0,0,5.456558493140598,1,12.822772934649985
9,5,1,1,4.046455099540767,1,11.196633704181336
3,6,1,0,5.262315186745424,1,13.9395551332549
10,4,0,1,-0.2647584190065766,0,1.2127030574179367
5,4,0,1,5.930022551163691,1,13.851165243303852
10,3,0,1,3.09992688800296,0,6.90450293505152
7,5,0,1,6.120987049672364,1,12.436522305723468
5,5,1,1,3.430095590023437,0,7.751193845542775
3,9,1,1,2.80433160294477,0,7.104845414287211
8,6,1,0,7.33151395019179,1,14.431593740943336
8,7,0,0,1.4965010281614646,0,4.074168168595917
12,6,1,1,3.23188869335861,0,5.329294623857214
9,6,1,0,2.23545976754342,0,4.662840058225855
7,5,0,0,4.40684711627461,1,12.307044023116116
2,5,1,0,6.617378296206304,1,14.694150622392756
9,4,1,0,4.756507334080867,1,11.135087935087949
6,6,0,0,2.3466414067332524,0,6.33926046467797
10,5,1,1,4.002901610382245,1,10.715119840066889
10,3,1,1,4.242208267058646,1,11.007495872643412
13,7,1,0,3.103748704973708,0,5.791360600366903
11,5,1,1,5.332648258188674,1,11.957104117525509
7,9,1,0,3.0876346730381004,0,7.19403106628883
9,6,0,1,3.0940631897413438,0,5.535742896472964
5,7,1,1,1.4918115079729115,0,5.444601626873481
7,5,1,1,1.7351116031180935,0,4.18593522045421
9,4,0,0,5.3821843209151385,1,11.580314941426646
6,4,1,0,2.351207365553813,0,5.120634342335218
2,3,1,1,4.36826007178768,1,12.102613728603208
10,3,1,1,7.114083437670624,1,13.094973990289397
8,6,0,1,3.43367972893889,0,7.016487523011595
9,6,0,0,1.564805429250128,0,3.275424920852995
4,6,0,0,1.129468109091206,0,5.198422370075772
5,3,1,0,0.6488973844134365,0,3.759085202317352
7,6,1,1,4.20003998858036,1,11.577453667181617
13,6,1,0,6.094248657508521,1,11.515009836995706
7,3,0,0,2.094070481868976,0,5.546329676340224
9,3,0,1,3.0411305249061704,0,6.247652481843679
9,6,1,1,2.7709970534298765,0,5.724123062977268
9,5,0,1,1.2019090034361049,0,4.313541583942604
9,6,1,1,5.716936025500558,1,11.941041108575387
16,7,1,1,2.582173118873156,0,4.081950536238043
6,5,0,0,5.1465544047158,1,12.36198690627349
4,4,1,1,3.3409520864289792,0,7.455986463947258
5,6,1,0,3.132665648111697,0,7.77663235451567
5,6,0,0,5.947192900853006,1,13.366610677141146
11,6,1,1,6.2883265669073,1,12.91706308325193
7,4,0,0,5.6119874783099934,1,13.529794511294035
7,6,1,0,4.048198906812627,1,11.24094376173863
8,6,0,1,5.143920533273574,1,12.397113322095912
12,4,0,0,2.917543560706525,0,6.05812013632646
5,4,1,1,3.324011801704533,0,8.529672498261409
9,5,0,1,5.279850016740627,1,11.728525553224372
5,6,1,0,1.7222262988989896,0,4.855351049100714
11,5,1,0,3.2742437586864366,0,6.2755141242611625
8,5,1,0,3.3666638376256453,0,8.207246856631265
10,7,0,0,4.688611728313888,1,11.526553773158748
12,5,0,0,4.0516200708064165,1,10.33801536407626
8,4,1,1,6.249271083686503,1,13.069740355365353
11,6,1,1,9.051467117011192,1,13.805968271382309
6,6,0,1,4.51467722004192,1,12.27716112681408
13,5,1,0,5.872285940957036,1,11.809591752221372
5,3,1,0,1.2727313171240686,0,3.826259630328588
11,6,0,1,4.249699492207081,1,10.237233223974098
12,6,0,0,6.047504982065581,1,12.34388779186841
7,5,1,1,5.489484765827644,1,13.220404210254596
9,4,0,0,1.2008885878965034,0,4.042607813931622
5,5,0,1,4.6345667072885215,1,12.31100323179862
8,5,1,0,2.6095042055334545,0,6.068926005594193
9,7,1,1,6.041825364771293,1,12.984634156137371
10,6,0,1,-0.4076715643430715,0,0.3089475392336979
7,7,1,1,3.961615937285584,0,8.202964259236564
5,4,0,1,1.9295112871433369,0,6.055902286234549
11,4,0,1,1.9324517111816732,0,3.8618426202015073
7,6,0,0,1.679760229589316,0,4.895586670741793
7,7,0,0,6.388264603460732,1,12.948552525775275
4,5,0,0,4.328350694893482,1,12.74895743575575
11,7,1,1,3.671505250306836,0,6.741758280358391
10,6,1,1,0.7363635716116854,0,2.530428134954584
3,2,0,1,1.3721430859603374,0,5.635603781937851
3,5,0,0,1.3662439135803175,0,4.414805804264226
1,9,1,1,4.907157334136983,1,13.142766492954
4,7,0,0,2.857241160932911,0,6.780082870326385
10,6,1,1,4.761316746213407,1,10.875115466915831
10,3,1,0,6.11465830779723,1,13.494265706958217
10,8,0,1,8.67961321141264,1,14.741158290004892
13,7,0,0,5.93773577988132,1,10.965891219291777
10,4,0,0,3.4202865834260874,0,6.882728610018456
10,7,0,1,8.827102825657121,1,14.640042575177487
8,5,0,1,4.851855279969184,1,12.262407238082316
6,5,0,0,1.8640164185440584,0,5.468635080102886
12,5,0,0,5.753271957982514,1,12.006825467068056
10,5,1,0,0.6396613201295862,0,3.0890890503312507
4,2,1,1,1.5721409356870226,0,6.498964744245056
0,6,1,1,5.165012103833802,1,13.326744893254926
11,6,1,1,2.630883312694261,0,5.474007856366955
7,7,1,0,5.24167480311236,1,12.25156132576745
0,2,0,1,3.982450107073502,0,10.176318150107598
8,7,1,1,5.915954365072559,1,13.629420532618363
6,6,1,1,3.626220652224321,0,7.748212120194891
