years_experience,job_satisfaction,gender,postgraduate_degree,job_performance_score,training_program,monthly_income
9,4,1,0,8.291260477745995,1,11.32204253280773
7,7,1,0,4.746154304498891,0,4.954169695721834
8,5,1,0,6.879979568154991,0,7.970052734830043
7,5,0,1,3.8898580112859342,0,3.157556802507667
8,7,0,1,6.367136534946332,0,7.679192914135521
6,6,0,1,9.438410876065216,1,12.962735881997116
4,6,0,0,9.986669640968085,1,13.313527731034624
8,7,1,1,7.411847646749114,1,10.333094239171604
8,5,1,0,11.59508075722659,1,13.599594329500595
10,6,0,1,6.215686803462512,0,7.116563560795148
4,4,0,0,7.991146678889421,1,12.911707890127094
8,5,1,0,8.42497421555236,1,11.308145984481971
7,5,0,1,9.78285305103601,1,13.328307571036502
11,6,0,0,8.62002727195612,1,11.432941119978514
7,5,0,1,7.879439082462465,1,10.910021688225129
3,6,1,1,7.563444876335773,1,11.672709042955717
4,7,0,0,5.837452650041395,0,7.800557376406182
12,5,1,0,8.192903057805182,1,11.800853367857624
12,3,1,0,9.108870834507378,1,11.55105007193799
4,7,0,0,7.258901102906975,1,12.375394949285218
6,7,1,1,3.620478608704676,0,3.623362411387653
10,4,1,1,8.877614948182554,1,10.64313725407234
8,6,1,1,5.259550126437114,0,5.2782746634410245
9,7,1,0,7.97346772492485,1,10.811338868255817
6,5,0,1,6.530118697329074,0,7.228565935028853
7,6,0,0,6.094340799526236,0,7.166745553123671
9,5,0,0,6.7426370369931865,0,7.7630375477631235
12,7,1,0,6.182597254261912,0,6.48286675234697
7,6,0,1,7.205806190899023,1,10.768403238491617
10,5,0,1,7.862827999669983,1,11.42637910717032
8,3,0,0,6.987177844100014,0,8.551875761619117
9,5,1,0,5.688295473584629,0,5.653751401565128
8,5,0,1,8.906766426823287,1,12.095885486857055
8,5,0,1,2.9036766709839616,0,1.0003859074388208
5,5,0,0,10.838082631777969,1,13.546432635122429
11,5,0,0,7.890957844659186,1,11.599633830771468
2,3,1,1,7.783069276476316,1,12.88038051449185
9,5,0,0,8.98797736887483,1,11.899114994566172
7,4,1,0,7.39937168515352,1,10.8945985096451
1,5,1,1,8.69455875926579,1,12.645758423243947
2,3,0,0,3.367124994064297,0,3.779206818585133
11,6,1,1,9.753651946036072,1,11.540114896112946
10,6,1,0,5.744959891911522,0,6.53634904472302
7,5,0,0,12.322912738580488,1,16.319973134070352
7,5,1,0,8.917812906316993,1,11.567151780903028
9,5,1,1,7.57673490165473,1,10.5185173820806
7,6,0,1,5.856966611025904,0,7.080075475321216
9,5,0,1,6.564014270769577,0,7.565126774578486
13,4,0,0,7.330204582227834,1,10.289961537353372
7,6,0,0,4.424728490289063,0,5.154527950905251
8,7,1,1,10.72537095507374,1,13.632790228247211
2,7,0,1,9.796736927565089,1,13.515071302531446
8,4,0,1,4.832308982261445,0,5.620723403657357
6,5,1,0,9.497868428576766,1,13.951188374665614
5,6,0,1,9.321837387626724,1,13.031666285694556
4,5,0,0,5.254485854655829,0,6.382939368489475
0,3,0,0,7.707222782522841,1,12.257666235099157
6,8,1,0,8.773758986531131,1,12.868905906953389
7,4,0,0,6.589564670240997,0,8.258367818647505
9,6,1,1,6.177806335364677,0,5.4566352067761486
8,6,0,1,8.778604687227304,1,12.36064896489299
9,5,0,0,5.96722511489772,0,6.446001205090262
9,5,0,1,1.4661947594905609,0,-0.0666413300332663
6,7,1,0,7.090886358401491,1,11.308603689895325
8,5,1,0,7.893008242859532,1,11.72920624489496
6,8,1,0,6.517240820242717,0,7.015062249629998
5,6,0,0,4.395206035353333,0,4.904811077715941
11,7,1,0,6.619294366127996,0,7.71917341617574
8,5,0,0,8.85141871563889,1,12.103292817977442
2,5,1,1,5.232701426714694,0,6.9839830147246325
7,1,0,0,6.950522024216773,0,9.178244712845071
5,3,1,1,4.385749977955099,0,4.965812160311046
9,6,1,1,6.87431391438034,0,8.605813228187063
11,5,0,0,7.114984342352064,1,10.460122928275744
5,7,0,0,3.347772346735472,0,3.1374567058131446
5,5,0,0,1.2194416429910344,0,0.0644656265736855
10,5,0,0,5.890619367640452,0,6.034004074002653
9,3,0,0,8.922146768158708,1,12.477904832534264
8,4,1,0,6.520133654726569,0,8.115788962530148
11,7,1,1,10.037870346826963,1,12.886708004838798
14,5,1,0,3.571694743422673,0,2.873390260355776
8,4,1,1,6.822746818128382,0,7.519077018885112
3,5,1,0,5.034665522876414,0,6.795372316948813
10,4,0,1,8.52209621277889,1,11.200967930007652
11,6,0,1,9.840890760145848,1,12.066115717083784
6,8,1,0,6.1564173380873495,0,7.976952617733572
7,3,1,1,5.842264828656466,0,6.473743543237834
5,4,0,0,4.440174785300338,0,5.777865875226549
8,7,0,0,7.495766249540523,1,11.302548162417088
6,8,0,1,6.111882074960944,0,6.577794981275395
3,6,0,0,6.8665928115081085,0,9.109341537874968
7,6,0,1,4.923129207568811,0,5.973720771513337
7,6,0,1,6.061431282609592,0,7.197817079227245
9,4,0,1,5.518571635199932,0,5.605587172638158
10,7,1,1,5.216298465863757,0,5.232211663676858
5,5,1,0,6.927895418994974,0,9.440621886450398
6,6,1,1,4.168964609882994,0,4.78475514904116
7,6,1,1,6.9724331843024565,0,7.618533393143352
4,6,1,1,8.545998848162414,1,11.45233215837552
6,5,0,1,6.776398292852666,0,8.135005586693199
10,7,0,0,3.6713356916107087,0,3.538752434786359
6,4,1,0,6.836691102595829,0,8.433214299220618
10,7,0,1,7.919188571068479,1,10.70090591936004
6,4,0,1,6.199840909310748,0,8.137600705054497
10,3,1,1,7.096208285848896,1,10.55812987222191
7,5,0,1,6.445753706063231,0,8.37621668547172
8,7,0,1,6.997045686975308,0,8.017492862217791
11,6,1,0,6.82292592570031,0,7.526729755952885
4,5,0,0,12.555967775149911,1,16.269438637373938
3,7,1,0,5.213703075558098,0,6.469996443820514
3,7,0,0,8.896114893668432,1,12.38764251431741
3,3,0,1,5.790492168172415,0,8.095615785669677
7,6,0,0,5.570932840670468,0,6.322463051267956
11,4,0,1,10.695722369536632,1,12.69098585723544
9,3,0,1,6.6841977113297535,0,8.315280621465762
10,4,1,0,6.463433220185594,0,7.495493721426062
4,6,1,0,7.702663550085516,1,11.429237490314556
3,6,0,0,6.551348265665683,0,8.67362797996225
11,6,0,0,7.10671453409642,1,9.2940315743514
5,8,0,0,6.492731315454525,0,8.065276086989575
7,7,0,1,6.218810513575114,0,8.464111904994
1,6,1,1,2.815240756042244,0,3.0210974303998688
9,4,1,1,9.75606789245885,1,12.409069353523403
8,4,0,1,3.5089488774667807,0,2.7497518476691827
6,5,1,0,8.430832795228797,1,11.975774450936832
5,7,0,1,9.757215303191249,1,13.255026392523137
7,5,0,0,7.307185762472552,1,11.676172924391196
7,6,0,0,4.514509962258988,0,4.414057828602217
11,4,0,0,4.719254458241483,0,3.427782524076389
5,6,1,0,3.491230571845809,0,4.567386819543705
5,6,1,0,7.41474414059667,1,11.448084821244612
5,4,1,0,5.822879845926124,0,8.355354556025414
6,4,0,0,7.999970559998106,1,12.049794513111197
8,7,1,0,7.02785313032526,1,10.37108583455924
6,6,0,0,6.254991866089766,0,8.247858441200405
10,4,1,0,10.654518832802417,1,13.391883135434856
7,6,0,1,8.283644671272922,1,11.27899176696615
10,3,1,0,8.106559980602,1,11.6288258911794
13,6,0,0,5.965444259124031,0,6.399397600576069
8,5,0,1,8.641156752888095,1,12.197777446963906
6,4,0,0,7.948920950340168,1,10.886909969173166
6,6,0,0,5.313927909725256,0,6.071149154574323
-1,4,0,0,6.501331132072129,0,8.865282161530432
5,5,1,0,8.39964645523303,1,12.377001141000632
11,4,1,0,5.150761927411156,0,4.887287550565521
8,4,1,1,3.172622416491458,0,2.3508642551894745
4,6,0,0,5.938019106444576,0,7.203913822821205
8,6,1,0,4.886383222104386,0,5.203198045902406
9,6,1,0,5.427558033229296,0,5.752262773184239
10,6,1,0,4.126992963203962,0,3.336037591702173
10,8,0,0,10.519367548228082,1,13.848906917320845
10,4,0,1,7.871982472685405,1,11.253940328288996
6,6,1,0,9.575680581645424,1,14.30108356473769
12,5,1,0,10.22723683775046,1,11.41186168240506
9,8,0,1,4.644074074524102,0,3.7035262601055208
10,7,0,0,9.79529186107321,1,12.552107812942046
8,7,1,0,7.843892171733552,1,11.78227552614263
6,7,0,1,3.317011433563526,0,3.5564247941829468
13,4,1,1,10.25315425884829,1,12.660604125682935
5,6,0,1,7.940977723055137,1,11.88615850252393
9,7,0,0,3.8858514095378816,0,2.9906340197305705
10,4,0,1,11.089507002535512,1,13.308740453605454
13,3,1,0,8.382860836280448,1,10.952896659071804
9,6,0,0,1.1590847207860362,0,-0.1792293495111644
9,9,0,0,7.212293219716543,1,10.306147279348208
5,4,1,1,5.046965970468082,0,6.610023748104712
5,4,1,0,9.332783438423313,1,12.920200162623816
9,5,0,0,7.216015755235405,1,11.185088951795988
9,4,1,1,7.685420562189203,1,10.888418263892683
7,7,0,1,4.738968490984826,0,4.329369893688012
6,2,1,0,5.616314251872842,0,7.4708365719584435
7,7,1,0,4.6462412046363415,0,4.655579450270459
14,5,1,0,7.132888383383592,1,9.36338102350669
8,6,1,0,7.330257527692294,1,11.211994603152474
7,6,1,0,8.338368663231867,1,10.565152402054109
13,6,1,0,6.9577800396767575,0,7.543001702091068
3,5,1,0,6.780908920406961,0,9.115465005647248
1,5,1,0,6.686269179608817,0,9.139325857292476
4,3,0,0,5.295244344705834,0,6.724348526897975
6,7,0,1,5.464980557294529,0,7.081284456419721
7,6,0,0,6.591706623087768,0,7.752803182435071
5,4,0,1,10.396784013443929,1,13.784962129429893
10,5,0,0,6.860463993049166,0,8.209633181082765
6,4,0,0,8.18419475292444,1,12.09822632161394
5,5,1,0,7.153463297666299,1,12.08947618704434
6,7,0,0,6.226419044475287,0,7.706560589130556
9,4,1,1,6.256755768960504,0,7.486572001329774
6,6,1,0,6.285334164385828,0,7.226667803178639
7,6,1,0,9.811952895651904,1,12.78647475933708
15,5,1,0,10.546447661616671,1,12.102227985193936
8,7,1,1,7.125738366922329,1,10.611078747333954
13,6,0,1,6.192299581805168,0,6.066565071191769
4,6,0,1,6.820763416386057,0,8.698729818784084
7,6,1,1,9.279592214614825,1,12.04734885279976
4,5,1,1,7.051454496400814,1,10.933250170851371
10,6,1,1,11.426562401873852,1,15.474654709200676
11,7,0,1,7.248988254577185,1,10.202617605969962
7,9,0,1,8.991918173207438,1,11.709700026980473
4,5,0,0,5.440647983512235,0,7.182303333711249
16,7,0,0,2.8572897979686465,0,1.3900269938347156
8,5,1,0,6.928250790850252,0,7.81390815988861
11,6,1,1,6.23775139077825,0,5.766095672585485
6,7,1,1,6.103162922121005,0,6.490656912624826
5,4,0,1,2.690791223511928,0,2.724404496043085
8,5,0,1,6.277267412059165,0,6.954643328279583
8,5,0,0,7.189515816237824,1,10.985229946247715
8,6,0,0,6.257841841966148,0,8.189233184777047
5,6,0,1,8.31860025021981,1,11.75447230114676
7,4,0,0,7.436556061404463,1,11.043873347828605
3,1,0,0,6.986170866020853,0,9.706609655100197
6,6,0,0,6.902760670555907,0,8.8341213614948
6,8,1,0,7.234039907317377,1,10.943682926788494
3,5,0,0,8.821989346948993,1,13.36894253184059
10,4,0,0,6.596332832422937,0,7.210093391371424
9,5,1,0,8.205175933163805,1,11.434160918326551
14,7,0,1,9.330984292007605,1,11.840208144368184
6,5,0,1,7.033764684867683,1,11.104157996563208
9,8,0,1,5.019727078371129,0,5.346349320603333
11,6,1,1,10.146220763012291,1,11.932425817752382
11,7,0,0,5.814692073128973,0,6.691207169990499
12,5,0,0,1.3828098353632488,0,-0.5069602310315995
9,3,0,1,7.846105054100963,1,11.292635952214203
9,5,0,0,4.658778258201687,0,4.976903288340922
14,8,0,0,11.38537429929226,1,13.842868636373645
5,6,0,0,6.512880389194232,0,8.298817057784678
9,8,0,1,4.760877240829986,0,4.73397035346631
9,5,1,0,7.630625873511789,1,11.455955240549308
10,6,1,1,6.764193074521245,0,6.915715252421371
