income,age,gender,region,earning_threshold,policy_participation,employment_rate
9,6,1,1,2.575941236235238,0,8.896998311362236
3,3,0,1,5.22554597278056,1,14.71700018340408
7,6,1,0,-0.0372105088066385,0,6.2179953824980325
6,6,1,1,3.987703680499272,0,11.59289174289321
9,5,1,1,5.0575609721500285,1,14.299675472607849
4,6,0,1,3.372369110263492,0,11.088040585819137
2,2,0,0,5.323699737976914,1,13.9190193624713
7,6,0,1,1.1737317715858526,0,7.732297394954349
12,4,1,1,3.2869064683693017,0,10.854543054718382
9,3,0,0,2.590947843535283,0,9.035518884029988
9,6,1,1,4.514096642116072,1,14.24376151756324
6,6,1,1,4.137217993700682,1,13.948000959008636
5,3,0,1,4.577822304265036,1,13.630531214299625
7,6,1,0,4.863463253737328,1,16.1289576006702
3,5,1,0,4.211701752827624,1,14.591583291687986
11,4,1,1,5.155454217589399,1,15.108521547818915
8,6,1,1,1.969361966777748,0,8.839688304285746
5,5,0,0,2.446085845167669,0,9.802436264223289
4,7,1,1,1.3388893426798472,0,6.815871458357531
8,4,0,1,6.327833869449394,1,15.798964656666817
9,7,0,1,3.566477605110886,0,11.42220203318834
7,7,0,1,4.515976296406754,1,14.155451516768656
11,6,1,0,7.921949210578126,1,17.21794021547973
8,5,0,1,4.60770363333477,1,13.893246657376949
9,8,0,1,5.005654572190272,1,16.077425527955473
5,5,1,1,6.966013783271622,1,15.187605982418
5,6,0,0,0.3627608961737234,0,6.570068709374071
8,7,0,0,3.0066727545228757,0,10.622514974889894
6,4,1,1,1.5057377319463487,0,7.568838942458404
5,8,1,0,5.354055828592021,1,15.03746879722528
12,4,0,1,5.037067003421197,1,15.377943236030344
14,4,1,1,0.9469283866858054,0,7.173409944526369
7,3,1,0,6.9243366334401815,1,15.210490336796678
15,3,1,1,1.33619245597742,0,7.796083349157005
8,7,1,0,3.095582187002383,0,10.869995310857009
3,7,1,0,4.938612948082898,1,14.735420020908494
9,6,1,1,4.356970422929574,1,13.703986081481636
13,3,1,1,4.229126221654338,1,13.76226300378595
8,6,1,0,-0.8615033337526938,0,4.2852495432674935
8,5,1,1,5.1381708256475855,1,14.67564987192742
7,7,0,1,4.457375704532108,1,14.547380152997674
10,4,1,0,6.067985963409521,1,16.055350668103827
8,4,1,1,5.7787033527912754,1,15.271296494456664
3,6,0,1,3.0814022079316805,0,10.809248876390503
4,5,0,0,4.985828041681986,1,13.831946939161677
10,5,1,0,4.329863528637033,1,13.481317089875814
5,5,1,1,3.3271833586943083,0,9.731142458773478
11,7,0,1,3.056791915687287,0,10.88116641361309
5,6,1,1,5.921766060318416,1,14.308336527556923
6,8,1,1,5.518565363791783,1,15.38563367988734
8,5,0,1,4.254995215059098,1,14.372934979395511
8,9,0,1,3.3451531420647416,0,12.041741380959278
6,5,1,1,6.982215095478845,1,15.774535212422329
11,6,0,1,4.90287305948156,1,14.74032302264638
15,6,1,0,5.569409033725266,1,14.98318443710306
11,4,1,0,6.657481607869517,1,15.54916034931826
2,5,1,0,3.868756942354484,0,10.669468864374476
5,4,1,0,3.804179050548511,0,10.745360267019857
6,5,0,1,3.7282887530125945,0,11.968497425438516
7,7,1,0,3.6573690367469207,0,11.826132227018558
6,7,1,1,2.817382709055326,0,10.195592695156494
11,6,1,1,4.371644189388122,1,14.481925069039518
6,7,1,0,2.160426123888675,0,9.653366543336004
4,5,0,0,1.237851504563408,0,6.535208664588407
1,3,1,1,0.5593915858710061,0,6.181546172946765
10,7,1,1,7.164045029710999,1,16.971893775161853
4,5,1,0,0.7592423078187682,0,6.531620428773059
7,9,1,0,1.1762110318911798,0,7.902426580196613
7,6,0,1,7.098990515115611,1,16.18491180122467
3,3,1,0,6.804096530997903,1,15.337234013006311
10,7,1,1,5.661306345732615,1,15.697478225931766
11,5,1,1,1.746171930758488,0,8.957518881377185
9,5,1,1,4.193044372418112,1,12.78546800153632
9,5,0,1,6.957542353997183,1,16.54543192551435
5,6,0,1,1.2573892088605505,0,7.828020187451998
8,4,0,1,3.177041117553625,0,9.854294785005248
11,6,1,0,6.670323372132909,1,16.448341836810055
5,8,0,1,4.428867967661429,1,15.321496985433662
8,2,1,1,5.296944031260227,1,13.913901735072288
9,6,1,1,1.7017630264576489,0,9.59810020692444
5,8,1,1,6.363039691850362,1,15.637256724836456
4,4,0,1,2.9392678345137804,0,10.058094496386184
4,7,0,1,0.688655874193743,0,6.744670374160516
14,7,0,1,0.3958378571415233,0,7.484648107088883
12,6,1,1,5.162090678737805,1,14.5371338923934
3,6,1,0,2.5275572120379017,0,9.28152845878129
8,6,1,1,5.433113105706779,1,13.883393231132178
9,8,0,1,3.406376305605513,0,11.309869448652671
6,8,0,1,7.247927028996095,1,17.59952605479693
12,6,1,1,4.30029797543958,1,14.62611442802218
4,6,0,1,4.220939215076591,1,13.97258808011014
6,7,0,0,2.843765536966947,0,10.96448464016895
10,6,1,0,4.801780320770605,1,14.07354975475122
