age,education_years,gender,minority_status,political_engagement_score,political_ad_exposure,post_election_satisfaction
9,6,1,1,22.98306721012986,0,7.451942688266138
8,5,1,0,27.320469546908537,1,20.149784431210534
4,4,0,0,27.212299189928192,1,18.971766956620456
7,7,1,1,25.19285159808906,1,17.697045111725313
3,6,0,0,25.108049703587326,1,17.911691835997647
6,4,1,1,25.001913160336063,1,17.534793428387108
11,3,1,0,25.46692873182292,1,17.93802356724351
10,4,1,1,24.598964802521888,0,9.585326900672614
13,3,0,0,23.70391375004933,0,8.143976622016972
6,9,1,1,27.396955854986185,1,19.905016429442497
7,2,1,1,24.78615035164958,0,9.977726656699822
6,3,1,1,21.78142793607534,0,5.313750615771369
12,5,0,0,24.779762501793325,0,9.2471477828689
11,8,0,1,24.42012367482089,0,10.357705625093644
3,5,1,1,24.97264608787616,0,9.694847824490774
7,4,0,1,20.203787088879505,0,3.402827956855424
9,7,1,0,22.11985382043308,0,5.693244030425023
8,5,1,0,23.27114288208624,0,8.099757747778797
15,6,0,0,25.41141881676941,1,18.36287231526004
11,4,0,1,24.409787327116508,0,8.486233879269939
1,4,0,1,21.90498382967852,0,4.768264072827147
9,7,1,0,24.905123997670405,0,9.65492334117428
11,7,1,1,19.70585820753601,0,1.8642987603078556
8,6,0,1,22.024507588637405,0,6.308827848359538
6,5,1,1,26.360306910047598,1,19.71271420217162
9,7,1,0,25.474668670235097,1,18.515673510989892
6,5,1,0,24.646432831441302,0,9.322802953800528
13,8,0,0,23.289525612861944,0,7.829725784209152
6,3,1,1,28.53733440867744,1,21.54876253375622
3,6,1,0,26.03097632197359,1,18.31288618941551
17,6,0,1,25.31181049316138,1,18.700348181846238
0,5,1,1,23.545665353927184,0,7.668007460297228
9,7,0,1,24.533663117399445,0,9.586102189160965
2,6,0,1,24.308719933559047,0,9.65655669843878
9,3,1,1,26.61402074901089,1,19.320428065716683
6,5,0,0,25.245229740289947,1,17.48861364888014
6,8,1,0,25.01008506241409,1,17.489606486864115
12,5,1,0,23.554364729099035,0,7.781045021138474
8,5,0,0,22.31933928092897,0,6.537040946086084
5,6,1,1,25.61702329977752,1,19.121170437397883
3,5,1,0,25.847227170054524,1,18.23875439613856
4,6,1,0,26.919951542677065,1,19.14864329253731
7,7,1,1,26.724531028114765,1,19.061818629139207
7,5,0,1,25.59136429554257,1,17.630718046300256
8,5,1,1,23.62989729695407,0,6.956603435591743
4,4,0,0,23.97856741239579,0,8.575410255108515
6,6,1,0,23.045237246904904,0,7.316631464535098
9,4,0,0,27.005971708117222,1,19.915670068956707
6,6,1,1,22.025291255762944,0,5.678038893724404
1,9,1,1,25.837706144908584,1,17.706673458255413
8,6,0,0,27.994183299221653,1,20.04893173444995
7,6,1,0,25.143879527410167,1,18.07898951953384
7,7,1,0,23.88628715982798,0,8.941222996561281
3,4,1,0,25.630229403495623,1,18.340966780127182
10,6,1,0,23.592153428139564,0,8.220467129128751
7,6,1,1,27.462676922400725,1,19.59670127555364
4,4,1,1,23.640277114106315,0,7.336953402765598
7,5,1,1,29.59854459772313,1,22.293944177105104
13,6,0,0,25.02131878861921,1,18.636827917058717
12,8,1,0,24.080124982356192,0,8.53612118136705
8,4,0,1,25.437301986521767,1,16.73903249439981
7,3,0,1,27.02062855010833,1,19.97859263103484
12,7,0,0,19.508937455537254,0,1.5641234396003436
6,6,1,0,24.48331494720302,0,8.541489535618783
5,4,0,0,27.7247931766533,1,20.814061239569245
10,6,0,1,24.26468711111516,0,8.987981972350092
4,5,1,0,19.75490697620822,0,1.9784165512768936
11,6,1,0,20.705956135961024,0,3.375233918280405
7,5,1,0,21.95969124514825,0,4.94357377411251
2,6,1,0,23.069857203136078,0,7.660532352460514
16,8,1,1,27.283028404026584,1,19.48825520357336
8,4,0,1,24.190540406807887,0,8.626745259362572
10,6,1,1,23.35725555790903,0,7.692195077463688
8,8,1,0,21.979495244525324,0,4.924012442778254
8,5,1,0,23.97604122863435,0,8.696599835561793
10,4,1,1,27.94326984645473,1,19.79625472291373
4,6,0,1,26.138444828567025,1,18.70589053908301
1,10,1,0,23.2321452406744,0,7.295541645002748
9,3,0,1,26.6234785092834,1,19.338338443391425
5,3,1,1,23.867570360933847,0,7.952053488103534
9,7,1,1,23.636957971240225,0,8.610293336673084
11,5,1,1,24.416626989570567,0,9.069367374542876
9,4,0,1,25.00273230700514,1,18.403077539095413
12,5,1,0,24.774951036421104,0,10.405263699843209
7,10,1,0,24.25745199253987,0,8.820382926405365
6,4,0,0,25.569859093942675,1,18.02645352385549
14,7,0,1,23.008951197677995,0,6.207981046761338
8,7,1,0,27.52844903881848,1,19.097663280866527
7,4,1,1,27.53572388963809,1,20.36118040623208
8,3,1,0,22.96708234893811,0,6.651465179765388
12,4,1,1,26.56557440135054,1,19.80808151845118
2,5,0,0,27.01879663445773,1,19.47157957020242
6,9,1,1,23.482371135605455,0,7.311816769519399
9,7,1,0,22.121164186424185,0,5.77901599200376
12,5,1,1,22.60648537820438,0,6.544274827619847
6,6,0,0,26.27572658714087,1,18.56933971429788
10,6,0,1,22.33509510125165,0,6.048364486541484
11,5,1,0,24.693588297886382,0,10.919162949496966
7,5,1,0,23.980325176979136,0,8.376673910055787
5,5,1,1,22.74688043376339,0,6.61249914970335
3,4,0,0,22.119355706582336,0,6.607690907689095
2,6,1,1,21.46062514244133,0,4.187269437296093
5,7,0,1,24.696401273747057,0,9.22432364086298
4,6,1,1,26.969524281487264,1,20.370105130355302
6,2,1,1,22.4607109667354,0,6.204978650723212
11,8,1,0,23.902676165548243,0,8.482669814516495
11,6,1,0,22.840197620901744,0,7.561630484704305
7,5,1,0,28.024721980532373,1,20.183154896995664
8,5,0,0,27.012225345192697,1,19.07343761532205
11,5,1,1,23.558619394369654,0,7.631857100383591
7,4,1,1,28.166731193609007,1,20.387804870596423
13,3,1,1,21.08794273693724,0,5.36266014416708
2,6,1,1,27.439398832792197,1,19.69021714883218
3,7,1,1,26.405178559117644,1,18.688086155071577
9,7,1,0,26.699324814880885,1,18.45340929681362
8,6,1,0,24.554622746989025,0,9.904866123056909
10,4,0,0,25.13891471756854,1,18.533483208719048
6,5,1,1,19.58315654900821,0,1.973248882740532
6,6,0,0,26.826871116363275,1,19.438978064253067
5,6,1,1,27.60241569650801,1,19.984927118534006
4,4,1,1,19.727861863234992,0,1.854462089461764
5,5,0,1,24.48258868595841,0,9.250367398838478
13,7,0,0,23.867150967584337,0,8.648897096794341
6,9,1,1,28.837529237863397,1,20.82884355297427
8,5,1,1,23.940983142785544,0,7.400254611141953
7,7,0,0,23.87269644849601,0,8.424738613693972
1,6,1,0,23.688217138466133,0,7.146125080104836
7,6,0,1,23.910462276549627,0,9.202901668993135
4,3,0,1,25.498830440552343,1,18.693396545509067
8,4,1,1,23.47425142959504,0,7.303558040863821
6,5,1,0,19.75517642409581,0,3.0157128012393017
8,7,1,1,24.868133015347983,0,9.606786240627992
4,6,0,1,24.092664767713835,0,8.923351695692201
9,5,0,1,25.80981761467833,1,18.44591514203457
5,5,1,1,25.384733336410573,1,18.03088750026932
9,2,1,0,26.78103569907104,1,19.135878120698894
3,4,0,0,25.122824036422298,1,18.72880771631265
13,5,1,1,26.26014931720013,1,18.981788655833217
13,4,1,0,24.906503955150303,0,9.406645976085098
8,2,1,0,25.598752730610997,1,18.55289247162275
17,5,0,1,26.17289168979509,1,19.54262462476349
5,3,1,0,26.30555078420517,1,18.34528840942611
6,5,1,1,24.83309362557661,0,9.114820824738064
6,8,0,1,25.45639429385679,1,17.576121402002794
6,4,1,0,26.64598722022368,1,18.924122235534107
6,7,0,0,25.15546424745153,1,17.188893677895575
11,7,1,0,26.84297670578713,1,19.567890652551
7,4,1,0,22.5762663289557,0,5.410797557170948
15,4,1,0,28.523613904286226,1,19.94385043035298
7,6,1,0,25.776183330513927,1,17.86959899069903
9,7,1,1,24.862308737107394,0,10.254106880651468
10,6,0,0,26.82718926123496,1,19.97495881900584
8,7,0,0,28.7093450986586,1,19.998504026427867
9,6,0,1,25.38956609157604,1,18.43285481488425
12,4,0,0,24.52796646952805,0,9.455239778354132
9,4,1,1,25.406904746324223,1,18.27375605852788
8,6,0,1,26.113532056800864,1,18.85714710197408
3,6,1,1,22.479484128906428,0,5.311679472160801
12,7,0,1,26.057922966953427,1,18.58919895732129
6,6,0,1,24.14969856556617,0,8.205033779629748
6,5,1,1,25.700210129842613,1,18.519367426808348
11,6,0,0,25.046703134365448,1,18.5673412513266
9,7,0,1,22.4707594512428,0,7.14708736098632
7,5,0,1,25.135108017143065,1,17.440251052855242
7,5,0,1,23.069749027476615,0,6.235500280824532
3,7,0,1,25.022933193977348,1,17.08942305983237
8,5,0,0,24.045054993022703,0,8.776127050906458
11,6,1,1,27.296590089127932,1,19.205171911730112
10,6,1,1,26.738907978842708,1,19.10861482953661
