age,income,gender,minority_status,credit_score,loan_subsidy,loan_repayment
8,5,0,1,14.144403880426538,0,3.597558274631492
10,6,0,1,17.315586153595323,0,8.273581904751595
10,6,0,0,18.885835231115752,0,10.313496896224958
6,6,0,1,18.04508051131592,0,8.898640903231218
5,6,0,0,24.808731912983127,1,16.867205634219722
8,6,0,0,17.5642533230809,0,8.391176561395714
15,6,0,0,23.45173364613209,1,15.960768960603462
12,8,0,1,15.51967859563,0,6.044862103001071
7,7,0,0,17.720570488904528,0,8.836066786934586
8,6,0,0,16.291832942779504,0,6.539823219543103
5,6,0,0,19.01656710020361,1,12.169319222083637
13,6,0,0,15.628555306517011,0,6.174581789097933
7,3,0,0,20.061578566809853,1,11.899384729246831
13,7,1,0,18.8861639172313,0,11.36506162023244
12,7,0,1,22.61169872849457,1,15.45182457721858
6,6,0,0,24.59615710663199,1,16.595950081227336
9,6,0,0,16.506060681685646,0,7.556638598647528
7,6,0,0,18.78729453598019,0,10.515468865750403
7,3,1,0,18.33125296976957,0,8.73307811090017
6,5,0,1,16.539239680580526,0,6.440983004063598
11,5,1,0,18.15250538559846,0,8.911866723450661
11,6,1,1,18.60596733170624,0,10.755305403750048
11,6,1,0,21.17941300638074,1,13.987187283252316
9,7,1,0,19.046922409948785,1,12.171902356118654
4,4,0,1,19.73270302371669,1,12.059421769989685
6,6,0,1,24.08508953802997,1,16.61091239794697
6,2,0,1,15.778863373152406,0,6.021649416646201
10,5,1,0,18.830865001775813,0,10.473971377156388
6,4,1,0,22.203839265797317,1,14.68329844107352
4,4,0,0,18.853917687891585,0,11.443844776657274
6,6,0,0,19.08670287578485,1,12.46187222487251
5,4,1,0,17.941331811524787,0,8.483125406500507
10,5,0,0,17.046959124603607,0,8.343328528908343
12,7,0,0,23.24735219053119,1,15.735255049575326
11,7,0,1,16.869603456419803,0,8.160145136711057
5,6,1,1,20.106632993606897,1,13.439715372124738
6,7,1,0,19.19012698251637,1,13.173734371619918
16,3,0,0,20.088610889042997,1,11.962446268545504
4,6,0,0,19.413491955089064,1,12.848129432288644
5,7,1,1,19.988590946281,1,13.361073303439513
2,3,0,0,17.54710640152627,0,8.385336874202045
6,6,1,0,20.51217032489803,1,14.201634354667055
7,7,1,0,21.7782142203597,1,14.538821348654553
11,4,0,0,21.829391626460733,1,13.669293205552997
8,5,1,0,20.2821515646523,1,12.607610861733042
0,4,1,1,24.07843629312492,1,15.81279038606196
2,8,1,0,20.070866261277505,1,13.52221760845651
6,4,0,0,18.423387323678657,0,9.88067516677221
6,6,1,1,16.466324666771765,0,7.884413385694957
14,2,0,1,16.847787251469327,0,7.531523753009916
8,5,0,1,20.32453086970175,1,12.32671249612601
6,7,1,0,21.16852002163856,1,14.199443272544398
7,3,1,0,17.820931718299423,0,8.243154327692919
3,7,0,1,17.84121631186476,0,10.723416689327069
11,3,1,1,16.47053335310865,0,6.655969670192751
9,3,1,0,19.468008088804247,1,11.591928678747225
6,8,1,1,16.899811687661362,0,8.246888797654323
6,4,0,1,15.742597072678578,0,5.783652660327475
9,3,1,0,16.04393276315316,0,5.757058567968943
9,5,0,1,19.619656293770557,1,12.397867821063704
5,5,1,0,22.584978915340933,1,14.500577951264816
9,5,0,0,21.39330486599505,1,13.209885044014165
11,5,0,0,17.686735108570495,0,9.5038856686329
6,7,0,1,15.57159109579331,0,5.672794859445335
2,5,1,0,15.348348993830667,0,5.298900736271641
4,6,0,1,21.332709464516448,1,13.9800540272885
4,6,0,1,17.91646450779955,0,9.285705978487568
8,8,0,0,16.752693413142104,0,7.680974019142407
7,6,1,0,22.121300100662875,1,14.448726477225575
5,3,1,0,18.441412373355675,0,10.182569955340984
9,6,1,0,20.873329452669942,1,13.254285964861342
2,6,0,0,16.20617089971142,0,7.598723849242559
0,6,0,0,21.675997383692533,1,13.958663888504711
7,4,1,0,17.607629928608638,0,9.324976975784626
8,7,1,0,20.014798228460883,1,12.748646334014508
5,7,0,1,22.147174305067136,1,14.85669691603437
14,6,0,0,14.834166874681792,0,4.784810469506208
12,6,1,0,19.691095663233416,1,12.457746694610272
11,6,0,0,18.46368712389071,0,11.645950546230814
6,5,1,0,21.105719386517453,1,14.203560263250704
10,7,0,0,21.639904012564102,1,14.34506238951868
3,3,0,0,15.75055833702642,0,5.309021325780501
7,5,0,0,18.076956032931925,0,9.972542519870482
5,6,0,0,19.280925732827825,1,11.88678430139378
10,5,1,0,20.919409938641788,1,13.124150372284582
16,4,1,0,21.282927127966435,1,13.97853654006841
10,2,1,0,18.90759629986521,0,10.023824023077342
9,4,0,0,16.47609515166364,0,7.609228334135176
9,6,1,1,21.246408027131345,1,14.095733720139384
7,6,1,0,20.467405950900552,1,13.588534843164888
4,5,1,0,21.752813098641703,1,14.00784432414926
9,4,0,0,20.369004753274357,1,13.446958769736671
