age,income_level,gender,minority_status,education_level,social_assistance_program,social_mobility_index
7,5,0,1,12.337469347147737,0,6.452147937911388
7,5,0,0,15.374107768784729,1,11.24441873855618
7,5,0,1,16.12585003568999,1,12.428551041558796
8,6,0,1,16.54950301196582,1,12.786740029380324
7,5,1,0,16.378089563090484,1,13.331144939070391
3,6,0,1,13.804318979223895,0,9.252652798504712
4,5,1,1,11.43441572013332,0,6.220910568041553
9,9,1,0,13.26765470040743,0,8.512304727595584
7,6,0,0,12.801431215795922,0,8.268011852834949
6,4,0,0,13.333364778531902,0,8.210994300526515
6,7,0,0,12.351312010179486,0,6.409925263492211
4,7,0,1,17.1835804630656,1,13.567915117552053
5,4,1,0,14.527479230439145,1,12.42338022989208
8,8,0,0,15.612702491313549,1,12.085109039964566
5,7,0,1,13.427965051327725,0,8.609330176755552
7,5,0,0,13.15625536724388,0,8.036761672243362
3,11,0,0,11.025976056739776,0,5.240938797704344
12,5,0,0,14.416557999578815,1,11.22094991059132
6,5,0,0,15.1629282342819,1,11.994521793062646
2,6,1,1,18.251208273194088,1,15.01587453772221
8,7,0,0,13.761163621271162,0,8.913456375599239
9,8,0,0,17.01029946977153,1,13.12638465143018
8,5,1,0,15.977117704012812,1,12.324813347935612
5,6,0,1,14.159905190755902,1,10.91675447423708
10,7,0,0,12.205039363965806,0,6.653099914906565
8,5,0,1,13.976993908661187,0,8.13879964881841
10,6,0,1,12.031072202062411,0,6.37715593399219
7,7,0,0,13.46892488938989,0,7.616115632242669
11,5,0,0,10.0511286495943,0,3.041220672504732
9,5,1,1,11.130357551047156,0,5.376679906579064
8,10,1,1,14.75966706268728,1,11.319710325644532
9,3,1,0,13.316267713081562,0,9.337776708411877
4,8,0,0,14.971193017068016,1,11.954394972060165
4,8,1,0,11.575419870577925,0,5.975449583166944
8,8,0,1,17.316655929301863,1,13.397882469216691
8,7,0,1,12.428496115493363,0,7.022033005768446
11,7,0,0,11.5107299035672,0,5.38897096892426
3,6,0,0,11.7241369192737,0,6.229234828401518
9,7,0,1,15.008554917517674,1,12.265328662928209
12,5,1,0,14.170048760066637,1,10.82489467615923
5,7,0,0,16.891987212709335,1,12.217595385845987
