student_age,parental_education_level,gender,low_income_status,pre_treatment_score,intervention_status,post_treatment_score
9,5,0,0,20.40302820615785,0,8.056518830563684
8,8,0,0,19.91156481094836,0,5.827995195812375
10,6,0,1,24.699485187303125,1,15.13052555764683
7,6,1,0,23.096606572679736,1,12.542928542089872
14,6,0,0,25.78932798916972,1,15.032253935722544
3,5,0,0,23.89900535656769,1,14.064058269413058
4,6,0,0,22.02069048358755,0,9.39775466963308
11,6,0,1,24.672793549772123,1,14.505451261618758
9,7,0,1,24.645284090250662,1,14.79383374878753
4,6,0,0,22.400022939461856,0,9.438593566636031
4,4,0,0,24.652340655389665,1,13.14071442380217
2,9,0,0,25.937798902662987,1,14.969062918813274
7,8,1,1,22.133998413011447,0,9.79943473625955
9,5,0,0,22.087285898095505,0,9.48994654620348
10,5,0,0,26.746682230007224,1,16.11520427225646
9,7,0,0,23.177938706039868,1,13.055568273105049
8,4,1,1,25.307435217469205,1,14.923094910012631
6,5,0,0,21.885915132159436,0,9.305645972911352
6,6,0,0,27.01782981085052,1,16.28646571150397
9,5,1,1,22.746032564328537,0,10.431785865805358
10,8,0,0,20.727979690762563,0,7.099183605553684
6,6,0,0,25.50458083661238,1,14.11100284481758
1,6,1,0,23.200937090798163,1,12.246644049702075
5,6,0,0,23.58562355981276,1,12.513167400872137
0,6,1,0,26.003509144403285,1,15.181924140479316
7,5,0,1,25.56476138978048,1,14.860465866618483
7,7,1,0,21.57466434071125,0,8.6111767846217
1,5,0,0,22.802402166947655,0,9.821824398497183
10,4,1,0,25.048390694692877,1,15.511467447137962
7,5,1,1,22.116769384900905,0,9.142616672358978
5,2,0,1,22.307725775017467,0,9.412362165541053
10,7,0,0,21.3163012314998,0,8.792460172761862
3,5,1,0,25.71845060333551,1,15.023186219979848
4,3,1,1,25.538680438486256,1,14.72869796934619
5,5,0,1,23.547360776435244,1,13.581058803062666
8,6,0,0,24.550991999666632,1,13.948577895948508
7,5,0,0,25.344872389375364,1,14.803962437492537
10,3,0,0,25.62735698361558,1,15.43760464098022
7,4,0,0,24.11138233241033,1,13.202666369445042
4,4,0,0,24.12553696423833,1,12.96536236208327
8,6,0,0,23.42098664115296,1,13.355169265288517
9,7,1,1,23.28366214154564,1,13.105794039644644
5,5,1,0,21.03595383804421,0,7.424319068509018
7,3,0,0,24.489209440152912,1,13.897927187856356
6,4,0,1,25.03906538686379,1,14.346272872745937
5,7,1,1,24.38577147002698,1,14.661024080462091
2,5,0,1,23.261672725858748,1,12.488246157590726
12,6,0,0,23.91727247007444,1,14.328143630973033
7,7,0,1,26.60331227535037,1,16.76430647906525
5,7,0,1,25.519574661964818,1,15.576373585332624
6,6,0,1,22.80709958194547,0,10.534419369163697
7,6,1,0,20.639035289563697,0,7.604944622586665
10,5,0,1,21.34523491714445,0,8.526470832530375
5,6,0,0,19.566757627680275,0,5.342472469362494
12,5,0,0,26.274170037383143,1,15.43573667068841
8,6,0,0,23.95972231614631,1,13.297118768649414
9,5,0,1,25.314177719843244,1,15.103025252615264
11,7,0,1,21.61705616622044,0,9.160233870409634
8,7,0,0,24.10983056477809,1,14.162239234310826
4,5,1,0,23.85089323440886,1,13.793575020065086
5,5,0,0,24.062226939278865,1,13.81884673429409
5,4,0,0,22.46506987175712,0,9.154906153434052
12,8,0,1,22.26355231657785,0,10.839764919480045
10,3,0,0,22.12207204718361,0,10.418633619173658
10,7,0,0,23.421530405206763,1,14.00230203251962
9,6,0,0,19.732578348253583,0,6.7098621449210345
