worker_age,income_level,gender,minority_status,job_satisfaction_score,on_the_job_training,promotion_rate
8,6,1,0,21.535889623438077,0,8.62230085948631
6,6,0,1,24.840231074484898,1,17.737458096001408
10,2,0,1,24.60278102362423,1,19.41791765940944
4,8,0,0,18.727349047077475,0,4.957625253648265
5,6,0,0,25.189819338807787,1,18.47398170682916
14,5,0,1,25.41218111870765,1,19.745990802508523
8,6,1,1,22.538644623744663,1,17.013569360529477
5,7,1,0,21.128299772997995,0,7.083359034928541
7,5,1,1,25.941241667171187,1,19.3552194247716
6,4,0,0,19.284736163405327,0,5.545354606233464
13,7,1,0,21.91295255931293,0,10.315505155214092
3,6,0,0,24.461419249754343,1,17.475485310794284
8,5,1,1,18.88463086502092,0,5.009661687163178
9,4,0,1,19.35060197458647,0,6.814825697895047
3,5,0,0,21.95437523212923,0,9.551874404815752
6,3,0,0,23.546139947540222,1,17.230160871209062
10,6,0,0,17.84404490285082,0,4.037220329635095
9,5,1,1,21.195420675469443,0,8.742302924165172
4,7,0,0,19.00294240718238,0,6.1260049248028885
8,5,0,0,22.721945750037563,1,16.831635159053562
5,6,0,0,20.123010666595743,0,6.710223163449796
6,7,0,0,22.104062319042036,1,15.453257645623411
8,6,0,0,18.846015999070907,0,4.596926227572957
9,7,0,0,24.07362684166877,1,18.430052750111063
11,6,1,0,22.486777487536,1,17.158118517506
10,7,0,0,22.591130762460946,1,17.055426766298535
4,4,0,0,22.46485693416621,1,16.55181317167718
7,4,1,0,21.926431129661815,0,9.60236754564252
7,7,0,0,18.967956525180306,0,5.700648166603477
11,5,0,1,22.843212137230367,1,17.38590464598392
7,7,0,0,23.17023487801316,1,17.018744378664696
14,8,0,1,19.00548007625748,0,5.129766810905546
7,4,0,0,17.3283129456649,0,3.5271059973695174
2,4,0,1,19.429193724066437,0,6.11169236552734
9,4,0,0,25.438436367737587,1,18.69158731014305
5,4,0,0,24.95041662843933,1,18.973085905516896
8,5,1,0,20.55872462505536,0,9.399685788122964
7,7,0,1,22.00626919922497,1,16.262845676775292
1,5,0,0,24.917659368145635,1,18.748596308731543
10,6,1,1,24.324721662528905,1,18.14663818474849
4,7,0,1,23.68557841951761,1,17.824169298794388
8,6,1,0,20.07421263779157,0,7.001212225255912
10,5,0,1,19.52749297524813,0,6.474798355827939
14,5,1,1,25.94824414554177,1,20.11625230371188
13,4,1,1,21.46213324946469,0,9.124448679995009
8,5,0,0,20.51061059838901,0,8.190915281093952
6,4,0,0,20.558933283754115,0,7.863503068017468
7,4,0,1,20.73758419225611,0,8.925443211556358
4,7,0,1,23.18927876508485,1,16.41332285342375
2,6,0,0,23.24474014857079,1,16.537391969930432
9,4,1,0,24.543809543985294,1,18.431684390819207
9,5,0,0,21.78634583836844,0,10.480360973728226
11,5,0,1,22.576909970197438,1,15.334471929822778
9,6,0,0,21.85993137848221,0,10.90859097257266
5,4,0,0,22.5842334015187,1,17.301046377481292
11,7,1,0,21.29853543320181,0,9.026619264330092
