defendant_age,prior_convictions,gender,minority_status,offense_severity_score,legal_representation,sentence_length
8,8,1,1,18.20926771972578,1,26.80713143322536
0,7,1,0,13.04463388759647,1,20.322293471039128
2,6,1,1,12.66950303997482,0,10.981535187013224
11,8,0,1,15.300960655452474,1,24.02875105926256
6,9,1,1,11.896521233972942,0,9.338308220611513
12,5,1,0,15.445677362359962,1,23.472099195376213
9,4,1,1,14.318555067134218,1,21.79170693925454
12,5,1,1,8.478662765421124,0,5.582420316005483
4,4,0,0,14.23474582079118,1,21.444000397807542
0,6,1,1,13.809276036315186,1,21.06818252960052
10,5,1,1,13.383645142522866,1,21.39724354238726
6,3,1,1,11.235510543111246,0,7.927635347359452
12,6,1,1,13.314383692299115,1,22.12312210939269
6,5,0,0,12.259996146821392,0,10.070105836657806
14,5,1,0,15.415364318010576,1,24.63073185389647
6,6,0,0,11.497938041460642,0,8.913085307731837
7,8,1,0,10.119113691678209,0,6.66945424153139
8,7,0,1,13.368914662628317,1,22.01334276207788
7,6,1,0,13.635065327134583,1,21.61817668958037
5,6,0,1,13.484951906258598,1,21.648287888651105
8,5,0,0,12.557177020854212,0,11.684816830258375
8,5,1,1,13.7765622708495,1,22.672244490744426
5,7,1,1,14.015096396442155,1,20.533907955502556
11,8,1,1,12.250581706452904,0,11.415090417278806
12,3,0,0,11.977520706970878,0,11.170240961079786
13,6,1,1,15.259302935858514,1,24.49816035280305
14,4,1,0,13.043397522721232,1,22.783546273956357
9,6,1,1,12.893888381434165,0,10.612019222850282
10,4,1,0,12.255671637128248,0,11.003456150626915
7,8,1,1,11.907157059262117,0,10.403077303659316
11,4,1,0,9.870851102456475,0,7.403748213024788
7,4,0,1,17.41206472440971,1,24.42231051774172
10,5,0,0,14.3552676892499,1,22.584493391052835
4,5,1,0,10.521333892415925,0,7.767942410847304
6,5,1,1,9.788183276953363,0,6.746802468269516
5,5,0,0,12.545830393662785,0,9.496922619557305
8,8,1,0,12.822491186387532,0,11.438697935045784
8,6,1,0,14.705822254582849,1,23.01262123145213
2,8,1,0,15.969364602544823,1,22.729794134795565
11,4,1,1,16.456355528358195,1,24.82018300434363
10,5,1,0,11.890773510660448,0,10.638497025794829
3,5,0,1,14.881675494881875,1,22.01450583449544
2,5,1,1,14.17022970238999,1,21.04093688309482
14,3,0,1,14.510326308401943,1,23.326279148713382
14,4,0,1,16.934245128647312,1,24.82995152173784
5,5,0,1,11.373874749330913,0,8.678859593183905
3,5,0,1,15.664260508050074,1,21.19713313813473
7,3,1,1,13.380926967916738,1,21.45578353495797
8,6,0,1,12.35599514682113,0,10.76372858454558
5,5,0,1,13.8090551353154,1,20.8244342820486
7,6,1,0,12.689600824689776,0,11.374282429379962
9,7,0,1,11.799223006285825,0,10.270444485018055
7,7,1,1,14.167616474628607,1,22.362153318451888
7,5,1,1,8.944220058593139,0,5.9324782652862975
6,7,1,1,15.279061693110052,1,22.594860919670744
5,7,0,0,10.98921119605285,0,7.865185850010615
12,5,1,1,14.861843678845158,1,24.462770918516625
3,5,1,1,15.809822732488565,1,21.90190936721268
6,7,0,1,16.141222376421425,1,24.13341010323448
6,6,1,0,14.01506782838785,1,22.60861136813132
6,8,1,1,14.95129592097165,1,22.524362771910507
9,6,0,1,12.085160941676492,0,10.996723700079048
8,5,0,0,13.553226283195244,1,22.597793839974624
13,6,1,1,13.149711395488746,1,22.28341901126053
8,8,1,1,12.92966399376026,0,11.757107319674496
3,6,1,0,13.617678452599469,1,21.14044297508713
6,4,0,1,14.582242901015883,1,22.58977611455462
5,5,1,1,14.455178955740765,1,21.8206668337696
9,6,0,1,7.215859008147168,0,2.7938241358965
13,7,0,0,10.646966111625844,0,9.355469123610511
6,8,1,0,15.300760568906004,1,23.91704621999324
9,4,1,1,15.17915793162732,1,23.28564133793787
4,8,0,1,15.495324610841273,1,22.6230239099847
10,5,1,1,16.779912930087995,1,24.261435333432388
4,6,0,0,12.836321421893656,0,10.530938673463917
8,4,1,1,13.498409774560642,1,22.509819505174097
2,7,0,1,12.746504710681736,0,11.612028530762547
10,6,1,0,10.543313062805122,0,8.897778346687305
6,4,0,0,12.370591331098602,0,9.943394131737405
8,5,1,0,12.763019501669527,0,11.192328121987522
10,7,0,1,14.166019451852891,1,22.639027957008267
7,5,1,1,16.399270440258288,1,24.64088206874834
6,7,1,0,14.206444731918156,1,21.48771647453895
7,8,1,1,14.438854592400364,1,21.34216825402473
5,6,1,0,12.130157848425307,0,9.611912036646968
1,6,1,1,12.774502027392892,0,10.774041620956291
3,3,1,1,13.972510325504054,1,21.273891739717484
9,3,0,1,12.002063869850163,0,9.799608840932896
9,3,1,0,11.53341337417009,0,9.458106488309276
7,5,1,1,13.9412695032274,1,22.02003840187912
5,5,0,0,10.97259788911217,0,8.031247182465837
