age,income_level,gender,minority_status,political_engagement_score,voter_education_program,voter_turnout
14,6,0,0,22.72286969292817,1,16.684880544394698
7,7,1,1,23.752792876253807,1,18.067497526696325
7,3,0,1,20.871618681068306,0,9.82037384003707
16,4,1,1,20.051377665463463,0,8.350889621905004
5,5,0,1,18.70137941667764,0,5.573445212097542
12,4,1,0,20.880045047541824,0,8.824570032414941
9,5,0,1,23.36075427437945,1,17.631574635923986
10,5,0,0,21.03691055897372,1,16.340926527598043
12,7,1,0,24.847584291876878,1,18.53583129834534
5,4,1,0,19.711679580377776,0,7.43506295631876
4,8,1,1,21.358272350814484,1,15.417709928911218
7,3,1,1,18.322921814079773,0,6.682916767497281
5,7,1,0,20.84008078054736,0,9.52522639895096
3,4,1,1,22.576200720680585,1,17.133098016036833
6,5,1,0,23.298737542545176,1,17.075694890493985
4,3,1,1,21.28039494620781,1,16.51752918875545
10,3,0,1,19.630506844809236,0,7.846725392607224
12,4,0,0,22.147113353895687,1,17.272831829032096
11,5,1,1,22.82670070985904,1,17.09415083896178
5,6,0,1,18.424342405551187,0,6.870136579965841
8,4,1,1,18.40181659398211,0,6.330663187781033
9,5,1,1,23.83583173171225,1,18.62785091485637
4,7,1,1,23.012555607062957,1,16.313226726235158
1,6,0,1,22.961732506833016,1,16.82012651852889
10,6,1,0,22.64172817153621,1,17.46590360827229
12,7,1,1,21.791927248487543,1,16.371240978832915
9,6,0,1,18.157141168934075,0,5.498631153750615
8,3,1,0,20.22606565918965,0,9.04388984620114
9,6,1,1,21.497287784308288,1,16.811022988455225
6,6,1,0,26.15708164694008,1,19.880680855620597
10,4,1,0,18.618862939025128,0,5.71529080861411
4,2,0,0,21.0709077525974,1,16.195858804071555
3,5,1,1,21.791686514437234,1,16.173372245761733
1,6,0,0,23.15024163881846,1,17.823755700628706
7,5,1,0,25.90551779162108,1,19.386086951019436
9,6,0,1,23.965995806171208,1,18.60164913317345
9,7,1,0,20.169013572759656,0,9.038321035681196
7,6,0,1,23.361185059132065,1,17.28439150196664
7,5,1,1,19.94044869584092,0,8.53435909867193
6,4,1,1,21.63303437344296,1,16.127173268471545
10,3,1,1,19.984369845905807,0,8.57582296719263
0,7,1,1,20.8622036497216,0,9.114256569207445
5,5,1,1,20.08124911108522,0,7.986252083845522
8,3,1,1,24.95525061771829,1,18.68171037092309
3,6,0,1,18.626876134276763,0,6.306860320654309
5,3,1,0,17.95612998298802,0,5.20986282566466
9,5,0,1,19.433726591263955,0,7.918686973264619
7,5,1,1,21.21927800778102,1,16.138354732942677
9,6,1,0,22.985309028949505,1,18.09045554827247
7,4,1,1,22.74283664232757,1,17.383949782671074
4,5,1,1,22.41627988977385,1,17.218827276504282
12,6,0,0,22.136686189322496,1,16.376310077028318
3,7,0,1,24.140388103940914,1,18.971219058066776
6,7,0,0,20.61641625546332,0,9.87868555796015
13,6,0,1,21.715835389907056,1,16.507490409144104
7,7,1,1,21.21078166893169,1,16.296239436959983
8,3,1,0,17.18510538810594,0,4.058032290660432
4,4,1,0,21.418784020542294,1,15.983935458847212
8,7,0,0,20.33419861121915,0,8.572249978003768
8,6,0,0,20.9352560847434,0,10.152491671447434
9,5,1,1,27.076723499950194,1,20.000248696280146
4,6,1,0,22.586994207947463,1,17.768475212713376
12,4,1,0,23.861418175050236,1,18.7680629218052
4,5,1,0,21.428368734925723,1,16.247640082504006
7,4,1,0,22.2825641819275,1,16.129061146980636
8,7,0,1,20.124694633444975,0,8.651377814051571
9,6,1,0,17.531088064959047,0,3.2381436545005986
8,4,0,0,20.91574163180163,0,10.147194825949018
9,3,1,1,18.399185661929963,0,6.060389906547631
13,7,1,1,18.43999779673122,0,6.084859500815249
3,4,1,1,20.508734882801253,0,9.070188777815336
6,6,0,1,21.065719491099756,1,16.383017887427208
10,7,1,0,23.58651204914709,1,16.921458391703023
12,7,0,1,17.865359179644777,0,5.533246456196217
10,8,0,0,19.79722588197355,0,7.623085156936538
8,7,1,1,22.95512377593615,1,18.123439819929008
5,7,1,1,22.186862037360992,1,16.991479954347177
11,6,0,1,18.485100972005757,0,6.117690851261339
5,5,1,0,24.324777731996328,1,19.296662965228556
12,5,1,0,21.200919182412783,1,16.59943620310539
13,8,1,1,19.767987619055937,0,7.487676283403484
3,5,1,1,21.24267187751416,1,15.87248437382005
3,4,1,1,20.07666122939688,0,7.590967994718143
4,7,1,0,19.92096187502918,0,7.517008394267676
6,5,1,1,19.740065556281447,0,8.08174949894882
6,7,1,0,20.007533448589417,0,7.689180440341205
10,2,1,0,21.641041643524268,1,16.98157997489369
4,4,1,1,20.268992982997776,0,8.138589227698024
8,4,1,1,23.5478424004294,1,17.713286037592013
9,6,1,1,20.47693211012665,0,9.246745514628085
11,6,1,0,19.924311631516044,0,8.651325984808317
0,6,0,0,19.807592141509964,0,8.093249313843113
9,7,1,1,17.836031757602168,0,5.697641874785141
8,6,1,1,19.611649277397603,0,7.3004568683026845
9,6,1,1,18.748165435171355,0,5.836135456229266
11,3,0,1,22.05873324531086,1,17.555508650377497
10,6,1,1,22.83944630831029,1,17.723515045193494
9,8,1,1,20.19537870724508,0,7.598429905768169
8,4,0,1,18.07051058932514,0,5.814077303776748
10,9,1,1,23.011920587735165,1,16.157566274441464
